site,experiment,section,year,variable,value,units
Bonanza,Bytnerowicz_Acc,5.3,1850,TSOI,279.539,K
Bonanza,Bytnerowicz_Acc,5.3,1851,TSOI,274.402,K
Bonanza,Bytnerowicz_Acc,5.3,1852,TSOI,275.863,K
Bonanza,Bytnerowicz_Acc,5.3,1853,TSOI,277.654,K
Bonanza,Bytnerowicz_Acc,5.3,1854,TSOI,276.723,K
Bonanza,Bytnerowicz_Acc,5.3,1855,TSOI,275.051,K
Bonanza,Bytnerowicz_Acc,5.3,1856,TSOI,274.671,K
Bonanza,Bytnerowicz_Acc,5.3,1857,TSOI,276.426,K
Bonanza,Bytnerowicz_Acc,5.3,1858,TSOI,277.613,K
Bonanza,Bytnerowicz_Acc,5.3,1859,TSOI,274.052,K
Bonanza,Bytnerowicz_Acc,5.3,1860,TSOI,275.336,K
Bonanza,Bytnerowicz_Acc,5.3,1861,TSOI,274.531,K
Bonanza,Bytnerowicz_Acc,5.3,1862,TSOI,275.422,K
Bonanza,Bytnerowicz_Acc,5.3,1863,TSOI,272.443,K
Bonanza,Bytnerowicz_Acc,5.3,1864,TSOI,272.925,K
Bonanza,Bytnerowicz_Acc,5.3,1865,TSOI,274.252,K
Bonanza,Bytnerowicz_Acc,5.3,1866,TSOI,275.594,K
Bonanza,Bytnerowicz_Acc,5.3,1867,TSOI,274.201,K
Bonanza,Bytnerowicz_Acc,5.3,1868,TSOI,271.726,K
Bonanza,Bytnerowicz_Acc,5.3,1869,TSOI,272.437,K
Bonanza,Bytnerowicz_Acc,5.3,1870,TSOI,274.512,K
Bonanza,Bytnerowicz_Acc,5.3,1871,TSOI,274.931,K
Bonanza,Bytnerowicz_Acc,5.3,1872,TSOI,275.296,K
Bonanza,Bytnerowicz_Acc,5.3,1873,TSOI,275.359,K
Bonanza,Bytnerowicz_Acc,5.3,1874,TSOI,274.328,K
Bonanza,Bytnerowicz_Acc,5.3,1875,TSOI,275.3,K
Bonanza,Bytnerowicz_Acc,5.3,1876,TSOI,273.98,K
Bonanza,Bytnerowicz_Acc,5.3,1877,TSOI,274.519,K
Bonanza,Bytnerowicz_Acc,5.3,1878,TSOI,274.36,K
Bonanza,Bytnerowicz_Acc,5.3,1879,TSOI,275.445,K
Bonanza,Bytnerowicz_Acc,5.3,1880,TSOI,273.288,K
Bonanza,Bytnerowicz_Acc,5.3,1881,TSOI,274.014,K
Bonanza,Bytnerowicz_Acc,5.3,1882,TSOI,273.128,K
Bonanza,Bytnerowicz_Acc,5.3,1883,TSOI,275.251,K
Bonanza,Bytnerowicz_Acc,5.3,1884,TSOI,274.233,K
Bonanza,Bytnerowicz_Acc,5.3,1885,TSOI,272.648,K
Bonanza,Bytnerowicz_Acc,5.3,1886,TSOI,271.52,K
Bonanza,Bytnerowicz_Acc,5.3,1887,TSOI,273.036,K
Bonanza,Bytnerowicz_Acc,5.3,1888,TSOI,274.953,K
Bonanza,Bytnerowicz_Acc,5.3,1889,TSOI,274.937,K
Bonanza,Bytnerowicz_Acc,5.3,1890,TSOI,274.32,K
Bonanza,Bytnerowicz_Acc,5.3,1891,TSOI,274.343,K
Bonanza,Bytnerowicz_Acc,5.3,1892,TSOI,275.003,K
Bonanza,Bytnerowicz_Acc,5.3,1893,TSOI,274.793,K
Bonanza,Bytnerowicz_Acc,5.3,1894,TSOI,275.465,K
Bonanza,Bytnerowicz_Acc,5.3,1895,TSOI,275.238,K
Bonanza,Bytnerowicz_Acc,5.3,1896,TSOI,276.554,K
Bonanza,Bytnerowicz_Acc,5.3,1897,TSOI,277.817,K
Bonanza,Bytnerowicz_Acc,5.3,1898,TSOI,276.36,K
Bonanza,Bytnerowicz_Acc,5.3,1899,TSOI,277.509,K
Bonanza,Bytnerowicz_Acc,5.3,1900,TSOI,277.097,K
