time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.696,260.878,0,0.194391,0,0,0.000642609,1.45717e-07,-0.000642609,0.000621962,0,3.70871e-08,0,5.10692e-17,1.38554e-08,1.76114e-06,0,4.37338e-21,2.8182e-10,1.76114e-07,4.89789,84.2214,2.65171,0.382215,77.3842,0.269969,3.09732,0.00218277,0.269969,1.55705,0.056485,8.56481,0.764523,0.00731205,7.73329,0.00674927,0.00474893,0.00642784,0.00320547,7.73329,0.00482403,1.80592,1.07537,0.000485864,0.155009,0.000674927,0.000791489,0.000269969,0.000519209,0.155009,0.102498,3.70871e-08,2.24618,0.272152
2015.1250,262.84,262.934,0,0.194391,0,0,0.000713432,1.35439e-07,-0.000713432,0.000610653,0,3.82661e-08,0,3.31377e-17,1.28261e-08,1.71817e-06,0,2.83637e-21,2.61177e-10,1.71817e-07,4.8701,84.2261,2.64128,0.409733,77.3842,0.263382,3.09232,0.00205943,0.263382,1.56205,0.0561448,8.56509,0.764547,0.00789118,7.73329,0.00658458,0.00474206,0.006271,0.00321574,7.73329,0.00479983,1.80593,1.07537,0.000524808,0.155008,0.000658458,0.000790343,0.000263382,0.000520877,0.155008,0.282551,3.82661e-08,2.22882,0.265441
2015.2083,271.469,270.9,0.389703,0.482712,0.092628,0.000558462,0.00108907,0.000895739,-0.000530605,0.000599249,2.74417e-11,4.31191e-08,5.30834e-05,2.45548e-17,-2.73095e-05,2.12301e-06,4.21734e-06,2.10177e-21,4.48204e-07,1.99699e-07,4.83787,84.222,2.63067,0.428495,77.3888,0.256743,3.08716,0.00193931,0.256743,1.56683,0.0558004,8.56501,0.764029,0.00827857,7.73368,0.0064186,0.00473493,0.00611292,0.00322552,7.73368,0.00477531,1.80595,1.07537,0.000549272,0.155021,0.00064186,0.000789155,0.000256743,0.000522468,0.155021,0.696946,4.31465e-08,2.2072,0.258682
2015.2917,283.576,281.879,2.16071,0.221473,1.31092,0.00637405,0.00230582,0.00235516,0.00406823,0.000592623,1.35899e-08,5.34406e-08,1.54807e-05,1.9378e-17,1.90161e-05,2.36806e-05,1.87896e-06,1.66413e-21,2.47306e-06,1.76127e-06,4.83873,84.194,2.62567,0.374646,77.4154,0.252838,3.08574,0.00191077,0.252838,1.56521,0.0557439,8.56337,0.761408,0.00707985,7.73591,0.00632099,0.00473294,0.00601996,0.00322214,7.73591,0.00477158,1.80597,1.0754,0.000467828,0.155094,0.000632099,0.000788823,0.000252838,0.000521929,0.155094,1.72315,6.70305e-08,2.21305,0.254749
2015.3750,292.807,290.637,2.20093,0.110909,1.73672,0.00698095,0.00301173,0.00146857,0.00396922,0.000596001,4.83421e-08,6.80761e-08,1.90144e-08,1.95455e-17,2.25179e-05,3.08462e-05,2.13051e-09,1.67914e-21,1.76441e-06,2.28172e-06,4.90768,84.2388,2.63268,0.34877,77.4196,0.254635,3.09251,0.00206687,0.254635,1.56281,0.0562546,8.56356,0.761271,0.00653099,7.73629,0.00636591,0.00474231,0.00606274,0.00321714,7.73629,0.004809,1.80598,1.07541,0.000432638,0.155104,0.000636591,0.000790385,0.000254635,0.000521128,0.155104,2.02176,1.16418e-07,2.275,0.256702
2015.4583,294.079,292.499,2.20429,0.126334,1.03176,0.00460086,0.00295601,0.00150384,0.00164485,0.000596868,3.34221e-08,7.48767e-08,5.18853e-08,4.33246e-17,2.18187e-05,1.9676e-05,7.15084e-09,3.72222e-21,1.84453e-06,1.4703e-06,4.94488,84.2668,2.63669,0.338443,77.4214,0.254996,3.09725,0.00216772,0.254996,1.56201,0.0565676,8.56383,0.761255,0.00632149,7.73647,0.00637492,0.00474894,0.00607133,0.00321547,7.73647,0.00483206,1.806,1.07541,0.000418293,0.155108,0.000637492,0.00079149,0.000254996,0.000520862,0.155108,1.40698,1.08299e-07,2.30819,0.257163
2015.5417,291.158,290.433,2.19304,0.109303,0.65473,0.00246534,0.00253116,0.00120049,-6.58196e-05,0.000594988,1.2388e-08,7.79743e-08,9.02562e-10,5.71822e-17,1.89945e-05,8.42097e-06,1.53118e-10,4.91417e-21,1.4864e-06,6.53195e-07,4.95792,84.2668,2.63743,0.326196,77.4226,0.253788,3.09978,0.00221298,0.253788,1.56017,0.0567085,8.56409,0.761488,0.00608101,7.7366,0.00634474,0.00475253,0.00604257,0.00321165,7.7366,0.00484264,1.80602,1.07543,0.000400936,0.155109,0.000634474,0.000792089,0.000253788,0.000520247,0.155109,0.853245,9.03624e-08,2.32048,0.256001
2015.6250,286.958,286.754,2.14922,0.14766,0.466718,0.00207857,0.00245609,0.00146844,-0.000377523,0.000586949,6.83927e-09,7.70859e-08,2.36062e-07,5.67083e-17,2.45015e-05,6.92635e-06,3.74538e-08,4.8749e-21,1.85354e-06,5.43714e-07,4.92984,84.2312,2.63064,0.318846,77.4234,0.249078,3.09707,0.0021391,0.249078,1.55909,0.0565185,8.56434,0.76197,0.00593702,7.73671,0.00622697,0.00474886,0.00593042,0.00320942,7.73671,0.00482915,1.80603,1.07547,0.000390116,0.15511,0.000622697,0.000791477,0.000249078,0.000519889,0.15511,0.767476,8.39251e-08,2.2992,0.251217
2015.7083,272.392,273.587,0.937653,0.126044,0.0475293,0.000329243,0.00125884,0.000605767,-0.000929594,0.000577756,3.21557e-11,7.48817e-08,1.16239e-12,5.73698e-17,1.11255e-05,1.65501e-06,4.58141e-13,4.93212e-21,7.45057e-07,1.63601e-07,4.89903,84.1983,2.62233,0.317006,77.4232,0.243714,3.09325,0.00204405,0.243714,1.55901,0.0562663,8.5646,0.7625,0.00590451,7.73672,0.00609288,0.00474361,0.00580271,0.00320922,7.73672,0.00481116,1.80605,1.0755,0.000388036,0.155108,0.000609288,0.000790602,0.000243714,0.000519862,0.155108,0.25075,7.49138e-08,2.2767,0.245758
2015.7917,264.234,265.474,0,0.0467686,0,0,0.000776657,5.34334e-05,-0.000776657,0.000567177,0,7.15876e-08,0,5.93266e-17,1.74665e-06,1.54977e-06,0,5.09779e-21,6.0358e-08,1.54977e-07,4.86728,84.1901,2.61222,0.336506,77.423,0.237568,3.08808,0.00192471,0.237568,1.56326,0.05594,8.56485,0.762684,0.00631173,7.7367,0.00593922,0.00473647,0.00565637,0.00321791,7.7367,0.00478783,1.80606,1.07551,0.000416528,0.155108,0.000593922,0.000789411,0.000237568,0.000521277,0.155108,0.131581,7.15876e-08,2.25507,0.239492
