time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.697,260.878,0,0.194413,0,0,0.000642652,1.45745e-07,-0.000642652,0.000622029,0,3.70871e-08,0,2.68663e-17,1.26282e-08,1.76136e-06,0,4.34766e-21,2.81876e-10,1.76136e-07,4.89808,84.2246,2.65189,0.38224,77.3872,0.270003,3.0975,0.00218286,0.270003,1.55711,0.0564842,-0.349356,0.405439,0.00730599,-0.821745,0.00675012,0.00474921,0.00642865,0.00316036,-0.821745,0.00482415,1.80593,1.07538,0.000485897,0.155014,0.000675012,0.000791536,0.000270003,0.000519228,0.155014,0.1025,3.70871e-08,2.24619,0.272186
2015.1250,262.84,262.934,0,0.194413,0,0,0.000713475,1.35466e-07,-0.000713475,0.000610719,0,3.82662e-08,0,1.74319e-17,1.16312e-08,1.71838e-06,0,2.81951e-21,2.61229e-10,1.71838e-07,4.87028,84.2293,2.64145,0.409761,77.3872,0.263415,3.0925,0.00205952,0.263415,1.56211,0.0561439,-0.349083,0.405462,0.00788517,-0.821745,0.00658541,0.00474234,0.00627179,0.00317063,-0.821745,0.00479995,1.80595,1.07538,0.000524846,0.155014,0.000658541,0.00079039,0.000263415,0.000520896,0.155014,0.282556,3.82662e-08,2.22883,0.265475
2015.2083,271.469,270.9,0.389761,0.482732,0.0926392,0.000558524,0.00108912,0.0008958,-0.000530595,0.000599313,1.46476e-10,4.31193e-08,5.3088e-05,1.29111e-17,-2.73138e-05,2.12323e-06,4.21771e-06,2.08917e-21,4.48207e-07,1.99721e-07,4.83805,84.2252,2.63084,0.428525,77.3918,0.256775,3.08734,0.00193939,0.256775,1.56688,0.0557995,-0.349161,0.404945,0.00827262,-0.821358,0.00641941,0.00473521,0.00611369,0.00318041,-0.821358,0.00477543,1.80597,1.07539,0.000549313,0.155027,0.000641941,0.000789202,0.000256775,0.000522487,0.155027,0.696964,4.32658e-08,2.20721,0.258715
2015.2917,283.575,281.878,2.16099,0.221468,1.31103,0.00637457,0.0023059,0.00235525,0.00406867,0.000592685,1.88308e-08,5.34411e-08,1.54784e-05,1.01655e-17,1.90123e-05,2.36819e-05,1.8788e-06,1.65414e-21,2.47309e-06,1.76138e-06,4.83892,84.1972,2.62585,0.374674,77.4184,0.252869,3.08592,0.00191082,0.252869,1.56527,0.055743,-0.350802,0.402323,0.00707384,-0.819119,0.00632176,0.00473321,0.00602069,0.00317703,-0.819119,0.0047717,1.80598,1.07541,0.000467865,0.1551,0.000632176,0.000788869,0.000252869,0.000521948,0.1551,1.72321,7.22719e-08,2.21307,0.25478
2015.3750,292.807,290.637,2.2012,0.110908,1.73676,0.00698112,0.00301175,0.00146859,0.00396937,0.000596058,5.00836e-08,6.8077e-08,1.90172e-08,1.02497e-17,2.24932e-05,3.08459e-05,2.13038e-09,1.66904e-21,1.76441e-06,2.28173e-06,4.90787,84.2421,2.63284,0.348797,77.4225,0.254664,3.09268,0.00206685,0.254664,1.56287,0.0562537,-0.350611,0.402186,0.00652497,-0.818747,0.00636662,0.00474258,0.00606342,0.00317206,-0.818747,0.00480912,1.806,1.07542,0.000432674,0.15511,0.000636662,0.000790431,0.000254664,0.000521147,0.15511,2.02178,1.18161e-07,2.27503,0.25673
2015.4583,294.079,292.499,2.20454,0.126334,1.03177,0.00460095,0.00295606,0.00150391,0.00164489,0.000596921,3.41522e-08,7.48775e-08,5.18928e-08,2.27178e-17,2.17738e-05,1.96757e-05,7.14993e-09,3.69998e-21,1.84459e-06,1.47029e-06,4.94507,84.27,2.63685,0.33847,77.4244,0.255022,3.09743,0.00216765,0.255022,1.56207,0.0565667,-0.350344,0.402169,0.00631547,-0.818566,0.00637557,0.00474921,0.00607195,0.0031704,-0.818566,0.00483218,1.80602,1.07542,0.000418329,0.155114,0.000637557,0.000791535,0.000255022,0.000520881,0.155114,1.40699,1.0903e-07,2.30822,0.257189
2015.5417,291.157,290.433,2.19327,0.109302,0.654726,0.00246532,0.0025312,0.00120054,-6.58853e-05,0.000595038,1.29502e-08,7.7975e-08,9.02477e-10,2.99919e-17,1.89498e-05,8.42045e-06,1.53058e-10,4.88531e-21,1.48644e-06,6.53168e-07,4.9581,84.2701,2.63759,0.326223,77.4255,0.253812,3.09996,0.00221287,0.253812,1.56022,0.0567076,-0.350077,0.402401,0.00607498,-0.818428,0.00634534,0.0047528,0.00604315,0.00316661,-0.818428,0.00484275,1.80603,1.07544,0.00040097,0.155115,0.000634534,0.000792134,0.000253812,0.000520267,0.155115,0.853231,9.09252e-08,2.32051,0.256025
2015.6250,286.958,286.754,2.14944,0.147659,0.466741,0.00207867,0.00245616,0.00146852,-0.000377498,0.000586997,7.88147e-09,7.70864e-08,2.36115e-07,2.97583e-17,2.44595e-05,6.92643e-06,3.74503e-08,4.84627e-21,1.85362e-06,5.43728e-07,4.93002,84.2344,2.63079,0.318872,77.4263,0.249101,3.09724,0.00213899,0.249101,1.55915,0.0565175,-0.349827,0.402882,0.00593098,-0.818322,0.00622755,0.00474913,0.00593097,0.00316438,-0.818322,0.00482925,1.80605,1.07548,0.00039015,0.155116,0.000622755,0.000791521,0.000249101,0.000519908,0.155116,0.767489,8.49679e-08,2.29923,0.25124
2015.7083,272.392,273.587,0.937746,0.126046,0.0475318,0.000329259,0.00125888,0.000605841,-0.000929624,0.000577804,5.46786e-11,7.48822e-08,1.16279e-12,3.01225e-17,1.10907e-05,1.65513e-06,4.583e-13,4.90315e-21,7.45136e-07,1.63614e-07,4.89922,84.2015,2.62249,0.317032,77.4262,0.243736,3.09342,0.00204394,0.243736,1.55907,0.0562652,-0.349573,0.40341,0.00589846,-0.818311,0.00609344,0.00474388,0.00580325,0.0031642,-0.818311,0.00481127,1.80606,1.07552,0.000388069,0.155114,0.000609344,0.000790646,0.000243736,0.000519882,0.155114,0.25075,7.49369e-08,2.27673,0.24578
2015.7917,264.234,265.474,0,0.0467703,0,0,0.000776689,5.34656e-05,-0.000776689,0.000567224,0,7.15881e-08,0,3.1156e-17,1.71957e-06,1.54991e-06,0,5.06783e-21,6.03917e-08,1.54991e-07,4.86747,84.1933,2.61237,0.336532,77.426,0.23759,3.08826,0.00192461,0.23759,1.56331,0.055939,-0.349318,0.403594,0.00630568,-0.81833,0.00593977,0.00473673,0.00565689,0.0031729,-0.81833,0.00478793,1.80608,1.07552,0.000416561,0.155114,0.000593977,0.000789455,0.00023759,0.000521297,0.155114,0.131586,7.15881e-08,2.2551,0.239514
