time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,269.216,269.334,0,0.329489,0,0,0.000567156,1.01732e-05,-0.000567156,0.000385752,0,5.20757e-08,0,2.50016e-16,5.96404e-07,1.088e-06,0,4.89693e-20,1.58286e-08,1.088e-07,3.09409,83.4104,1.62142,0.187492,79.1883,0.166782,1.91883,0.00126409,0.16824,0.940522,0.0375933,-0.279103,0.329162,0.00347465,-0.651159,0.00416957,0.00290085,0.00400571,0.001826,-0.651159,0.0032097,1.78039,1.05047,0.000241637,0.158488,0.000416957,0.000483475,0.00016824,0.000313752,0.158488,0.319921,5.20757e-08,1.47268,0.169504
1850.1250,271.391,271.399,0,0.365175,0,0,0.000691846,0.000168836,-0.000691846,0.000378735,0,5.36317e-08,4.56413e-06,2.54344e-16,-6.75572e-06,1.06145e-06,2.29533e-07,4.98148e-20,1.00984e-07,1.06145e-07,3.07365,83.4095,1.615,0.203657,79.1886,0.162712,1.91573,0.00119266,0.164135,0.943587,0.037378,-0.279137,0.328969,0.00381627,-0.651133,0.00406783,0.00289663,0.00390797,0.00183229,-0.651133,0.00319435,1.7804,1.05047,0.00026445,0.158489,0.000406783,0.000482771,0.000164135,0.000314774,0.158489,0.687085,5.36317e-08,1.45865,0.165327
1850.2083,276.427,275.614,0.521707,0.50786,0.265649,0.00105843,0.00095835,0.00138345,0.000100075,0.00037179,1.90995e-09,5.94382e-08,5.36643e-05,2.34864e-16,1.9273e-06,2.14907e-06,4.98661e-06,4.61961e-20,1.27212e-06,1.82391e-07,3.05089,83.3843,1.6086,0.186256,79.2024,0.158688,1.9126,0.00112462,0.160074,0.944767,0.0371644,-0.280438,0.327121,0.00343243,-0.64999,0.00396721,0.00289234,0.00381129,0.00183471,-0.64999,0.0031791,1.78041,1.05049,0.000233845,0.158528,0.000396721,0.000482056,0.000160074,0.000315167,0.158528,1.04646,6.13481e-08,1.44229,0.161199
1850.2917,287.662,285.975,1.31516,0.292011,1.13603,0.00415141,0.00191419,0.00185426,0.00223722,0.0003704,3.15098e-08,6.87309e-08,2.12341e-05,2.02265e-16,5.33862e-05,1.58224e-05,2.7954e-06,3.99031e-20,2.48089e-06,1.16284e-06,3.04663,83.3495,1.60756,0.159141,79.2022,0.157891,1.91224,0.00112302,0.159243,0.94157,0.0371465,-0.281514,0.326681,0.00286646,-0.650037,0.0039473,0.00289186,0.0037915,0.00182822,-0.650037,0.00317781,1.78042,1.05053,0.00019609,0.158532,0.00039473,0.000481976,0.000159243,0.000314102,0.158532,1.91441,1.00241e-07,1.43907,0.160366
1850.3750,295.151,293.75,1.3902,0.225637,1.90468,0.00583204,0.00278042,0.00190936,0.00305162,0.000383149,6.80371e-08,8.51751e-08,1.10716e-05,2.03287e-16,6.78417e-05,2.92777e-05,1.6604e-06,4.00772e-20,2.78254e-06,2.13331e-06,3.09209,83.3576,1.6203,0.139877,79.1893,0.165298,1.91913,0.00128406,0.166615,0.936328,0.0376256,-0.281871,0.327364,0.00247245,-0.65115,0.00413247,0.00290145,0.00396704,0.00181762,-0.65115,0.00321229,1.78043,1.05056,0.00017037,0.158504,0.000413247,0.000483575,0.000166615,0.000312354,0.158504,2.95227,1.53212e-07,1.47179,0.1679
1850.4583,296.366,295.508,1.48588,0.250732,1.80324,0.00554423,0.00307701,0.00203435,0.00246722,0.000401756,6.83157e-08,9.99609e-08,2.30465e-05,2.06121e-16,7.92689e-05,2.89529e-05,3.66418e-06,4.05831e-20,3.0858e-06,2.11206e-06,3.15542,83.3807,1.63887,0.125662,79.1699,0.176093,1.92918,0.00150629,0.177378,0.929683,0.038296,-0.28238,0.328097,0.00218031,-0.652757,0.00440236,0.00291551,0.00422328,0.0018042,-0.652757,0.00326061,1.78044,1.05059,0.000151694,0.158459,0.000440236,0.000485918,0.000177378,0.000310139,0.158459,2.88601,1.68277e-07,1.51655,0.178884
1850.5417,293.258,292.869,1.54909,0.209912,1.13729,0.00375177,0.00275939,0.00159622,0.000992383,0.000414006,4.01311e-08,1.07023e-07,4.61692e-06,2.14321e-16,6.30043e-05,1.76836e-05,1.03381e-06,4.20722e-20,2.41113e-06,1.30147e-06,3.19327,83.3864,1.6514,0.118739,79.1503,0.183189,1.93621,0.00164713,0.184441,0.923998,0.0387396,-0.282556,0.329234,0.00203652,-0.654359,0.00457976,0.00292545,0.00439145,0.00179278,-0.654359,0.00329263,1.78046,1.05062,0.000142951,0.158415,0.000457976,0.000487575,0.000184441,0.000308244,0.158415,1.72961,1.47154e-07,1.54187,0.186088
1850.6250,288.683,288.709,1.55803,0.206314,0.580985,0.00198477,0.00222395,0.00136718,-0.000239177,0.000415759,1.29699e-08,1.06421e-07,8.68405e-07,2.19669e-16,5.27633e-05,6.69396e-06,2.53798e-07,4.29703e-20,2.03366e-06,5.11062e-07,3.19452,83.3644,1.65379,0.116044,79.1341,0.18419,1.93796,0.00166227,0.18541,0.91976,0.038825,-0.282503,0.330589,0.00198008,-0.655682,0.00460477,0.00292812,0.00441452,0.00178431,-0.655682,0.0032989,1.78047,1.05067,0.000139588,0.158379,0.000460477,0.00048802,0.00018541,0.000306831,0.158379,1.03415,1.19391e-07,1.54073,0.187072
1850.7083,273.846,275.118,0.686863,0.204834,0.0594048,0.000328366,0.00103003,0.000678828,-0.000701659,0.00040971,2.60354e-10,1.02198e-07,6.80214e-08,2.26848e-16,2.54451e-05,1.29923e-06,2.0833e-08,4.4237e-20,9.93829e-07,1.26242e-07,3.17221,83.3315,1.64858,0.118607,79.1228,0.180666,1.93573,0.00158734,0.181855,0.91785,0.0386472,-0.282361,0.331742,0.00203202,-0.656562,0.00451667,0.00292525,0.00432989,0.00178058,-0.656562,0.00328628,1.78048,1.05071,0.000143371,0.158355,0.000451667,0.000487542,0.000181855,0.000306194,0.158355,0.454818,1.02458e-07,1.52363,0.183443
1850.7917,267.129,267.96,0,0.137613,0,0,0.00059865,9.37768e-05,-0.00059865,0.000401882,0,9.69172e-08,3.04907e-19,2.44035e-16,4.63932e-06,1.14887e-06,7.65364e-20,4.75173e-20,1.38909e-07,1.14887e-07,3.15037,83.3232,1.64158,0.133443,79.1193,0.176113,1.9325,0.00149472,0.177273,0.920098,0.0384099,-0.282188,0.332109,0.00234097,-0.656834,0.00440286,0.00292097,0.00422077,0.00178531,-0.656834,0.00326943,1.78049,1.05072,0.000165011,0.158348,0.000440286,0.000486828,0.000177273,0.000306943,0.158348,0.153081,9.69172e-08,1.50879,0.178767
1850.8750,268.359,268.782,0,0.137613,0,0,0.000589481,6.67801e-05,-0.000589481,0.00039424,0,9.21154e-08,2.72928e-34,2.55412e-16,2.614e-06,1.1199e-06,6.58119e-35,4.96865e-20,8.40324e-08,1.1199e-07,3.13028,83.3227,1.63469,0.150889,79.1183,0.171672,1.92927,0.00140746,0.172802,0.923184,0.0381773,-0.282014,0.332221,0.00270705,-0.656911,0.00429181,0.00291666,0.00411432,0.0017917,-0.656911,0.00325289,1.7805,1.05072,0.000190142,0.158346,0.000429181,0.00048611,0.000172802,0.000307972,0.158346,0.308264,9.21154e-08,1.49559,0.174209
1850.9583,266.955,267.465,0,0.137613,0,0,0.000486906,4.86777e-05,-0.000486906,0.000386665,0,8.81459e-08,7.34746e-37,2.65438e-16,1.69422e-06,1.09119e-06,1.76635e-37,5.15926e-20,5.63351e-08,1.09119e-07,3.11075,83.3231,1.62781,0.168131,79.1178,0.167272,1.926,0.00132397,0.168372,0.926355,0.0379455,-0.281841,0.332295,0.00306936,-0.656949,0.00418181,0.00291225,0.00400887,0.00179825,-0.656949,0.00323638,1.78051,1.05073,0.000214999,0.158345,0.000418181,0.000485375,0.000168372,0.000309029,0.158345,0.158215,8.81459e-08,1.48294,0.169696
1851.0417,266.704,267.218,0,0.137613,0,0,0.000446417,3.63124e-05,-0.000446417,0.000379632,0,8.42793e-08,0,2.76783e-16,1.08608e-06,1.06456e-06,0,5.37578e-20,3.78297e-08,1.06456e-07,3.09374,83.3252,1.62137,0.184418,79.1176,0.163188,1.92289,0.00124909,0.164262,0.929405,0.0377293,-0.28168,0.33234,0.00341267,-0.656967,0.00407973,0.00290803,0.00391101,0.00180452,-0.656967,0.00322096,1.78052,1.05073,0.00023845,0.158345,0.000407973,0.000484672,0.000164262,0.000310046,0.158345,0.100836,8.42793e-08,1.47238,0.165511
1851.1250,268.177,268.383,0,0.137613,0,0,0.00052731,2.72264e-05,-0.00052731,0.00037277,0,8.15079e-08,0,2.86232e-16,7.23579e-07,1.03858e-06,0,5.55543e-20,2.57458e-08,1.03858e-07,3.07667,83.3271,1.61503,0.200487,79.1175,0.159206,1.91978,0.00117851,0.160254,0.932469,0.0375173,-0.281523,0.332371,0.00375218,-0.656975,0.00398018,0.00290379,0.00381558,0.00181081,-0.656975,0.00320582,1.78053,1.05073,0.000261603,0.158345,0.000398018,0.000483965,0.000160254,0.000311067,0.158345,0.470384,8.15079e-08,1.46165,0.161433
1851.2083,271.079,271.137,0,0.260784,0,0,0.000617096,0.000399576,-0.000617096,0.000365845,0,7.95988e-08,1.00252e-05,2.89592e-16,-1.5058e-05,1.01238e-06,6.80052e-07,5.6197e-20,2.15913e-07,1.01238e-07,3.05675,83.3246,1.60858,0.21268,79.1196,0.155191,1.91657,0.00110968,0.156212,0.935536,0.0373023,-0.281522,0.33215,0.00400633,-0.656798,0.00387979,0.00289939,0.00371933,0.0018171,-0.656798,0.00319044,1.78054,1.05073,0.000278109,0.158351,0.000387979,0.000483231,0.000156212,0.000312089,0.158351,0.738902,7.95988e-08,1.44817,0.157322
1851.2917,281.992,280.407,1.04858,0.335512,0.870522,0.00329653,0.0014379,0.00172673,0.00185863,0.000362113,1.76135e-08,8.039e-08,4.55208e-05,2.50603e-16,2.17338e-05,1.02652e-05,5.00974e-06,4.89072e-20,1.87593e-06,7.6101e-07,3.04202,83.2941,1.605,0.181675,79.135,0.153043,1.91466,0.00107421,0.154038,0.935419,0.0371727,-0.283262,0.329945,0.00333139,-0.655527,0.00382609,0.00289675,0.00366758,0.00181687,-0.655527,0.00318113,1.78055,1.05075,0.000227761,0.158396,0.000382609,0.000482791,0.000154038,0.00031205,0.158396,1.63904,9.80035e-08,1.43702,0.155112
1851.3750,290.396,288.594,1.36392,0.167287,1.67902,0.00562005,0.00232896,0.00140488,0.0032911,0.000377968,6.06595e-08,8.49186e-08,5.12818e-07,2.34548e-16,4.12479e-05,2.86575e-05,1.09701e-07,4.58159e-20,1.89468e-06,2.08327e-06,3.07861,83.3008,1.61924,0.158351,79.1315,0.162317,1.92108,0.00122803,0.163288,0.932365,0.0375785,-0.283622,0.329989,0.00285041,-0.65585,0.00405795,0.00290566,0.0038878,0.0018107,-0.65585,0.00321017,1.78056,1.05077,0.000195639,0.158391,0.000405795,0.000484277,0.000163288,0.000311032,0.158391,2.23374,1.45578e-07,1.45937,0.164516
1851.4583,291.551,290.831,1.49406,0.266244,1.19966,0.00562784,0.0027365,0.00188598,0.00289134,0.000403136,7.23433e-08,8.96976e-08,3.67193e-05,2.31076e-16,6.33887e-05,3.19749e-05,4.8572e-06,4.5136e-20,2.69458e-06,2.32491e-06,3.14069,83.3378,1.6421,0.145649,79.1223,0.177009,1.93165,0.00146515,0.177955,0.929172,0.0382578,-0.28387,0.330126,0.00259051,-0.656649,0.00442524,0.00292041,0.00423702,0.0018043,-0.656649,0.00325897,1.78057,1.05077,0.000178639,0.158372,0.000442524,0.000486735,0.000177955,0.000309968,0.158372,2.23389,1.62041e-07,1.49859,0.17942
