time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,259.678,259.847,0,0.188902,0,0,0.000326404,7.66261e-08,-0.000326404,0.00123848,0,0,0,5.45817e-17,6.711e-09,nan,0,3.82289e-18,1.39145e-10,nan,10.5791,111.465,7.78917,1.3423,93.7599,0.425952,9.58014,0.0064725,0.425952,5.78408,0.0568202,9.45492,0.00235544,0.0189011,9.36495,0.0106488,0.0146833,0.0101417,0.0118888,9.36495,0.00591879,1.79499,1.03035,0.00153172,0.188036,0.00106488,0.00244721,0.000425952,0.00192843,0.188036,0.0993858,0,2.78992,0.432424
2015.1250,261.792,261.865,0,0.188902,0,0,0.000347949,6.14843e-08,-0.000347949,0.00122022,0,0,0,4.60039e-17,5.3853e-09,nan,0,3.22e-18,1.11637e-10,nan,10.5417,111.484,7.76688,1.38275,93.7599,0.415558,9.56467,0.00610678,0.415558,5.79955,0.056376,9.45529,0.00237755,0.0196662,9.36495,0.010389,0.0146619,0.00989424,0.0119205,9.36495,0.0058874,1.79501,1.03035,0.00157982,0.188036,0.0010389,0.00244366,0.000415558,0.00193358,0.188036,0.275768,0,2.77483,0.421665
2015.2083,270.884,270.341,0.651753,0.480742,0.124895,0.000718758,0.000589839,0.00104424,0.000128918,0.00120188,1.88557e-07,0,1.3858e-05,3.77876e-17,-1.80355e-05,nan,4.08684e-07,2.80872e-18,3.18013e-07,nan,10.5035,111.498,7.74427,1.41751,93.7626,0.405129,9.54882,0.00575291,0.405129,5.8142,0.055929,9.45561,0.00223353,0.0203192,9.36518,0.0101282,0.0146399,0.00964594,0.0119505,9.36518,0.00585572,1.79504,1.03035,0.00162036,0.188043,0.00101282,0.00243999,0.000405129,0.00193847,0.188043,0.686402,1.88557e-07,2.75924,0.410882
2015.2917,282.3,280.7,3.6466,0.208902,1.67908,0.00812171,0.00238594,0.00382142,0.00573577,0.00120159,4.70891e-06,0,7.69188e-06,1.51485e-17,1.65322e-05,nan,3.5088e-07,2.33143e-18,2.84351e-06,nan,10.5293,111.489,7.74882,1.36358,93.7891,0.404756,9.5552,0.00592282,0.404756,5.80715,0.0560933,9.45547,0.000846882,0.0191559,9.36744,0.0101189,0.0146486,0.00963704,0.0119359,9.36744,0.005868,1.79506,1.03035,0.00155255,0.188114,0.00101189,0.00244144,0.000404756,0.00193612,0.188114,1.9065,4.70891e-06,2.78044,0.410679
2015.3750,292.164,289.973,3.76705,0.106534,1.45219,0.00576095,0.00215422,0.00230793,0.00360673,0.00121994,4.88675e-06,0,1.18399e-08,1.15881e-17,1.85278e-05,nan,9.73308e-10,2.34684e-18,1.98916e-06,nan,10.6185,111.546,7.7819,1.32988,93.7984,0.414722,9.58524,0.00660633,0.414722,5.7996,0.0569116,9.45596,0.000373419,0.0184679,9.36829,0.0103681,0.0146903,0.00987434,0.0119203,9.36829,0.00592776,1.79508,1.03033,0.00151261,0.188136,0.00103681,0.00244838,0.000414722,0.0019336,0.188136,1.68325,4.88675e-06,2.83656,0.421329
2015.4583,293.709,292.224,3.75473,0.122043,0.838841,0.003644,0.00188953,0.00264355,0.00175447,0.00121821,3.9949e-06,0,4.45208e-08,1.47778e-17,2.00498e-05,nan,3.78491e-09,3.17839e-18,2.31935e-06,nan,10.6344,111.548,7.78464,1.31357,93.8044,0.413521,9.59035,0.00669261,0.413521,5.79556,0.0570191,9.45648,0.000518189,0.0181635,9.36887,0.010338,0.0146976,0.00984574,0.011912,9.36887,0.00593613,1.7951,1.03036,0.00149319,0.188149,0.0010338,0.0024496,0.000413521,0.00193225,0.188149,1.17886,3.9949e-06,2.84977,0.420214
2015.5417,291.152,290.447,3.72727,0.10421,0.442997,0.00142112,0.00136716,0.00210348,5.39668e-05,0.00121382,2.27767e-06,0,1.19721e-10,2.13522e-17,1.90234e-05,nan,1.42612e-11,3.30963e-18,1.89121e-06,nan,10.6404,111.533,7.78335,1.29386,93.8097,0.410839,9.59215,0.00669853,0.410839,5.78885,0.0570355,9.45697,0.00081639,0.0178188,9.3694,0.010271,0.0147004,0.00978189,0.0118982,9.3694,0.00593793,1.79513,1.03039,0.00146994,0.18816,0.0010271,0.00245006,0.000410839,0.00193002,0.18816,0.600023,2.27767e-06,2.85708,0.417538
2015.6250,286.834,286.678,3.64802,0.141328,0.523138,0.00226019,0.00165247,0.00271018,0.000607714,0.00120027,1.99485e-06,0,5.94448e-07,3.31622e-17,2.59145e-05,nan,4.17066e-08,3.27113e-18,2.49594e-06,nan,10.6147,111.49,7.76783,1.27866,93.8136,0.403081,9.58205,0.00644098,0.403081,5.7834,0.0567219,9.45738,0.00139738,0.0175539,9.36982,0.010077,0.0146866,0.00959717,0.0118869,9.36982,0.00591568,1.79515,1.03045,0.0014522,0.188166,0.0010077,0.00244776,0.000403081,0.0019282,0.188166,0.785778,1.99485e-06,2.84683,0.409522
2015.7083,272.621,273.856,1.71861,0.121074,0.0530277,0.000349243,0.000726767,0.00110515,-0.000377524,0.00118616,3.38272e-07,0,1.76528e-11,5.03476e-17,1.28604e-05,nan,2.22096e-12,3.3145e-18,1.02702e-06,nan,10.5872,111.457,7.75118,1.27251,93.8158,0.395021,9.57087,0.0061717,0.395021,5.78167,0.0563905,9.45779,0.0019895,0.0174545,9.37007,0.00987552,0.0146712,0.00940526,0.0118833,9.37007,0.00589212,1.79517,1.03049,0.00144555,0.188169,0.000987552,0.0024452,0.000395021,0.00192762,0.188169,0.238576,3.38272e-07,2.83606,0.401192
2015.7917,264.114,265.372,0,0.0473659,0,0,0.000417448,9.46244e-05,-0.000417448,0.00116861,0,0,0,5.88781e-17,2.20644e-06,nan,0,3.42676e-18,9.12367e-08,nan,10.5489,111.46,7.72896,1.30057,93.816,0.385065,9.55491,0.0058117,0.385065,5.79435,0.0559584,9.45815,0.00221562,0.0179742,9.37009,0.00962663,0.014649,0.00916822,0.0119093,9.37009,0.00586134,1.79519,1.03051,0.00147961,0.18817,0.000962663,0.00244151,0.000385065,0.00193185,0.18817,0.131804,0,2.81997,0.390877
