time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.059,273.108,0,0.368555,0,0,0.000527254,0.000470475,-0.000527254,0.000233339,0,5.48787e-08,1.75819e-06,3.05347e-07,7.54989e-06,0,5.70762e-08,2.73462e-09,4.24126e-07,0,5.18844,25.66,2.55407,0.303592,19.1332,0,2.9788,0.00185874,0,1.03479,0.0757002,1.99494,0.000931741,0.0068822,1.90929,0,0.00457037,0,0.00213461,1.90929,0.00431805,2.88204,1.53521,0.000340701,0.0384542,0,0.000761729,0,0.000344931,0.0384542,0.399201,5.48787e-08,2.63437,0.00185874
2015.1250,275.45,275.154,0,0.363321,0,0,0.000701218,0.001356,-0.000701218,0.000232868,0,5.40008e-08,6.50634e-06,1.16012e-06,1.44433e-05,0,2.89477e-07,8.25487e-09,1.19434e-06,0,5.16145,25.6167,2.54892,0.277389,19.1395,0,2.97278,0.00175301,0,1.03843,0.0755474,1.99488,0.00114734,0.00620137,1.90984,0,0.00456183,0,0.00214202,1.90984,0.00430934,2.88204,1.53523,0.000309283,0.0384707,0,0.000760305,0,0.000346143,0.0384707,0.506791,5.40008e-08,2.61254,0.00175301
2015.2083,283.215,282.201,0,0.179614,0,0,0.000934075,0.00148628,-0.000934075,0.000232382,0,5.84206e-08,1.29081e-05,2.09749e-06,2.93649e-05,0,8.04888e-07,1.29945e-08,1.69945e-06,0,5.12619,25.5476,2.5436,0.237231,19.1447,0,2.96658,0.00164994,0,1.03948,0.0753897,1.99458,0.00152842,0.00517454,1.91034,0,0.00455297,0,0.00214408,1.91034,0.00430034,2.88204,1.53528,0.000261163,0.0384821,0,0.000758828,0,0.000346494,0.0384821,0.992728,5.84206e-08,2.58259,0.00164994
2015.2917,292.395,290.556,1.03936,0.154398,0.810803,0.00274168,0.00224394,0.00162503,0.000497749,0.000233267,1.11554e-07,6.6704e-08,2.39537e-05,1.31857e-06,4.61908e-05,2.32681e-05,1.87318e-06,6.8635e-09,2.23389e-06,1.11992e-06,5.0977,25.4824,2.54962,0.204132,19.1419,0.0330486,3.00881,0.00264962,0.0330486,1.03867,0.0754549,1.99399,0.00185857,0.00434375,1.91019,0.00132194,0.00461128,0.000786871,0.00214232,1.91019,0.00430206,2.88204,1.53533,0.000222318,0.0384704,6.60972e-05,0.000768546,3.30486e-05,0.000346223,0.0384704,1.83619,1.78258e-07,2.54807,0.0356982
2015.3750,295.281,293.865,1.95356,0.15043,1.55697,0.00519142,0.00314219,0.00152925,0.00204923,0.000239543,2.66458e-07,8.12449e-08,2.40828e-05,5.60539e-07,5.50072e-05,4.72931e-05,1.97768e-06,4.43049e-09,2.33968e-06,2.28317e-06,5.12861,25.4758,2.60025,0.179131,19.1318,0.0612137,3.0439,0.00340979,0.0612137,1.03626,0.0764864,1.9932,0.00142994,0.00371962,1.90942,0.00244855,0.00466019,0.00145747,0.00213748,1.90942,0.00435042,2.88204,1.53534,0.00019335,0.0384391,0.000122427,0.000776698,6.12137e-05,0.00034542,0.0384391,2.57553,3.47702e-07,2.52836,0.0646235
2015.4583,298.137,296.837,1.95014,0.172318,1.47333,0.00529257,0.00325001,0.00159654,0.00204256,0.000246315,4.56761e-07,9.5557e-08,2.53404e-05,2.71698e-07,6.58254e-05,4.83059e-05,2.00568e-06,5.17752e-09,2.54458e-06,2.3327e-06,5.18077,25.4911,2.65498,0.160982,19.1167,0.0611129,3.03759,0.00321024,0.0611129,1.03265,0.0778081,1.9924,0.000992292,0.00326856,1.9082,0.00244452,0.00465181,0.00145507,0.00213018,1.9082,0.00441287,2.88204,1.53534,0.000172568,0.0383956,0.000122226,0.000775301,6.11129e-05,0.000344218,0.0383956,2.94093,5.52318e-07,2.52579,0.0643232
2015.5417,297.599,296.853,1.94575,0.162692,1.41964,0.00442782,0.00295445,0.00146809,0.00147336,0.000251731,4.06232e-07,1.05624e-07,2.39773e-05,3.60077e-07,6.56092e-05,3.94027e-05,1.83676e-06,9.48682e-09,2.34496e-06,1.90125e-06,5.22546,25.4981,2.69848,0.146545,19.0981,0.0609833,3.03114,0.00301853,0.0609833,1.02796,0.0790295,1.99162,0.00092079,0.00291192,1.90663,0.00243933,0.00464317,0.00145198,0.00212061,1.90663,0.00447045,2.88204,1.53535,0.000156213,0.0383449,0.000121967,0.000773863,6.09833e-05,0.000342656,0.0383449,2.39554,5.11856e-07,2.52698,0.0640019
2015.6250,291.776,291.962,1.94143,0.156366,0.956204,0.00349299,0.00231487,0.00115607,0.00117813,0.000255282,1.96491e-07,1.09334e-07,1.7843e-05,4.0022e-07,5.33746e-05,3.04208e-05,1.46598e-06,6.63355e-09,1.81488e-06,1.46612e-06,5.25466,25.4981,2.72657,0.136804,19.0819,0.0608561,3.02482,0.00284106,0.0608561,1.02477,0.0799137,1.99097,0.0010521,0.00267322,1.90522,0.00243424,0.00463463,0.00144895,0.00211411,1.90522,0.00451171,2.88204,1.53536,0.000145317,0.0383026,0.000121712,0.000772438,6.08561e-05,0.000341592,0.0383026,1.80525,3.05825e-07,2.52809,0.0636971
2015.7083,285.57,286.391,1.88043,0.18017,0.459894,0.0023374,0.00176916,0.000977228,0.000568241,0.000257583,7.54125e-08,1.09069e-07,1.6012e-05,1.01785e-06,4.59785e-05,1.95024e-05,1.11585e-06,1.67881e-08,1.51153e-06,9.37505e-07,5.27184,25.4933,2.74432,0.129921,19.0684,0.0607291,3.01851,0.00267408,0.0607291,1.02313,0.0805227,1.9903,0.00114963,0.00250534,1.90401,0.00242916,0.00462603,0.00144593,0.00211076,1.90401,0.00453965,2.88204,1.53537,0.000137686,0.0382687,0.000121458,0.000771005,6.07291e-05,0.000341044,0.0382687,1.11826,1.84482e-07,2.52751,0.0634031
2015.7917,280.614,281.651,0.970015,0.168031,0.131719,0.000855012,0.00111817,0.00186333,-0.000263162,0.0042945,1.73774e-08,1.05433e-07,1.61524e-05,6.5775e-07,-1.28369e-05,3.36902e-05,1.12619e-06,9.45933e-09,3.19633e-07,1.67197e-06,5.20741,25.5214,2.72061,0.217504,19.0733,0.0306587,3.01221,0.00251686,0.0306587,1.02314,0.0792562,1.99125,0.000816755,0.00470828,1.90436,0.00122565,0.00461739,0.000729969,0.00211081,1.90436,0.00448014,2.88211,1.53538,0.000238349,0.0382858,6.12831e-05,0.000769564,3.06587e-05,0.000341049,0.0382858,0.492146,1.2281e-07,2.4868,0.0331756
2015.8750,274.65,275.665,0,0.1974,0,0,0.00053895,0.0014018,-0.00053895,0.000249834,0,1.01091e-07,2.69814e-06,2.87971e-07,1.25066e-05,0,1.18072e-07,7.08551e-09,9.84081e-07,0,5.11962,25.5124,2.68572,0.268517,19.0997,0,3.00592,0.00236893,0,1.02458,0.0776015,1.99258,0.000363179,0.00597214,1.90653,0,0.0046087,0,0.00211378,1.90653,0.00440207,2.88218,1.53539,0.000297034,0.0383601,0,0.000768117,0,0.000341528,0.0383601,0.373715,1.01091e-07,2.4339,0.00236893
2015.9583,275.352,276.172,0,0.145004,0,0,0.000455813,0.00116574,-0.000455813,0.000249304,0,9.66785e-08,5.34833e-06,2.99886e-07,1.96756e-05,0,2.91249e-07,4.86823e-09,1.1264e-06,0,5.09402,25.4582,2.68002,0.231049,19.1065,0,2.99955,0.00222746,0,1.02659,0.0774369,1.99248,0.000790095,0.00502839,1.90711,0,0.00459984,0,0.00211789,1.90711,0.00439273,2.88218,1.53543,0.000253492,0.0383786,0,0.000766639,0,0.000342198,0.0383786,0.368121,9.66785e-08,2.41399,0.00222746
2016.0417,275.253,275.988,0,0.137061,0,0,0.000480276,0.000964332,-0.000480276,0.000248801,0,9.37702e-08,3.59603e-06,4.32277e-07,2.172e-05,0,3.21778e-07,3.38878e-09,1.08371e-06,0,5.07136,25.4149,2.67461,0.206787,19.1082,2.88892e-05,2.99352,0.00210121,2.88892e-05,1.02859,0.0772806,1.99242,0.00133342,0.00442238,1.90726,1.15557e-06,0.0045914,6.87839e-07,0.00212198,1.90726,0.00438386,2.88218,1.53546,0.000225447,0.0383826,5.77785e-08,0.000765233,2.88892e-08,0.000342864,0.0383826,0.751615,9.37702e-08,2.39674,0.0021301
2016.1250,275.366,275.439,1.06133,0.271047,0.294164,0.00136894,0.00108034,0.000881999,0.000288593,0.00024848,1.1396e-08,9.19899e-08,1.30193e-05,1.51349e-06,2.4875e-05,1.20883e-05,8.09438e-07,1.1046e-08,1.11596e-06,5.83727e-07,5.0502,25.377,2.67072,0.189268,19.1069,0.0767539,3.05474,0.00349912,0.0767539,1.03066,0.0771789,1.99199,0.00153916,0.00398659,1.90716,0.00307016,0.00467627,0.00182747,0.00212627,1.90716,0.00437763,2.88218,1.53549,0.000205382,0.0383786,0.000153508,0.000779378,7.67539e-05,0.000343553,0.0383786,0.94928,1.03386e-07,2.37948,0.080253
2016.2083,285.811,284.821,3.71395,0.152617,1.22552,0.00550876,0.00243713,0.00110047,0.00307163,0.000251322,1.36104e-07,9.29803e-08,1.34654e-05,7.74806e-07,3.70044e-05,4.93163e-05,1.05978e-06,8.84015e-09,1.54247e-06,2.38444e-06,5.09754,25.4043,2.693,0.172814,19.1023,0.110609,3.07818,0.00395177,0.110609,1.03174,0.0780467,1.99155,0.00102029,0.00357512,1.90678,0.00442438,0.00470932,0.00263356,0.00212873,1.90678,0.00441822,2.88218,1.53548,0.000186445,0.0383653,0.000221219,0.000784887,0.000110609,0.000343913,0.0383653,1.88816,2.29084e-07,2.40455,0.114561
2016.2917,288.816,287.838,3.70531,0.16237,1.58756,0.00742836,0.00297703,0.0011287,0.00445133,0.000256344,6.28763e-06,9.68964e-08,5.73088e-06,5.6703e-08,4.46506e-05,6.72031e-05,4.36781e-07,4.46103e-09,1.70119e-06,3.33576e-06,5.20001,25.4841,2.73336,0.15866,19.094,0.110379,3.07176,0.0037195,0.110379,1.03153,0.0796514,1.99131,0.000216459,0.00322214,1.90609,0.00441514,0.00470099,0.00262806,0.00212851,1.90609,0.00449483,2.88218,1.53544,0.000170291,0.0383424,0.000220757,0.000783498,0.000110379,0.000343844,0.0383424,2.49182,6.38452e-06,2.46665,0.114098
2016.3750,294.797,293.31,3.69669,0.1541,2.21091,0.00767479,0.00343141,0.00126533,0.00424338,0.000262231,1.37419e-05,1.0269e-07,9.93741e-07,1.15683e-09,5.40464e-05,6.80741e-05,6.71732e-08,3.89619e-09,1.95042e-06,3.39316e-06,5.32338,25.5824,2.78088,0.147514,19.0816,0.110148,3.06535,0.00350082,0.110148,1.0299,0.0815585,1.99168,3.25444e-05,0.00293643,1.90503,0.00440593,0.00469258,0.00262258,0.00212533,1.90503,0.00459029,2.88218,1.53539,0.000157629,0.0383093,0.000220296,0.000782097,0.000110148,0.000343302,0.0383093,3.06247,1.38446e-05,2.5425,0.113649
2016.4583,298.732,296.967,3.6881,0.123924,2.54086,0.00716069,0.00363874,0.00123279,0.00352195,0.00026738,9.41005e-06,1.09922e-07,1.72212e-06,5.88841e-09,5.4743e-05,6.32328e-05,1.18873e-07,2.777e-09,1.89317e-06,3.07726e-06,5.42817,25.6594,2.82229,0.136944,19.0672,0.109918,3.05895,0.00329506,0.109918,1.02711,0.0833663,1.99202,7.95488e-05,0.00267816,1.90377,0.00439674,0.00468412,0.0026171,0.0021197,1.90377,0.00467738,2.88218,1.53535,0.000145698,0.038272,0.000219837,0.000780686,0.000109918,0.00034237,0.038272,3.19495,9.51997e-06,2.60588,0.113213
