time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.059,273.108,0,0.368555,0,0,0.000527239,0.000470439,-0.000527239,0.00023333,0,5.48787e-08,1.75801e-06,3.05286e-07,7.55004e-06,0,5.7069e-08,2.73463e-09,4.24097e-07,0,5.18825,25.6597,2.55398,0.303554,19.1332,0,2.97869,0.00185868,0,1.03476,0.0756996,1.99494,0.000931631,0.00688131,1.90929,0,0.00457021,0,0.00213456,1.90929,0.00431827,2.88204,1.53521,0.000340661,0.0384542,0,0.000761702,0,0.000344922,0.0384542,0.399201,5.48787e-08,2.63428,0.00185868
2015.1250,275.45,275.154,0,0.363322,0,0,0.000701199,0.00135591,-0.000701199,0.000232859,0,5.40008e-08,6.50593e-06,1.15997e-06,1.44431e-05,0,2.89453e-07,8.25489e-09,1.19427e-06,0,5.16127,25.6165,2.54882,0.277353,19.1395,0,2.97268,0.00175295,0,1.0384,0.0755468,1.99488,0.00114724,0.00620052,1.90984,0,0.00456167,0,0.00214196,1.90984,0.00430955,2.88204,1.53523,0.000309244,0.0384707,0,0.000760278,0,0.000346134,0.0384707,0.506791,5.40008e-08,2.61245,0.00175295
2015.2083,283.215,282.201,0,0.179614,0,0,0.000934048,0.00148617,-0.000934048,0.000232373,0,5.84206e-08,1.29069e-05,2.0973e-06,2.9364e-05,0,8.04821e-07,1.29945e-08,1.6993e-06,0,5.12601,25.5473,2.5435,0.237199,19.1447,0,2.96648,0.00164989,0,1.03945,0.0753891,1.99458,0.00152834,0.00517376,1.91034,0,0.00455281,0,0.00214402,1.91034,0.00430056,2.88204,1.53528,0.000261127,0.0384821,0,0.000758801,0,0.000346485,0.0384821,0.992728,5.84206e-08,2.5825,0.00164989
2015.2917,292.395,290.556,1.03922,0.154398,0.810734,0.00274144,0.00224382,0.0016249,0.000497618,0.000233258,9.82391e-08,6.67038e-08,2.3951e-05,1.31846e-06,4.61893e-05,2.32657e-05,1.87297e-06,6.86353e-09,2.2337e-06,1.1198e-06,5.09751,25.4821,2.54953,0.204102,19.1419,0.0330444,3.00871,0.00264957,0.0330444,1.03864,0.0754542,1.99399,0.0018584,0.00434305,1.91019,0.00132178,0.00461111,0.000786771,0.00214227,1.91019,0.00430227,2.88204,1.53533,0.000222286,0.0384704,6.60887e-05,0.000768519,3.30444e-05,0.000346214,0.0384704,1.83614,1.64943e-07,2.54798,0.0356939
2015.3750,295.281,293.865,1.95329,0.15043,1.55684,0.00519093,0.00314202,0.00152914,0.00204891,0.000239533,2.31878e-07,8.12439e-08,2.40762e-05,5.60271e-07,5.50056e-05,4.72882e-05,1.97707e-06,4.43062e-09,2.33951e-06,2.28293e-06,5.12841,25.4756,2.60015,0.179104,19.1318,0.0612059,3.04379,0.00340974,0.0612059,1.03623,0.0764856,1.9932,0.00142935,0.00371899,1.90943,0.00244824,0.00466003,0.00145728,0.00213743,1.90943,0.00435063,2.88204,1.53534,0.000193321,0.0384391,0.000122412,0.000776672,6.12059e-05,0.000345411,0.0384391,2.57544,3.13122e-07,2.52827,0.0646156
2015.4583,298.137,296.837,1.94988,0.172318,1.47319,0.00529204,0.00324984,0.00159642,0.0020422,0.000246305,3.86101e-07,9.55555e-08,2.53096e-05,2.71083e-07,6.58232e-05,4.83007e-05,2.00333e-06,5.1778e-09,2.5444e-06,2.33245e-06,5.18057,25.4909,2.65488,0.160958,19.1167,0.0611051,3.03748,0.0032102,0.0611051,1.03262,0.0778072,1.9924,0.000990718,0.003268,1.9082,0.00244421,0.00465165,0.00145488,0.00213012,1.9082,0.00441307,2.88204,1.53534,0.000172542,0.0383956,0.00012221,0.000775275,6.11051e-05,0.000344209,0.0383956,2.94084,4.81656e-07,2.52569,0.0643153
2015.5417,297.599,296.853,1.94548,0.162692,1.41951,0.00442737,0.00295429,0.00146799,0.00147309,0.000251721,3.58688e-07,1.05622e-07,2.39348e-05,3.58808e-07,6.56069e-05,3.93984e-05,1.83333e-06,9.48715e-09,2.3448e-06,1.90104e-06,5.22524,25.4979,2.69838,0.146524,19.0982,0.0609755,3.03104,0.00301849,0.0609755,1.02794,0.0790284,1.99161,0.000918674,0.00291142,1.90663,0.00243902,0.00464301,0.0014518,0.00212056,1.90663,0.00447064,2.88204,1.53535,0.00015619,0.0383449,0.000121951,0.000773836,6.09755e-05,0.000342647,0.0383449,2.39546,4.6431e-07,2.52687,0.063994
2015.6250,291.776,291.962,1.94117,0.156366,0.956117,0.00349264,0.00231473,0.00115599,0.00117792,0.000255272,1.96172e-07,1.09332e-07,1.78315e-05,3.99153e-07,5.33726e-05,3.04175e-05,1.46456e-06,6.63373e-09,1.81476e-06,1.46596e-06,5.25444,25.4979,2.72647,0.136784,19.0819,0.0608483,3.02471,0.00284102,0.0608483,1.02475,0.0799125,1.99097,0.00105046,0.00267277,1.90522,0.00243393,0.00463447,0.00144877,0.00211405,1.90522,0.00451189,2.88204,1.53536,0.000145297,0.0383026,0.000121697,0.000772411,6.08483e-05,0.000341584,0.0383026,1.80519,3.05503e-07,2.52797,0.0636893
2015.7083,285.57,286.391,1.88017,0.18017,0.459852,0.00233718,0.00176905,0.000977156,0.000568134,0.000257573,8.26387e-08,1.09067e-07,1.60028e-05,1.0165e-06,4.59767e-05,1.95005e-05,1.11512e-06,1.67883e-08,1.51143e-06,9.3741e-07,5.27161,25.493,2.74422,0.129903,19.0684,0.0607213,3.0184,0.00267404,0.0607213,1.0231,0.0805214,1.9903,0.00114888,0.00250492,1.90401,0.00242885,0.00462587,0.00144575,0.0021107,1.90401,0.00453982,2.88204,1.53537,0.000137667,0.0382687,0.000121443,0.000770978,6.07213e-05,0.000341035,0.0382687,1.11822,1.91706e-07,2.52739,0.0633953
2015.7917,280.614,281.651,0.969885,0.168032,0.131708,0.000854929,0.0011181,0.00186315,-0.000263173,0.00429397,2.04491e-08,1.05431e-07,1.61478e-05,6.57332e-07,-1.28328e-05,3.36862e-05,1.12582e-06,9.45939e-09,3.1966e-07,1.67176e-06,5.20719,25.5211,2.72051,0.217475,19.0734,0.0306548,3.0121,0.00251682,0.0306548,1.02312,0.0792551,1.99125,0.000816482,0.00470759,1.90436,0.0012255,0.00461723,0.000729876,0.00211075,1.90436,0.00448033,2.88211,1.53538,0.000238317,0.0382858,6.12752e-05,0.000769538,3.06548e-05,0.00034104,0.0382858,0.492139,1.2588e-07,2.48668,0.0331716
2015.8750,274.65,275.665,0,0.197399,0,0,0.000538924,0.00140165,-0.000538924,0.000249825,0,1.01089e-07,2.69823e-06,2.87819e-07,1.25077e-05,0,1.18073e-07,7.08552e-09,9.84038e-07,0,5.11941,25.5122,2.68562,0.268481,19.0997,0,3.00582,0.00236889,0,1.02456,0.0776006,1.99258,0.000363104,0.00597129,1.90653,0,0.00460854,0,0.00211372,1.90653,0.00440226,2.88218,1.53539,0.000296994,0.0383601,0,0.00076809,0,0.00034152,0.0383601,0.373715,1.01089e-07,2.43378,0.00236889
2015.9583,275.352,276.172,0,0.145005,0,0,0.000455791,0.00116563,-0.000455791,0.000249295,0,9.66769e-08,5.3477e-06,2.99813e-07,1.96756e-05,0,2.91215e-07,4.86823e-09,1.12633e-06,0,5.09381,25.4579,2.67993,0.231018,19.1065,0,2.99944,0.00222742,0,1.02656,0.077436,1.99248,0.000790039,0.00502766,1.90711,0,0.00459968,0,0.00211784,1.90711,0.00439292,2.88218,1.53543,0.000253458,0.0383786,0,0.000766613,0,0.000342189,0.0383786,0.368122,9.66769e-08,2.41388,0.00222742
2016.0417,275.253,275.988,0,0.137061,0,0,0.000480253,0.000964241,-0.000480253,0.000248792,0,9.37687e-08,3.59519e-06,4.32251e-07,2.17196e-05,0,3.21725e-07,3.38879e-09,1.08365e-06,0,5.07115,25.4147,2.67452,0.206759,19.1082,2.88872e-05,2.99341,0.00210118,2.88872e-05,1.02856,0.0772797,1.99242,0.00133338,0.00442174,1.90726,1.15549e-06,0.00459124,6.87791e-07,0.00212192,1.90726,0.00438405,2.88218,1.53546,0.000225418,0.0383826,5.77744e-08,0.000765207,2.88872e-08,0.000342855,0.0383826,0.751615,9.37687e-08,2.39663,0.00213006
2016.1250,275.366,275.439,1.06125,0.271045,0.294152,0.00136889,0.00108034,0.000881921,0.000288544,0.000248471,1.85066e-08,9.19885e-08,1.30182e-05,1.51349e-06,2.48744e-05,1.20887e-05,8.09438e-07,1.1046e-08,1.11589e-06,5.83729e-07,5.04999,25.3768,2.67062,0.189244,19.1069,0.0767485,3.05463,0.00349908,0.0767485,1.03063,0.077178,1.99199,0.00153915,0.00398602,1.90716,0.00306994,0.00467611,0.00182735,0.00212622,1.90716,0.00437783,2.88218,1.53549,0.000205355,0.0383786,0.000153497,0.000779352,7.67485e-05,0.000343544,0.0383786,0.949275,1.10495e-07,2.37937,0.0802476
2016.2083,285.811,284.821,3.71366,0.152618,1.22547,0.00550854,0.0024372,0.00110039,0.00307134,0.000251313,1.40535e-07,9.29789e-08,1.34655e-05,7.7499e-07,3.70033e-05,4.93168e-05,1.05986e-06,8.84018e-09,1.54238e-06,2.38444e-06,5.09733,25.4041,2.69291,0.172792,19.1023,0.110602,3.07808,0.00395173,0.110602,1.03171,0.0780458,1.99155,0.00102049,0.0035746,1.90678,0.00442407,0.00470916,0.00263337,0.00212867,1.90678,0.00441841,2.88218,1.53548,0.000186421,0.0383653,0.000221203,0.000784861,0.000110602,0.000343904,0.0383653,1.88812,2.33514e-07,2.40442,0.114553
2016.2917,288.816,287.839,3.70502,0.16237,1.58751,0.00742812,0.0029793,0.0011281,0.00444882,0.000256337,6.1761e-06,9.6895e-08,5.71755e-06,5.66663e-08,4.46921e-05,6.71541e-05,4.35857e-07,4.46111e-09,1.70129e-06,3.33578e-06,5.19977,25.4839,2.73328,0.158647,19.094,0.110371,3.07166,0.00371947,0.110371,1.0315,0.0796503,1.99131,0.000216037,0.0032218,1.90609,0.00441483,0.00470083,0.00262788,0.00212846,1.90609,0.00449502,2.88218,1.53544,0.000170278,0.0383423,0.000220742,0.000783472,0.000110371,0.000343835,0.0383423,2.49178,6.273e-06,2.46649,0.11409
2016.3750,294.797,293.31,3.6964,0.1541,2.21083,0.00767452,0.00343365,0.00126536,0.00424087,0.000262223,1.35394e-05,1.02689e-07,9.24146e-07,1.05507e-09,5.40384e-05,6.80151e-05,6.21138e-08,3.89628e-09,1.95024e-06,3.39317e-06,5.32306,25.582,2.7808,0.147533,19.0815,0.110141,3.06525,0.00350078,0.110141,1.02988,0.0815553,1.99167,3.04934e-05,0.00293663,1.90502,0.00440562,0.00469243,0.00262239,0.00212527,1.90502,0.00459048,2.88218,1.53539,0.000157651,0.0383093,0.000220281,0.000782071,0.000110141,0.000343293,0.0383093,3.06241,1.36421e-05,2.54226,0.113641
