time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,278.15,278.014,0.466855,0.238002,0.0778888,0.000489322,0.000712539,0.000859424,-0.000223217,0.000142859,8.77558e-09,5.73552e-08,9.90669e-06,7.26392e-06,2.22102e-05,3.09019e-06,8.77767e-07,2.06944e-08,1.00771e-06,1.46091e-07,3.14131,23.3753,1.55107,0.152948,19.3165,0.0220299,1.79312,0.00164231,0.0220299,0.764531,0.0544162,1.99065,0.00229177,0.00327529,1.92909,0.000881197,0.0027477,0.000524522,0.00157342,1.92909,0.00294955,2.85349,1.51091,0.000166717,0.0387526,4.40599e-05,0.00045795,2.20299e-05,0.000254844,0.0387526,0.901866,6.61308e-08,1.59024,0.0236722
1850.1250,281.668,281.464,1.29058,0.187534,0.440135,0.00174569,0.00119125,0.000819629,0.000554437,0.000143845,4.42235e-08,7.08087e-08,1.07694e-05,5.58496e-06,2.72383e-05,1.42253e-05,1.01934e-06,1.7611e-08,1.11522e-06,6.83577e-07,3.13942,23.3549,1.55856,0.136249,19.314,0.0489325,1.82263,0.00228437,0.0489325,0.765247,0.0545809,1.99014,0.00224618,0.00285567,1.92888,0.0019573,0.00278882,0.00116506,0.00157501,1.92888,0.00295674,2.85349,1.51093,0.00014748,0.0387459,9.7865e-05,0.000464803,4.89325e-05,0.000255083,0.0387459,1.349,1.15032e-07,1.58086,0.0512169
1850.2083,290.874,289.387,1.54746,0.150714,0.844229,0.00241809,0.0016403,0.00089466,0.00077779,0.000145767,8.85753e-08,8.24339e-08,9.05396e-06,2.50315e-06,3.58062e-05,1.98295e-05,1.10838e-06,7.84803e-09,1.35717e-06,9.54877e-07,3.1504,23.3469,1.57384,0.122744,19.3083,0.0490912,1.81915,0.00215706,0.0490912,0.765441,0.0549614,1.98972,0.00227842,0.00251653,1.92839,0.00196365,0.00278431,0.00116884,0.00157554,1.92839,0.00297435,2.85349,1.51094,0.000131985,0.0387306,9.81824e-05,0.000464051,4.90912e-05,0.000255148,0.0387306,1.89242,1.71009e-07,1.57656,0.0512483
1850.2917,296.302,294.472,1.54407,0.130039,1.31603,0.00280415,0.0018693,0.000924358,0.000934849,0.000148423,1.35855e-07,9.40522e-08,6.15833e-06,1.39072e-06,4.25419e-05,2.33472e-05,8.16189e-07,4.21807e-09,1.49498e-06,1.12563e-06,3.17221,23.3475,1.59524,0.111583,19.299,0.0489888,1.81535,0.00203028,0.0489888,0.764717,0.0555379,1.98928,0.00235049,0.00223706,1.92758,0.00195955,0.00277931,0.0011664,0.00157415,1.92758,0.00300146,2.85349,1.51095,0.000119273,0.038706,9.79775e-05,0.000463218,4.89888e-05,0.000254906,0.038706,2.0765,2.29907e-07,1.57696,0.051019
1850.3750,299.683,298.191,1.54069,0.169681,1.26384,0.00332196,0.00216032,0.00106297,0.00116165,0.000151303,1.9849e-07,1.05275e-07,2.30441e-05,1.0883e-06,5.41162e-05,2.81959e-05,2.57365e-06,3.55014e-09,1.77201e-06,1.36115e-06,3.19792,23.3501,1.6185,0.102548,19.2865,0.0488865,1.81156,0.00191091,0.0488865,0.763157,0.0562076,1.9886,0.00231871,0.00201157,1.92649,0.00195546,0.00277428,0.00116396,0.00157102,1.92649,0.0030331,2.85349,1.51096,0.000109055,0.0386741,9.77731e-05,0.00046238,4.88865e-05,0.000254386,0.0386741,2.85139,3.03766e-07,1.57942,0.0507974
1850.4583,305.444,303.16,1.53731,0.121332,1.66634,0.00240037,0.00219352,0.00108049,0.000206855,0.000153773,1.29607e-07,1.1507e-07,8.60346e-06,1.78694e-06,5.8735e-05,1.86858e-05,1.06593e-06,5.31481e-09,1.80711e-06,9.006e-07,3.21354,23.3387,1.63836,0.094544,19.2703,0.0487845,1.80778,0.0017986,0.0487845,0.760368,0.0568105,1.98782,0.00260535,0.00181296,1.92503,0.00195138,0.00276921,0.00116154,0.00156534,1.92503,0.00306151,2.85349,1.51098,0.000100067,0.038634,9.7569e-05,0.000461535,4.87845e-05,0.000253457,0.038634,2.53385,2.44676e-07,1.57518,0.0505831
1850.5417,303.184,302.08,1.53389,0.156329,1.29369,0.00225376,0.00206978,0.00107497,0.000183981,0.00015549,1.09962e-07,1.2165e-07,2.00176e-05,1.22921e-06,6.15178e-05,1.67476e-05,2.83205e-06,2.83119e-09,1.7896e-06,8.06276e-07,3.21557,23.3148,1.65192,0.0883334,19.2534,0.048681,1.80395,0.00169119,0.048681,0.757525,0.0572393,1.987,0.00306332,0.00165996,1.92348,0.00194724,0.00276403,0.00115907,0.00155953,1.92348,0.00308148,2.85349,1.51101,9.31514e-05,0.0385938,9.73621e-05,0.000460671,4.8681e-05,0.000252509,0.0385938,2.75643,2.31612e-07,1.56365,0.0503722
1850.6250,298.868,298.656,1.53053,0.152349,1.02694,0.00201685,0.00185305,0.000927769,0.000163802,0.000156863,9.35525e-08,1.25632e-07,1.23179e-05,2.41311e-06,5.47442e-05,1.44852e-05,1.86208e-06,4.7645e-09,1.53041e-06,6.95979e-07,3.21484,23.2895,1.66263,0.0834213,19.2365,0.0485794,1.80018,0.00159176,0.0485794,0.754763,0.0575896,1.98599,0.00340261,0.00154004,1.9219,0.00194318,0.0027589,0.00115665,0.00155387,1.9219,0.00309765,2.85349,1.51103,8.77393e-05,0.0385546,9.71589e-05,0.000459816,4.85794e-05,0.000251588,0.0385546,2.02498,2.19184e-07,1.55221,0.0501712
1850.7083,290.113,291.087,1.52718,0.136824,0.654455,0.00156262,0.00134078,0.000668486,0.000221834,0.000157898,5.71738e-08,1.23979e-07,3.37401e-06,2.39258e-06,3.95059e-05,1.06367e-05,6.42076e-07,3.75448e-09,1.08657e-06,5.08929e-07,3.21511,23.2725,1.67052,0.0802483,19.2236,0.0484781,1.79643,0.0014982,0.0484781,0.753544,0.0578548,1.98547,0.00392065,0.00146389,1.92068,0.00193912,0.00275374,0.00115424,0.00155137,1.92068,0.00310966,2.85349,1.51105,8.43214e-05,0.0385256,9.69561e-05,0.000458957,4.84781e-05,0.000251182,0.0385256,1.1478,1.81152e-07,1.54459,0.0499763
1850.7917,284.609,285.788,0.765998,0.151728,0.171356,0.00063866,0.000842705,0.00161809,-0.000204044,0.00338027,1.90527e-08,1.19506e-07,2.72319e-05,2.35876e-06,-1.1683e-05,2.57823e-05,3.28447e-06,3.88728e-09,1.72748e-07,1.28096e-06,3.16222,23.2918,1.65047,0.148497,19.2277,0.0244739,1.79268,0.00141011,0.0244739,0.7534,0.0567803,1.98578,0.00336347,0.00318035,1.92091,0.000978546,0.00274856,0.000582711,0.00155108,1.92091,0.0030595,2.85354,1.51106,0.000162053,0.0385422,4.89278e-05,0.000458094,2.44739e-05,0.000251134,0.0385422,0.560462,1.38559e-07,1.51175,0.025884
