time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.013,273.061,0,0.38038,0,0,0.000170528,0.00100904,-0.000170528,0.00143129,0,0,5.98294e-06,4.2968e-08,1.39214e-05,nan,1.94213e-07,1.7179e-09,8.33672e-07,nan,26.4265,81.2068,19.882,1.09148,46.5782,0,24.2432,0.0147003,0,7.11064,0.123021,4.80332,0.000735759,0.0192467,4.64571,0,0.0371992,0,0.0146123,4.64571,0.0125324,2.99395,1.58385,0.0012332,0.0937216,0,0.00619986,0,0.00237021,0.0937216,0.393205,0,6.54456,0.0147003
2015.1250,274.69,274.365,0,0.403413,0,0,0.000217979,0.0027601,-0.000217979,0.00142898,0,0,1.19169e-05,8.10901e-08,1.79443e-05,nan,4.35133e-07,1.93165e-09,2.24448e-06,nan,26.3811,81.1549,19.8499,1.05035,46.5852,0,24.204,0.0138696,0,7.13821,0.122822,4.80317,0.00102844,0.0183286,4.64633,0,0.0371445,0,0.0146686,4.64633,0.0125122,2.99395,1.58389,0.00118579,0.0937398,0,0.00619074,0,0.0023794,0.0937398,0.47788,0,6.53119,0.0138696
2015.2083,282.985,281.843,0,0.178889,0,0,0.000287051,0.00429628,-0.000287051,0.00142659,0,0,2.29806e-05,4.30121e-07,3.99753e-05,nan,8.33929e-07,7.80064e-09,3.79977e-06,nan,26.3329,81.0369,19.8167,0.960114,46.5998,0,24.1636,0.0130596,0,7.14418,0.122617,4.80273,0.00146332,0.0163186,4.64765,0,0.0370877,0,0.0146804,4.64765,0.0124913,2.99395,1.58399,0.00107364,0.0937746,0,0.00618128,0,0.00238139,0.0937746,0.978887,0,6.51611,0.0130596
2015.2917,290.117,288.682,3.03075,0.154811,1.653,0.00671981,0.0022764,0.00485607,0.00444342,0.0014263,2.89248e-06,0,3.54808e-05,5.03432e-07,6.03672e-05,nan,1.3495e-06,6.92862e-09,4.69893e-06,nan,26.3225,80.9288,19.8086,0.866107,46.6051,0.0874296,24.3671,0.0178335,0.0874296,7.1351,0.122835,4.8019,0.00175097,0.0143514,4.64831,0.00349718,0.037369,0.00208166,0.0146613,4.64831,0.0124979,2.99395,1.58409,0.000960773,0.09378,0.000233146,0.00622817,8.74296e-05,0.00237837,0.09378,2.46439,2.89248e-06,6.51387,0.105263
2015.3750,291.188,290.142,7.11831,0.140781,3.02947,0.011817,0.00399978,0.00435164,0.00781723,0.00143485,4.92955e-06,0,2.04126e-05,1.28763e-07,7.00745e-05,nan,8.41525e-07,3.61368e-09,4.54837e-06,nan,26.477,80.9886,19.9066,0.789207,46.6005,0.194175,24.6246,0.0234083,0.194175,7.12189,0.124887,4.80123,0.000772625,0.0127951,4.64814,0.00776702,0.037728,0.00462323,0.0146347,4.64814,0.0126234,2.99395,1.58408,0.000869471,0.0937571,0.000517801,0.006288,0.000194176,0.00237397,0.0937571,3.68809,4.92955e-06,6.57039,0.217584
2015.4583,294.313,293.171,7.12884,0.166344,2.62006,0.0116841,0.00419514,0.00474042,0.00748897,0.00144535,4.93042e-06,0,1.03256e-05,9.47439e-09,9.287e-05,nan,4.51696e-07,2.72302e-09,5.16653e-06,nan,26.667,81.0853,20.0278,0.728851,46.5862,0.194416,24.5851,0.0220761,0.194416,7.10325,0.127357,4.80103,0.000355044,0.0115843,4.64713,0.00777663,0.037676,0.00462895,0.014597,4.64713,0.0127758,2.99395,1.58405,0.000798106,0.0937085,0.000518442,0.00627934,0.000194416,0.00236775,0.0937085,3.82678,4.93042e-06,6.63916,0.216492
2015.5417,294.625,293.945,7.11424,0.160481,2.52443,0.00968334,0.00375724,0.00459262,0.00592611,0.00145439,4.92639e-06,0,2.50121e-05,2.35077e-08,0.000103064,nan,1.12537e-06,5.98099e-09,5.09316e-06,nan,26.8287,81.1428,20.1316,0.67667,46.5625,0.194086,24.5434,0.0207665,0.194086,7.07499,0.129513,4.80075,0.000857,0.0105471,4.6453,0.00776343,0.0376206,0.00462109,0.0145394,4.6453,0.0129079,2.99395,1.58406,0.00073681,0.0936364,0.000517562,0.0062701,0.000194086,0.00235833,0.0936364,3.20973,4.92639e-06,6.69709,0.214852
2015.6250,289.771,289.902,7.09991,0.14766,1.82556,0.00794211,0.00306468,0.00365425,0.00487742,0.00146117,4.91461e-06,0,3.27231e-05,8.73573e-08,8.82664e-05,nan,1.63593e-06,5.30396e-09,4.05597e-06,nan,26.9493,81.182,20.2083,0.639966,46.5383,0.193762,24.5024,0.0195537,0.193762,7.05443,0.131187,4.80007,0.00122919,0.00983047,4.64332,0.00775047,0.0375656,0.00461337,0.0144975,4.64332,0.0130091,2.99395,1.58408,0.000694205,0.0935672,0.000516698,0.00626094,0.000193762,0.00235148,0.0935672,2.51823,4.91461e-06,6.74095,0.213315
2015.7083,285.059,285.658,5.93883,0.181695,0.807976,0.00482644,0.00204034,0.00454451,0.00278611,0.0129546,4.81573e-06,0,3.09171e-05,2.44066e-07,1.47385e-05,nan,1.24192e-06,1.55693e-08,2.39666e-06,nan,26.97,81.2446,20.228,0.7097,46.5236,0.165772,24.4615,0.0184121,0.165772,7.04132,0.131136,4.80048,0.00138366,0.0114167,4.64208,0.00663088,0.0375103,0.00394695,0.0144707,4.64208,0.0130125,2.99402,1.5841,0.00077605,0.093527,0.000442059,0.00625171,0.000165772,0.00234711,0.093527,1.4197,4.81573e-06,6.74202,0.184184
2015.7917,281.386,282.125,0.00450421,0.162411,0.00010561,1.88397e-07,0.000309328,0.00534033,-0.00030914,0.00245675,1.54823e-06,0,5.08567e-07,8.07953e-08,-3.91955e-07,nan,1.81511e-08,1.02962e-08,2.22416e-06,nan,26.628,81.4484,20.0533,1.19918,46.5847,0.000148644,24.4206,0.0173369,0.000148644,7.03656,0.124082,4.80749,6.94582e-05,0.0218059,4.64707,5.94578e-06,0.0374546,3.53915e-06,0.014461,4.64707,0.0126316,2.99441,1.58412,0.00134937,0.0937013,3.96385e-07,0.00624243,1.48644e-07,0.00234552,0.0937013,0.285429,1.54823e-06,6.57464,0.0174855
