time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.334,303.339,3.53324,0.378774,1.71724,0.01025,0.00705307,0.00360102,0.00319691,0.00207523,6.66398e-06,1.94329e-07,2.69136e-05,1.86433e-08,8.42825e-05,6.71745e-05,7.47619e-07,3.46478e-07,4.90933e-06,4.28309e-06,13.3303,38.1368,8.61129,0.311361,22.7402,0.264394,10.851,0.0103141,0.209929,1.755,0.227515,-0.140545,0.00205932,0.00607808,-0.379353,0.0110166,0.016625,0.00499831,0.00315567,-0.379353,0.015335,2.78534,2.17186,0.000355212,0.0457208,0.000779943,0.00277084,0.000209929,0.000584999,0.0457208,3.29781,6.85831e-06,4.71898,0.220243
2015.1250,303.29,303.316,3.50256,0.376449,1.6805,0.00988421,0.00706248,0.0035462,0.00282173,0.00206509,6.12415e-06,1.97962e-07,3.05251e-05,1.94515e-08,8.34409e-05,6.42355e-05,8.58372e-07,3.81033e-07,4.82062e-06,4.09656e-06,13.3552,38.1587,8.61249,0.310707,22.7396,0.262324,10.8552,0.0103136,0.208285,1.75324,0.227722,-0.140251,0.00219791,0.00605999,-0.379383,0.0109304,0.0166316,0.00495917,0.00315202,-0.379383,0.015349,2.78538,2.17189,0.000353828,0.0457185,0.000773834,0.00277193,0.000208285,0.000584413,0.0457185,3.13243,6.32211e-06,4.74269,0.218599
2015.2083,303.102,303.118,3.45881,0.379012,1.5078,0.00963826,0.00700259,0.00354029,0.00263567,0.00205039,5.4896e-06,1.91448e-07,3.15982e-05,3.23596e-08,8.38177e-05,6.22621e-05,8.7107e-07,6.65124e-07,4.80545e-06,3.97006e-06,13.3708,38.1735,8.61184,0.311859,22.739,0.259364,10.8582,0.0102825,0.205935,1.75181,0.227839,-0.139908,0.00244122,0.00608565,-0.379423,0.0108071,0.0166364,0.00490322,0.00314904,-0.379423,0.0153574,2.78542,2.17192,0.00035452,0.0457166,0.000765104,0.00277273,0.000205935,0.000583937,0.0457166,2.94288,5.68104e-06,4.75893,0.216218
2015.2917,302.883,302.898,3.41813,0.381042,1.48122,0.00949509,0.00696722,0.00347265,0.00252787,0.0020367,5.13865e-06,1.88589e-07,3.21378e-05,2.83819e-08,8.27809e-05,6.11032e-05,8.8257e-07,5.84479e-07,4.7246e-06,3.89567e-06,13.3835,38.184,8.61135,0.312181,22.7381,0.256606,10.8612,0.010252,0.203745,1.75024,0.227946,-0.139702,0.00260939,0.00609179,-0.379495,0.0106921,0.0166411,0.00485108,0.00314576,-0.379495,0.015365,2.78546,2.17195,0.000354332,0.045714,0.000756969,0.00277352,0.000203745,0.000583414,0.045714,2.82912,5.32724e-06,4.77211,0.213997
2015.3750,303.354,303.355,3.3808,0.362165,2.09358,0.00953129,0.00699116,0.00350084,0.00254014,0.00202412,5.77921e-06,1.87219e-07,4.71249e-05,2.4557e-08,8.17241e-05,6.15114e-05,1.38102e-06,2.53413e-07,4.68565e-06,3.92079e-06,13.3944,38.1937,8.61107,0.31173,22.738,0.25407,10.8641,0.010223,0.201732,1.74947,0.228046,-0.139827,0.00240171,0.00608404,-0.379504,0.0105865,0.0166458,0.00480314,0.00314413,-0.379504,0.0153721,2.7855,2.17199,0.00035422,0.0457137,0.000749487,0.00277431,0.000201732,0.000583155,0.0457137,3.05399,5.96643e-06,4.78336,0.211955
2015.4583,304.269,304.226,3.35089,0.34519,2.94108,0.00952604,0.0070095,0.003418,0.00251654,0.00201409,6.62767e-06,1.88157e-07,5.09659e-05,1.22491e-08,7.93645e-05,6.14556e-05,1.58542e-06,9.75826e-08,4.56826e-06,3.91665e-06,13.4055,38.2024,8.61159,0.309762,22.7381,0.252035,10.8674,0.0102048,0.200115,1.749,0.228165,-0.140057,0.00208916,0.00603945,-0.379494,0.0105016,0.0166511,0.00476465,0.00314314,-0.379494,0.0153804,2.78555,2.17203,0.000352513,0.0457137,0.000743482,0.00277518,0.000200115,0.000582999,0.0457137,3.61965,6.81583e-06,4.79394,0.21032
2015.5417,304.787,304.757,3.32495,0.306218,3.20364,0.00951406,0.00709292,0.00291556,0.00242114,0.00200542,8.16868e-06,1.92678e-07,3.64044e-05,2.66376e-08,6.2617e-05,6.12696e-05,1.34368e-06,3.04732e-08,3.85769e-06,3.90776e-06,13.4144,38.2178,8.61255,0.311941,22.7402,0.250267,10.871,0.0101914,0.198712,1.75126,0.228288,-0.140264,0.00150616,0.0061067,-0.379313,0.010428,0.0166566,0.00473123,0.00314787,-0.379313,0.015389,2.7856,2.17206,0.000357162,0.0457191,0.000738267,0.0027761,0.000198712,0.000583752,0.0457191,3.91573,8.36136e-06,4.80188,0.208903
2015.6250,305.692,305.654,3.28829,0.271989,3.20253,0.00889667,0.00697482,0.00237987,0.00192185,0.00199297,8.33166e-06,1.978e-07,1.27796e-05,3.0294e-08,4.23547e-05,5.64728e-05,4.62557e-07,1.57012e-08,3.07828e-06,3.60397e-06,13.4122,38.2415,8.61179,0.323495,22.7468,0.247763,10.8732,0.0101511,0.196724,1.75901,0.228327,-0.139642,0.00118883,0.00642024,-0.378742,0.0103237,0.0166604,0.0046839,0.00316401,-0.378742,0.0153923,2.78566,2.17207,0.000375138,0.0457366,0.000730882,0.00277673,0.000196724,0.000586338,0.0457366,4.02652,8.52946e-06,4.80044,0.206875
2015.7083,305.427,305.41,3.26613,0.310086,3.09771,0.00970292,0.00716576,0.00313169,0.00253716,0.00198555,1.00196e-05,2.01828e-07,2.1277e-05,7.66586e-09,6.2196e-05,6.27721e-05,7.47418e-07,7.60784e-09,4.14509e-06,4.00422e-06,13.4146,38.2577,8.61279,0.323176,22.7551,0.246248,10.8765,0.0101371,0.195521,1.76478,0.228426,-0.139037,0.000958568,0.00640259,-0.378,0.0102605,0.0166655,0.00465525,0.003176,-0.378,0.0153993,2.78571,2.17209,0.00037423,0.0457575,0.000726411,0.00277759,0.000195521,0.00058826,0.0457575,4.19147,1.02214e-05,4.80181,0.205658
2015.7917,304.7,304.718,3.26689,0.339472,2.38521,0.0098609,0.00716938,0.00351954,0.00269152,0.00198617,9.87043e-06,2.04769e-07,2.31063e-05,2.75889e-09,7.54891e-05,6.395e-05,7.44192e-07,4.02263e-09,4.74386e-06,4.07841e-06,13.4282,38.2754,8.61691,0.318728,22.7605,0.2463,10.8818,0.0101686,0.195562,1.76794,0.228636,-0.138413,0.000969059,0.00628389,-0.377485,0.0102627,0.0166734,0.00465623,0.0031826,-0.377485,0.0154135,2.78576,2.17212,0.000368037,0.0457696,0.000726565,0.00277891,0.000195562,0.000589315,0.0457696,3.64221,1.00752e-05,4.8113,0.20573
