time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,306.987,307.02,1.94457,0.365789,1.79971,0.00546696,0.00406498,0.00249885,0.00140198,0.00112313,6.27033e-06,2.13998e-07,4.13986e-05,2.79011e-09,7.43912e-05,4.23229e-05,1.29452e-06,2.88235e-09,3.80181e-06,2.59998e-06,6.16306,28.3573,4.14541,0.175174,20.8522,0.152368,5.19095,0.00253709,0.12098,1.16687,0.151034,-0.413339,0.00190143,0.00301249,-0.57104,0.00634878,0.00796917,0.00288048,0.0017525,-0.57104,0.00966977,2.70901,2.10951,0.000203981,0.0418467,0.000449472,0.00132819,0.00012098,0.000388958,0.0418467,3.43989,6.48433e-06,2.01765,0.123517
1850.1250,306.723,306.746,2.06377,0.382831,1.4344,0.0055432,0.00415745,0.00249502,0.00138576,0.00116702,6.05205e-06,2.08627e-07,3.36055e-05,3.7161e-08,7.51923e-05,4.33768e-05,9.65419e-07,1.56631e-07,3.74754e-06,2.66749e-06,6.16888,28.3461,4.15123,0.171334,20.8441,0.161131,5.18713,0.00254191,0.127938,1.16176,0.151219,-0.413693,0.00212791,0.00291218,-0.571694,0.00671391,0.00796325,0.00304615,0.00174222,-0.571694,0.00968007,2.70904,2.10956,0.000198032,0.0418257,0.000475322,0.00132721,0.000127938,0.000387255,0.0418257,3.23803,6.26068e-06,2.01765,0.13048
1850.2083,306.725,306.729,2.17483,0.37575,1.70914,0.00554401,0.00422345,0.00249033,0.00132056,0.00120762,5.6481e-06,2.03675e-07,4.18821e-05,1.01848e-07,7.41725e-05,4.27381e-05,1.1785e-06,5.16927e-07,3.64958e-06,2.62781e-06,6.17582,28.3401,4.15625,0.170627,20.8369,0.169242,5.18311,0.002545,0.134378,1.15677,0.151398,-0.413986,0.00230843,0.00289356,-0.572318,0.00705187,0.00795705,0.00319948,0.00173208,-0.572318,0.00969003,2.70907,2.10959,0.000196418,0.0418082,0.000499249,0.00132617,0.000134378,0.00038559,0.0418082,3.22092,5.85177e-06,2.01957,0.136923
1850.2917,306.712,306.713,2.25857,0.373388,1.77259,0.00552518,0.0042821,0.002467,0.00124308,0.00123795,5.40058e-06,2.00653e-07,4.35044e-05,6.3231e-08,7.22747e-05,4.1976e-05,1.22933e-06,5.06846e-07,3.57119e-06,2.58294e-06,6.17932,28.3325,4.15891,0.170763,20.8304,0.175322,5.17866,0.00253816,0.139206,1.15199,0.151505,-0.414427,0.00233822,0.00289836,-0.572891,0.00730521,0.00795025,0.00331443,0.00172236,-0.572891,0.00969557,2.70909,2.10963,0.000196316,0.0417938,0.000517184,0.00132504,0.000139206,0.000383996,0.0417938,3.11478,5.60124e-06,2.02041,0.141744
1850.3750,307.106,307.101,2.31633,0.350334,2.42014,0.0054471,0.00431695,0.00237765,0.00113015,0.00125867,5.42374e-06,1.99123e-07,5.52704e-05,4.02756e-08,6.73617e-05,4.04389e-05,1.70517e-06,1.48931e-07,3.39584e-06,2.48927e-06,6.1783,28.3234,4.15933,0.172024,20.8252,0.179499,5.17378,0.00252169,0.142523,1.14787,0.151538,-0.415112,0.00206149,0.00293434,-0.57336,0.00747926,0.00794285,0.00339339,0.00171406,-0.57336,0.00969656,2.70912,2.10966,0.000198122,0.0417831,0.000529506,0.00132381,0.000142523,0.000382624,0.0417831,3.38404,5.62287e-06,2.01897,0.145044
1850.4583,307.359,307.334,2.36345,0.339178,2.52184,0.00536691,0.00433334,0.0023201,0.00103357,0.00127544,5.63462e-06,1.99587e-07,4.39895e-05,3.07878e-08,6.32187e-05,3.91008e-05,1.43056e-06,4.57359e-08,3.29188e-06,2.41256e-06,6.17653,28.3172,4.15887,0.174274,20.8217,0.182896,5.16877,0.00250306,0.14522,1.14476,0.151552,-0.415779,0.00164036,0.00299597,-0.573675,0.0076208,0.00793526,0.00345761,0.0017079,-0.573675,0.0096965,2.70916,2.1097,0.000201423,0.0417768,0.000539527,0.00132254,0.00014522,0.000381587,0.0417768,3.57661,5.83421e-06,2.01767,0.147723
1850.5417,310.697,310.543,2.32894,0.223337,2.87407,0.00359562,0.00396299,0.00136617,-0.000367367,0.00126246,2.50433e-06,2.02643e-07,2.09664e-06,7.47119e-08,3.27074e-05,2.2665e-05,9.36878e-08,2.17861e-08,1.89742e-06,1.41912e-06,6.15344,28.3038,4.1511,0.184166,20.8211,0.180408,5.16189,0.00244494,0.143244,1.14513,0.151251,-0.415619,0.00188069,0.00327352,-0.573733,0.00751713,0.00792507,0.00341057,0.00170883,-0.573733,0.00967743,2.70919,2.10974,0.000217947,0.041778,0.000532187,0.00132085,0.000143244,0.00038171,0.041778,3.6681,2.70698e-06,2.00234,0.145689
1850.6250,315.75,315.456,2.20274,0.17717,2.25109,0.00180939,0.00359343,0.00100181,-0.00178404,0.00121582,6.83016e-07,2.01951e-07,5.42801e-07,6.72158e-08,2.01074e-05,1.16465e-05,2.71471e-08,1.18479e-08,1.33918e-06,7.58244e-07,6.10322,28.2839,4.13507,0.204576,20.8251,0.171268,5.15294,0.00234183,0.135987,1.15101,0.15058,-0.414992,0.00224304,0.00385187,-0.573389,0.00713629,0.00791199,0.00323778,0.00172101,-0.573389,0.00963607,2.70923,2.10977,0.000252987,0.0417911,0.000505226,0.00131867,0.000135987,0.000383672,0.0417911,2.75984,8.84966e-07,1.96815,0.138329
1850.7083,315.475,315.318,2.03483,0.186854,1.88383,0.00169212,0.00329443,0.00115179,-0.00160231,0.00115336,3.24356e-07,1.98201e-07,2.39784e-06,4.22758e-08,1.95576e-05,8.88746e-06,1.10009e-07,5.88979e-09,1.66197e-06,5.89398e-07,6.03964,28.2491,4.11498,0.219748,20.8319,0.159007,5.14276,0.00221703,0.126252,1.15779,0.149727,-0.414501,0.00258363,0.00425554,-0.572802,0.00662543,0.00789717,0.003006,0.00173501,-0.572802,0.00958384,2.70927,2.10981,0.000278164,0.0418111,0.000469058,0.00131619,0.000126252,0.000385931,0.0418111,2.66735,5.22558e-07,1.92466,0.128469
1850.7917,311.391,311.507,1.88639,0.257218,2.1405,0.00347938,0.00332947,0.00190249,0.000149904,0.00109755,1.038e-06,1.95853e-07,1.30592e-05,2.57003e-08,3.10153e-05,1.48911e-05,5.61779e-07,3.11697e-09,2.85647e-06,9.32953e-07,5.98086,28.2073,4.0963,0.222428,20.8406,0.14807,5.1327,0.00210177,0.117568,1.16343,0.148939,-0.414256,0.00279666,0.0042969,-0.572035,0.00616971,0.00788245,0.00279923,0.00174665,-0.572035,0.00953552,2.70931,2.10986,0.000280702,0.0418352,0.000436795,0.00131374,0.000117568,0.00038781,0.0418352,3.55457,1.23386e-06,1.88455,0.11967
1850.8750,308.002,308.072,1.84345,0.314907,1.95165,0.00515804,0.00358199,0.00228963,0.00157605,0.00108096,2.90076e-06,1.97337e-07,3.32176e-05,1.43442e-08,5.02392e-05,2.9537e-05,1.48337e-06,1.76387e-09,3.44269e-06,1.80326e-06,5.95507,28.1727,4.08707,0.205523,20.8478,0.144889,5.12483,0.00204225,0.115042,1.16428,0.148592,-0.414456,0.00272708,0.00381151,-0.571335,0.00603718,0.00787074,0.0027391,0.0017485,-0.571335,0.00951307,2.70934,2.10993,0.000249411,0.0418523,0.000427412,0.00131179,0.000115042,0.000388094,0.0418523,3.37166,3.0981e-06,1.868,0.117084
1850.9583,303.354,303.548,1.93047,0.388594,1.02569,0.00646795,0.00368502,0.0025706,0.00278294,0.00111296,6.75082e-06,1.96847e-07,4.92811e-05,7.95148e-09,6.97408e-05,4.98948e-05,1.88738e-06,5.84488e-09,3.92707e-06,3.06236e-06,5.96514,28.1623,4.08923,0.189833,20.8461,0.151325,5.11927,0.00203959,0.120152,1.16127,0.148747,-0.415341,0.00214952,0.00339466,-0.571375,0.00630535,0.00786221,0.00286077,0.00174247,-0.571375,0.00952124,2.70937,2.10998,0.000224651,0.0418442,0.000446398,0.00131037,0.000120152,0.000387089,0.0418442,3.04136,6.94767e-06,1.87591,0.122192
