time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.334,303.339,3.53327,0.378774,1.71724,0.01025,0.00705287,0.00360104,0.00319714,0.00207523,6.90358e-06,1.94329e-07,2.69239e-05,1.851e-08,8.42829e-05,6.71749e-05,7.47839e-07,3.46478e-07,4.90939e-06,4.28307e-06,13.3301,38.1387,8.61124,0.311373,22.7421,0.264396,10.8509,0.0103139,0.209931,1.75511,0.227504,-0.14043,0.00205971,0.00607821,-0.379227,0.0110167,0.0166249,0.00499835,0.00315574,-0.379227,0.015335,2.78534,2.17186,0.000355226,0.0457247,0.000779948,0.00277082,0.000209931,0.000585036,0.0457247,3.29781,7.0979e-06,4.71884,0.220245
2015.1250,303.29,303.316,3.50257,0.376449,1.6805,0.00988421,0.00706228,0.00354621,0.00282193,0.00206509,6.31889e-06,1.97962e-07,3.05209e-05,1.93273e-08,8.34417e-05,6.42356e-05,8.58152e-07,3.81033e-07,4.82068e-06,4.09654e-06,13.355,38.1606,8.61244,0.310719,22.7415,0.262324,10.8551,0.0103135,0.208285,1.75335,0.227711,-0.140136,0.00219818,0.00606012,-0.379258,0.0109304,0.0166315,0.00495917,0.00315209,-0.379258,0.015349,2.78538,2.17189,0.000353841,0.0457224,0.000773835,0.00277191,0.000208285,0.000584451,0.0457224,3.13243,6.51685e-06,4.74256,0.218599
2015.2083,303.102,303.118,3.45879,0.379012,1.5078,0.00963825,0.00700236,0.00354029,0.00263589,0.00205038,5.86353e-06,1.91448e-07,3.17674e-05,3.23262e-08,8.38182e-05,6.22628e-05,8.75703e-07,6.65124e-07,4.80547e-06,3.97004e-06,13.3706,38.1754,8.61179,0.311871,22.741,0.259363,10.8582,0.0102824,0.205934,1.75192,0.227828,-0.139781,0.00245362,0.00608577,-0.379298,0.010807,0.0166363,0.0049032,0.00314911,-0.379298,0.0153574,2.78542,2.17192,0.000354533,0.0457205,0.000765101,0.00277272,0.000205934,0.000583974,0.0457205,2.94287,6.05497e-06,4.75881,0.216217
2015.2917,302.883,302.898,3.4181,0.381042,1.48121,0.00949507,0.00696697,0.00347263,0.00252809,0.00203668,5.61496e-06,1.88589e-07,3.23557e-05,2.84616e-08,8.27814e-05,6.1104e-05,8.88536e-07,5.8448e-07,4.72462e-06,3.89565e-06,13.3833,38.1859,8.61129,0.312193,22.7401,0.256604,10.8611,0.0102518,0.203744,1.75035,0.227935,-0.13957,0.00262679,0.00609191,-0.37937,0.0106921,0.016641,0.00485104,0.00314583,-0.37937,0.015365,2.78546,2.17195,0.000354344,0.0457179,0.000756962,0.00277351,0.000203744,0.000583451,0.0457179,2.82911,5.80355e-06,4.77201,0.213995
2015.3750,303.354,303.355,3.38075,0.362165,2.09358,0.00953126,0.00699093,0.00350083,0.00254033,0.00202409,5.98701e-06,1.87219e-07,4.74799e-05,2.47899e-08,8.17254e-05,6.15119e-05,1.39149e-06,2.53414e-07,4.68568e-06,3.92076e-06,13.3943,38.1956,8.61101,0.311742,22.74,0.254067,10.864,0.0102228,0.201729,1.74958,0.228035,-0.139695,0.00241926,0.00608415,-0.379378,0.0105863,0.0166457,0.00480307,0.0031442,-0.379378,0.0153721,2.7855,2.17198,0.000354232,0.0457176,0.000749477,0.00277429,0.000201729,0.000583193,0.0457176,3.05399,6.17423e-06,4.78326,0.211952
2015.4583,304.269,304.226,3.35083,0.34519,2.94106,0.00952599,0.00700936,0.003418,0.00251664,0.00201406,6.29683e-06,1.88157e-07,5.11872e-05,1.23279e-08,7.93663e-05,6.14547e-05,1.59226e-06,9.75829e-08,4.5683e-06,3.91662e-06,13.4054,38.2043,8.61153,0.309774,22.74,0.25203,10.8673,0.0102046,0.200112,1.74911,0.228154,-0.139933,0.0020988,0.00603955,-0.379369,0.0105015,0.016651,0.00476457,0.00314321,-0.379369,0.0153804,2.78555,2.17202,0.000352524,0.0457176,0.00074347,0.00277516,0.000200112,0.000583036,0.0457176,3.61965,6.48498e-06,4.79384,0.210317
2015.5417,304.787,304.757,3.32488,0.306217,3.20362,0.009514,0.00709292,0.00291556,0.00242108,0.00200539,7.54461e-06,1.92678e-07,3.63005e-05,2.64316e-08,6.26189e-05,6.12658e-05,1.33942e-06,3.04733e-08,3.85773e-06,3.90772e-06,13.4143,38.2197,8.61249,0.311952,22.7421,0.250262,10.8709,0.0101912,0.198708,1.75137,0.228277,-0.140157,0.00149858,0.00610679,-0.379187,0.0104278,0.0166565,0.00473113,0.00314793,-0.379187,0.015389,2.7856,2.17206,0.000357173,0.0457229,0.000738252,0.00277609,0.000198708,0.00058379,0.0457229,3.91572,7.73729e-06,4.80179,0.208899
2015.6250,305.692,305.654,3.28821,0.271988,3.20251,0.00889659,0.00697508,0.00237987,0.00192151,0.00199294,7.48303e-06,1.978e-07,1.24436e-05,2.95669e-08,4.23563e-05,5.64639e-05,4.50068e-07,1.57011e-08,3.07831e-06,3.60393e-06,13.4121,38.2434,8.61172,0.323505,22.7487,0.247758,10.8732,0.0101509,0.19672,1.75913,0.228316,-0.139553,0.00116293,0.00642031,-0.378616,0.0103234,0.0166603,0.0046838,0.00316407,-0.378616,0.0153922,2.78565,2.17206,0.000375148,0.0457405,0.000730866,0.00277671,0.00019672,0.000586375,0.0457405,4.02651,7.68083e-06,4.80035,0.20687
2015.7083,305.427,305.41,3.26603,0.310086,3.09769,0.00970284,0.00716613,0.00313168,0.0025367,0.00198551,9.19394e-06,2.01828e-07,2.06146e-05,7.33729e-09,6.2198e-05,6.27607e-05,7.23664e-07,7.60781e-09,4.14512e-06,4.00417e-06,13.4144,38.2596,8.61273,0.323186,22.7571,0.246241,10.8764,0.0101368,0.195516,1.76489,0.228414,-0.138955,0.000926965,0.00640265,-0.377875,0.0102603,0.0166654,0.00465513,0.00317607,-0.377875,0.0153993,2.78571,2.17209,0.000374239,0.0457614,0.000726393,0.00277757,0.000195516,0.000588298,0.0457614,4.19146,9.39577e-06,4.8017,0.205652
2015.7917,304.7,304.718,3.26679,0.339472,2.38519,0.00986081,0.00716959,0.00351953,0.00269122,0.00198613,9.35461e-06,2.04768e-07,2.23711e-05,2.62418e-09,7.54913e-05,6.39413e-05,7.19927e-07,4.02262e-09,4.74388e-06,4.07837e-06,13.428,38.2773,8.61685,0.318737,22.7625,0.246293,10.8817,0.0101684,0.195556,1.76806,0.228624,-0.138331,0.000938136,0.00628394,-0.37736,0.0102624,0.0166733,0.00465611,0.00318267,-0.37736,0.0154135,2.78576,2.17212,0.000368045,0.0457735,0.000726545,0.00277889,0.000195556,0.000589352,0.0457735,3.6422,9.55938e-06,4.81119,0.205725
