time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,307.171,307.27,1.98187,0.357181,1.82042,0.00550052,0.0028015,0.00399649,0.00269901,0.00158072,4.65083e-06,0,8.36074e-05,1.75511e-09,0.0001111,nan,5.57256e-06,9.58786e-11,4.86322e-06,nan,11.9914,43.8286,9.13223,0.25069,29.0051,0.155111,11.6703,0.00445629,0.123158,2.58139,0.0729737,2.98478,0.00614506,0.00429945,2.89608,0.00646297,0.0179245,0.00293234,0.00528014,2.89608,0.00702945,2.63019,2.0211,0.000279142,0.0582167,0.000457555,0.00298742,0.000123158,0.000860464,0.0582167,3.50015,4.65083e-06,2.8592,0.127615
1850.1250,306.843,306.918,2.20816,0.383925,1.47349,0.00571894,0.00304077,0.00407143,0.00267818,0.00166369,4.65735e-06,0,7.61661e-05,3.70675e-09,0.000115903,nan,4.79869e-06,3.62044e-10,4.85651e-06,nan,12.0138,43.7995,9.14457,0.240232,28.9825,0.171655,11.6648,0.0046085,0.136294,2.56293,0.0734961,2.98276,0.00590994,0.00407075,2.89404,0.00715231,0.0179151,0.00324511,0.00524226,2.89404,0.00705818,2.63022,2.02118,0.000265808,0.0581616,0.000506358,0.00298585,0.000136294,0.00085431,0.0581616,3.30612,4.65735e-06,2.86928,0.140903
1850.2083,306.769,306.818,2.46106,0.374526,1.78168,0.00585724,0.00322931,0.00402756,0.00262793,0.0017553,4.66513e-06,0,8.78574e-05,1.14305e-07,0.000113638,nan,3.75537e-06,1.62217e-08,4.65362e-06,nan,12.0407,43.7837,9.15967,0.236869,28.9613,0.189894,11.6607,0.00479203,0.150776,2.54486,0.0741031,2.98107,0.00570189,0.00400411,2.89206,0.00791225,0.0179076,0.0035899,0.00520521,2.89206,0.00709227,2.63026,2.02124,0.00026128,0.0581125,0.000560159,0.0029846,0.000150776,0.000848287,0.0581125,3.29633,4.66513e-06,2.88106,0.155568
1850.2917,306.689,306.73,2.69974,0.37239,1.87262,0.00594498,0.00339455,0.00396035,0.00255044,0.00184053,4.64186e-06,0,8.21673e-05,1.24559e-06,0.000108079,nan,3.51161e-06,2.60075e-07,4.45947e-06,nan,12.0656,43.7715,9.17363,0.236415,28.9418,0.206865,11.6568,0.00496805,0.164251,2.5277,0.0746577,2.97935,0.00533464,0.00400249,2.89019,0.00861936,0.0179004,0.00391073,0.00517005,2.89019,0.00712339,2.63029,2.02129,0.000260593,0.0580701,0.00061022,0.0029834,0.000164251,0.000842567,0.0580701,3.19261,4.64186e-06,2.89195,0.169219
1850.3750,306.998,307.029,2.91349,0.349948,2.60124,0.00596439,0.00349886,0.0038512,0.00246554,0.00191586,4.59664e-06,0,9.85692e-05,5.9653e-07,0.000101498,nan,3.69504e-06,1.50094e-07,4.25008e-06,nan,12.0866,43.7623,9.18536,0.238223,28.9251,0.221873,11.6525,0.00512574,0.176167,2.51241,0.0751213,2.97733,0.00449008,0.00405045,2.88853,0.00924472,0.0178928,0.00419446,0.00513874,2.88853,0.0071491,2.63033,2.02133,0.000262999,0.0580356,0.000654493,0.00298213,0.000176167,0.00083747,0.0580356,3.47189,4.59664e-06,2.90124,0.181293
1850.4583,307.153,307.165,3.12019,0.339037,2.78677,0.00602915,0.0036058,0.00375126,0.00242335,0.00198784,4.61185e-06,0,7.67338e-05,1.89124e-07,9.28825e-05,nan,2.78481e-06,4.65694e-08,4.05945e-06,nan,12.1068,43.7605,9.1967,0.242015,28.9118,0.236214,11.6486,0.00528208,0.187554,2.49988,0.0755512,2.9755,0.00350686,0.00414164,2.88719,0.00984226,0.0178858,0.00446557,0.00511308,2.88719,0.00717291,2.63037,2.02137,0.000267982,0.05801,0.000696797,0.00298096,0.000187554,0.000833294,0.05801,3.69971,4.61185e-06,2.91013,0.192836
1850.5417,309.984,309.887,3.20398,0.231666,3.34523,0.00423338,0.00297963,0.00209704,0.00125375,0.00201639,4.08179e-06,0,4.12152e-06,1.88241e-07,4.34071e-05,nan,1.93297e-07,2.22749e-08,2.10252e-06,nan,12.1069,43.7654,9.19581,0.256714,28.905,0.241988,11.64,0.00532515,0.192138,2.4968,0.0755971,2.97522,0.00361091,0.00447558,2.88643,0.0100828,0.0178721,0.00457472,0.00510669,2.88643,0.00717325,2.63041,2.02141,0.000287501,0.0579998,0.000713828,0.00297869,0.000192138,0.000832265,0.0579998,3.96541,4.08179e-06,2.91112,0.197463
1850.6250,314.829,314.583,3.09571,0.182758,2.49954,0.00197432,0.00215092,0.00143556,-0.000176605,0.0019777,1.55856e-06,0,9.32e-07,1.43547e-07,2.27489e-05,nan,4.57177e-08,1.16263e-08,1.29698e-06,nan,12.0754,43.7787,9.17569,0.286425,28.908,0.234524,11.6235,0.00518686,0.186212,2.50883,0.0750962,2.97594,0.00397906,0.00514397,2.88659,0.00977183,0.0178478,0.00443362,0.00513111,2.88659,0.00714017,2.63046,2.02143,0.000327224,0.0580124,0.000691811,0.00297463,0.000186212,0.000836275,0.0580124,2.97682,1.55856e-06,2.89975,0.191399
1850.7083,314.744,314.626,2.8859,0.192,2.09381,0.00182883,0.00192931,0.00168792,-0.000100487,0.0019028,3.63714e-07,0,3.19961e-06,7.96209e-08,1.73992e-05,nan,1.4801e-07,5.56214e-09,1.47625e-06,nan,12.0263,43.7747,9.14471,0.309589,28.9154,0.219947,11.6022,0.00494766,0.174638,2.52341,0.0743216,2.97648,0.0041982,0.0056571,2.88714,0.00916444,0.0178165,0.00415804,0.00516072,2.88714,0.00709029,2.6305,2.02146,0.000357517,0.058036,0.00064881,0.00296942,0.000174638,0.000841138,0.058036,2.83167,3.63714e-07,2.8816,0.179585
1850.7917,310.995,311.122,2.72461,0.260122,2.40483,0.0039224,0.00240496,0.00281932,0.00151743,0.00184437,2.28752e-06,0,1.25522e-05,4.47415e-08,3.04892e-05,nan,5.74456e-07,2.86583e-09,2.70301e-06,nan,11.9844,43.7617,9.11798,0.31834,28.9242,0.208629,11.5822,0.00475122,0.165652,2.5348,0.0736608,2.97682,0.00431043,0.00583474,2.88783,0.00869289,0.017787,0.00394409,0.00518377,2.88783,0.00704712,2.63054,2.0215,0.000367755,0.0580623,0.000615426,0.00296451,0.000165652,0.000844932,0.0580623,3.66938,2.28752e-06,2.86644,0.170403
