time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,269.252,269.439,0,0.182757,0,0,0.000575716,2.42685e-05,-0.000575716,0,0,0.000394382,0,2.69415e-07,0,1.49058e-16,9.18428e-07,1.08806e-06,0,1.66489e-20,2.69309e-08,1.08806e-07,3.30541,80.5003,1.78048,0.196328,75.9949,0.166791,2.09833,0.00127152,0.166791,1.00364,0.0435193,-0.308165,0.59051,0.00365794,-0.947843,0.00416981,0.00321891,0.00397122,0.00199106,-0.947843,0.00371375,1.79618,1.07086,0.000254301,0.152111,0.000416981,0.000536484,0.000166791,0.000334801,0.152111,0.319909,2.69415e-07,1.52493,0.168063
1850.1250,271.466,271.441,0.00937694,0.279294,0.00188645,1.08724e-05,0.000704343,0.000467865,-0.00069347,0,0,0.000387379,0,2.88672e-07,2.53585e-05,1.47679e-16,-1.24791e-05,1.06151e-06,2.05942e-06,1.64886e-20,3.66055e-07,1.06151e-07,3.28434,80.4971,1.77381,0.209235,75.9966,0.162722,2.09495,0.00119967,0.162722,1.00686,0.0432951,-0.308111,0.590365,0.00392996,-0.947699,0.00406806,0.00321417,0.00387432,0.00199766,-0.947699,0.00369762,1.79619,1.07086,0.000272151,0.152116,0.000406806,0.000535696,0.000162722,0.000335874,0.152116,0.644079,2.88672e-07,1.51054,0.163921
1850.2083,276.835,276.091,0.944075,0.561779,0.361681,0.00153861,0.00108001,0.00136342,0.000458594,1.0446e-08,2.51629e-06,0.000380622,2.80981e-11,3.3849e-07,5.24004e-05,1.3276e-16,1.93647e-05,2.65775e-06,5.47106e-06,1.48745e-20,1.54417e-06,2.18291e-07,3.26114,80.4641,1.7673,0.18583,76.01,0.158799,2.09158,0.00113265,0.158799,1.00717,0.0430758,-0.309928,0.588211,0.00338912,-0.946602,0.00397,0.00320944,0.00378093,0.00199829,-0.946602,0.00368179,1.7962,1.07089,0.000231924,0.152154,0.000397,0.000534907,0.000158799,0.000335979,0.152154,0.96248,3.38518e-07,1.49385,0.159932
1850.2917,287.94,286.418,1.33305,0.26844,1.15749,0.00419596,0.00204788,0.0017574,0.00214808,1.06239e-07,1.47289e-05,0.000382344,1.4431e-09,4.56206e-07,1.28164e-05,1.19658e-16,4.93023e-05,1.73896e-05,1.73428e-06,1.34225e-20,2.39719e-06,1.27304e-06,3.25769,80.4328,1.76848,0.164592,76.0068,0.159827,2.09178,0.00115001,0.159827,1.00374,0.0430817,-0.310593,0.588283,0.00295201,-0.946901,0.00399569,0.00320963,0.00380539,0.00199127,-0.946901,0.00368202,1.79621,1.07094,0.000202479,0.152149,0.000399569,0.000534939,0.000159827,0.000334834,0.152149,1.95282,4.57649e-07,1.48921,0.160977
1850.3750,295.474,294.113,1.44708,0.204789,1.93997,0.00591135,0.00298111,0.00179198,0.00293024,1.89019e-07,2.27048e-05,0.000402709,6.2058e-09,6.55444e-07,6.50184e-06,1.22007e-16,6.0064e-05,3.1144e-05,1.01103e-06,1.36796e-20,2.59749e-06,2.26384e-06,3.30133,80.443,1.78669,0.147446,75.9957,0.17172,2.09999,0.001346,0.17172,0.998559,0.0435982,-0.310729,0.58893,0.00260196,-0.94784,0.00429303,0.00322096,0.00408858,0.00198071,-0.94784,0.00371893,1.79622,1.07096,0.000179571,0.152123,0.000429303,0.000536827,0.00017172,0.000333108,0.152123,2.9026,6.61649e-07,1.51464,0.173066
1850.4583,296.379,295.559,1.58838,0.23687,1.88199,0.00578988,0.00329975,0.00195037,0.00249013,1.80803e-07,2.27061e-05,0.000429897,6.92224e-09,8.35646e-07,1.67761e-05,1.22201e-16,7.25957e-05,3.16249e-05,2.8535e-06,1.36928e-20,2.91885e-06,2.30156e-06,3.36416,80.4696,1.81128,0.134182,75.9794,0.187579,2.11134,0.00160043,0.187579,0.99186,0.044324,-0.311024,0.589583,0.00233017,-0.949228,0.00468949,0.00323674,0.00446616,0.00196708,-0.949228,0.00377098,1.79623,1.07098,0.000162072,0.152085,0.000468949,0.000539456,0.000187579,0.000330875,0.152085,2.92017,8.42568e-07,1.55288,0.189179
1850.5417,293.306,292.931,1.6824,0.194523,1.20337,0.00395979,0.0029433,0.00150158,0.0010165,1.03377e-07,1.56423e-05,0.00044787,2.97722e-09,9.23365e-07,3.08647e-06,1.25363e-16,5.61134e-05,1.93956e-05,7.0113e-07,1.40285e-20,2.22417e-06,1.42435e-06,3.40278,80.4807,1.82766,0.128208,75.9634,0.198052,2.11902,0.00175714,0.198052,0.98631,0.0448099,-0.311069,0.590554,0.00220659,-0.950596,0.00495132,0.0032475,0.00471552,0.00195583,-0.950596,0.00380586,1.79625,1.071,0.000154567,0.152048,0.000495132,0.000541251,0.000198052,0.000329025,0.152048,1.74292,9.26342e-07,1.57512,0.199809
1850.6250,288.73,288.771,1.70316,0.190552,0.623248,0.00211635,0.00235641,0.00129161,-0.000240065,3.42389e-08,7.73462e-06,0.000451837,5.66464e-10,9.17802e-07,3.65751e-07,1.26631e-16,4.70126e-05,7.38572e-06,1.11538e-07,1.41496e-20,1.87875e-06,5.62615e-07,3.40429,80.4633,1.83138,0.126276,75.9505,0.200355,2.12087,0.00177459,0.200355,0.982248,0.0449046,-0.310939,0.591745,0.00216634,-0.951704,0.00500889,0.00325022,0.00477035,0.00194764,-0.951704,0.00381267,1.79626,1.07104,0.000152201,0.152019,0.000500889,0.000541704,0.000200355,0.000327671,0.152019,1.034,9.18369e-07,1.57291,0.202129
1850.7083,273.839,275.183,0.755245,0.178179,0.0647177,0.000352788,0.00108618,0.000644626,-0.000733387,7.54508e-10,3.53857e-07,0.000445669,3.2084e-12,8.67031e-07,1.59561e-08,1.28715e-16,2.36528e-05,1.41805e-06,5.19312e-09,1.43637e-20,9.18399e-07,1.37693e-07,3.38125,80.4333,1.82588,0.129675,75.9418,0.196751,2.1184,0.00169472,0.196751,0.980579,0.0447086,-0.310749,0.592808,0.00223674,-0.952446,0.0049188,0.00324696,0.00468455,0.00194433,-0.952446,0.00379868,1.79627,1.07108,0.000157173,0.152,0.00049188,0.00054116,0.000196751,0.000327114,0.152,0.422583,8.67034e-07,1.55537,0.198446
1850.7917,266.975,267.917,0,0.0925075,0,0,0.000628674,9.1119e-05,-0.000628674,0,0,0.000437172,0,8.0267e-07,9.0238e-21,1.35908e-16,4.46455e-06,1.25117e-06,2.42911e-21,1.51521e-20,1.29649e-07,1.25117e-07,3.35837,80.4261,1.81821,0.145695,75.9389,0.191794,2.11486,0.00159584,0.191794,0.983114,0.0444467,-0.310538,0.593176,0.00257604,-0.952686,0.00479488,0.00324219,0.00456653,0.0019496,-0.952686,0.00378,1.79628,1.07109,0.000180981,0.151994,0.000479488,0.000540364,0.000191794,0.000327959,0.151994,0.141638,8.0267e-07,1.54017,0.19339
