time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.678,260.859,0,0.19467,0,0,0.000642119,1.43014e-07,-0.000642119,0,0,0,0,0,0,0,0,0,0.000622102,0,9.2422e-08,0,1.43629e-17,1.24234e-08,1.76085e-06,0,1.54242e-21,2.75867e-10,1.76085e-07,4.90129,82.0486,2.65549,0.382843,75.2,0.269925,3.10125,0.00218097,0.269925,1.56448,0.0566842,-0.330067,0.625211,0.00731544,-1.02246,0.00674814,0.00475658,0.00642677,0.00318343,-1.02246,0.00484058,1.82181,1.09434,0.00048668,0.15064,0.000674815,0.000792764,0.000269924,0.000521699,0.15064,0.102442,9.2422e-08,2.24581,0.272105
2015.1250,262.821,262.914,0,0.19467,0,0,0.000712899,1.32741e-07,-0.000712899,0,0,0,0,0,0,0,0,0,0.000610794,0,1.0656e-07,0,9.36041e-18,1.14299e-08,1.71788e-06,0,1.00472e-21,2.55252e-10,1.71788e-07,4.8735,82.0533,2.64505,0.410356,75.2,0.263338,3.09624,0.00205773,0.263338,1.56949,0.0563438,-0.329793,0.625236,0.00789479,-1.02246,0.00658349,0.0047497,0.00626996,0.00319371,-1.02246,0.00481636,1.82183,1.09434,0.000525643,0.15064,0.000658349,0.000791616,0.000263338,0.000523368,0.15064,0.282419,1.0656e-07,2.22845,0.265396
2015.2083,271.461,270.891,0.389073,0.482644,0.0922954,0.000556889,0.00108835,0.000889451,-0.000531462,1.9521e-09,6.44732e-07,1.68784e-09,6.69359e-12,1.34314e-06,0.000466984,0.00151325,11.6294,0.00240577,0.000599391,3.30634e-13,1.64739e-07,5.2815e-05,6.96204e-18,-2.73314e-05,2.11786e-06,4.20927e-06,7.47372e-22,4.4515e-07,1.99315e-07,4.84127,82.0493,2.63444,0.429248,75.2045,0.2567,3.09108,0.00193771,0.2567,1.57427,0.0559991,-0.329848,0.624743,0.0082849,-1.02208,0.00641753,0.00474255,0.00611191,0.00320351,-1.02208,0.00479181,1.82184,1.09434,0.00055033,0.150652,0.000641753,0.000790426,0.0002567,0.000524961,0.150652,0.696117,1.6474e-07,2.20683,0.258638
2015.2917,283.572,281.875,2.16029,0.221779,1.31069,0.00637337,0.00230502,0.00233432,0.00406834,9.70118e-08,1.91176e-05,8.36666e-08,1.3357e-09,1.89423e-05,0.00472275,0.089199,164.943,0.0769804,0.000592761,3.07856e-10,2.88533e-07,1.5364e-05,5.49347e-18,1.70914e-05,2.36819e-05,1.86661e-06,5.92004e-22,2.43422e-06,1.7613e-06,4.84211,82.0217,2.62943,0.375554,75.2314,0.252793,3.08964,0.00190913,0.252793,1.57263,0.0559421,-0.331465,0.622114,0.0070872,-1.01981,0.00631985,0.00474054,0.00601887,0.00320009,-1.01981,0.00478805,1.82186,1.09437,0.000468996,0.150725,0.000631985,0.00079009,0.000252793,0.000524416,0.150725,1.72336,2.88841e-07,2.21268,0.254702
2015.3750,292.804,290.636,2.20055,0.110968,1.73887,0.0069893,0.00301263,0.00145379,0.00397668,1.31114e-07,2.44096e-05,1.10287e-07,4.41576e-09,2.2936e-05,0.00521928,0.310724,197.12,0.0983149,0.000596147,1.95914e-09,4.64363e-07,1.86249e-08,5.5417e-18,2.10124e-05,3.09003e-05,2.11741e-09,5.97492e-22,1.73476e-06,2.28561e-06,4.9112,82.0672,2.63643,0.349708,75.2361,0.254594,3.09641,0.00206544,0.254594,1.5702,0.0564535,-0.331265,0.621931,0.00653788,-1.01938,0.00636489,0.00474991,0.00606177,0.00319504,-1.01938,0.00482552,1.82188,1.09437,0.000433808,0.150737,0.000636489,0.000791651,0.000254594,0.000523606,0.150737,2.02404,4.66322e-07,2.27477,0.25666
2015.4583,294.08,292.502,2.20424,0.126373,1.032,0.00463303,0.00295915,0.00149014,0.00167388,8.25369e-08,1.69481e-05,6.87504e-08,3.20157e-09,1.96608e-05,0.00536122,0.315768,167.343,0.0677216,0.000597074,1.61152e-09,5.46079e-07,5.09303e-08,1.22206e-17,2.04611e-05,1.98837e-05,7.11202e-09,1.31775e-21,1.81732e-06,1.48535e-06,4.94888,82.0961,2.64051,0.339404,75.2384,0.25499,3.10119,0.00216748,0.25499,1.56938,0.0567698,-0.330985,0.621883,0.00632865,-1.01916,0.00637477,0.00475659,0.00607118,0.00319335,-1.01916,0.0048488,1.82189,1.09437,0.000419495,0.150742,0.000637477,0.000792765,0.00025499,0.000523334,0.150742,1.40741,5.47691e-07,2.30837,0.257157
2015.5417,291.159,290.437,2.1936,0.109327,0.655379,0.00248546,0.0025341,0.00118898,-4.8642e-05,3.1428e-08,8.53867e-06,2.60888e-08,1.22001e-09,1.49558e-05,0.00530304,0.213352,125.322,0.0320792,0.000595308,6.40572e-10,5.83283e-07,8.8428e-10,1.60192e-17,1.78101e-05,8.5477e-06,1.52323e-10,1.72784e-21,1.46314e-06,6.62367e-07,4.96269,82.0974,2.64138,0.327191,75.24,0.253847,3.10382,0.00221488,0.253847,1.56752,0.0569163,-0.330703,0.622084,0.00608863,-1.01898,0.00634622,0.0047603,0.00604398,0.0031895,-1.01898,0.00485978,1.82191,1.09439,0.000402186,0.150744,0.000634622,0.000793384,0.000253847,0.000522712,0.150744,0.853965,5.83923e-07,2.32131,0.256062
2015.6250,286.96,286.757,2.15007,0.147695,0.466589,0.00209191,0.00245872,0.00145468,-0.000366806,2.48875e-08,7.57898e-06,2.09077e-08,6.05514e-10,1.45001e-05,0.00514148,0.135028,117.844,0.0284004,0.000587325,1.91851e-10,5.72615e-07,2.31888e-07,1.58889e-17,2.31087e-05,7.01896e-06,3.71437e-08,1.71416e-21,1.82577e-06,5.5042e-07,4.93498,82.0624,2.63465,0.319871,75.2412,0.249169,3.10115,0.002142,0.249169,1.56643,0.0567288,-0.330437,0.622541,0.0059451,-1.01884,0.00622926,0.00475669,0.0059326,0.00318724,-1.01884,0.00484647,1.82192,1.09443,0.000391407,0.150745,0.000622926,0.000792781,0.000249169,0.000522348,0.150745,0.767496,5.72807e-07,2.30033,0.251311
2015.7083,272.393,273.59,0.938091,0.126084,0.0474474,0.000330408,0.00125976,0.000599041,-0.000929353,3.16094e-10,1.70419e-07,2.68695e-10,3.53831e-12,1.06156e-06,0.000446293,0.00350839,8.53113,0.000450989,0.000578158,5.36362e-13,5.46145e-07,1.12142e-12,1.60781e-17,1.03809e-05,1.65907e-06,4.41657e-13,1.73451e-21,7.31048e-07,1.63909e-07,4.90434,82.0301,2.62637,0.318045,75.2413,0.24382,3.09734,0.00204732,0.24382,1.56633,0.0564776,-0.330167,0.62305,0.00591287,-1.01879,0.00609553,0.00475146,0.00580524,0.00318702,-1.01879,0.00482856,1.82194,1.09446,0.00038935,0.150744,0.000609553,0.00079191,0.00024382,0.000522317,0.150744,0.250825,5.46145e-07,2.27797,0.245867
2015.7917,264.235,265.475,0,0.0467681,0,0,0.000777138,5.21687e-05,-0.000777138,0,0,0,0,0,0,0,0,0,0.000567575,0,5.06604e-07,0,1.66306e-17,1.60721e-06,1.55045e-06,0,1.79318e-21,5.78229e-08,1.55045e-07,4.87257,82.022,2.61625,0.337552,75.2413,0.237671,3.09217,0.0019278,0.237671,1.57058,0.0561509,-0.329898,0.623237,0.0063205,-1.0188,0.00594181,0.0047443,0.00565884,0.00319573,-1.0188,0.00480518,1.82195,1.09447,0.00041787,0.150744,0.000594181,0.000790717,0.000237671,0.000523733,0.150744,0.131594,5.06604e-07,2.25632,0.239599
