time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,269.253,269.44,0,0.182828,0,0,0.000575746,2.427e-05,-0.000575746,0,0,0.000394387,0,2.6942e-07,0,1.49115e-16,9.18369e-07,1.0881e-06,0,1.66543e-20,2.69323e-08,1.0881e-07,3.30538,80.5001,1.78044,0.196315,75.9948,0.166797,2.09827,0.00127159,0.166797,1.00362,0.043519,-0.308144,0.590538,0.00365767,-0.94785,0.00416994,0.00321881,0.00397135,0.00199103,-0.94785,0.00371371,1.79618,1.07086,0.000254285,0.152111,0.000416994,0.000536469,0.000166797,0.000334795,0.152111,0.319914,2.6942e-07,1.52494,0.168068
1850.1250,271.466,271.442,0.00933608,0.279316,0.00188192,1.08443e-05,0.000704367,0.00046778,-0.000693523,0,0,0.000387384,0,2.88678e-07,2.53458e-05,1.47737e-16,-1.24787e-05,1.06155e-06,2.05563e-06,1.64942e-20,3.65945e-07,1.06155e-07,3.28431,80.4969,1.77377,0.209224,75.9965,0.162727,2.09488,0.00119974,0.162727,1.00684,0.0432948,-0.30809,0.590393,0.00392972,-0.947705,0.00406819,0.00321408,0.00387444,0.00199762,-0.947705,0.00369757,1.79619,1.07086,0.000272138,0.152116,0.000406819,0.00053568,0.000162727,0.000335869,0.152116,0.64413,2.88678e-07,1.51055,0.163926
1850.2083,276.832,276.088,0.943227,0.561995,0.361519,0.00153774,0.00107978,0.00136367,0.00045796,1.03831e-08,2.51397e-06,0.000380626,2.93391e-11,3.38471e-07,5.24101e-05,1.32824e-16,1.9376e-05,2.65628e-06,5.4532e-06,1.48809e-20,1.54446e-06,2.18188e-07,3.26111,80.4639,1.76725,0.185816,76.0099,0.158804,2.09152,0.00113271,0.158804,1.00715,0.0430754,-0.309905,0.588241,0.0033888,-0.946609,0.00397011,0.00320935,0.00378104,0.00199826,-0.946609,0.00368174,1.7962,1.07089,0.000231909,0.152154,0.000397011,0.000534892,0.000158804,0.000335973,0.152154,0.962155,3.38501e-07,1.49386,0.159936
1850.2917,287.94,286.417,1.33306,0.26849,1.15748,0.004196,0.00204775,0.00175747,0.00214824,1.05135e-07,1.47274e-05,0.000382343,9.64804e-10,4.56168e-07,1.28298e-05,1.19708e-16,4.93044e-05,1.73868e-05,1.73042e-06,1.34274e-20,2.39728e-06,1.27284e-06,3.25765,80.4326,1.76843,0.164579,76.0066,0.159828,2.09171,0.00115003,0.159828,1.00372,0.0430813,-0.310572,0.588312,0.00295172,-0.946908,0.00399572,0.00320954,0.00380543,0.00199124,-0.946908,0.00368197,1.79621,1.07093,0.000202464,0.152149,0.000399572,0.000534923,0.000159828,0.000334829,0.152149,1.95279,4.57133e-07,1.48922,0.160978
1850.3750,295.473,294.113,1.44704,0.204824,1.93993,0.00591129,0.00298094,0.0017921,0.00293035,1.8706e-07,2.2704e-05,0.000402698,4.23527e-09,6.5542e-07,6.50749e-06,1.22057e-16,6.00726e-05,3.11409e-05,1.00908e-06,1.36844e-20,2.59771e-06,2.26362e-06,3.30128,80.4428,1.78664,0.147432,75.9956,0.171716,2.09993,0.00134599,0.171716,0.998541,0.0435977,-0.310707,0.58896,0.00260166,-0.947847,0.00429292,0.00322087,0.00408847,0.00198068,-0.947847,0.00371887,1.79622,1.07096,0.000179554,0.152123,0.000429292,0.000536811,0.000171716,0.000333102,0.152123,2.90273,6.59655e-07,1.51465,0.173062
1850.4583,296.379,295.559,1.58829,0.236893,1.88191,0.00578967,0.00329957,0.00195043,0.0024901,1.79424e-07,2.27054e-05,0.000429876,5.09384e-09,8.35629e-07,1.67843e-05,1.22252e-16,7.25985e-05,3.16218e-05,2.84733e-06,1.36978e-20,2.91897e-06,2.30134e-06,3.36411,80.4694,1.81122,0.134169,75.9793,0.187568,2.11128,0.00160041,0.187568,0.991841,0.0443234,-0.311003,0.589612,0.00232989,-0.949235,0.00468923,0.00323664,0.00446591,0.00196704,-0.949235,0.00377091,1.79623,1.07097,0.000162056,0.152085,0.000468923,0.00053944,0.000187568,0.000330869,0.152085,2.92015,8.40723e-07,1.55289,0.189169
1850.5417,293.306,292.931,1.68228,0.194547,1.2033,0.00395961,0.00294315,0.00150168,0.00101646,1.02849e-07,1.56417e-05,0.000447843,2.37409e-09,9.23351e-07,3.08844e-06,1.25418e-16,5.61212e-05,1.93937e-05,7.01551e-07,1.40338e-20,2.22435e-06,1.42421e-06,3.40273,80.4805,1.8276,0.128195,75.9633,0.198038,2.11896,0.00175711,0.198038,0.98629,0.0448092,-0.311048,0.590584,0.0022063,-0.950603,0.00495096,0.0032474,0.00471518,0.00195579,-0.950603,0.00380579,1.79624,1.071,0.000154551,0.152048,0.000495096,0.000541234,0.000198038,0.000329018,0.152048,1.74293,9.25725e-07,1.57514,0.199795
1850.6250,288.73,288.771,1.70302,0.190576,0.623205,0.00211623,0.00235631,0.00129169,-0.000240085,3.4143e-08,7.73446e-06,0.000451808,4.88212e-10,9.17791e-07,3.66264e-07,1.26688e-16,4.70131e-05,7.38498e-06,1.11686e-07,1.41552e-20,1.87889e-06,5.6256e-07,3.40425,80.4631,1.83132,0.126262,75.9503,0.200339,2.1208,0.00177456,0.200339,0.982227,0.0449039,-0.310918,0.591775,0.00216605,-0.951711,0.00500851,0.00325013,0.00476998,0.00194759,-0.951711,0.0038126,1.79626,1.07103,0.000152184,0.152019,0.000500851,0.000541688,0.000200339,0.000327664,0.152019,1.03402,9.18279e-07,1.57293,0.202114
1850.7083,273.839,275.183,0.755177,0.178226,0.0647132,0.000352766,0.00108615,0.000644603,-0.000733387,7.5565e-10,3.53914e-07,0.00044564,3.888e-12,8.67022e-07,1.59978e-08,1.28777e-16,2.36411e-05,1.41793e-06,5.20618e-09,1.43698e-20,9.18394e-07,1.37681e-07,3.3812,80.4331,1.82582,0.129661,75.9416,0.196736,2.11833,0.00169469,0.196736,0.980558,0.044708,-0.310727,0.592838,0.00223645,-0.952454,0.00491842,0.00324686,0.00468419,0.00194428,-0.952454,0.00379861,1.79627,1.07107,0.000157155,0.152,0.000491842,0.000541144,0.000196736,0.000327107,0.152,0.422652,8.67026e-07,1.55539,0.19843
1850.7917,266.976,267.919,0,0.0925685,0,0,0.000628671,9.11461e-05,-0.000628671,0,0,0.000437143,0,8.02666e-07,9.37459e-21,1.35976e-16,4.46607e-06,1.25107e-06,2.52344e-21,1.51588e-20,1.29684e-07,1.25107e-07,3.35832,80.4259,1.81814,0.14568,75.9388,0.191779,2.1148,0.00159582,0.191779,0.983092,0.044446,-0.310517,0.593205,0.00257574,-0.952694,0.0047945,0.00324209,0.00456617,0.00194955,-0.952694,0.00377993,1.79628,1.07108,0.000180963,0.151994,0.00047945,0.000540348,0.000191779,0.000327952,0.151994,0.141676,8.02666e-07,1.54018,0.193375
1850.8750,268.194,268.676,0,0.0925685,0,0,0.0006171,6.51363e-05,-0.0006171,0,0,0.000428847,0,7.45385e-07,1.82783e-39,1.4047e-16,2.49207e-06,1.21951e-06,4.65402e-40,1.56481e-20,7.82907e-08,1.21951e-07,3.33722,80.4262,1.81059,0.164475,75.938,0.186942,2.11127,0.00150265,0.186942,0.986483,0.044189,-0.310307,0.593334,0.00297682,-0.952763,0.00467358,0.00323728,0.00445101,0.00195655,-0.952763,0.00376157,1.79629,1.07109,0.000208593,0.151993,0.000467358,0.000539546,0.000186942,0.000329082,0.151993,0.304151,7.45385e-07,1.52663,0.188445
1850.9583,266.654,267.242,0,0.0925685,0,0,0.000511325,4.57427e-05,-0.000511325,0,0,0.000420624,0,6.9824e-07,1.86457e-41,1.44292e-16,1.58321e-06,1.18826e-06,4.72238e-42,1.60623e-20,5.11678e-08,1.18826e-07,3.31666,80.4274,1.80304,0.183086,75.9377,0.182151,2.10768,0.00141351,0.182151,0.989962,0.0439329,-0.3101,0.593424,0.00337467,-0.952795,0.00455379,0.00323236,0.00433692,0.00196371,-0.952795,0.00374326,1.79631,1.07109,0.000235973,0.151992,0.000455379,0.000538727,0.000182151,0.000330242,0.151992,0.156901,6.9824e-07,1.51362,0.183564
1851.0417,266.355,266.948,0,0.0925685,0,0,0.000469407,3.22163e-05,-0.000469407,0,0,0.000412989,0,6.52332e-07,0,1.49115e-16,1.00511e-06,1.15925e-06,0,1.65883e-20,3.32294e-08,1.15925e-07,3.29869,80.4303,1.79598,0.200769,75.9375,0.177704,2.10428,0.00133357,0.177704,0.993311,0.0436939,-0.309909,0.593483,0.00375413,-0.952811,0.00444263,0.00322766,0.00423106,0.00197059,-0.952811,0.00372614,1.79632,1.07109,0.000261955,0.151992,0.000444263,0.000537943,0.000177704,0.000331358,0.151992,0.0999878,6.52332e-07,1.50271,0.179038
