time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.675,260.856,0,0.194722,0,0,0.000641939,1.42754e-07,-0.000641939,0,0,0,0,0,0,0,0,0,0.000622003,0,9.2419e-08,0,1.44244e-17,1.2402e-08,1.76069e-06,0,1.54886e-21,2.75361e-10,1.76069e-07,4.89972,82.047,2.65464,0.3828,75.2001,0.2699,3.10018,0.00218007,0.2699,1.56437,0.0566733,-0.329995,0.625275,0.00731471,-1.02244,0.00674754,0.00475495,0.0064262,0.00318318,-1.02244,0.00483965,1.82181,1.09434,0.000486617,0.15064,0.000674754,0.000792491,0.0002699,0.000521662,0.15064,0.102435,9.2419e-08,2.24508,0.27208
2015.1250,262.819,262.912,0,0.194723,0,0,0.000712702,1.32487e-07,-0.000712702,0,0,0,0,0,0,0,0,0,0.000610696,0,1.06556e-07,0,9.4048e-18,1.1408e-08,1.71773e-06,0,1.00937e-21,2.54758e-10,1.71773e-07,4.87193,82.0517,2.6442,0.410309,75.2001,0.263314,3.09517,0.00205688,0.263314,1.56938,0.0563328,-0.329721,0.6253,0.00789401,-1.02244,0.00658289,0.00474806,0.00626939,0.00319346,-1.02244,0.00481543,1.82182,1.09434,0.000525577,0.15064,0.000658289,0.000791344,0.000263314,0.000523331,0.15064,0.282404,1.06556e-07,2.22773,0.265371
2015.2083,271.46,270.89,0.389015,0.482668,0.0922821,0.000556816,0.00108808,0.000889467,-0.000531268,1.95221e-09,6.4499e-07,1.68794e-09,6.6165e-12,1.34305e-06,0.000467297,0.00635683,11.6299,0.00241316,0.000599295,1.25369e-12,1.64729e-07,5.28128e-05,6.99826e-18,-2.73359e-05,2.11777e-06,4.21215e-06,7.51175e-22,4.45203e-07,1.99304e-07,4.83971,82.0477,2.63359,0.429193,75.2047,0.256677,3.09001,0.00193691,0.256677,1.57415,0.0559882,-0.329777,0.624807,0.00828394,-1.02206,0.00641696,0.00474092,0.00611136,0.00320325,-1.02206,0.00479089,1.82184,1.09434,0.00055025,0.150653,0.000641696,0.000790154,0.000256677,0.000524923,0.150653,0.696052,1.64731e-07,2.20612,0.258614
2015.2917,283.572,281.875,2.16006,0.22178,1.31058,0.00637289,0.00230451,0.00233418,0.00406838,9.65684e-08,1.91176e-05,8.36802e-08,8.68791e-10,1.88632e-05,0.00472512,0.138954,164.912,0.0769905,0.000592662,2.846e-10,2.88517e-07,1.53651e-05,5.52243e-18,1.70939e-05,2.36817e-05,1.86893e-06,5.95059e-22,2.43409e-06,1.76128e-06,4.84056,82.0201,2.62858,0.375501,75.2316,0.252769,3.08858,0.00190832,0.252769,1.57252,0.0559313,-0.331394,0.622177,0.00708629,-1.01979,0.00631925,0.00473891,0.0060183,0.00319983,-1.01979,0.00478713,1.82186,1.09436,0.000468916,0.150726,0.000631925,0.000789817,0.000252769,0.000524378,0.150726,1.72329,2.88802e-07,2.21198,0.254677
2015.3750,292.805,290.637,2.20029,0.110968,1.7386,0.00698825,0.00301193,0.0014537,0.00397632,1.29786e-07,2.44061e-05,1.10453e-07,2.88306e-09,2.27013e-05,0.00520883,0.323804,196.789,0.0983033,0.00059604,1.32419e-09,4.64333e-07,1.86177e-08,5.57142e-18,2.10157e-05,3.0896e-05,2.12586e-09,6.00628e-22,1.73468e-06,2.28528e-06,4.90966,82.0657,2.63558,0.349658,75.2363,0.254566,3.09534,0.00206449,0.254566,1.57008,0.0564427,-0.331194,0.621995,0.00653705,-1.01936,0.00636418,0.00474826,0.00606109,0.00319478,-1.01936,0.00482459,1.82187,1.09437,0.000433733,0.150737,0.000636418,0.000791377,0.000254566,0.000523567,0.150737,2.02381,4.65657e-07,2.27409,0.25663
2015.4583,294.081,292.503,2.20394,0.126372,1.0318,0.00463211,0.00295848,0.00149002,0.00167363,8.17588e-08,1.6945e-05,6.88857e-08,2.25876e-09,1.94718e-05,0.00536359,0.299249,166.947,0.0677068,0.000596961,1.07943e-09,5.46034e-07,5.08997e-08,1.22803e-17,2.04645e-05,1.98796e-05,7.1399e-09,1.32404e-21,1.8172e-06,1.48505e-06,4.94733,82.0945,2.63965,0.339354,75.2385,0.254957,3.10012,0.00216643,0.254957,1.56927,0.0567588,-0.330915,0.621947,0.00632783,-1.01914,0.00637396,0.00475494,0.00607041,0.00319308,-1.01914,0.00484787,1.82189,1.09437,0.000419421,0.150742,0.000637396,0.00079249,0.000254957,0.000523295,0.150742,1.40724,5.47113e-07,2.30768,0.257124
2015.5417,291.159,290.438,2.19327,0.109326,0.655209,0.00248476,0.00253356,0.0011889,-4.87918e-05,3.11608e-08,8.53626e-06,2.61316e-08,9.00456e-10,1.48497e-05,0.00530862,0.210705,125.117,0.0320794,0.00059519,4.49798e-10,5.8323e-07,8.83631e-10,1.60832e-17,1.78133e-05,8.54453e-06,1.52965e-10,1.73454e-21,1.46306e-06,6.6213e-07,4.96115,82.0958,2.64052,0.327142,75.2401,0.253812,3.10273,0.00221376,0.253812,1.5674,0.0569053,-0.330633,0.622148,0.00608785,-1.01896,0.00634534,0.00475865,0.00604315,0.00318923,-1.01896,0.00485884,1.82191,1.09439,0.000402114,0.150744,0.000634534,0.000793108,0.000253812,0.000522673,0.150744,0.853816,5.8368e-07,2.32063,0.256026
2015.6250,286.961,286.758,2.14974,0.147695,0.466506,0.00209151,0.0024582,0.00145455,-0.000366686,2.47841e-08,7.57727e-06,2.09137e-08,4.94431e-10,1.44448e-05,0.00513818,0.137282,117.772,0.0284059,0.000587207,1.56452e-10,5.72562e-07,2.31791e-07,1.59524e-17,2.31123e-05,7.01721e-06,3.72814e-08,1.72081e-21,1.82564e-06,5.50286e-07,4.93344,82.0609,2.63379,0.319822,75.2413,0.249133,3.10007,0.00214089,0.249133,1.56631,0.0567178,-0.330366,0.622605,0.00594433,-1.01882,0.00622837,0.00475503,0.00593175,0.00318697,-1.01882,0.00484553,1.82192,1.09443,0.000391337,0.150746,0.000622837,0.000792505,0.000249133,0.000522308,0.150746,0.767436,5.72718e-07,2.29965,0.251274
2015.7083,272.393,273.59,0.937946,0.126075,0.0474391,0.000330352,0.0012595,0.000598996,-0.000929152,3.16118e-10,1.7008e-07,2.68485e-10,3.8052e-12,1.06305e-06,0.000444483,0.00459949,8.53135,0.00045756,0.00057804,6.64817e-13,5.46095e-07,1.12016e-12,1.61424e-17,1.03825e-05,1.65879e-06,4.41166e-13,1.74126e-21,7.31012e-07,1.63883e-07,4.90281,82.0285,2.62551,0.317997,75.2415,0.243785,3.09626,0.00204626,0.243785,1.56621,0.0564666,-0.330097,0.623114,0.0059121,-1.01878,0.00609465,0.00474981,0.0058044,0.00318675,-1.01878,0.00482762,1.82194,1.09446,0.00038928,0.150745,0.000609465,0.000791634,0.000243785,0.000522277,0.150745,0.250815,5.46096e-07,2.2773,0.245831
2015.7917,264.235,265.475,0,0.0467631,0,0,0.000776983,5.21968e-05,-0.000776983,0,0,0,0,0,0,0,0,0,0.000567458,0,5.06558e-07,0,1.66974e-17,1.60759e-06,1.55022e-06,0,1.80017e-21,5.78548e-08,1.55022e-07,4.87104,82.0204,2.61539,0.3375,75.2414,0.237637,3.09109,0.0019268,0.237637,1.57046,0.05614,-0.329828,0.623301,0.00631964,-1.01878,0.00594095,0.00474265,0.00565802,0.00319545,-1.01878,0.00480425,1.82195,1.09447,0.000417794,0.150745,0.000594095,0.000790442,0.000237637,0.000523692,0.150745,0.131584,5.06558e-07,2.25566,0.239564
