time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,269.253,269.44,0,0.182827,0,0,0.000575674,2.42684e-05,-0.000575674,0.000394311,0,2.69421e-07,0,1.48792e-16,9.18755e-07,1.08796e-06,0,1.66142e-20,2.6938e-08,1.08796e-07,3.30444,80.5004,1.77984,0.196296,75.996,0.166776,2.09752,0.00127144,0.166776,1.00363,0.043511,-0.307918,0.59067,0.00365723,-0.947748,0.00416942,0.00321765,0.00397085,0.00199103,-0.947748,0.00371302,1.79618,1.07086,0.000254258,0.152113,0.000416942,0.000536275,0.000166776,0.000334799,0.152113,0.319915,2.69421e-07,1.52461,0.168047
1850.1250,271.467,271.442,0.00934664,0.279322,0.00188297,1.0851e-05,0.00070428,0.000467743,-0.000693429,0.000387308,0,2.88679e-07,2.53464e-05,1.47416e-16,-1.24764e-05,1.06141e-06,2.05669e-06,1.64544e-20,3.65934e-07,1.06141e-07,3.28338,80.4972,1.77316,0.209202,75.9978,0.162706,2.09413,0.0011996,0.162706,1.00685,0.0432869,-0.307863,0.590526,0.00392925,-0.947603,0.00406768,0.00321292,0.00387396,0.00199762,-0.947603,0.00369689,1.79619,1.07086,0.000272107,0.152118,0.000406768,0.000535486,0.000162706,0.000335872,0.152118,0.644129,2.88679e-07,1.51022,0.163906
1850.2083,276.832,276.088,0.943094,0.561999,0.361478,0.00153757,0.00107964,0.00136284,0.000457927,0.000380552,8.54153e-11,3.38471e-07,5.24589e-05,1.32535e-16,1.93433e-05,2.65608e-06,5.46293e-06,1.48449e-20,1.54335e-06,2.1817e-07,3.26019,80.4643,1.76665,0.18581,76.0111,0.158784,2.09076,0.00113258,0.158784,1.00716,0.0430676,-0.309681,0.588371,0.0033887,-0.946506,0.00396962,0.00320819,0.00378057,0.00199825,-0.946506,0.00368107,1.7962,1.07089,0.000231898,0.152157,0.000396962,0.000534698,0.000158784,0.000335976,0.152157,0.962139,3.38557e-07,1.49353,0.159916
1850.2917,287.94,286.418,1.33289,0.268486,1.15738,0.00419558,0.00204752,0.00175745,0.00214805,0.000382269,2.30739e-09,4.56164e-07,1.28277e-05,1.19448e-16,4.93101e-05,1.73854e-05,1.73147e-06,1.3395e-20,2.39719e-06,1.27273e-06,3.25673,80.4329,1.76783,0.164574,76.0079,0.159808,2.09096,0.00114989,0.159808,1.00373,0.0430735,-0.310347,0.588442,0.00295162,-0.946805,0.00399523,0.00320838,0.00380496,0.00199123,-0.946805,0.00368129,1.79621,1.07093,0.000202455,0.152151,0.000399523,0.000534729,0.000159808,0.000334831,0.152151,1.95274,4.58471e-07,1.4889,0.160958
1850.3750,295.473,294.113,1.44686,0.204821,1.93979,0.00591078,0.00298062,0.00179207,0.00293016,0.000402623,8.06683e-09,6.55408e-07,6.50628e-06,1.21792e-16,6.00662e-05,3.11389e-05,1.00961e-06,1.36515e-20,2.59763e-06,2.26347e-06,3.30036,80.4432,1.78604,0.147426,75.9968,0.171696,2.09917,0.00134583,0.171696,0.998548,0.0435899,-0.310483,0.58909,0.00260155,-0.947744,0.00429242,0.00321971,0.004088,0.00198067,-0.947744,0.00371819,1.79622,1.07095,0.000179545,0.152126,0.000429242,0.000536618,0.000171696,0.000333104,0.152126,2.90262,6.63475e-07,1.51433,0.173042
1850.4583,296.379,295.559,1.5881,0.236893,1.88179,0.0057892,0.00329923,0.0019504,0.00248997,0.0004298,9.16525e-09,8.35611e-07,1.67826e-05,1.21987e-16,7.26076e-05,3.16198e-05,2.84899e-06,1.36648e-20,2.91891e-06,2.30119e-06,3.36319,80.4697,1.81062,0.134163,75.9805,0.187548,2.11052,0.00160021,0.187548,0.991847,0.0443155,-0.310778,0.589742,0.00232978,-0.949133,0.00468871,0.00323548,0.00446542,0.00196703,-0.949133,0.00377023,1.79623,1.07097,0.000162048,0.152087,0.000468871,0.000539246,0.000187548,0.00033087,0.152087,2.92008,8.44776e-07,1.55257,0.189148
1850.5417,293.306,292.931,1.68209,0.194548,1.20323,0.00395931,0.00294286,0.00150167,0.00101645,0.000447766,4.82136e-09,9.2333e-07,3.08804e-06,1.25145e-16,5.61214e-05,1.93926e-05,7.0149e-07,1.39999e-20,2.22433e-06,1.42413e-06,3.40181,80.4808,1.827,0.128189,75.9645,0.198017,2.1182,0.0017569,0.198017,0.986294,0.0448013,-0.310823,0.590714,0.00220618,-0.950501,0.00495044,0.00324624,0.00471468,0.00195578,-0.950501,0.00380511,1.79624,1.07099,0.000154542,0.15205,0.000495044,0.000541041,0.000198017,0.000329019,0.15205,1.74288,9.28152e-07,1.57481,0.199774
1850.6250,288.73,288.771,1.70283,0.190577,0.623159,0.00211606,0.00235607,0.00129167,-0.000240014,0.000451731,1.18697e-09,9.1777e-07,3.66204e-07,1.26411e-16,4.70179e-05,7.38453e-06,1.1167e-07,1.4121e-20,1.87888e-06,5.62524e-07,3.40332,80.4634,1.83072,0.126256,75.9516,0.200319,2.12005,0.00177435,0.200319,0.982231,0.044896,-0.310693,0.591906,0.00216591,-0.951609,0.00500799,0.00324897,0.00476949,0.00194758,-0.951609,0.00381192,1.79626,1.07103,0.000152175,0.152021,0.000500799,0.000541494,0.000200319,0.000327665,0.152021,1.03399,9.18957e-07,1.57261,0.202093
1850.7083,273.839,275.183,0.755081,0.178235,0.0647117,0.000352741,0.00108603,0.000644583,-0.000733286,0.000445564,1.26256e-11,8.67002e-07,1.59945e-08,1.28496e-16,2.36482e-05,1.4178e-06,5.20508e-09,1.4335e-20,9.18379e-07,1.37668e-07,3.38028,80.4334,1.82522,0.129654,75.9429,0.196716,2.11758,0.00169449,0.196716,0.98056,0.0447001,-0.310502,0.592969,0.0022363,-0.952352,0.00491791,0.0032457,0.0046837,0.00194427,-0.952352,0.00379794,1.79627,1.07107,0.000157145,0.152002,0.000491791,0.000540951,0.000196715,0.000327108,0.152002,0.422632,8.67015e-07,1.55507,0.19841
1850.7917,266.975,267.917,0,0.0926076,0,0,0.000628579,9.11289e-05,-0.000628579,0.000437069,0,8.02647e-07,8.92682e-21,1.35678e-16,4.46503e-06,1.25094e-06,2.40264e-21,1.5122e-20,1.29668e-07,1.25094e-07,3.35741,80.4262,1.81754,0.145672,75.94,0.191759,2.11405,0.00159563,0.191759,0.983093,0.0444382,-0.310292,0.593336,0.00257556,-0.952592,0.00479401,0.00324093,0.0045657,0.00194953,-0.952592,0.00377926,1.79628,1.07108,0.000180951,0.151996,0.000479401,0.000540155,0.000191759,0.000327952,0.151996,0.141653,8.02647e-07,1.53987,0.193355
