time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,272.196,272.365,0,0.525879,0,0,0.000416053,0.000993458,-0.000416053,0,0,0.00100466,0,0,8.79435e-13,2.50136e-13,2.60303e-05,nan,2.55479e-13,3.65467e-17,1.04593e-06,nan,8.48014,126.648,6.2722,0.426776,113.588,0.347812,7.70171,0.00475924,0.347812,4.15339,0.0481084,11.869,0.453971,0.00612851,11.3523,0.00869531,0.0118171,0.00828125,0.00851476,11.3523,0.0049367,1.85247,1.05269,0.000474488,0.227482,0.000869531,0.00196951,0.000347812,0.00138453,0.227482,0.325631,0,2.20793,0.352572
1850.1250,272.705,272.772,0,0.597583,0,0,0.000429211,0.00122914,-0.000429211,0,0,0.000989759,0,0,1.97894e-05,2.47893e-13,2.79543e-05,nan,2.39956e-06,3.61568e-17,1.23871e-06,nan,8.44982,126.633,6.25415,0.439247,113.585,0.339325,7.68927,0.00449032,0.339325,4.15867,0.0477429,11.8692,0.454655,0.00634202,11.3519,0.00848314,0.0117997,0.00807918,0.00852554,11.3519,0.00491089,1.85249,1.05272,0.000489327,0.227478,0.000848314,0.00196662,0.000339325,0.00138629,0.227478,0.645545,0,2.19567,0.343816
1850.2083,276.279,275.954,1.12989,0.50522,0.498523,0.00192255,0.000915483,0.00245718,0.00100706,0,0,0.000975881,1.15463e-06,0,7.02741e-05,2.16553e-13,5.69094e-05,nan,9.08978e-06,3.16635e-17,2.5856e-06,nan,8.4215,126.596,6.2372,0.436723,113.58,0.331428,7.6775,0.00425274,0.331428,4.15734,0.0473995,11.8676,0.453961,0.00627596,11.3514,0.0082857,0.0117832,0.00789114,0.00852274,11.3514,0.00488653,1.85251,1.05277,0.000485969,0.227469,0.00082857,0.00196387,0.000331428,0.00138584,0.227469,1.06825,1.15463e-06,2.1843,0.335681
1850.2917,287.055,286.07,2.96261,0.244722,1.85557,0.0068991,0.00250365,0.00335694,0.00439546,0,0,0.000982944,4.78078e-06,0,3.11496e-05,2.15829e-13,8.46539e-05,nan,4.2612e-06,3.15617e-17,3.70399e-06,nan,8.44277,126.573,6.24687,0.416718,113.568,0.335414,7.68489,0.00446067,0.335414,4.14489,0.0476082,11.8665,0.454151,0.00591926,11.3503,0.00838536,0.0117932,0.00798606,0.00849713,11.3503,0.00490104,1.85253,1.05283,0.000462613,0.227444,0.000838536,0.00196553,0.000335414,0.00138169,0.227444,2.35983,4.78078e-06,2.1959,0.339875
1850.3750,294.14,292.963,3.18706,0.174972,2.89801,0.00913786,0.00362137,0.0031532,0.00551649,0,0,0.00102143,4.91668e-06,0,9.15991e-06,2.2912e-13,8.46662e-05,nan,1.22023e-06,3.33999e-17,3.55654e-06,nan,8.53748,126.614,6.29693,0.396957,113.552,0.357197,7.72165,0.00531451,0.357197,4.12833,0.0487415,11.8663,0.454768,0.00557916,11.3487,0.00892993,0.011844,0.0085047,0.00846318,11.3487,0.00498206,1.85254,1.05283,0.000439869,0.227405,0.000892993,0.00197401,0.000357197,0.00137618,0.227405,3.45969,4.91668e-06,2.24055,0.362512
1850.4583,295.221,294.533,3.45602,0.204614,2.63377,0.00854877,0.00390904,0.00361928,0.00463973,0,0,0.00106905,4.90916e-06,0,2.63175e-05,2.34206e-13,0.000100531,nan,3.6838e-06,3.40654e-17,4.13583e-06,nan,8.65164,126.67,6.3593,0.378868,113.532,0.384114,7.76774,0.00632586,0.384114,4.10816,0.05014,11.8659,0.455239,0.00528011,11.3469,0.00960285,0.0119082,0.00914557,0.00842193,11.3469,0.00508249,1.85256,1.05282,0.000418924,0.227358,0.000960285,0.0019847,0.000384114,0.00136945,0.227358,3.32649,4.90916e-06,2.29234,0.39044
1850.5417,292.712,292.393,3.6286,0.159148,1.62847,0.00554832,0.00313539,0.00251971,0.00241293,0,0,0.00109934,4.72253e-06,0,4.825e-06,2.45282e-13,6.71848e-05,nan,7.79713e-07,3.5599e-17,2.79077e-06,nan,8.72482,126.706,6.40023,0.373286,113.515,0.401172,7.79878,0.00693868,0.401172,4.09378,0.051028,11.866,0.456141,0.00520143,11.3453,0.0100293,0.0119519,0.00955171,0.00839269,11.3453,0.00514647,1.85259,1.05283,0.000412594,0.227319,0.00100293,0.00199198,0.000401172,0.00136466,0.227319,1.97914,4.72253e-06,2.32459,0.408111
1850.6250,288.529,288.613,3.67411,0.148401,0.950968,0.0032219,0.00239529,0.00209248,0.000826612,0,0,0.00110744,3.69169e-06,0,2.11384e-07,2.50633e-13,5.31013e-05,nan,6.34382e-08,3.63048e-17,2.25382e-06,nan,8.74734,126.708,6.41313,0.374211,113.503,0.40564,7.80973,0.00706909,0.40564,4.08437,0.0512765,11.8663,0.457356,0.00523645,11.3441,0.010141,0.0119678,0.00965809,0.00837365,11.3441,0.00516462,1.85261,1.05286,0.000413619,0.227293,0.0010141,0.00199464,0.00040564,0.00136152,0.227293,1.19861,3.69169e-06,2.33422,0.412709
1850.7083,274.033,275.57,1.73764,0.121508,0.108231,0.000563032,0.000918501,0.00107656,-0.000355469,0,0,0.00109657,5.70054e-07,0,4.40427e-10,2.54352e-13,2.85373e-05,nan,1.70157e-10,3.67879e-17,1.14001e-06,nan,8.72739,126.69,6.40182,0.385158,113.495,0.399359,7.8032,0.0068008,0.399359,4.08253,0.0510054,11.8667,0.458491,0.00544432,11.3434,0.00998397,0.0119596,0.00950854,0.00837013,11.3434,0.00514571,1.85263,1.0529,0.000426492,0.227278,0.000998397,0.00199326,0.000399359,0.00136091,0.227278,0.338541,5.70054e-07,2.32557,0.406159
1850.7917,266.643,267.874,0,0.0403102,0,0,0.000440439,0.000163881,-0.000440439,0,0,0.00107908,0,0,5.0245e-41,2.61974e-13,6.90783e-06,nan,1.9614e-41,3.78455e-17,1.91297e-07,nan,8.69309,126.694,6.38186,0.41565,113.493,0.389344,7.79027,0.00640576,0.389344,4.0922,0.05058,11.867,0.458947,0.00600826,11.3431,0.0097336,0.0119423,0.00927009,0.00839016,11.3431,0.00511604,1.85265,1.05292,0.000463108,0.227273,0.00097336,0.00199039,0.000389344,0.00136413,0.227273,0.0668265,0,2.31123,0.39575
