time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,259.676,259.844,0,0.188475,0,0,0.000315255,1.02396e-07,-0.000315255,0.00124746,0,0,0,1.12795e-13,8.94439e-09,nan,0,2.46358e-17,1.86897e-10,nan,10.7302,135.228,7.95457,1.23384,117.013,0.424475,9.78912,0.0065549,0.424475,6.25115,0.0581206,12.0819,0.303394,0.0177072,11.6899,0.0106119,0.0150165,0.0101065,0.0128433,11.6899,0.00604328,1.89253,1.08093,0.00140229,0.234557,0.00106119,0.00250275,0.000424475,0.00208379,0.234557,0.0993774,0,2.77559,0.43103
2015.1250,261.79,261.863,0,0.188475,0,0,0.000334583,8.20925e-08,-0.000334583,0.00122924,0,0,0,9.51285e-14,7.17246e-09,nan,0,2.07652e-17,1.49839e-10,nan,10.6929,135.247,7.93205,1.27406,117.013,0.414117,9.77331,0.00618452,0.414117,6.26696,0.0576756,12.0823,0.303416,0.0184713,11.6899,0.0103529,0.0149946,0.00985994,0.0128757,11.6899,0.00601176,1.89255,1.08093,0.00145032,0.234557,0.00103529,0.0024991,0.000414117,0.00208906,0.234557,0.275754,0,2.76088,0.420302
2015.2083,270.889,270.345,0.650731,0.480157,0.12603,0.000726344,0.000572002,0.00109412,0.000154341,0.00121096,2.01187e-07,0,3.94965e-05,8.29755e-14,-1.90298e-05,nan,4.45867e-06,1.81145e-17,3.45879e-07,nan,10.6551,135.261,7.90921,1.3084,117.015,0.403731,9.75712,0.00582645,0.403731,6.28192,0.0572278,12.0825,0.303114,0.0191167,11.6901,0.0100933,0.0149721,0.00961265,0.0129063,11.6901,0.00597996,1.89257,1.08093,0.00149039,0.234564,0.00100933,0.00249535,0.000403731,0.00209404,0.234564,0.687587,2.01187e-07,2.74586,0.409558
2015.2917,282.315,280.713,3.63664,0.208145,1.6762,0.00810809,0.00239692,0.00391939,0.00571117,0.00121156,4.71316e-06,0,2.26638e-05,6.85964e-14,2.28868e-05,nan,4.48451e-06,1.50487e-17,3.02061e-06,nan,10.6808,135.249,7.91496,1.25127,117.042,0.403868,9.76442,0.00602059,0.403868,6.27457,0.0573871,12.0812,0.300641,0.0178836,11.6924,0.0100967,0.014982,0.00961589,0.0128911,11.6924,0.00599187,1.89259,1.08094,0.00141761,0.234637,0.00100967,0.00249701,0.000403868,0.00209159,0.234637,1.90423,4.71316e-06,2.76586,0.409888
2015.3750,292.188,289.996,3.76571,0.106438,1.438,0.0057042,0.00212723,0.0023683,0.00357697,0.00123127,4.88521e-06,0,5.61464e-08,6.90897e-14,2.37043e-05,nan,4.9754e-09,1.51505e-17,2.10758e-06,nan,10.7689,135.303,7.9501,1.21822,117.049,0.414592,9.79616,0.00674419,0.414592,6.26665,0.0581869,12.0816,0.300301,0.0172035,11.693,0.0103648,0.015026,0.00987123,0.0128747,11.693,0.00605033,1.89262,1.08092,0.00137827,0.234655,0.00103648,0.00250434,0.000414592,0.00208895,0.234655,1.66933,4.88521e-06,2.8188,0.421336
2015.4583,293.719,292.234,3.75604,0.121899,0.833559,0.00363844,0.00185747,0.00270403,0.00178097,0.00123,4.00716e-06,0,1.67498e-07,9.34528e-14,2.54208e-05,nan,1.66791e-08,2.04919e-17,2.43703e-06,nan,10.7848,135.303,7.95339,1.20238,117.054,0.413649,9.80167,0.00683925,0.413649,6.26229,0.0582819,12.0821,0.300604,0.0169079,11.6935,0.0103412,0.0150339,0.00984879,0.0128658,11.6935,0.00605778,1.89264,1.08095,0.0013595,0.234664,0.00103412,0.00250565,0.000413649,0.0020875,0.234664,1.17359,4.00716e-06,2.83143,0.420488
2015.5417,291.156,290.451,3.73155,0.104132,0.44071,0.0014205,0.00132927,0.00215593,9.12307e-05,0.00122613,2.37663e-06,0,3.68605e-10,9.72553e-14,2.34938e-05,nan,5.40353e-11,2.13212e-17,1.98735e-06,nan,10.7916,135.287,7.95274,1.18327,117.057,0.411257,9.80393,0.00685468,0.411257,6.25524,0.0582928,12.0826,0.301054,0.0165736,11.6938,0.0102814,0.0150373,0.00979184,0.0128513,11.6938,0.00605917,1.89266,1.08099,0.00133706,0.234671,0.00102814,0.00250621,0.000411257,0.00208515,0.234671,0.597595,2.37663e-06,2.83884,0.418112
2015.6250,286.837,286.68,3.6533,0.141181,0.52236,0.00227145,0.00162274,0.00277256,0.000648705,0.00121274,2.12354e-06,0,1.37594e-06,9.61288e-14,3.12451e-05,nan,1.37704e-07,2.10737e-17,2.60861e-06,nan,10.7668,135.244,7.93727,1.16847,117.06,0.403599,9.79377,0.00659475,0.403599,6.24945,0.0579764,12.083,0.301755,0.0163142,11.6941,0.01009,0.0150234,0.0096095,0.0128394,11.6941,0.0060367,1.89268,1.08105,0.00131984,0.234674,0.001009,0.0025039,0.000403599,0.00208322,0.234674,0.784808,2.12354e-06,2.82949,0.410194
2015.7083,272.626,273.861,1.7233,0.120908,0.052832,0.000349702,0.000705968,0.00113691,-0.000356265,0.00119875,3.94306e-07,0,1.64925e-11,9.7451e-14,1.55146e-05,nan,3.78634e-12,2.13519e-17,1.08318e-06,nan,10.74,135.211,7.9206,1.16267,117.06,0.395615,9.78248,0.00632187,0.395615,6.24752,0.0576423,12.0834,0.302465,0.0162201,11.6942,0.00989037,0.0150078,0.0094194,0.0128353,11.6942,0.00601291,1.89271,1.0811,0.00131364,0.234674,0.000989037,0.0025013,0.000395615,0.00208257,0.234674,0.238123,3.94306e-07,2.81941,0.401937
2015.7917,264.114,265.375,0,0.047325,0,0,0.000404194,0.000102227,-0.000404194,0.00118115,0,0,0,1.00814e-13,2.763e-06,nan,0,2.20721e-17,1.03558e-07,nan,10.702,135.213,7.89808,1.19073,117.06,0.385644,9.76616,0.00595312,0.385644,6.2604,0.0572077,12.0837,0.302732,0.0167418,11.6942,0.00964111,0.0149852,0.00918201,0.0128617,11.6942,0.0059819,1.89273,1.08111,0.00134786,0.234673,0.000964111,0.00249753,0.000385644,0.00208687,0.234673,0.131701,0,2.80389,0.391597
