time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.470151,0,0,0.000636623,0.000471827,-0.000636623,0,0,0,0,0,0,0,0,0,0.000523197,0,9.82687e-07,1.57609e-06,2.64649e-07,9.00492e-06,0,8.1133e-08,3.37543e-09,4.6935e-07,0,11.6277,45.9372,7.228,0.501088,31.121,0,8.69311,0.00552886,0,2.68744,0.147802,3.27042,0.00114228,0.010701,3.10525,0,0.0133372,0,0.00552702,3.10525,0.00917485,3.05063,1.67138,0.000608517,0.0625616,0,0.00222286,0,0.000895815,0.0625616,0.399101,9.82687e-07,4.39967,0.00552886
2015.1250,274.885,274.552,0,0.482475,0,0,0.000845666,0.00152011,-0.000845666,0,0,0,0,0,0,0,0,0,0.000522352,0,9.28725e-07,1.00113e-05,4.45882e-07,1.68152e-05,0,6.00088e-07,4.08641e-09,1.72676e-06,0,11.5896,45.8926,7.21633,0.479144,31.126,0,8.67907,0.00521646,0,2.69785,0.147563,3.27038,0.00145567,0.0101274,3.10569,0,0.0133176,0,0.00554828,3.10569,0.00916004,3.05063,1.67141,0.000579114,0.0625748,0,0.00221961,0,0.000899282,0.0625748,0.529783,9.28725e-07,4.37329,0.00521646
2015.2083,283.009,282.038,0,0.203763,0,0,0.00112546,0.00219516,-0.00112546,0,0,0,0,0,0,0,0,0,0.00052148,0,8.9691e-07,2.11317e-05,2.08702e-06,3.54488e-05,0,1.75241e-06,1.59538e-08,2.71839e-06,0,11.5417,45.8028,7.20427,0.424191,31.1359,0,8.66458,0.00491181,0,2.70099,0.147317,3.26998,0.00184214,0.0086616,3.10661,0,0.0132974,0,0.00555455,3.10661,0.00914474,3.05063,1.67148,0.000497808,0.062598,0,0.00221623,0,0.000900331,0.062598,1.12721,8.9691e-07,4.33738,0.00491181
2015.2917,291.195,289.72,1.69034,0.18389,1.37951,0.00531126,0.0027405,0.00235986,0.00257075,1.10293e-05,0.000112823,1.66773e-06,1.10679e-06,0.00125443,0.0202302,2.08003,0.588907,0.00804801,0.000521518,5.18524e-06,9.01404e-07,3.38051e-05,1.8543e-06,5.56275e-05,3.45753e-05,3.13438e-06,1.26908e-08,3.24545e-06,1.99476e-06,11.5187,45.7292,7.2027,0.376997,31.1348,0.0519714,8.75094,0.00691199,0.0519714,2.69868,0.14739,3.26922,0.00214722,0.00748863,3.10664,0.00207886,0.0134169,0.00123741,0.00554964,3.10664,0.0091477,3.05063,1.67155,0.00043169,0.0625887,0.00013859,0.00223615,5.19714e-05,0.000899561,0.0625887,2.35016,6.08665e-06,4.31601,0.0588834
2015.3750,292.925,291.898,3.60286,0.174971,2.61446,0.0100278,0.00409384,0.00212434,0.00593396,2.15116e-05,0.00016226,2.61515e-06,2.17289e-06,0.00150021,0.0151711,3.06278,0.631184,0.0158829,0.000525609,1.09813e-05,9.7638e-07,2.9127e-05,7.52441e-07,6.32577e-05,6.83088e-05,2.82092e-06,8.05465e-09,3.09175e-06,3.99893e-06,11.6413,45.8032,7.2478,0.343521,31.1246,0.107632,8.84449,0.00890632,0.107632,2.6938,0.148886,3.26853,0.0015326,0.00666079,3.10591,0.00430529,0.0135475,0.00256267,0.0055398,3.10591,0.00923388,3.05063,1.67155,0.000386038,0.062555,0.000287019,0.00225792,0.000107632,0.000897935,0.062555,3.3787,1.19577e-05,4.39348,0.116539
2015.4583,295.961,294.907,3.60275,0.208293,2.358,0.00993219,0.00453831,0.00228282,0.00539389,2.26938e-05,0.0001617,2.6601e-06,2.17457e-06,0.00159815,0.0158743,3.87318,0.530936,0.015677,0.000530811,1.36951e-05,1.07348e-06,2.80079e-05,2.27043e-07,7.67638e-05,6.74107e-05,2.56254e-06,5.40833e-09,3.35469e-06,3.94625e-06,11.7989,45.9134,7.30568,0.319438,31.1085,0.10763,8.83006,0.00839385,0.10763,2.68657,0.150767,3.26813,0.00112639,0.00606578,3.10465,0.00430519,0.0135288,0.00256261,0.00552514,3.10465,0.00934329,3.05063,1.67152,0.00035394,0.0625067,0.000287012,0.00225479,0.00010763,0.000895522,0.0625067,3.58183,1.47685e-05,4.4932,0.116024
2015.5417,295.813,295.205,3.59596,0.196309,2.19119,0.00822043,0.00435295,0.00215548,0.00386748,1.65568e-05,0.000147905,2.00522e-06,1.66023e-06,0.0013258,0.0153624,3.6706,0.580961,0.0126811,0.000535326,1.09245e-05,1.14939e-06,3.29573e-05,2.65425e-07,7.84922e-05,5.45453e-05,2.98358e-06,8.32285e-09,3.13218e-06,3.17497e-06,11.9215,45.9854,7.35562,0.299761,31.0876,0.107447,8.81508,0.00789593,0.107447,2.67643,0.152408,3.26766,0.00124184,0.00558262,3.10292,0.00429788,0.013509,0.00255826,0.00550444,3.10292,0.00943815,3.05063,1.67151,0.000328292,0.0624481,0.000286525,0.0022515,0.000107447,0.000892144,0.0624481,2.94038,1.20739e-05,4.5659,0.115343
2015.6250,290.506,290.661,3.58928,0.186698,1.54397,0.00666817,0.00354568,0.00171079,0.00312249,1.43979e-05,0.000132723,1.71438e-06,1.50051e-06,0.00129841,0.0149159,2.35688,0.504926,0.0101973,0.000538708,7.15853e-06,1.18683e-06,2.94276e-05,4.50068e-07,6.47495e-05,4.38351e-05,2.98174e-06,9.23088e-09,2.44541e-06,2.53929e-06,12.009,46.0337,7.39257,0.286324,31.0689,0.107268,8.80036,0.0074348,0.107268,2.66949,0.15365,3.26706,0.00134108,0.00525598,3.10132,0.0042907,0.0134894,0.00255399,0.00549024,3.10132,0.00950933,3.05063,1.6715,0.000311213,0.0623981,0.000286047,0.00224824,0.000107268,0.000889828,0.0623981,2.28841,8.34536e-06,4.61643,0.114702
2015.7083,285.135,285.792,2.90525,0.215104,0.675036,0.00388095,0.00259587,0.00249315,0.00128507,8.39807e-06,7.67357e-05,1.04826e-06,8.75945e-07,0.00138585,0.0114478,1.15492,0.424996,0.00540803,0.00744401,2.66376e-06,1.18095e-06,2.50492e-05,8.02505e-07,7.7792e-06,7.08865e-05,1.95697e-06,1.81355e-08,1.61245e-06,4.50979e-06,12.0235,46.0881,7.39758,0.338999,31.06,0.0883995,8.78566,0.00700074,0.0883995,2.66565,0.153533,3.26735,0.00123446,0.00659223,3.10051,0.00353497,0.0134697,0.00210475,0.00548239,3.10051,0.00950395,3.05068,1.67151,0.000381915,0.0623765,0.000235643,0.00224496,8.83995e-05,0.000888549,0.0623765,1.28852,3.8447e-06,4.62588,0.0954002
2015.7917,280.564,281.45,0,0.199394,0,0,0.00116479,0.00305532,-0.00116479,0,0,0,0,0,0,0,0,0,0.000529283,0,1.12507e-06,2.17164e-06,4.01941e-07,2.27284e-06,0,1.1307e-07,1.62234e-08,2.09709e-06,0,11.8222,46.165,7.30805,0.570522,31.1072,0,8.77099,0.00659189,0,2.66513,0.149135,3.27152,0.00020324,0.012316,3.10439,0,0.0134499,0,0.00548134,3.10439,0.00926132,3.05092,1.67154,0.000693096,0.0625097,0,0.00224165,0,0.000888378,0.0625097,0.407233,1.12507e-06,4.51413,0.00659189
