time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.023,273.071,0,0.468987,0,0,0.000636594,0.000470049,-0.000636594,0,0,0,0,0,0,0,0,0,0.000523199,0,3.03596e-07,1.52394e-06,2.59762e-07,8.97167e-06,0,7.83677e-08,3.37833e-09,4.67392e-07,0,11.6276,45.9372,7.22803,0.501088,31.121,0,8.69315,0.00552864,0,2.68745,0.147786,3.27033,0.0010576,0.0107011,3.10526,0,0.0133372,0,0.00552703,3.10526,0.00917488,3.05063,1.67138,0.00060852,0.0625617,0,0.00222287,0,0.000895817,0.0625617,0.399093,3.03596e-07,4.39958,0.00552864
2015.1250,274.882,274.55,0,0.479959,0,0,0.000845627,0.00151962,-0.000845627,0,0,0,0,0,0,0,0,0,0.000522354,0,2.95876e-07,9.14595e-06,4.38608e-07,1.6791e-05,0,5.2347e-07,4.15509e-09,1.72605e-06,0,11.5896,45.8927,7.21635,0.479199,31.1261,0,8.67911,0.00521625,0,2.69786,0.147547,3.27024,0.00132401,0.0101292,3.10569,0,0.0133177,0,0.00554831,3.10569,0.00916006,3.05063,1.67141,0.000579202,0.0625749,0,0.00221962,0,0.000899288,0.0625749,0.529882,2.95876e-07,4.3732,0.00521625
2015.2083,283.009,282.037,0,0.203761,0,0,0.00112541,0.00219483,-0.00112541,0,0,0,0,0,0,0,0,0,0.000521482,0,3.61296e-07,1.91764e-05,2.03398e-06,3.54621e-05,0,1.48002e-06,1.62595e-08,2.71797e-06,0,11.5416,45.8028,7.2043,0.424252,31.136,0,8.66462,0.00491162,0,2.701,0.147301,3.26983,0.00170319,0.00866286,3.10661,0,0.0132974,0,0.00555458,3.10661,0.00914477,3.05063,1.67148,0.000497888,0.0625981,0,0.00221624,0,0.000900334,0.0625981,1.12721,3.61296e-07,4.33729,0.00491162
2015.2917,291.196,289.721,1.68797,0.183883,1.3781,0.00530546,0.00273926,0.00236028,0.0025662,1.12598e-05,0.000112755,1.69069e-06,1.02875e-06,0.00127184,0.0200129,2.09127,0.564447,0.00803901,0.000521518,4.88574e-06,4.91014e-07,3.19483e-05,1.76685e-06,5.56118e-05,3.45327e-05,2.85445e-06,1.27719e-08,3.24552e-06,1.99246e-06,11.5186,45.7292,7.20271,0.377032,31.1348,0.0519004,8.75084,0.00690874,0.0519004,2.69869,0.147373,3.26908,0.00201685,0.00748937,3.10665,0.00207602,0.0134168,0.00123572,0.00554966,3.10665,0.00914769,3.05063,1.67155,0.000431736,0.0625888,0.000138401,0.00223613,5.19004e-05,0.000899565,0.0625888,2.34915,5.37676e-06,4.31588,0.0588092
2015.3750,292.925,291.898,3.60273,0.17497,2.61445,0.0100278,0.00409462,0.0021245,0.00593316,2.2466e-05,0.000162259,2.69285e-06,2.16023e-06,0.00156944,0.0151718,2.9722,0.586667,0.0158828,0.000525607,1.07251e-05,7.37262e-07,2.70738e-05,6.83548e-07,6.32496e-05,6.8293e-05,2.5844e-06,8.07427e-09,3.09178e-06,3.99889e-06,11.6411,45.8031,7.24778,0.34354,31.1247,0.107629,8.84452,0.00890621,0.107629,2.69381,0.148868,3.2684,0.00140866,0.0066612,3.10592,0.00430516,0.0135476,0.00256259,0.00553983,3.10592,0.00923383,3.05063,1.67155,0.000386063,0.0625551,0.00028701,0.00225793,0.000107629,0.000897938,0.0625551,3.37869,1.14624e-05,4.39329,0.116535
2015.4583,295.961,294.907,3.60271,0.208292,2.35799,0.00993216,0.0045393,0.00228289,0.00539286,2.39043e-05,0.0001617,2.75069e-06,2.24049e-06,0.00168532,0.0158745,3.65599,0.489082,0.0156769,0.000530809,1.35006e-05,9.62689e-07,2.58273e-05,1.98073e-07,7.67585e-05,6.7391e-05,2.33463e-06,5.41398e-09,3.35472e-06,3.94622e-06,11.7986,45.9132,7.30566,0.319449,31.1086,0.107629,8.8301,0.00839384,0.107629,2.68658,0.150749,3.26802,0.00102579,0.00606604,3.10465,0.00430514,0.0135288,0.00256258,0.00552516,3.10465,0.00934325,3.05063,1.67152,0.000353955,0.0625069,0.000287009,0.0022548,0.000107629,0.000895526,0.0625069,3.58181,1.44633e-05,4.49298,0.116022
2015.5417,295.813,295.205,3.59591,0.196309,2.19118,0.0082204,0.00435324,0.00215552,0.00386716,1.70769e-05,0.000147905,2.0375e-06,1.69673e-06,0.00136809,0.0153625,3.52404,0.549392,0.0126811,0.000535324,1.08301e-05,1.10632e-06,3.12472e-05,2.37613e-07,7.84893e-05,5.45368e-05,2.79385e-06,8.32296e-09,3.13224e-06,3.17496e-06,11.9213,45.9852,7.35561,0.299769,31.0877,0.107446,8.81511,0.00789592,0.107446,2.67644,0.152389,3.26756,0.0011621,0.00558279,3.10293,0.00429783,0.0135091,0.00255823,0.00550446,3.10293,0.0094381,3.05063,1.67151,0.000328302,0.0624482,0.000286522,0.00225151,0.000107446,0.000892148,0.0624482,2.94036,1.19364e-05,4.56565,0.115342
2015.6250,290.506,290.661,3.58924,0.186698,1.54396,0.00666814,0.00354567,0.00171081,0.00312247,1.45718e-05,0.000132723,1.71605e-06,1.50368e-06,0.00131458,0.0149159,2.44308,0.483464,0.0101973,0.000538707,7.48051e-06,1.16755e-06,2.8229e-05,4.15464e-07,6.47478e-05,4.38322e-05,2.82096e-06,9.22939e-09,2.44546e-06,2.53928e-06,12.0087,46.0336,7.39255,0.286329,31.069,0.107266,8.8004,0.00743479,0.107266,2.6695,0.153631,3.26697,0.00127201,0.0052561,3.10132,0.00429066,0.0134895,0.00255396,0.00549026,3.10132,0.00950928,3.05063,1.6715,0.000311221,0.0623982,0.000286044,0.00224825,0.000107266,0.000889832,0.0623982,2.2884,8.64806e-06,4.61618,0.114701
2015.7083,285.135,285.792,2.9052,0.215105,0.675063,0.00388096,0.0025957,0.00246542,0.00128526,8.36619e-06,7.67355e-05,1.02982e-06,8.95203e-07,0.00136175,0.0114477,1.36232,0.410397,0.0054056,0.00744394,3.12275e-06,1.16275e-06,2.405e-05,7.60926e-07,9.21229e-06,7.08868e-05,1.85414e-06,1.81322e-08,1.61655e-06,4.50977e-06,12.0232,46.088,7.39757,0.339174,31.06,0.0883986,8.7857,0.00700074,0.0883986,2.66566,0.153514,3.26728,0.00118293,0.00659663,3.10051,0.00353493,0.0134698,0.00210473,0.00548242,3.10051,0.0095039,3.05068,1.67151,0.000382181,0.0623764,0.000235641,0.00224496,8.83986e-05,0.000888553,0.0623764,1.28841,4.28551e-06,4.62563,0.0953993
2015.7917,280.564,281.45,0,0.199395,0,0,0.00116467,0.00302374,-0.00116467,0,0,0,0,0,0,0,0,0,0.000529281,0,1.09862e-06,2.04914e-06,3.80325e-07,2.76921e-06,0,1.03737e-07,1.62226e-08,2.06181e-06,0,11.8219,46.1663,7.30804,0.573497,31.1057,0,8.77103,0.00659189,0,2.66514,0.149116,3.27144,0.000189466,0.0123877,3.10427,0,0.0134499,0,0.00548136,3.10427,0.00926128,3.05092,1.67154,0.000697482,0.0625058,0,0.00224166,0,0.000888381,0.0625058,0.40723,1.09862e-06,4.51389,0.00659189
