time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.470151,0,0,0.000636603,0.000471799,-0.000636603,0.0005232,0,9.82682e-07,1.57575e-06,2.63476e-07,9.00588e-06,0,8.11236e-08,3.3754e-09,4.69356e-07,0,11.6276,45.9372,7.22803,0.501069,31.121,0,8.69316,0.00552887,0,2.68744,0.147786,3.27041,0.0011406,0.0107006,3.10526,0,0.0133372,0,0.00552701,3.10526,0.00917489,3.05063,1.67138,0.000608497,0.0625617,0,0.00222287,0,0.000895814,0.0625617,0.399101,9.82682e-07,4.39961,0.00552887
2015.1250,274.885,274.552,0,0.482476,0,0,0.000845638,0.00152007,-0.000845638,0.000522354,0,9.2872e-07,1.00134e-05,4.44548e-07,1.6815e-05,0,6.00138e-07,4.08659e-09,1.72679e-06,0,11.5896,45.8926,7.21636,0.479127,31.1261,0,8.67912,0.00521646,0,2.69784,0.147547,3.27037,0.00145402,0.010127,3.10569,0,0.0133177,0,0.00554828,3.10569,0.00916007,3.05063,1.67141,0.000579095,0.0625749,0,0.00221962,0,0.000899282,0.0625749,0.529783,9.2872e-07,4.37323,0.00521646
2015.2083,283.009,282.038,0,0.203763,0,0,0.00112542,0.00219511,-0.00112542,0.000521482,0,8.96906e-07,2.11328e-05,2.08221e-06,3.54496e-05,0,1.75234e-06,1.59545e-08,2.71837e-06,0,11.5416,45.8028,7.20431,0.424177,31.136,0,8.66463,0.00491182,0,2.70099,0.147301,3.26997,0.00184053,0.00866129,3.10661,0,0.0132974,0,0.00555455,3.10661,0.00914478,3.05063,1.67148,0.000497792,0.0625981,0,0.00221624,0,0.00090033,0.0625981,1.12721,8.96906e-07,4.33732,0.00491182
2015.2917,291.195,289.72,1.69032,0.18389,1.3795,0.00531123,0.0027405,0.00235981,0.00257073,0.00052152,4.77174e-06,9.014e-07,3.37718e-05,1.84816e-06,5.56283e-05,3.45744e-05,3.13033e-06,1.2691e-08,3.24541e-06,1.99474e-06,11.5187,45.7292,7.20274,0.376985,31.1348,0.0519709,8.75099,0.00691199,0.0519709,2.69868,0.147374,3.2692,0.0021424,0.00748837,3.10665,0.00207884,0.013417,0.0012374,0.00554964,3.10665,0.00914774,3.05063,1.67155,0.000431675,0.0625888,0.000138589,0.00223616,5.19709e-05,0.000899561,0.0625888,2.35015,5.67314e-06,4.31595,0.0588829
2015.3750,292.925,291.898,3.60282,0.174971,2.61445,0.0100278,0.00409404,0.0021243,0.00593373,0.000525611,1.03952e-05,9.76375e-07,2.88787e-05,7.41279e-07,6.32583e-05,6.83046e-05,2.797e-06,8.05471e-09,3.09172e-06,3.99892e-06,11.6413,45.8032,7.24783,0.343511,31.1247,0.107631,8.84454,0.00890631,0.107631,2.6938,0.148869,3.2685,0.00151515,0.00666058,3.10592,0.00430525,0.0135476,0.00256265,0.0055398,3.10592,0.00923391,3.05063,1.67155,0.000386026,0.0625551,0.000287017,0.00225793,0.000107631,0.000897934,0.0625551,3.3787,1.13716e-05,4.39342,0.116537
2015.4583,295.961,294.907,3.60271,0.208293,2.358,0.00993216,0.00453865,0.00228278,0.00539351,0.000530813,1.32484e-05,1.07348e-06,2.75528e-05,2.19855e-07,7.67642e-05,6.74039e-05,2.52062e-06,5.40836e-09,3.35465e-06,3.94624e-06,11.7988,45.9134,7.30571,0.31943,31.1086,0.107629,8.83011,0.00839384,0.107629,2.68657,0.150751,3.2681,0.00110427,0.00606562,3.10465,0.00430515,0.0135288,0.00256259,0.00552514,3.10465,0.00934333,3.05063,1.67152,0.00035393,0.0625068,0.00028701,0.0022548,0.000107629,0.000895522,0.0625068,3.58182,1.43218e-05,4.49313,0.116022
2015.5417,295.813,295.205,3.59592,0.196309,2.19119,0.0082204,0.00435305,0.00215545,0.00386734,0.000535328,1.07017e-05,1.14938e-06,3.25894e-05,2.57921e-07,7.84923e-05,5.45421e-05,2.94729e-06,8.32289e-09,3.13214e-06,3.17497e-06,11.9215,45.9854,7.35566,0.299755,31.0877,0.107446,8.81512,0.00789592,0.107446,2.67643,0.152391,3.26763,0.00122374,0.00558249,3.10292,0.00429784,0.0135091,0.00255824,0.00550444,3.10292,0.00943818,3.05063,1.67151,0.000328284,0.0624482,0.000286523,0.00225152,0.000107446,0.000892144,0.0624482,2.94037,1.18511e-05,4.56582,0.115342
2015.6250,290.506,290.661,3.58925,0.186698,1.54397,0.00666814,0.00354555,0.00171077,0.00312259,0.000538711,7.36655e-06,1.18682e-06,2.92718e-05,4.42353e-07,6.47493e-05,4.38359e-05,2.96211e-06,9.23091e-09,2.44538e-06,2.53928e-06,12.0089,46.0337,7.3926,0.286318,31.069,0.107267,8.8004,0.0074348,0.107267,2.66948,0.153634,3.26703,0.00133052,0.00525587,3.10132,0.00429066,0.0134895,0.00255397,0.00549024,3.10132,0.00950937,3.05063,1.6715,0.000311207,0.0623982,0.000286044,0.00224825,0.000107267,0.000889828,0.0623982,2.28841,8.55338e-06,4.61634,0.114701
2015.7083,285.135,285.792,2.90522,0.215104,0.675042,0.00388094,0.00259566,0.00249719,0.00128528,0.00744395,3.05836e-06,1.18094e-06,2.50956e-05,7.99588e-07,7.56036e-06,7.08888e-05,1.95971e-06,1.81355e-08,1.61048e-06,4.50976e-06,12.0234,46.0881,7.39761,0.338979,31.0601,0.0883987,8.78571,0.00700074,0.0883987,2.66565,0.153516,3.26734,0.00123636,0.00659175,3.10051,0.00353493,0.0134698,0.00210473,0.00548239,3.10051,0.00950398,3.05068,1.67151,0.000381888,0.0623766,0.000235641,0.00224497,8.83987e-05,0.000888549,0.0623766,1.28849,4.2393e-06,4.6258,0.0953994
2015.7917,280.564,281.45,0,0.199394,0,0,0.00116475,0.00305555,-0.00116475,0.000529285,0,1.12506e-06,2.18761e-06,4.03681e-07,2.35436e-06,0,1.14195e-07,1.62235e-08,2.10054e-06,0,11.8221,46.1649,7.30809,0.570216,31.1074,0,8.77104,0.00659189,0,2.66513,0.149118,3.27152,0.000204692,0.0123088,3.10441,0,0.01345,0,0.00548133,3.10441,0.00926136,3.05092,1.67154,0.00069269,0.0625101,0,0.00224166,0,0.000888377,0.0625101,0.407234,1.12506e-06,4.51406,0.00659189
