time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,278.311,278.147,0,0.262636,0,0,0.000680184,0.00124993,-0.000680184,0,0,0.00035439,0,3.32743e-07,1.88552e-05,6.14587e-06,3.29188e-05,0,1.37481e-06,2.35769e-08,1.71859e-06,0,7.82001,41.0528,4.8895,0.302256,30.8201,0,5.91501,0.00292,0,2.11038,0.121649,3.21148,0.00255483,0.0060386,3.07692,0,0.00908055,0,0.00431828,3.07692,0.00716015,3.00711,1.63418,0.000344152,0.0618779,0,0.00151343,0,0.00070346,0.0618779,0.852906,3.32743e-07,2.93051,0.00292
1850.1250,281.651,281.477,0,0.220374,0,0,0.000713966,0.00124101,-0.000713966,0,0,0.000353818,0,4.62338e-07,2.22136e-05,7.23987e-06,3.94076e-05,0,1.89969e-06,2.66216e-08,1.82037e-06,0,7.78746,40.9958,4.8816,0.281169,30.8157,0,5.90546,0.00275501,0,2.11152,0.121453,3.21068,0.00283125,0.00551179,3.07656,0,0.00906696,0,0.00432054,3.07656,0.00714859,3.00711,1.63423,0.000315522,0.0618649,0,0.00151116,0,0.00070384,0.0618649,1.14822,4.62338e-07,2.90585,0.00275501
1850.2083,290.439,289.11,1.06297,0.176677,0.682418,0.00246562,0.00168132,0.00138406,0.000784304,5.85832e-06,8.30551e-05,0.000353589,3.01349e-06,5.80437e-07,2.75554e-05,6.33285e-06,5.05301e-05,1.78492e-05,3.44794e-06,1.93866e-08,2.12361e-06,9.72625e-07,7.7608,40.9429,4.87739,0.263694,30.8072,0.0335075,5.94507,0.00371821,0.0335075,2.11123,0.121375,3.2098,0.00317165,0.00507567,3.07586,0.0013403,0.00912148,0.000797797,0.00431989,3.07586,0.00714331,3.00711,1.63428,0.000292103,0.0618414,8.93533e-05,0.00152025,3.35075e-05,0.000703743,0.0618414,1.93001,3.59392e-06,2.88341,0.0372257
1850.2917,294.498,293.054,2.55679,0.146098,2.26632,0.00576186,0.00285775,0.00136576,0.00290411,1.21566e-05,0.000141817,0.000356093,7.9912e-06,7.95258e-07,1.82262e-05,2.9584e-06,5.53699e-05,4.46316e-05,2.61531e-06,9.55644e-09,2.13428e-06,2.50334e-06,7.812,40.9648,4.90295,0.249193,30.7946,0.0786944,6.00195,0.00498354,0.0786944,2.10903,0.122261,3.20898,0.00290483,0.00471613,3.07478,0.00314778,0.00920054,0.00187368,0.00431555,3.07478,0.0071919,3.0071,1.63429,0.000273065,0.0618074,0.000209852,0.00153342,7.86944e-05,0.00070301,0.0618074,2.85136,8.78646e-06,2.90905,0.0836779
1850.3750,297.986,296.737,2.56581,0.200877,2.09848,0.00643161,0.00329866,0.00161637,0.00313295,1.37861e-05,0.000149517,0.000359552,1.00516e-05,1.0084e-06,4.19849e-05,1.46577e-06,6.97975e-05,5.02919e-05,4.44935e-06,5.51802e-09,2.50898e-06,2.8325e-06,7.89096,41.013,4.93891,0.237402,30.7793,0.0789521,5.9925,0.00470505,0.0789521,2.10538,0.123519,3.20829,0.00258173,0.00442385,3.07345,0.00315809,0.00918786,0.00187981,0.00430826,3.07345,0.00726215,3.0071,1.63427,0.000257769,0.0617676,0.000210539,0.00153131,7.89521e-05,0.000701792,0.0617676,3.4695,1.106e-05,2.95205,0.0836572
1850.4583,303.436,301.459,2.56118,0.129473,2.72784,0.0048454,0.00338397,0.00162092,0.00146143,9.79316e-06,0.000125339,0.000362468,7.26839e-06,1.17465e-06,2.17263e-05,1.2966e-06,7.36729e-05,3.54395e-05,2.86559e-06,5.26452e-09,2.48046e-06,1.97359e-06,7.94717,41.0306,4.96896,0.226114,30.759,0.0788203,5.98249,0.00443036,0.0788203,2.09831,0.124613,3.20734,0.00264106,0.00414639,3.07165,0.00315281,0.0091743,0.00187667,0.00429395,3.07165,0.00732294,3.00711,1.63428,0.000243354,0.0617166,0.000210187,0.00152905,7.88203e-05,0.000699437,0.0617166,3.34625,8.44304e-06,2.97822,0.0832507
1850.5417,301.519,300.567,2.55648,0.178443,2.21176,0.00458473,0.0032448,0.00162568,0.00133993,8.47844e-06,0.00012655,0.000364671,6.63867e-06,1.29681e-06,4.20221e-05,1.25363e-06,7.6663e-05,3.29601e-05,4.9501e-06,4.17102e-09,2.45139e-06,1.82358e-06,7.98035,41.0293,4.99123,0.217473,30.7394,0.0786865,5.97234,0.00416755,0.0786865,2.09206,0.125466,3.20649,0.0029507,0.00393569,3.06986,0.00314746,0.00916043,0.00187349,0.00428128,3.06986,0.00736965,3.00711,1.63429,0.000232504,0.061669,0.000209831,0.00152674,7.86865e-05,0.000697354,0.061669,3.42699,7.93548e-06,2.98913,0.0828541
1850.6250,297.593,297.398,2.55187,0.178913,1.72304,0.00406136,0.0029282,0.00148602,0.00113317,7.205e-06,0.000120038,0.000366482,5.77654e-06,1.36555e-06,3.91803e-05,9.60358e-07,7.26797e-05,2.87404e-05,4.82423e-06,3.24792e-09,2.22411e-06,1.579e-06,8.00518,41.0182,5.00925,0.210023,30.7181,0.0785551,5.96237,0.00392416,0.0785551,2.0849,0.126185,3.20519,0.00308217,0.0037558,3.0679,0.00314221,0.00914671,0.00187036,0.00426669,3.0679,0.0074085,3.00711,1.63431,0.000223293,0.0616191,0.00020948,0.00152445,7.85551e-05,0.000694966,0.0616191,2.58008,7.14208e-06,2.99594,0.0824793
1850.7083,289.42,290.277,2.08982,0.151812,1.05259,0.0027516,0.00197778,0.00201953,0.00077382,5.02833e-06,7.45528e-05,0.00542325,3.54609e-06,1.35643e-06,3.90971e-05,1.34113e-06,5.95155e-06,5.29486e-05,4.08187e-06,3.56639e-09,1.17928e-06,3.31226e-06,8.00038,41.0387,5.00967,0.249209,30.7075,0.0647375,5.95241,0.00369506,0.0647375,2.08158,0.126074,3.20508,0.00315883,0.00475121,3.06684,0.00258882,0.00913292,0.00154137,0.00425995,3.06684,0.00740142,3.00714,1.63432,0.000275813,0.0615975,0.000172564,0.00152215,6.47375e-05,0.000693861,0.0615975,1.49455,4.90252e-06,2.99071,0.0684326
1850.7917,284.529,285.482,0,0.183964,0,0,0.000813898,0.00257611,-0.000813898,0,0,0.000359409,0,1.28398e-06,1.19568e-05,7.54064e-07,1.19732e-05,0,9.632e-07,3.3397e-09,2.01556e-06,0,7.85168,41.0781,4.94396,0.395727,30.7499,0,5.94247,0.00347927,0,2.08082,0.122842,3.20721,0.00142221,0.00839687,3.07029,0,0.00911907,0,0.00425841,3.07029,0.0072231,3.00732,1.63435,0.000472578,0.0617193,0,0.00151984,0,0.000693607,0.0617193,0.483296,1.28398e-06,2.90772,0.00347927
1850.8750,279.019,280.03,0,0.225246,0,0,0.000665451,0.00164613,-0.000665451,0,0,0.000358808,0,1.20181e-06,1.28925e-05,1.42294e-06,2.96038e-05,0,9.44735e-07,6.05563e-09,1.91088e-06,0,7.81668,40.9921,4.93571,0.332418,30.7618,0,5.93255,0.00327614,0,2.08126,0.122637,3.20694,0.00197136,0.00680363,3.07127,0,0.00910515,0,0.0042593,3.07127,0.00721104,3.00732,1.63442,0.000385482,0.0617525,0,0.00151753,0,0.000693753,0.0617525,0.647282,1.20181e-06,2.88098,0.00327614
1850.9583,272.192,272.898,0,0.147498,0,0,0.000396747,0.00070193,-0.000396747,0,0,0.0003582,0,1.1319e-06,2.10516e-06,3.0302e-06,1.98258e-05,0,1.82765e-07,1.07252e-08,9.34942e-07,0,7.78857,40.9452,4.92733,0.30831,30.7625,0,5.92248,0.0030818,0,2.08585,0.122429,3.20674,0.00249759,0.00622595,3.07132,0,0.00909096,0,0.00426866,3.07132,0.0071988,3.00732,1.63446,0.000354352,0.0617549,0,0.00151516,0,0.000695284,0.0617549,0.419984,1.1319e-06,2.86124,0.0030818
1851.0417,274.656,274.905,0,0.260002,0,0,0.000504021,0.000996376,-0.000504021,0,0,0.000357621,0,1.07376e-06,1.19321e-05,2.31722e-06,2.77754e-05,0,1.30855e-06,6.70447e-09,1.40171e-06,0,7.76433,40.9086,4.91937,0.292208,30.7615,0,5.91291,0.0029075,0,2.09063,0.122231,3.20652,0.00296819,0.00581197,3.07123,0,0.0090774,0,0.00427837,3.07123,0.00718717,3.00732,1.63449,0.000332367,0.0617524,0,0.0015129,0,0.000696878,0.0617524,0.792041,1.07376e-06,2.84496,0.0029075
1851.1250,274.438,274.702,0,0.221723,0,0,0.000489205,0.000742333,-0.000489205,0,0,0.000357043,0,1.03804e-06,8.50855e-06,2.83725e-06,2.38729e-05,0,9.6469e-07,7.33327e-09,1.09477e-06,0,7.73802,40.8704,4.91143,0.278422,30.759,0,5.90336,0.00274321,0,2.09496,0.122034,3.20614,0.00332852,0.00547491,3.07102,0,0.00906381,0,0.00428714,3.07102,0.00717557,3.00732,1.63452,0.000314184,0.0617458,0,0.00151063,0,0.00069832,0.0617458,1.10043,1.03804e-06,2.82659,0.00274321
1851.2083,286.222,285.05,0,0.197734,0,0,0.000746818,0.0012735,-0.000746818,0,0,0.000356447,0,1.01346e-06,2.35568e-05,3.18278e-06,4.47148e-05,0,3.15153e-06,7.15316e-09,1.92866e-06,0,7.7069,40.8209,4.90322,0.263256,30.7537,0,5.8935,0.002583,0,2.09712,0.12183,3.20556,0.0037871,0.00508272,3.07057,0,0.00904971,0,0.00429147,3.07057,0.00716358,3.00732,1.63457,0.00029311,0.0617313,0,0.00150828,0,0.00069904,0.0617313,1.22645,1.01346e-06,2.80367,0.002583
