time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.470151,0,0,0.000636889,0.000469793,-0.000636889,0.000523194,0,9.8268e-07,1.554e-06,2.85944e-07,9.07361e-06,0,8.06438e-08,3.3757e-09,4.6986e-07,0,11.6285,45.9363,7.22796,0.498795,31.1215,0,8.69307,0.00552878,0,2.68739,0.147974,3.27064,0.00119296,0.0106496,3.1053,0,0.0133371,0,0.0055269,3.1053,0.00917476,3.05063,1.67138,0.000605432,0.062563,0,0.00222285,0,0.000895796,0.062563,0.399101,9.8268e-07,4.40057,0.00552878
2015.1250,274.885,274.552,0,0.482476,0,0,0.00084602,0.00151221,-0.00084602,0.000522349,0,9.28718e-07,1.01709e-05,4.73602e-07,1.70905e-05,0,6.13463e-07,4.08699e-09,1.7254e-06,0,11.5905,45.8918,7.21628,0.477087,31.1265,0,8.67903,0.00521638,0,2.69779,0.147735,3.2706,0.00150814,0.0100814,3.10573,0,0.0133176,0,0.00554816,3.10573,0.00915994,3.05063,1.67141,0.000576338,0.0625759,0,0.0022196,0,0.000899263,0.0625759,0.529783,9.28718e-07,4.37418,0.00521638
2015.2083,283.009,282.038,0,0.203763,0,0,0.00112593,0.00218465,-0.00112593,0.000521476,0,8.96904e-07,2.14107e-05,2.19679e-06,3.5776e-05,0,1.79062e-06,1.59555e-08,2.71522e-06,0,11.5425,45.8022,7.20423,0.422734,31.1361,0,8.66454,0.00491174,0,2.70093,0.147489,3.27019,0.00189562,0.00862911,3.10662,0,0.0132973,0,0.00555444,3.10662,0.00914465,3.05063,1.67148,0.000495873,0.0625984,0,0.00221622,0,0.000900312,0.0625984,1.12721,8.96904e-07,4.33826,0.00491174
2015.2917,291.195,289.72,1.69025,0.18389,1.37947,0.0053111,0.00274052,0.00235243,0.00257058,0.000521514,6.28151e-06,9.01398e-07,3.4164e-05,1.94638e-06,5.58685e-05,3.45858e-05,3.19356e-06,1.26912e-08,3.2423e-06,1.99477e-06,11.5195,45.7289,7.20266,0.376048,31.1347,0.051969,8.7509,0.00691191,0.051969,2.69863,0.147561,3.26942,0.00220656,0.00746773,3.10664,0.00207876,0.0134168,0.00123736,0.00554952,3.10664,0.00914761,3.05063,1.67155,0.00043046,0.0625884,0.000138584,0.00223614,5.1969e-05,0.000899542,0.0625884,2.35013,7.18291e-06,4.31687,0.0588809
2015.3750,292.925,291.898,3.60267,0.17497,2.61445,0.0100277,0.00409296,0.00212035,0.00593476,0.000525606,1.299e-05,9.76373e-07,3.04032e-05,8.24985e-07,6.33967e-05,6.83372e-05,2.95058e-06,8.05476e-09,3.08921e-06,3.99905e-06,11.6421,45.8032,7.24776,0.342879,31.1244,0.107627,8.84445,0.00890621,0.107627,2.69375,0.149057,3.26877,0.00163024,0.00664682,3.1059,0.00430509,0.0135475,0.00256255,0.00553969,3.1059,0.00923379,3.05063,1.67155,0.000385225,0.0625544,0.000287006,0.00225791,0.000107627,0.000897916,0.0625544,3.3787,1.39664e-05,4.39435,0.116533
2015.4583,295.961,294.907,3.60257,0.208293,2.35797,0.00993201,0.00453762,0.00228018,0.00539439,0.000530808,1.46135e-05,1.07347e-06,2.95417e-05,2.60453e-07,7.68621e-05,6.74365e-05,2.71698e-06,5.40838e-09,3.3522e-06,3.94632e-06,11.7997,45.9134,7.30565,0.31897,31.1082,0.107625,8.83002,0.00839375,0.107625,2.68651,0.15094,3.26836,0.00121492,0.0060557,3.10462,0.00430499,0.0135287,0.00256249,0.00552502,3.10462,0.00934321,3.05063,1.67152,0.000353358,0.062506,0.000286999,0.00225478,0.000107625,0.000895504,0.062506,3.5818,1.56869e-05,4.49409,0.116018
2015.5417,295.813,295.205,3.59577,0.196309,2.19116,0.00822027,0.0043529,0.00215382,0.00386737,0.000535324,1.18294e-05,1.14938e-06,3.41976e-05,3.00199e-07,7.85574e-05,5.45602e-05,3.10818e-06,8.32292e-09,3.13011e-06,3.17503e-06,11.9224,45.9855,7.3556,0.299405,31.0873,0.107442,8.81504,0.00789584,0.107442,2.67638,0.15258,3.26786,0.00130879,0.005575,3.10289,0.00429768,0.013509,0.00255814,0.00550432,3.10289,0.00943807,3.05063,1.67151,0.000327855,0.0624472,0.000286512,0.00225149,0.000107442,0.000892126,0.0624472,2.94036,1.29788e-05,4.56678,0.115338
2015.6250,290.506,290.661,3.5891,0.186698,1.54395,0.00666805,0.00354509,0.0017098,0.00312295,0.000538707,8.99358e-06,1.18682e-06,3.04337e-05,4.94507e-07,6.47909e-05,4.38555e-05,3.09743e-06,9.23094e-09,2.44394e-06,2.53933e-06,12.0099,46.0339,7.39254,0.286031,31.0686,0.107263,8.80032,0.00743472,0.107263,2.66943,0.153823,3.26726,0.00141286,0.00524975,3.10129,0.0042905,0.0134894,0.00255387,0.00549013,3.10129,0.00950925,3.05063,1.6715,0.000310857,0.0623972,0.000286034,0.00224823,0.000107263,0.00088981,0.0623972,2.28839,1.01804e-05,4.61731,0.114697
2015.7083,285.135,285.792,2.90508,0.215106,0.675066,0.00388091,0.00259545,0.00252976,0.00128546,0.00744369,4.41725e-06,1.18094e-06,2.66626e-05,8.9412e-07,5.8134e-06,7.09006e-05,2.08085e-06,1.81355e-08,1.59643e-06,4.50969e-06,12.0243,46.0883,7.39756,0.338598,31.0597,0.0883954,8.78562,0.00700066,0.0883954,2.66559,0.153706,3.26757,0.00132095,0.00658317,3.10048,0.0035348,0.0134697,0.00210465,0.00548228,3.10048,0.00950387,3.05068,1.67151,0.000381396,0.0623759,0.000235632,0.00224495,8.83954e-05,0.000888531,0.0623759,1.28837,5.59819e-06,4.62677,0.0953961
2015.7917,280.564,281.45,0,0.199394,0,0,0.00116524,0.00305903,-0.00116524,0.000529282,0,1.12506e-06,2.31007e-06,4.65032e-07,2.9738e-06,0,1.24246e-07,1.62237e-08,2.12821e-06,0,11.8231,46.1638,7.30803,0.567499,31.1082,0,8.77095,0.00659182,0,2.66508,0.149308,3.27174,0.000231976,0.0122451,3.10447,0,0.0134498,0,0.00548122,3.10447,0.00926126,3.05092,1.67154,0.000689009,0.0625125,0,0.00224164,0,0.000888359,0.0625125,0.407237,1.12506e-06,4.51503,0.00659182
