time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,278.451,278.429,0,0.25534,0,0,0.000150776,0.00273849,-0.000150776,0.00109597,0,0,2.23094e-05,2.42857e-06,3.6757e-05,nan,1.09927e-06,2.61506e-08,2.60484e-06,nan,20.1464,68.2488,15.238,0.612353,42.3826,0,18.8083,0.00881381,0,5.10736,0.0902416,4.34262,0.00176108,0.0105837,4.22958,0,0.0288771,0,0.010453,4.22958,0.00941536,2.93551,1.54119,0.000676957,0.0851708,0,0.00481285,0,0.00170245,0.0851708,0.9294,0,4.90843,0.00881381
1850.1250,281.734,281.678,0,0.219886,0,0,0.000155106,0.00275823,-0.000155106,0.0010942,0,0,3.11269e-05,2.69809e-06,4.76923e-05,nan,1.64381e-06,2.61964e-08,2.86071e-06,nan,20.1117,68.1646,15.2134,0.560858,42.3815,0,18.7779,0.00831579,0,5.11059,0.0900959,4.3418,0.0022016,0.00949867,4.22954,0,0.0288337,0,0.0104593,4.22954,0.00940015,2.93551,1.54127,0.000615717,0.0851645,0,0.00480561,0,0.00170353,0.0851645,1.15656,0,4.89836,0.00831579
1850.2083,290.461,289.237,0.606428,0.176561,0.38059,0.00151481,0.000613902,0.00312321,0.000900913,0.00109255,8.63881e-07,0,4.57199e-05,2.89727e-06,6.4706e-05,nan,3.19071e-06,1.97024e-08,3.44447e-06,nan,20.0787,68.0775,15.19,0.515945,42.3737,0.0190013,18.7912,0.00885144,0.0190013,5.10917,0.0899802,4.34062,0.00266902,0.00855958,4.22896,0.000760053,0.0288505,0.000452412,0.010456,4.22896,0.00938666,2.93551,1.54136,0.000562393,0.0851398,5.06702e-05,0.00480841,1.90013e-05,0.00170306,0.0851398,1.71445,8.63881e-07,4.88874,0.0278528
1850.2917,293.162,292.093,4.34739,0.147064,2.86939,0.00745354,0.00263709,0.00289778,0.00481645,0.00109565,4.81702e-06,0,3.44799e-05,1.78998e-06,6.97161e-05,nan,3.16399e-06,1.00553e-08,3.3381e-06,nan,20.1318,68.0705,15.222,0.477307,42.3591,0.127068,19.0136,0.0140102,0.127068,5.10224,0.0908924,4.33931,0.00240958,0.0077707,4.22779,0.00508274,0.0291582,0.00302544,0.010442,4.22779,0.00943783,2.93551,1.54139,0.000516913,0.0850974,0.000338849,0.00485971,0.000127068,0.00170075,0.0850974,3.29248,4.81702e-06,4.90981,0.141079
1850.3750,296.536,295.474,4.70117,0.200088,2.6305,0.00823252,0.00304678,0.00338364,0.00518574,0.00110226,4.91348e-06,0,4.77192e-05,8.8656e-07,8.8209e-05,nan,3.57673e-06,5.50379e-09,3.93084e-06,nan,20.2486,68.1299,15.2951,0.446788,42.341,0.136314,19.004,0.0136795,0.136314,5.09349,0.0925936,4.33829,0.00180979,0.00716847,4.22629,0.00545255,0.0291458,0.00324557,0.0104244,4.22629,0.00953846,2.93551,1.54138,0.000481286,0.0850463,0.000363503,0.00485763,0.000136314,0.00169783,0.0850463,3.85135,4.91348e-06,4.95355,0.149993
1850.4583,301.381,299.736,4.6922,0.125902,3.65715,0.00669535,0.00282727,0.00318904,0.00386808,0.00110805,4.88171e-06,0,2.71014e-05,5.56186e-07,9.176e-05,nan,2.68974e-06,4.3672e-09,3.72733e-06,nan,20.3498,68.1578,15.3586,0.417906,42.3152,0.136086,18.9723,0.0128809,0.136086,5.07487,0.0941021,4.33712,0.0019285,0.00660963,4.22409,0.00544345,0.0291023,0.00324015,0.0103867,4.22409,0.00962707,2.93551,1.5414,0.00044785,0.0849768,0.000362896,0.00485038,0.000136086,0.00169162,0.0849768,4.05328,4.88171e-06,4.9912,0.148967
1850.5417,299.966,299.098,4.6831,0.17426,2.97659,0.00631115,0.00270992,0.0031653,0.00360123,0.0011129,4.84813e-06,0,5.10162e-05,6.65358e-07,9.67658e-05,nan,4.36852e-06,3.44821e-09,3.65418e-06,nan,20.4337,68.1857,15.411,0.398518,42.2912,0.135855,18.9401,0.0121168,0.135855,5.0623,0.0953937,4.33617,0.00219342,0.00622631,4.222,0.00543421,0.0290578,0.00323465,0.0103611,4.222,0.00970205,2.93551,1.54141,0.000425617,0.0849147,0.000362281,0.00484297,0.000135855,0.00168743,0.0849147,3.96817,4.84813e-06,5.02262,0.147972
1850.6250,296.704,296.508,4.67418,0.175279,2.19992,0.00536784,0.00240509,0.00307554,0.00296275,0.00111686,4.77184e-06,0,5.77308e-05,3.58487e-07,0.00010239,nan,5.14135e-06,2.44243e-09,3.56204e-06,nan,20.5017,68.1879,15.4531,0.381597,42.2614,0.135628,18.9085,0.0114091,0.135628,5.04326,0.0964777,4.33448,0.00247387,0.00588243,4.21933,0.00542513,0.0290139,0.00322925,0.0103223,4.21933,0.00976414,2.93551,1.54145,0.00040629,0.0848407,0.000361676,0.00483565,0.000135628,0.00168109,0.0848407,2.88212,4.77184e-06,5.04858,0.147037
1850.7083,288.925,289.833,3.81021,0.145986,1.38869,0.0038155,0.00160773,0.00346267,0.00220777,0.00984807,4.641e-06,0,4.62484e-05,4.58778e-07,5.09773e-06,nan,4.09646e-06,2.18555e-09,1.36066e-06,nan,20.5065,68.2355,15.4607,0.44969,42.2448,0.111772,18.8769,0.010743,0.111772,5.03445,0.0963235,4.33417,0.0024114,0.00738262,4.21775,0.00447087,0.0289697,0.00266123,0.0103043,4.21775,0.00975836,2.93556,1.54147,0.000486222,0.0848041,0.000298058,0.00482829,0.000111772,0.00167815,0.0848041,1.72565,4.641e-06,5.04576,0.122515
1850.7917,284.77,285.658,0,0.184217,0,0,0.000182868,0.00437558,-0.000182868,0.00110471,1.3566e-06,0,9.03899e-06,1.45213e-07,1.08143e-05,nan,5.61857e-07,1.97776e-09,2.14877e-06,nan,20.2743,68.3482,15.3409,0.741284,42.3001,0,18.8454,0.0101156,0,5.03253,0.0915908,4.33816,0.000524615,0.0135518,4.22219,0,0.0289254,0,0.0103003,4.22219,0.00950168,2.93582,1.54148,0.000828284,0.0849649,0,0.00482091,0,0.00167751,0.0849649,0.441479,1.3566e-06,4.93343,0.0101156
1850.8750,279.044,280.078,0,0.226076,0,0,0.000146156,0.00319026,-0.000146156,0.00110286,0,0,1.5393e-05,2.33955e-07,3.48304e-05,nan,7.84357e-07,3.23034e-09,2.62555e-06,nan,20.2386,68.2284,15.3153,0.636311,42.32,0,18.8139,0.00952507,0,5.03353,0.0914379,4.3379,0.00116263,0.0111801,4.22382,0,0.028881,0,0.0103022,4.22382,0.00948581,2.93582,1.54156,0.000704322,0.0850221,0,0.00481349,0,0.00167784,0.0850221,0.664626,0,4.92327,0.00952507
1850.9583,272.198,272.911,0,0.156384,0,0,8.47816e-05,0.00140674,-8.47816e-05,0.00110099,0,0,1.03177e-05,8.91587e-07,2.48866e-05,nan,6.77813e-07,7.79005e-09,1.3724e-06,nan,20.2029,68.1637,15.2893,0.589844,42.3229,0,18.782,0.00896005,0,5.04798,0.0912827,4.33754,0.00169318,0.0101826,4.22405,0,0.0288356,0,0.0103315,4.22405,0.00946971,2.93582,1.54162,0.000650714,0.0850304,0,0.00480593,0,0.00168266,0.0850304,0.422959,0,4.91361,0.00896005
1851.0417,274.789,275.06,0,0.261001,0,0,0.000104739,0.00205419,-0.000104739,0.00109921,0,0,2.14643e-05,9.50972e-07,3.37045e-05,nan,1.36904e-06,5.7871e-09,2.03289e-06,nan,20.1693,68.1121,15.2646,0.557327,42.3226,0,18.7516,0.00845328,0,5.06291,0.0911352,4.33713,0.00211975,0.00948717,4.22403,0,0.0287923,0,0.0103618,4.22403,0.00945442,2.93582,1.54167,0.000612342,0.0850294,0,0.00479872,0,0.00168764,0.0850294,0.743073,0,4.90465,0.00845328
1851.1250,274.48,274.771,0,0.222446,0,0,9.91491e-05,0.00152454,-9.91491e-05,0.00109744,0,0,1.4848e-05,1.44083e-06,2.98053e-05,nan,1.002e-06,6.96935e-09,1.59871e-06,nan,20.1355,68.0604,15.24,0.528391,42.3202,0,18.7213,0.00797562,0,5.07629,0.090988,4.33663,0.00254668,0.00887479,4.22383,0,0.0287489,0,0.0103888,4.22383,0.00943915,2.93582,1.54172,0.000578406,0.0850226,0,0.00479148,0,0.0016921,0.0850226,1.10102,0,4.89552,0.00797562
1851.2083,286.235,285.09,0,0.197639,0,0,0.000147995,0.00272977,-0.000147995,0.0010956,0,0,3.75663e-05,1.71787e-06,5.74863e-05,nan,2.90053e-06,6.97632e-09,2.94549e-06,nan,20.1003,67.9931,15.2145,0.49563,42.3144,0,18.6901,0.00750984,0,5.0828,0.0908361,4.33584,0.00305792,0.00818329,4.22336,0,0.0287039,0,0.0104017,4.22336,0.00942338,2.93582,1.54179,0.000539172,0.0850058,0,0.00478398,0,0.00169427,0.0850058,1.22788,0,4.88574,0.00750984
1851.2917,289.422,288.734,0.819978,0.187713,0.650846,0.00231886,0.000733741,0.00284674,0.00158512,0.0010941,1.27421e-06,0,5.03735e-05,2.67332e-06,6.97215e-05,nan,4.31212e-06,9.13549e-09,3.21601e-06,nan,20.0714,67.9105,15.193,0.460132,42.3011,0.0253264,18.7154,0.00836334,0.0253264,5.07782,0.0907603,4.33444,0.00356993,0.00745425,4.22226,0.00101305,0.0287371,0.000603009,0.0103911,4.22226,0.00941248,2.93582,1.54188,0.000497151,0.0849687,6.7537e-05,0.00478952,2.53264e-05,0.00169261,0.0849687,1.80457,1.27421e-06,4.87845,0.0336897
1851.3750,293.193,292.215,5.05495,0.179262,2.48927,0.00842468,0.00279257,0.0029037,0.00563212,0.00109803,4.89589e-06,0,4.72705e-05,2.91477e-06,7.79156e-05,nan,4.64232e-06,1.00983e-08,3.35235e-06,nan,20.1532,67.94,15.2355,0.432124,42.2836,0.145048,18.9512,0.0138476,0.145048,5.07117,0.0919789,4.33298,0.00295592,0.00690022,4.22077,0.0058019,0.0290634,0.00345351,0.0103776,4.22077,0.00948369,2.93582,1.54189,0.000464497,0.0849211,0.000386793,0.0048439,0.000145048,0.00169039,0.0849211,3.26985,4.89589e-06,4.91767,0.158895
1851.4583,295.048,294.277,5.38745,0.198933,2.74035,0.0087413,0.00304124,0.00307521,0.00570006,0.00110475,4.92167e-06,0,4.75538e-05,1.13928e-06,9.19176e-05,nan,3.85167e-06,5.86219e-09,3.59248e-06,nan,20.2898,68.0193,15.311,0.408754,42.2611,0.153435,18.9388,0.0134614,0.153435,5.05966,0.0938613,4.33166,0.00217713,0.00644423,4.21883,0.00613739,0.0290469,0.00365321,0.0103544,4.21883,0.00959697,2.93582,1.54186,0.000437491,0.0848619,0.000409159,0.00484115,0.000153435,0.00168655,0.0848619,3.8425,4.92167e-06,4.97877,0.166896
1851.5417,296.521,295.903,5.37684,0.198767,2.42257,0.0071925,0.00283152,0.00319181,0.00436097,0.00111071,4.90163e-06,0,5.08683e-05,6.60666e-07,0.000102751,nan,3.97588e-06,6.31407e-09,3.71153e-06,nan,20.409,68.0742,15.3775,0.389364,42.233,0.153174,18.9067,0.0126629,0.153174,5.04278,0.0955466,4.33027,0.00201227,0.00605252,4.21634,0.00612697,0.0290028,0.00364701,0.0103202,4.21634,0.00969771,2.93582,1.54186,0.000415263,0.0847909,0.000408465,0.00483379,0.000153174,0.00168093,0.0847909,3.31998,4.90163e-06,5.0315,0.165837
1851.6250,290.353,290.784,5.36642,0.179405,1.83558,0.00616243,0.00231714,0.00252669,0.00384529,0.00111538,4.87161e-06,0,4.48707e-05,6.67183e-07,8.55673e-05,nan,3.77744e-06,7.05132e-09,2.92841e-06,nan,20.5016,68.111,15.4288,0.37504,42.2055,0.152919,18.8751,0.0119234,0.152919,5.02891,0.0969075,4.32892,0.00211457,0.00575796,4.21385,0.00611674,0.0289591,0.00364092,0.010292,4.21385,0.00977803,2.93582,1.54186,0.000399064,0.0847237,0.000407783,0.00482652,0.000152919,0.0016763,0.0847237,2.34757,4.87161e-06,5.07275,0.164842
1851.7083,285.315,285.928,4.36835,0.160068,1.04326,0.00387109,0.00152527,0.00306927,0.00234583,0.0109596,4.71685e-06,0,3.58626e-05,8.68691e-07,1.46179e-06,nan,2.95731e-06,5.81126e-09,1.09346e-06,nan,20.5146,68.1946,15.4377,0.457826,42.194,0.126021,18.8436,0.0112273,0.126021,5.02808,0.0967873,4.32918,0.00180983,0.00757268,4.21272,0.00504082,0.0289153,0.00300049,0.0102904,4.21272,0.00977626,2.93589,1.54185,0.000496142,0.0846998,0.000336055,0.00481921,0.000126021,0.00167603,0.0846998,1.40396,4.71685e-06,5.07689,0.137248
1851.7917,279.661,280.72,0,0.203523,0,0,0.000174274,0.0037726,-0.000174274,0.00110161,1.47132e-06,0,2.40162e-06,1.3136e-07,-1.22273e-06,nan,1.29018e-07,4.24238e-09,1.39913e-06,nan,20.2554,68.3551,15.3035,0.824424,42.245,0,18.8121,0.0105716,0,5.03027,0.0914489,4.33408,0.000183047,0.0153539,4.2168,0,0.0288712,0,0.0102949,4.2168,0.00948769,2.93618,1.54185,0.000926048,0.0848495,0,0.00481187,0,0.00167676,0.0848495,0.530505,1.47132e-06,4.95188,0.0105716
1851.8750,275.094,275.972,0,0.258132,0,0,0.0001416,0.00265297,-0.0001416,0.00109977,0,0,5.97408e-06,1.81569e-07,2.00291e-05,nan,2.80699e-07,6.73713e-09,1.89026e-06,nan,20.2195,68.253,15.2779,0.724449,42.2707,0,18.7807,0.00995439,0,5.03844,0.0912962,4.33404,0.000505125,0.0130465,4.21888,0,0.028827,0,0.0103115,4.21888,0.00947184,2.93618,1.54191,0.000809182,0.0849232,0,0.0048045,0,0.00167948,0.0849232,0.608996,0,4.94152,0.00995439
1851.9583,273.1,273.479,0,0.322557,0,0,8.74319e-05,0.00200703,-8.74319e-05,0.0010979,0,0,1.10686e-05,3.92387e-07,2.21529e-05,nan,6.12558e-07,9.24106e-09,1.69918e-06,nan,20.1836,68.1861,15.252,0.668874,42.2791,0,18.7488,0.0093639,0,5.05445,0.0911412,4.33383,0.000944927,0.0118254,4.21958,0,0.0287819,0,0.0103441,4.21958,0.00945577,2.93618,1.54196,0.000744752,0.084947,0,0.00479699,0,0.00168482,0.084947,0.262528,0,4.93163,0.0093639
1852.0417,275.108,275.606,0,0.173611,0,0,0.000101552,0.00228685,-0.000101552,0.00109613,0,0,1.47265e-05,4.74795e-07,2.78761e-05,nan,8.78239e-07,6.43489e-09,2.06377e-06,nan,20.1498,68.1187,15.2274,0.61811,42.2846,0,18.7185,0.00883429,0,5.06616,0.090994,4.33351,0.00136177,0.010727,4.22006,0,0.0287389,0,0.0103678,4.22006,0.0094405,2.93618,1.54202,0.000684019,0.0849616,0,0.00478981,0,0.00168872,0.0849616,0.612816,0,4.92237,0.00883429
1852.1250,273.84,274.379,0,0.267221,0,0,0.000100575,0.00213777,-0.000100575,0.00109436,0,0,2.01835e-05,7.66351e-07,3.26069e-05,nan,1.08957e-06,7.34303e-09,2.08874e-06,nan,20.1158,68.052,15.2028,0.573835,42.2863,0,18.6883,0.00833511,0,5.07604,0.0908471,4.33304,0.00177929,0.00979272,4.22023,0,0.0286957,0,0.0103877,4.22023,0.00942525,2.93618,1.54208,0.000631402,0.0849649,0,0.00478261,0,0.00169201,0.0849649,0.643749,0,4.91304,0.00833511
1852.2083,282.643,281.756,0.00462847,0.217694,0.00221971,2.15683e-05,0.000152749,0.00260271,-0.000131181,0.00109253,0,0,3.07621e-05,2.57442e-06,4.76596e-05,nan,1.81451e-06,2.11215e-08,2.7148e-06,nan,20.0805,67.9802,15.1774,0.533295,42.2836,0.00015331,18.6575,0.00785651,0.00015331,5.08282,0.0906954,4.33231,0.00223111,0.00894192,4.22004,6.13239e-06,0.0286514,3.65023e-06,0.0104012,4.22004,0.00940951,2.93618,1.54214,0.000583198,0.0849556,4.08826e-07,0.00477523,1.5331e-07,0.00169427,0.0849556,1.02696,0,4.90307,0.00800982
1852.2917,287.838,287.066,3.56878,0.207023,1.86083,0.00733183,0.00222092,0.00286227,0.00511091,0.00109375,4.10576e-06,0,3.74488e-05,2.09027e-06,6.34281e-05,nan,2.50816e-06,1.67398e-08,3.17854e-06,nan,20.1052,67.9526,15.1879,0.492412,42.2743,0.10502,18.8687,0.0128649,0.10502,5.08068,0.0912687,4.33124,0.00217776,0.00809559,4.2193,0.00420079,0.0289431,0.00250047,0.0103967,4.2193,0.00943957,2.93618,1.54219,0.000534741,0.0849279,0.000280053,0.00482385,0.00010502,0.00169356,0.0849279,2.73648,4.10576e-06,4.91726,0.117885
1852.3750,292.938,291.675,5.17155,0.163346,2.71455,0.00871965,0.00296874,0.00281932,0.00575092,0.00110068,4.92221e-06,0,2.57664e-05,9.2631e-07,6.91604e-05,nan,2.346e-06,1.14255e-08,3.21665e-06,nan,20.2428,68.0375,15.266,0.459285,42.2596,0.148112,18.9373,0.0143214,0.148112,5.07575,0.0932233,4.33041,0.00127202,0.00742885,4.2181,0.00592446,0.0290388,0.00352647,0.0103871,4.2181,0.0095567,2.93618,1.54215,0.000495945,0.0848865,0.000394964,0.0048398,0.000148112,0.00169192,0.0848865,3.30127,4.92221e-06,4.97684,0.162433
1852.4583,295.676,294.45,5.16158,0.145174,3.13938,0.00820239,0.00297648,0.00273166,0.00522591,0.00110743,4.91777e-06,0,1.82999e-05,4.22675e-07,7.2148e-05,nan,1.72969e-06,6.00999e-09,3.14208e-06,nan,20.3745,68.1176,15.3418,0.432532,42.242,0.147864,18.9056,0.0134853,0.147864,5.06852,0.0951129,4.32991,0.00090357,0.00690734,4.21662,0.00591457,0.0289957,0.00352058,0.0103727,4.21662,0.00966981,2.93618,1.54212,0.000464799,0.0848382,0.000394305,0.00483262,0.000147864,0.00168951,0.0848382,3.77521,4.91777e-06,5.03274,0.16135
1852.5417,294.853,294.26,5.15146,0.198255,1.98401,0.0072036,0.00279569,0.00308067,0.00440791,0.00111363,4.90119e-06,0,3.03462e-05,1.185e-07,9.1345e-05,nan,2.14247e-06,3.45626e-09,3.58543e-06,nan,20.4942,68.1831,15.4111,0.410379,42.2203,0.147613,18.8736,0.0126854,0.147613,5.05822,0.096862,4.32937,0.00094028,0.00647586,4.21474,0.00590453,0.0289517,0.0035146,0.0103519,4.21474,0.00977399,2.93618,1.5421,0.000439192,0.0847809,0.000393636,0.00482528,0.000147613,0.00168608,0.0847809,2.78479,4.90119e-06,5.08309,0.160299
1852.6250,290.878,290.953,5.14153,0.186372,1.81643,0.00594058,0.00231977,0.00258485,0.00362081,0.00111826,4.85836e-06,0,3.28085e-05,1.23778e-07,8.20596e-05,nan,2.61054e-06,3.44044e-09,3.00586e-06,nan,20.5827,68.2193,15.462,0.39314,42.1962,0.147367,18.842,0.0119445,0.147367,5.04728,0.0982196,4.32858,0.00129298,0.0061282,4.2126,0.00589467,0.0289081,0.00350873,0.0103297,4.2126,0.00985365,2.93618,1.5421,0.000419531,0.0847197,0.000392978,0.00481802,0.000147367,0.00168243,0.0847197,2.36407,4.85836e-06,5.12069,0.159311
1852.7083,283.4,284.445,4.17881,0.194801,0.784894,0.00336623,0.0013796,0.00313423,0.00198663,0.0106048,4.60779e-06,0,3.14232e-05,1.66073e-07,6.73345e-06,nan,2.30487e-06,3.38063e-09,1.31782e-06,nan,20.5865,68.2819,15.4668,0.470175,42.1825,0.121445,18.8106,0.0112472,0.121445,5.04263,0.0980371,4.32887,0.00136241,0.00782482,4.21132,0.00485782,0.0288644,0.00289156,0.0103203,4.21132,0.00984723,2.93624,1.54211,0.000509909,0.0846886,0.000323854,0.00481073,0.000121445,0.00168088,0.0846886,1.31683,4.60779e-06,5.11974,0.132693
