time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.016,273.064,0,0.469146,0,0,0.000161021,0.000840845,-0.000161021,0,0,0,0,nan,nan,nan,nan,nan,0.00140081,0,0,4.0807e-06,3.7945e-08,1.14649e-05,nan,2.01689e-07,2.04261e-09,6.71727e-07,nan,25.8533,79.6128,19.4583,1.03633,45.8276,0,23.7401,0.013963,0,6.8956,0.119523,4.72391,0.000646574,0.0186102,4.57096,0,0.0364301,0,0.0141668,4.57096,0.0122195,3.00175,1.59356,0.00116606,0.092206,0,0.00607168,0,0.00229854,0.092206,0.399056,0,6.39494,0.013963
2015.1250,274.792,274.409,0,0.45058,0,0,0.000209386,0.00247595,-0.000209386,0,0,0,0,nan,nan,nan,nan,nan,0.00139854,0,0,1.05996e-05,7.11811e-08,1.53909e-05,nan,5.39676e-07,2.0698e-09,1.97903e-06,nan,25.8088,79.5693,19.4269,1.0021,45.8336,0,23.7017,0.013174,0,6.92474,0.11933,4.72379,0.000913255,0.0178431,4.57148,0,0.0363764,0,0.0142263,4.57148,0.0121997,3.00175,1.59359,0.00112756,0.0922219,0,0.00606273,0,0.00230825,0.0922219,0.514189,0,6.38194,0.013174
2015.2083,282.999,281.998,0,0.206161,0,0,0.000273704,0.0044155,-0.000273704,0,0,0,0,nan,nan,nan,nan,nan,0.00139621,0,0,2.22976e-05,1.21313e-07,3.88276e-05,nan,1.1394e-06,2.85897e-09,3.81967e-06,nan,25.7618,79.453,19.3945,0.909728,45.8498,0,23.6621,0.0124046,0,6.93164,0.11913,4.72339,0.00131125,0.015778,4.57293,0,0.0363206,0,0.01424,4.57293,0.0121794,3.00175,1.59369,0.00101233,0.092262,0,0.00605343,0,0.00231055,0.092262,1.13477,0,6.36731,0.0124046
2015.2917,290.32,289.003,3.04928,0.185114,1.72786,0.00689093,0.00229476,0.0049534,0.00459617,0,0,0,0,nan,nan,nan,nan,nan,0.00139605,2.98335e-06,0,3.21451e-05,2.69149e-07,6.10034e-05,nan,1.74836e-06,5.39885e-09,4.75566e-06,nan,25.7551,79.3444,19.3881,0.810724,45.8567,0.0881116,23.865,0.0171803,0.0881116,6.92189,0.119397,4.72262,0.00159866,0.0137035,4.5737,0.00352447,0.0366009,0.0020979,0.0142195,4.5737,0.0121891,3.00175,1.59379,0.000893669,0.092272,0.000234964,0.00610014,8.81116e-05,0.0023073,0.092272,2.59695,2.98335e-06,6.36701,0.105292
2015.3750,291.281,290.399,6.94824,0.173233,3.00044,0.0118145,0.00394971,0.00438375,0.00786482,0,0,0,0,nan,nan,nan,nan,nan,0.0014046,4.92969e-06,0,1.78269e-05,1.11479e-07,7.45604e-05,nan,1.22081e-06,5.24181e-09,4.62714e-06,nan,25.9139,79.4056,19.4861,0.732729,45.8515,0.190317,24.1067,0.0224221,0.190317,6.90746,0.12156,4.72205,0.000707924,0.0121141,4.57348,0.00761267,0.0369377,0.00453135,0.0141904,4.57348,0.0123212,3.00175,1.59378,0.000801186,0.0922479,0.000507512,0.00615629,0.000190317,0.00230249,0.0922479,3.68969,4.92969e-06,6.42778,0.212739
2015.4583,294.442,293.46,6.9539,0.207646,2.62788,0.011587,0.00412404,0.00477299,0.00746295,0,0,0,0,nan,nan,nan,nan,nan,0.00141498,4.93041e-06,0,1.051e-05,1.09513e-08,9.79124e-05,nan,6.63276e-07,3.91092e-09,5.25272e-06,nan,26.106,79.502,19.606,0.673677,45.8353,0.190447,24.0677,0.0211399,0.190447,6.88699,0.124128,4.7219,0.000395993,0.0109236,4.5723,0.00761789,0.0368863,0.00453446,0.0141489,4.5723,0.0124792,3.00175,1.59375,0.000731608,0.0921946,0.000507859,0.00614771,0.000190447,0.00229566,0.0921946,3.82925,4.93041e-06,6.50008,0.211587
2015.5417,294.595,294.008,6.93971,0.196683,2.44308,0.00958814,0.00369409,0.0045569,0.00589405,0,0,0,0,nan,nan,nan,nan,nan,0.00142386,4.92628e-06,0,2.54937e-05,2.1819e-08,0.000106337,nan,1.63158e-06,5.90424e-09,5.09366e-06,nan,26.2681,79.5594,19.7078,0.624013,45.8096,0.190124,24.0268,0.0198859,0.190124,6.85763,0.126356,4.72161,0.000946891,0.00994089,4.57028,0.00760496,0.0368318,0.00452676,0.014089,4.57028,0.0126153,3.00175,1.59375,0.000673667,0.092118,0.000506998,0.00613863,0.000190124,0.00228588,0.092118,3.14487,4.92628e-06,6.56036,0.21001
2015.6250,289.584,289.725,6.92579,0.186061,1.73468,0.00781154,0.00299199,0.00361113,0.00481955,0,0,0,0,nan,nan,nan,nan,nan,0.00143053,4.91418e-06,0,3.36102e-05,1.02405e-07,9.00488e-05,nan,2.41707e-06,7.44044e-09,4.02794e-06,nan,26.3892,79.5997,19.7833,0.589714,45.7841,0.189807,23.9867,0.0187246,0.189807,6.83662,0.12809,4.7209,0.00130736,0.00927724,4.56817,0.00759226,0.0367778,0.0045192,0.0140461,4.56817,0.0127199,3.00175,1.59376,0.000634182,0.0920461,0.000506151,0.00612963,0.000189807,0.00227887,0.0920461,2.46722,4.91418e-06,6.60597,0.208531
2015.7083,284.736,285.326,5.57662,0.215223,0.798998,0.00463459,0.00193958,0.00454168,0.00269501,0,0,0,0,nan,nan,nan,nan,nan,0.0136495,4.80158e-06,0,2.87942e-05,2.08323e-07,8.9352e-06,nan,1.5945e-06,1.60928e-08,2.18038e-06,nan,26.3983,79.6724,19.7959,0.680035,45.7705,0.15642,23.9467,0.0176314,0.15642,6.82358,0.127832,4.72157,0.00140435,0.0113083,4.56701,0.00625681,0.0367235,0.00372429,0.0140195,4.56701,0.0127123,3.00183,1.59378,0.000740261,0.09201,0.00041712,0.00612058,0.00015642,0.00227453,0.09201,1.39662,4.80158e-06,6.60233,0.174052
2015.7917,280.958,281.714,0,0.197711,0,0,0.000300772,0.005278,-0.000300772,0,0,0,0,nan,nan,nan,nan,nan,0.00141346,1.41277e-06,0,6.46574e-07,1.24252e-07,1.38886e-06,nan,3.33687e-08,1.51778e-08,2.29319e-06,nan,26.0727,79.8542,19.6291,1.12884,45.8336,0,23.9067,0.0166017,0,6.81902,0.12117,4.72822,8.20612e-05,0.0208014,4.57216,0,0.0366688,0,0.0140101,4.57216,0.0123521,3.0022,1.5938,0.00126598,0.0921902,0,0.00611147,0,0.00227301,0.0921902,0.336628,1.41277e-06,6.44365,0.0166017
