time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,306.729,306.743,2.36205,0.355271,1.93658,0.00605219,0.00435597,0.00270354,0.00169622,8.20132e-06,6.22339e-05,1.50052e-06,5.77556e-07,0.00118199,0.0108445,4.202,0.428713,0.0103072,0.00127986,5.46601e-06,2.26822e-06,3.58998e-05,5.87885e-09,6.99666e-05,3.84168e-05,1.17392e-06,7.64957e-09,4.00227e-06,2.40787e-06,6.35168,25.9268,4.21386,0.170805,18.4324,0.182794,5.24039,0.0026619,0.145139,0.971889,0.153372,-0.579118,0.00148125,0.00320996,-0.73876,0.00761657,0.00804439,0.00345568,0.00157905,-0.73876,0.00984253,2.73971,2.14248,0.00020242,0.0370039,0.000539228,0.00134073,0.000145139,0.000323963,0.0370039,3.49685,7.73423e-06,2.13781,0.147801
1850.1250,306.58,306.587,2.27453,0.377093,1.48713,0.00582126,0.00427894,0.00268301,0.00154232,6.96096e-06,6.06272e-05,1.43191e-06,5.12796e-07,0.00102051,0.010435,4.07201,0.582665,0.00995238,0.00124782,4.83945e-06,2.19126e-06,3.58474e-05,3.57575e-08,7.4268e-05,3.69503e-05,1.08979e-06,8.67826e-08,3.9981e-06,2.31391e-06,6.35858,25.918,4.20511,0.163784,18.4281,0.176478,5.23723,0.00267671,0.140123,0.967539,0.153288,-0.579314,0.00187267,0.0030291,-0.739073,0.00735337,0.00803943,0.00333627,0.0015702,-0.739073,0.00983755,2.73974,2.14255,0.000192503,0.03699,0.000520594,0.0013399,0.000140123,0.000322513,0.03699,3.25364,7.03071e-06,2.15347,0.1428
1850.2083,306.668,306.658,2.19154,0.367535,1.71244,0.00556521,0.00419804,0.00259385,0.00136717,6.23308e-06,6.11881e-05,1.37131e-06,4.62862e-07,0.000993688,0.011281,4.15147,0.710392,0.0094414,0.00121727,4.37608e-06,2.12021e-06,4.90479e-05,2.0021e-07,7.46562e-05,3.47711e-05,1.49316e-06,5.60241e-07,3.83705e-06,2.17286e-06,6.36338,25.9081,4.19658,0.15905,18.4225,0.170458,5.23395,0.00269094,0.135344,0.963112,0.153197,-0.579709,0.00215554,0.00290832,-0.739531,0.00710256,0.0080343,0.00322247,0.00156118,-0.739531,0.00983201,2.73977,2.1426,0.000185745,0.0369742,0.000502838,0.00133905,0.000135344,0.000321037,0.0369742,3.21128,6.49629e-06,2.1668,0.138035
1850.2917,306.73,306.717,2.11068,0.364785,1.73184,0.0053464,0.00413491,0.00251779,0.00121149,5.95305e-06,6.02647e-05,1.34693e-06,4.40279e-07,0.000994254,0.0115879,4.14989,0.754721,0.0090322,0.00118733,4.18269e-06,2.07478e-06,5.24846e-05,1.57601e-07,7.49213e-05,3.31256e-05,1.6055e-06,5.26383e-07,3.72306e-06,2.06808e-06,6.36277,25.8928,4.18791,0.15499,18.4162,0.164565,5.23035,0.0026968,0.130665,0.958849,0.153067,-0.580414,0.00224584,0.0028065,-0.740085,0.00685701,0.00802871,0.00311106,0.00155248,-0.740085,0.0098239,2.73979,2.14265,0.000180227,0.0369579,0.000485454,0.00133812,0.000130665,0.000319617,0.0369579,3.08504,6.25747e-06,2.17486,0.133361
1850.3750,307.204,307.186,2.03144,0.336696,2.30948,0.0050986,0.00407455,0.00234398,0.00102405,6.2535e-06,5.99236e-05,1.33433e-06,4.2985e-07,0.00112338,0.0123374,4.206,0.662643,0.00853734,0.00115783,4.11496e-06,2.04835e-06,5.84477e-05,1.61058e-07,7.04833e-05,3.11332e-05,2.00109e-06,2.10184e-07,3.45753e-06,1.94142e-06,6.35661,25.874,4.17907,0.152446,18.4098,0.158762,5.22641,0.00269443,0.126057,0.955183,0.152902,-0.581349,0.00212397,0.00274461,-0.740665,0.00661523,0.00802266,0.00300136,0.00154502,-0.740665,0.0098135,2.73981,2.1427,0.000176912,0.0369424,0.000468337,0.00133711,0.000126057,0.000318394,0.0369424,3.33292,6.16331e-06,2.17754,0.128752
1850.4583,307.545,307.507,1.95914,0.322935,2.31897,0.00483298,0.00399791,0.00224607,0.000835063,6.35076e-06,5.60657e-05,1.23788e-06,4.10362e-07,0.00115354,0.0118946,3.97044,0.480551,0.00798959,0.00113077,3.92356e-06,2.04634e-06,4.94548e-05,1.22241e-07,6.77272e-05,2.93011e-05,1.82045e-06,7.23936e-08,3.31262e-06,1.8294e-06,6.34918,25.8568,4.17073,0.151073,18.4041,0.153445,5.22247,0.00269231,0.121835,0.952425,0.152744,-0.582246,0.00195254,0.00271255,-0.741195,0.00639367,0.00801662,0.00290084,0.00153944,-0.741195,0.0098035,2.73984,2.14276,0.000175246,0.0369294,0.000452651,0.0013361,0.000121835,0.000317475,0.0369294,3.48408,5.9699e-06,2.17845,0.124528
1850.5417,310.845,310.682,1.86085,0.20405,2.63587,0.00330324,0.00379216,0.00159184,-0.000488916,3.17257e-06,3.4913e-05,5.92559e-07,1.86533e-07,0.000725135,0.0099453,2.45975,0.257241,0.00434515,0.00109375,1.74201e-06,2.07449e-06,4.16393e-06,1.78351e-07,4.60908e-05,1.80398e-05,2.34069e-07,3.37654e-08,2.35099e-06,1.13987e-06,6.32074,25.8264,4.1588,0.153565,18.4002,0.146178,5.21641,0.00264366,0.116065,0.951969,0.152371,-0.582363,0.00251618,0.00278844,-0.741577,0.00609087,0.00800763,0.00276346,0.00153855,-0.741577,0.00978035,2.73987,2.14281,0.000180441,0.0369213,0.000431214,0.0013346,0.000116065,0.000317323,0.0369213,3.62036,3.8165e-06,2.16193,0.118709
1850.6250,315.87,315.538,1.74029,0.134994,2.28563,0.00188252,0.00362032,0.0011815,-0.0017378,1.24737e-06,1.80298e-05,2.47351e-07,7.1572e-08,0.000346383,0.00600968,1.30565,0.165223,0.00198132,0.00104801,6.6594e-07,2.06736e-06,5.76166e-07,1.94791e-07,3.24798e-05,1.07851e-05,4.18092e-08,2.09735e-08,1.71615e-06,6.9887e-07,6.27025,25.7899,4.14358,0.163332,18.4001,0.137207,5.20828,0.00254974,0.108942,0.956143,0.151795,-0.581939,0.00325954,0.0030807,-0.741621,0.00571709,0.00799574,0.00259387,0.00154712,-0.741621,0.00974485,2.73991,2.14286,0.000198981,0.0369232,0.000404752,0.00133262,0.000108942,0.000318715,0.0369232,2.81603,2.7333e-06,2.12667,0.111492
1850.7083,315.579,315.396,1.60817,0.145532,1.94793,0.00178692,0.00334085,0.00118467,-0.00155393,7.799e-07,1.48563e-05,1.6429e-07,4.484e-08,0.000281319,0.00639996,1.2182,0.18931,0.00139164,0.000997446,4.24451e-07,2.0262e-06,2.13312e-06,1.54127e-07,2.93826e-05,8.6535e-06,1.3355e-07,1.32976e-08,1.82563e-06,5.64952e-07,6.2067,25.7426,4.12626,0.171484,18.4026,0.127302,5.19864,0.00242735,0.101078,0.961878,0.151094,-0.581663,0.00382588,0.00330521,-0.741447,0.00530439,0.00798173,0.00240662,0.00155885,-0.741447,0.00970171,2.73994,2.1429,0.000213752,0.0369315,0.000375533,0.00133029,0.000101078,0.000320626,0.0369315,2.71423,2.45065e-06,2.08044,0.103505
1850.7917,311.55,311.654,1.4884,0.223028,2.03007,0.00320098,0.00325455,0.00172851,-5.35613e-05,1.60118e-06,3.06464e-05,3.63806e-07,9.2399e-08,0.000559143,0.0135561,2.54362,0.472184,0.0029444,0.000951212,8.79249e-07,1.99838e-06,1.23117e-05,1.07531e-07,4.05102e-05,1.2575e-05,7.13405e-07,8.1854e-09,2.7249e-06,7.90218e-07,6.14689,25.6921,4.10984,0.172149,18.4062,0.118257,5.18905,0.00231308,0.093896,0.966901,0.150435,-0.581698,0.0041501,0.0033024,-0.741154,0.0049275,0.00796774,0.00223562,0.00156912,-0.741154,0.00966097,2.73996,2.14296,0.000213901,0.0369423,0.000348851,0.00132796,9.3896e-05,0.0003223,0.0369423,3.4701,2.87763e-06,2.03706,0.0962091
1850.8750,308.169,308.233,1.41596,0.291068,1.76945,0.00439009,0.00323983,0.00203919,0.00115026,3.34657e-06,5.4183e-05,8.01429e-07,1.97505e-07,0.000880641,0.0170965,4.13841,0.812512,0.00608673,0.000922996,1.89741e-06,2.01004e-06,3.59942e-05,7.18555e-08,5.80351e-05,2.12838e-05,2.25582e-06,5.16427e-09,3.19691e-06,1.30982e-06,6.11746,25.6516,4.09891,0.160025,18.4066,0.112754,5.18201,0.00226216,0.0895269,0.967538,0.150075,-0.58229,0.00421005,0.00295576,-0.741102,0.00469822,0.00795724,0.00213159,0.00157041,-0.741102,0.00963803,2.73999,2.14302,0.000191962,0.0369428,0.000332619,0.00132621,8.95269e-05,0.000322513,0.0369428,3.25373,3.90745e-06,2.01854,0.0917891
1850.9583,303.398,303.588,1.50989,0.383682,0.953813,0.00562239,0.00348104,0.00227251,0.00214135,7.92294e-06,6.524e-05,1.84039e-06,4.8248e-07,0.00118114,0.0121191,3.91588,0.746665,0.0131424,0.000958463,4.07976e-06,1.99933e-06,7.3725e-05,4.90996e-08,7.40994e-05,4.43718e-05,5.14993e-06,6.85602e-09,3.55637e-06,2.70717e-06,6.1166,25.6303,4.10237,0.149189,18.3995,0.119874,5.17725,0.00226703,0.09518,0.964967,0.150164,-0.583655,0.00364243,0.00266897,-0.741695,0.00499487,0.00794988,0.00226619,0.00156515,-0.741695,0.00964208,2.74001,2.14308,0.000175129,0.0369236,0.000353621,0.00132498,9.518e-05,0.000321656,0.0369236,2.95473,6.07909e-06,2.01423,0.097447
1851.0417,303.093,303.197,1.75786,0.379023,1.12,0.00601151,0.00376136,0.00218001,0.00225015,1.04653e-05,6.72919e-05,2.27707e-06,6.93269e-07,0.00136203,0.0109342,3.84986,0.684073,0.0148179,0.00105216,5.70121e-06,1.98437e-06,5.63955e-05,7.92211e-07,7.05634e-05,5.10639e-05,2.13772e-06,3.79211e-07,3.33006e-06,3.13046e-06,6.13871,25.6365,4.11883,0.145106,18.3909,0.138511,5.17441,0.00230896,0.109978,0.961787,0.150637,-0.585022,0.00267631,0.00256432,-0.742459,0.0057714,0.00794524,0.00261851,0.00155865,-0.742459,0.00966971,2.74004,2.1431,0.000169036,0.0369016,0.000408596,0.00132421,0.000109978,0.000320596,0.0369016,2.84089,7.68557e-06,2.01988,0.112286
1851.1250,303.308,303.376,2.01693,0.376919,1.32628,0.00641787,0.00405917,0.00220991,0.00235871,1.2554e-05,6.8589e-05,2.68857e-06,9.06604e-07,0.00148976,0.0101396,3.89711,0.686771,0.01604,0.0011486,7.52351e-06,1.9704e-06,4.34425e-05,5.82718e-07,6.78686e-05,5.64119e-05,1.39138e-06,7.21689e-07,3.26994e-06,3.47078e-06,6.16983,25.6583,4.13626,0.145393,18.3842,0.157685,5.17214,0.00236089,0.125202,0.958968,0.151207,-0.585732,0.00201538,0.00257276,-0.74308,0.00657032,0.0079414,0.002981,0.0015529,-0.74308,0.00970358,2.74005,2.14309,0.000169191,0.036886,0.000465157,0.00132357,0.000125202,0.000319656,0.036886,3.04122,9.49391e-06,2.03357,0.127563
1851.2083,302.657,302.719,2.25927,0.375902,1.1823,0.00646513,0.00421217,0.00221498,0.00225296,1.26438e-05,6.71405e-05,2.56543e-06,9.76039e-07,0.00147571,0.00950561,3.62812,0.575643,0.0157477,0.00123752,7.73497e-06,1.95032e-06,3.36345e-05,1.70527e-07,6.32839e-05,5.64694e-05,9.91076e-07,6.99281e-07,3.18761e-06,3.48262e-06,6.20339,25.6876,4.15202,0.148218,18.3796,0.175366,5.16965,0.00240815,0.13924,0.956382,0.151773,-0.585974,0.0015844,0.00264666,-0.743526,0.00730703,0.00793725,0.00331525,0.00154758,-0.743526,0.0097375,2.74006,2.14308,0.00017289,0.0368766,0.000517313,0.00132288,0.00013924,0.000318794,0.0368766,2.72192,9.6853e-06,2.05137,0.141649
1851.2917,302.927,302.983,2.46175,0.368288,1.352,0.00660977,0.00441622,0.00227593,0.00219355,1.29203e-05,6.66238e-05,2.44333e-06,1.02142e-06,0.00147155,0.00872949,3.57707,0.457601,0.01571,0.00131078,8.20241e-06,1.92791e-06,3.12155e-05,7.00066e-08,6.12076e-05,5.71444e-05,9.24589e-07,5.54624e-07,3.21083e-06,3.53066e-06,6.23398,25.7172,4.16435,0.151932,18.3773,0.189947,5.16672,0.00244264,0.150818,0.95399,0.152263,-0.585923,0.00131154,0.00274311,-0.743783,0.00791459,0.00793251,0.00359091,0.00154266,-0.743783,0.00976687,2.74008,2.14307,0.000177843,0.0368731,0.000560327,0.00132209,0.000150818,0.000317997,0.0368731,2.70194,1.01303e-05,2.06964,0.153261
1851.3750,302.494,302.545,2.63929,0.356331,1.7591,0.006866,0.0045151,0.0022679,0.00235089,1.48815e-05,6.73119e-05,2.51374e-06,1.16753e-06,0.00164974,0.00838817,3.52629,0.327901,0.0161004,0.00137428,9.15101e-06,1.90785e-06,2.70773e-05,3.37882e-08,5.65815e-05,5.91771e-05,8.39289e-07,2.70199e-07,3.14672e-06,3.66334e-06,6.26451,25.7504,4.17458,0.156752,18.3771,0.202593,5.16359,0.00247058,0.160859,0.952135,0.152719,-0.585748,0.000976803,0.00286911,-0.743851,0.00844152,0.00792751,0.00382998,0.00153886,-0.743851,0.00979437,2.74011,2.14306,0.000184495,0.0368748,0.000597631,0.00132125,0.000160859,0.000317378,0.0368748,2.87701,1.10589e-05,2.08992,0.16333
