time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.31,303.315,3.58086,0.370596,1.72068,0.0102829,0.00710895,0.00366156,0.00317399,0.00210243,7.28724e-06,1.98041e-06,3.03745e-05,2.2197e-08,8.46865e-05,6.736e-05,9.00108e-07,3.12538e-07,4.96366e-06,4.2973e-06,13.496,35.8366,8.73852,0.258723,20.5316,0.267602,11.0122,0.0105809,0.212476,1.55025,0.228755,-0.289332,0.00172496,0.00508639,-0.527783,0.0111503,0.0168713,0.00505896,0.00288412,-0.527783,0.0154543,2.81584,2.20429,0.000300795,0.0412686,0.000789405,0.00281188,0.000212476,0.000516751,0.0412686,3.29994,9.26766e-06,4.75746,0.223057
2015.1250,303.266,303.291,3.55437,0.368033,1.68449,0.00991929,0.00711732,0.00358776,0.00280197,0.00209376,6.70083e-06,2.0242e-06,3.34488e-05,2.57225e-08,8.36341e-05,6.44167e-05,1.00713e-06,3.77134e-07,4.8658e-06,4.11052e-06,13.5196,35.8573,8.74023,0.257568,20.5315,0.265819,11.0167,0.0105791,0.21106,1.54872,0.228949,-0.289051,0.00183943,0.00505671,-0.527777,0.011076,0.0168783,0.00502524,0.00288093,-0.527777,0.0154676,2.81589,2.20432,0.000299013,0.0412672,0.000784144,0.00281305,0.00021106,0.000516241,0.0412672,3.13445,8.72504e-06,4.77934,0.221639
2015.2083,303.079,303.095,3.51368,0.371512,1.51112,0.00967587,0.00705627,0.00358866,0.0026196,0.00208016,5.95173e-06,1.946e-06,3.49103e-05,4.46887e-08,8.40535e-05,6.2448e-05,1.02369e-06,7.09218e-07,4.86014e-06,3.98421e-06,13.5339,35.8705,8.73997,0.257886,20.5313,0.263075,11.02,0.010545,0.208881,1.54748,0.229051,-0.288721,0.0020675,0.00506275,-0.527781,0.0109617,0.0168835,0.00497336,0.00287832,-0.527781,0.0154749,2.81593,2.20435,0.000298958,0.041266,0.000776049,0.00281392,0.000208881,0.000515825,0.041266,2.94525,7.89773e-06,4.79393,0.219426
2015.2917,302.859,302.875,3.47535,0.374345,1.48489,0.00953384,0.00701966,0.00353372,0.00251418,0.00206732,5.58865e-06,1.91175e-06,3.50751e-05,3.63139e-08,8.35309e-05,6.12834e-05,1.02271e-06,5.7895e-07,4.80127e-06,3.9095e-06,13.5454,35.8797,8.73979,0.257565,20.5307,0.260484,11.0231,0.0105108,0.206824,1.54609,0.229141,-0.288543,0.00220573,0.00505371,-0.527819,0.0108537,0.0168885,0.00492439,0.00287542,-0.527819,0.0154815,2.81596,2.20439,0.000298184,0.0412641,0.000768407,0.00281476,0.000206824,0.000515364,0.0412641,2.83142,7.5004e-06,4.80558,0.217335
2015.3750,303.329,303.33,3.43973,0.350211,2.10068,0.00957042,0.00704233,0.00349403,0.00252809,0.00205537,6.33745e-06,1.89538e-06,4.93971e-05,3.58099e-08,8.09803e-05,6.16792e-05,1.56508e-06,3.2563e-07,4.68749e-06,3.93391e-06,13.5551,35.889,8.73974,0.257649,20.5307,0.258071,11.0262,0.0104774,0.204909,1.54553,0.229224,-0.288655,0.00199814,0.00505837,-0.527811,0.0107532,0.0168935,0.00487878,0.00287423,-0.527811,0.0154876,2.816,2.20442,0.00029855,0.0412639,0.00076129,0.00281558,0.000204909,0.000515176,0.0412639,3.05708,8.23283e-06,4.81538,0.215386
2015.4583,304.242,304.199,3.4111,0.330194,2.95437,0.00956601,0.00705908,0.00340096,0.00250693,0.00204583,7.28676e-06,1.90678e-06,4.81064e-05,2.09555e-08,7.85969e-05,6.16124e-05,1.64409e-06,1.28604e-07,4.57136e-06,3.9293e-06,13.565,35.8983,8.74044,0.256801,20.5311,0.25613,11.0296,0.0104544,0.203367,1.54537,0.229325,-0.288821,0.00170791,0.0050401,-0.527768,0.0106723,0.0168989,0.00484207,0.00287388,-0.527768,0.0154948,2.81605,2.20446,0.000297925,0.0412647,0.000755562,0.00281649,0.000203367,0.000515123,0.0412647,3.62495,9.19354e-06,4.82459,0.213821
2015.5417,304.744,304.714,3.38599,0.288507,3.21806,0.00955562,0.00713965,0.0030297,0.00241597,0.00203748,8.52625e-06,1.96133e-06,3.51798e-05,4.10844e-08,6.57562e-05,6.14315e-05,1.47042e-06,4.80769e-08,4.03506e-06,3.92057e-06,13.5728,35.913,8.74153,0.259643,20.5332,0.254424,11.0332,0.0104356,0.202012,1.54738,0.22943,-0.28884,0.00132294,0.00511885,-0.527589,0.0106012,0.0169046,0.00480982,0.00287805,-0.527589,0.0155022,2.81611,2.20449,0.000302544,0.0412699,0.00075053,0.00281744,0.000202012,0.000515792,0.0412699,3.92336,1.04876e-05,4.83124,0.212448
2015.6250,305.552,305.516,3.35938,0.2523,3.31577,0.00943154,0.00721166,0.00265217,0.00221988,0.00202858,8.90652e-06,2.02606e-06,1.50162e-05,4.34596e-08,5.08182e-05,6.0256e-05,6.64005e-07,2.39096e-08,3.47219e-06,3.84631e-06,13.5747,35.9349,8.74218,0.268096,20.5388,0.252613,11.0364,0.0104099,0.200575,1.55331,0.229503,-0.288191,0.00117146,0.00534414,-0.5271,0.0105258,0.0169097,0.00477559,0.00289037,-0.5271,0.0155077,2.81616,2.20451,0.000315102,0.0412847,0.000745189,0.00281829,0.000200575,0.00051777,0.0412847,4.11776,1.09326e-05,4.83254,0.210985
2015.7083,305.367,305.349,3.34599,0.291114,3.11709,0.00976782,0.00723011,0.00318943,0.00253771,0.00202427,9.72468e-06,2.07699e-06,2.41173e-05,1.69198e-08,6.52314e-05,6.29715e-05,9.84235e-07,1.5268e-08,4.24544e-06,4.01848e-06,13.5809,35.9533,8.7445,0.268832,20.5456,0.251701,11.0406,0.0104088,0.199851,1.55799,0.229632,-0.287582,0.00102145,0.00535645,-0.526492,0.0104878,0.0169162,0.00475835,0.00290007,-0.526492,0.0155167,2.81622,2.20453,0.000315617,0.0413015,0.000742499,0.00281937,0.000199851,0.000519329,0.0413015,4.19926,1.18017e-05,4.83636,0.21026
2015.7917,304.651,304.668,3.34561,0.322905,2.39779,0.00992354,0.00723212,0.00346325,0.00269141,0.0020245,9.63619e-06,2.11195e-06,2.66785e-05,7.62642e-09,7.46473e-05,6.41709e-05,9.65503e-07,9.27793e-09,4.66779e-06,4.09431e-06,13.5931,35.9705,8.74857,0.266539,20.5502,0.251675,11.046,0.0104326,0.19983,1.56069,0.229819,-0.287003,0.00102828,0.00529312,-0.526049,0.0104867,0.0169242,0.00475785,0.00290567,-0.526049,0.0155294,2.81627,2.20457,0.000312191,0.0413118,0.000742421,0.00282071,0.00019983,0.000520229,0.0413118,3.64681,1.17481e-05,4.84449,0.210262
