time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,306.729,306.743,2.36205,0.355271,1.93658,0.00605219,0.00435602,0.00270356,0.00169617,0.00127986,5.59663e-06,2.26822e-06,3.60406e-05,5.94092e-09,6.99704e-05,3.8417e-05,1.1789e-06,7.64958e-09,4.0023e-06,2.40783e-06,6.35174,25.9271,4.21385,0.170808,18.4326,0.182794,5.24037,0.00266185,0.145139,0.971904,0.153419,-0.579046,0.00148835,0.00321002,-0.738743,0.00761657,0.00804436,0.00345568,0.00157906,-0.738743,0.00984253,2.7397,2.14248,0.000202424,0.0370043,0.000539228,0.00134073,0.000145139,0.000323968,0.0370043,3.49685,7.86485e-06,2.13789,0.147801
1850.1250,306.58,306.587,2.27452,0.377093,1.48713,0.00582125,0.00427899,0.00268302,0.00154226,0.00124781,4.99453e-06,2.19126e-06,3.59788e-05,3.60883e-08,7.42715e-05,3.69504e-05,1.09426e-06,8.67827e-08,3.99811e-06,2.31387e-06,6.35865,25.9183,4.2051,0.163787,18.4283,0.176477,5.23721,0.00267666,0.140123,0.967553,0.153335,-0.579242,0.00187987,0.00302916,-0.739056,0.00735334,0.0080394,0.00333625,0.00157021,-0.739056,0.00983754,2.73974,2.14255,0.000192507,0.0369904,0.000520592,0.0013399,0.000140123,0.000322518,0.0369904,3.25364,7.18579e-06,2.15355,0.142799
1850.2083,306.668,306.658,2.19152,0.367535,1.71244,0.00556518,0.00419808,0.00259386,0.0013671,0.00121726,4.51185e-06,2.12021e-06,4.92053e-05,2.0207e-07,7.466e-05,3.4771e-05,1.49839e-06,5.60242e-07,3.83707e-06,2.17281e-06,6.36344,25.9084,4.19656,0.159053,18.4227,0.170457,5.23393,0.00269089,0.135342,0.963127,0.153245,-0.579637,0.00216299,0.00290838,-0.739514,0.00710249,0.00803427,0.00322244,0.00156119,-0.739514,0.00983199,2.73977,2.1426,0.000185748,0.0369746,0.000502833,0.00133904,0.000135342,0.000321042,0.0369746,3.21128,6.63206e-06,2.16688,0.138033
1850.2917,306.73,306.717,2.11066,0.364785,1.73183,0.00534637,0.00413495,0.00251779,0.00121141,0.00118732,4.29855e-06,2.07478e-06,5.26304e-05,1.59122e-07,7.49253e-05,3.31254e-05,1.61027e-06,5.26383e-07,3.72307e-06,2.06803e-06,6.36283,25.8931,4.18789,0.154993,18.4164,0.164563,5.23033,0.00269675,0.130663,0.958864,0.153115,-0.580342,0.00225267,0.00280655,-0.740069,0.00685692,0.00802869,0.00311102,0.00155249,-0.740069,0.00982389,2.73979,2.14265,0.00018023,0.0369583,0.000485448,0.00133811,0.000130663,0.000319621,0.0369583,3.08503,6.37333e-06,2.17493,0.13336
1850.3750,307.204,307.186,2.0314,0.336696,2.30947,0.00509855,0.00407459,0.00234398,0.00102396,0.00115781,4.18214e-06,2.04835e-06,5.85685e-05,1.62009e-07,7.04874e-05,3.11328e-05,2.00555e-06,2.10184e-07,3.45753e-06,1.94138e-06,6.35667,25.8743,4.17906,0.152449,18.41,0.15876,5.22639,0.00269438,0.126055,0.955198,0.152949,-0.58128,0.00212934,0.00274466,-0.740648,0.00661512,0.00802263,0.00300131,0.00154503,-0.740648,0.00981348,2.73981,2.1427,0.000176914,0.0369428,0.000468329,0.0013371,0.000126055,0.000318399,0.0369428,3.33291,6.23048e-06,2.17761,0.12875
1850.4583,307.545,307.507,1.9591,0.322935,2.31895,0.00483291,0.00399795,0.00224606,0.000834967,0.00113075,3.98209e-06,2.04634e-06,4.95317e-05,1.22759e-07,6.77313e-05,2.93007e-05,1.82365e-06,7.23939e-08,3.31263e-06,1.82935e-06,6.34923,25.857,4.17071,0.151075,18.4043,0.153442,5.22245,0.00269226,0.121833,0.95244,0.152791,-0.582178,0.00195676,0.00271258,-0.741178,0.00639354,0.00801659,0.00290078,0.00153945,-0.741178,0.00980349,2.73984,2.14276,0.000175248,0.0369298,0.000452642,0.0013361,0.000121833,0.00031748,0.0369298,3.48407,6.02843e-06,2.17852,0.124525
1850.5417,310.845,310.682,1.8608,0.20405,2.63583,0.00330317,0.00379221,0.00159185,-0.000489035,0.00109373,1.76246e-06,2.07449e-06,4.16679e-06,1.78824e-07,4.60948e-05,1.80393e-05,2.34322e-07,3.37656e-08,2.351e-06,1.13983e-06,6.32079,25.8267,4.15878,0.153567,18.4004,0.146174,5.21639,0.00264361,0.116063,0.951984,0.152418,-0.582295,0.00252075,0.00278847,-0.741561,0.00609074,0.0080076,0.00276339,0.00153857,-0.741561,0.00978033,2.73987,2.14281,0.000180442,0.0369217,0.000431204,0.0013346,0.000116063,0.000317328,0.0369217,3.62033,3.83695e-06,2.162,0.118706
1850.6250,315.87,315.538,1.74025,0.134994,2.2856,0.00188249,0.0036204,0.00118151,-0.00173791,0.00104799,6.24193e-07,2.06736e-06,5.76494e-07,1.9513e-07,3.24831e-05,1.07847e-05,4.1851e-08,2.09736e-08,1.71617e-06,6.98852e-07,6.2703,25.7901,4.14356,0.163333,18.4003,0.137204,5.20826,0.0025497,0.10894,0.956158,0.151842,-0.581871,0.00326363,0.00308073,-0.741605,0.00571695,0.00799571,0.0025938,0.00154713,-0.741605,0.00974483,2.73991,2.14286,0.000198982,0.0369236,0.000404742,0.00133262,0.00010894,0.000318719,0.0369236,2.81601,2.69155e-06,2.12674,0.111489
1850.7083,315.579,315.396,1.60812,0.145532,1.94791,0.0017869,0.00334094,0.00118467,-0.00155403,0.000997428,3.68193e-07,2.0262e-06,2.13443e-06,1.54251e-07,2.93869e-05,8.65321e-06,1.3366e-07,1.32977e-08,1.82564e-06,5.64941e-07,6.20674,25.7429,4.12624,0.171485,18.4028,0.127299,5.19862,0.00242731,0.101075,0.961892,0.151141,-0.581597,0.00382793,0.00330523,-0.74143,0.00530426,0.0079817,0.00240656,0.00155886,-0.74143,0.00970169,2.73994,2.1429,0.000213752,0.0369319,0.000375524,0.00133028,0.000101075,0.000320631,0.0369319,2.71421,2.39439e-06,2.08051,0.103503
1850.7917,311.55,311.654,1.48836,0.223028,2.03005,0.00320093,0.00325461,0.0017285,-5.36824e-05,0.000951196,8.10722e-07,1.99837e-06,1.23158e-05,1.07545e-07,4.05152e-05,1.25745e-05,7.13706e-07,8.18548e-09,2.72489e-06,7.90196e-07,6.14693,25.6924,4.10982,0.17215,18.4064,0.118254,5.18903,0.00231304,0.0938936,0.966915,0.150482,-0.581634,0.00415029,0.00330241,-0.741138,0.00492737,0.00796771,0.00223556,0.00156913,-0.741138,0.00966096,2.73996,2.14295,0.000213901,0.0369426,0.000348842,0.00132795,9.38936e-05,0.000322305,0.0369426,3.47009,2.80909e-06,2.03712,0.0962067
1850.8750,308.169,308.233,1.41592,0.291068,1.76943,0.00439,0.00323987,0.00203918,0.00115014,0.000922979,1.85718e-06,2.01003e-06,3.59972e-05,7.18175e-08,5.80395e-05,2.12829e-05,2.25566e-06,5.16433e-09,3.19691e-06,1.30977e-06,6.11749,25.6519,4.0989,0.160025,18.4068,0.112751,5.18199,0.00226212,0.0895244,0.967552,0.150122,-0.582229,0.00420825,0.00295576,-0.741085,0.00469809,0.00795721,0.00213153,0.00157042,-0.741085,0.00963801,2.73999,2.14302,0.000191962,0.0369432,0.000332609,0.0013262,8.95244e-05,0.000322517,0.0369432,3.25372,3.86722e-06,2.0186,0.0917865
1850.9583,303.398,303.588,1.50987,0.383682,0.953811,0.00562236,0.00348109,0.0022725,0.00214127,0.000958456,4.79627e-06,1.99932e-06,7.3745e-05,4.93769e-08,7.41035e-05,4.43743e-05,5.16116e-06,6.85628e-09,3.55635e-06,2.70717e-06,6.11664,25.6305,4.10236,0.14919,18.3997,0.119873,5.17723,0.002267,0.0951792,0.964981,0.150211,-0.583584,0.00365031,0.00266898,-0.741679,0.00499483,0.00794986,0.00226617,0.00156516,-0.741679,0.00964207,2.74001,2.14308,0.000175129,0.0369239,0.000353618,0.00132498,9.51792e-05,0.00032166,0.0369239,2.95473,6.7956e-06,2.01428,0.0974462
1851.0417,303.093,303.197,1.75792,0.379023,1.12001,0.0060116,0.00376135,0.00218,0.00225026,0.00105217,6.63794e-06,1.98436e-06,5.67926e-05,8.1588e-07,7.05655e-05,5.10707e-05,2.16445e-06,3.79211e-07,3.33002e-06,3.13054e-06,6.13875,25.6367,4.11882,0.145108,18.3911,0.138514,5.1744,0.00230896,0.10998,0.961801,0.150684,-0.584934,0.00270194,0.00256435,-0.742443,0.00577156,0.00794522,0.00261858,0.00155866,-0.742443,0.0096697,2.74004,2.1431,0.000169038,0.036902,0.000408607,0.0013242,0.000109981,0.0003206,0.036902,2.8409,8.6223e-06,2.01993,0.112289
