time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.31,303.315,3.58087,0.370596,1.72068,0.0102829,0.00710871,0.00366157,0.00317423,0.00210243,7.54215e-06,1.98042e-06,3.04481e-05,2.2036e-08,8.46859e-05,6.73606e-05,9.02244e-07,3.12539e-07,4.96369e-06,4.29728e-06,13.4958,35.8364,8.73848,0.258724,20.5317,0.267603,11.0121,0.0105808,0.212477,1.55025,0.228738,-0.289348,0.00172876,0.00508643,-0.527786,0.0111503,0.0168712,0.00505897,0.00288411,-0.527786,0.0154543,2.81584,2.20429,0.000300796,0.0412687,0.000789407,0.00281187,0.000212477,0.000516749,0.0412687,3.29994,9.52256e-06,4.75733,0.223057
2015.1250,303.266,303.291,3.55435,0.368033,1.68449,0.00991928,0.00711711,0.00358776,0.00280218,0.00209375,6.91563e-06,2.0242e-06,3.34837e-05,2.55673e-08,8.36337e-05,6.44168e-05,1.00811e-06,3.77135e-07,4.86583e-06,4.1105e-06,13.5194,35.8572,8.74018,0.257569,20.5315,0.265818,11.0167,0.010579,0.211059,1.54872,0.228932,-0.289068,0.00184199,0.00505674,-0.52778,0.0110759,0.0168782,0.00502522,0.00288092,-0.52778,0.0154675,2.81589,2.20432,0.000299014,0.0412673,0.000784141,0.00281303,0.000211059,0.00051624,0.0412673,3.13444,8.93983e-06,4.77922,0.221638
2015.2083,303.079,303.095,3.51365,0.371512,1.51111,0.00967584,0.00705601,0.00358864,0.00261983,0.00208014,6.34557e-06,1.946e-06,3.51503e-05,4.46918e-08,8.4053e-05,6.24489e-05,1.03072e-06,7.0922e-07,4.86014e-06,3.98418e-06,13.5337,35.8704,8.73992,0.257886,20.5313,0.263072,11.0199,0.0105448,0.208879,1.54747,0.229034,-0.288727,0.00208116,0.00506277,-0.527783,0.0109616,0.0168834,0.00497332,0.00287831,-0.527783,0.0154749,2.81593,2.20436,0.000298958,0.0412661,0.000776042,0.0028139,0.000208879,0.000515824,0.0412661,2.94525,8.29157e-06,4.79382,0.219424
2015.2917,302.859,302.875,3.4753,0.374345,1.48488,0.0095338,0.00701939,0.00353369,0.00251441,0.0020673,6.09044e-06,1.91175e-06,3.53512e-05,3.64501e-08,8.35304e-05,6.12845e-05,1.03071e-06,5.78953e-07,4.80127e-06,3.90947e-06,13.5452,35.8796,8.73974,0.257565,20.5307,0.260481,11.023,0.0105105,0.206822,1.54609,0.229124,-0.288545,0.00222297,0.00505372,-0.527821,0.0108536,0.0168884,0.00492432,0.00287541,-0.527821,0.0154815,2.81597,2.20439,0.000298184,0.0412641,0.000768397,0.00281474,0.000206822,0.000515362,0.0412641,2.83141,8.00218e-06,4.80548,0.217332
2015.3750,303.329,303.33,3.43966,0.350211,2.10068,0.00957037,0.00704208,0.00349401,0.00252829,0.00205535,6.56347e-06,1.89538e-06,4.97977e-05,3.61931e-08,8.09802e-05,6.16798e-05,1.57786e-06,3.25631e-07,4.68749e-06,3.93388e-06,13.555,35.8889,8.73968,0.257648,20.5308,0.258067,11.0261,0.0104771,0.204905,1.54552,0.229208,-0.288659,0.0020145,0.00505837,-0.527813,0.010753,0.0168934,0.00487869,0.00287422,-0.527813,0.0154876,2.81601,2.20442,0.00029855,0.0412639,0.000761277,0.00281556,0.000204905,0.000515174,0.0412639,3.05708,8.45885e-06,4.81529,0.215382
2015.4583,304.242,304.199,3.41103,0.330194,2.95435,0.00956595,0.00705893,0.00340094,0.00250702,0.0020458,6.9801e-06,1.90678e-06,4.83198e-05,2.11043e-08,7.8597e-05,6.16113e-05,1.65132e-06,1.28605e-07,4.57137e-06,3.92926e-06,13.5649,35.8982,8.74039,0.2568,20.5312,0.256124,11.0295,0.0104541,0.203363,1.54536,0.229309,-0.288832,0.00171623,0.00504009,-0.527771,0.0106721,0.0168988,0.00484197,0.00287388,-0.527771,0.0154948,2.81606,2.20446,0.000297924,0.0412648,0.000755547,0.00281647,0.000203363,0.000515121,0.0412648,3.62495,8.88688e-06,4.82451,0.213817
2015.5417,304.744,304.714,3.3859,0.288507,3.21803,0.00955555,0.00713966,0.00302967,0.0024159,0.00203744,7.94299e-06,1.96133e-06,3.5045e-05,4.0809e-08,6.57562e-05,6.14275e-05,1.46434e-06,4.80772e-08,4.03506e-06,3.92053e-06,13.5726,35.9128,8.74147,0.259642,20.5332,0.254418,11.0332,0.0104353,0.202008,1.54737,0.229413,-0.288867,0.00131568,0.00511882,-0.527592,0.0106009,0.0169045,0.0048097,0.00287804,-0.527592,0.0155022,2.81611,2.2045,0.000302542,0.04127,0.000750512,0.00281742,0.000202008,0.00051579,0.04127,3.92336,9.90433e-06,4.83116,0.212443
2015.6250,305.552,305.516,3.35928,0.2523,3.31574,0.00943145,0.00721193,0.00265214,0.00221952,0.00202854,7.9932e-06,2.02606e-06,1.46719e-05,4.23602e-08,5.08182e-05,6.02466e-05,6.48499e-07,2.39096e-08,3.47218e-06,3.84627e-06,13.5746,35.9348,8.74212,0.268094,20.5388,0.252606,11.0364,0.0104097,0.200569,1.5533,0.229486,-0.288236,0.00114651,0.0053441,-0.527103,0.0105255,0.0169096,0.00477546,0.00289036,-0.527103,0.0155077,2.81616,2.20451,0.000315099,0.0412847,0.000745169,0.00281827,0.000200569,0.000517768,0.0412847,4.11775,1.00193e-05,4.83246,0.210979
2015.7083,305.367,305.349,3.34589,0.291114,3.11707,0.00976772,0.00723043,0.0031894,0.00253729,0.00202423,8.89584e-06,2.07699e-06,2.3486e-05,1.6176e-08,6.52316e-05,6.29609e-05,9.57749e-07,1.5268e-08,4.24543e-06,4.01844e-06,13.5807,35.9531,8.74445,0.26883,20.5456,0.251694,11.0406,0.0104085,0.199845,1.55798,0.229615,-0.287634,0.000989295,0.00535639,-0.526495,0.0104875,0.0169161,0.00475821,0.00290006,-0.526495,0.0155167,2.81622,2.20454,0.000315614,0.0413016,0.000742478,0.00281935,0.000199845,0.000519327,0.0413016,4.19925,1.09728e-05,4.83626,0.210253
2015.7917,304.651,304.668,3.34549,0.322905,2.39778,0.00992344,0.00723229,0.00346321,0.00269115,0.00202445,9.12218e-06,2.11195e-06,2.59045e-05,7.26248e-09,7.46477e-05,6.41629e-05,9.36921e-07,9.27795e-09,4.66777e-06,4.09426e-06,13.5929,35.9704,8.74851,0.266536,20.5503,0.251667,11.0459,0.0104323,0.199824,1.56068,0.229802,-0.287054,0.00099694,0.00529306,-0.526052,0.0104863,0.0169241,0.00475771,0.00290567,-0.526052,0.0155294,2.81627,2.20457,0.000312187,0.0413119,0.000742398,0.00282069,0.000199824,0.000520227,0.0413119,3.6468,1.12341e-05,4.84438,0.210256
2015.8750,303.978,303.98,3.35739,0.363203,2.02732,0.0101735,0.00719684,0.00373938,0.00297662,0.00202897,8.37017e-06,2.11027e-06,2.77978e-05,1.95823e-09,8.75149e-05,6.65938e-05,8.60531e-07,7.11604e-09,5.12057e-06,4.24514e-06,13.6127,35.9821,8.75428,0.258877,20.5509,0.252477,11.0523,0.0104806,0.200467,1.55955,0.230045,-0.286567,0.00133034,0.00509243,-0.525939,0.0105201,0.0169337,0.00477303,0.00290332,-0.525939,0.0155456,2.81632,2.20461,0.000301554,0.0413108,0.000744788,0.00282229,0.000200467,0.000519851,0.0413108,3.44608,1.04804e-05,4.85845,0.210948
2015.9583,303.09,303.142,3.38987,0.375929,1.31402,0.0102364,0.00721971,0.00359078,0.0030167,0.00204066,7.73066e-06,2.09879e-06,2.7712e-05,2.41618e-09,8.58144e-05,6.77543e-05,8.12558e-07,2.37017e-08,4.946e-06,4.31683e-06,13.6369,35.9984,8.7628,0.254826,20.5492,0.254687,11.0605,0.0105639,0.202221,1.55749,0.230338,-0.286111,0.00170355,0.00498696,-0.526039,0.0106122,0.0169458,0.00481479,0.00289904,-0.526039,0.0155649,2.81638,2.20466,0.000295938,0.0413041,0.000751306,0.0028243,0.000202221,0.000519163,0.0413041,3.00109,9.82946e-06,4.87413,0.212785
2016.0417,303.138,303.127,3.43531,0.370854,1.85518,0.0102016,0.00723843,0.00355354,0.00296314,0.00205683,7.3966e-06,2.08301e-06,3.17689e-05,3.3239e-08,8.40478e-05,6.78854e-05,9.33801e-07,3.90792e-07,4.84632e-06,4.32479e-06,13.6622,36.0209,8.77286,0.254693,20.5479,0.257772,11.0696,0.0106671,0.204671,1.55605,0.230639,-0.285707,0.0019012,0.00498133,-0.526124,0.0107407,0.0169591,0.00487312,0.00289604,-0.526124,0.0155847,2.81643,2.20469,0.000295404,0.0412995,0.000760407,0.00282651,0.000204671,0.000518682,0.0412995,3.23376,9.47961e-06,4.88936,0.215338
2016.1250,303.25,303.274,3.46813,0.375693,1.38643,0.010031,0.00731468,0.00357795,0.00271629,0.00206859,6.93475e-06,2.06822e-06,3.15503e-05,4.36588e-08,8.50266e-05,6.63933e-05,9.15139e-07,5.8886e-07,4.87723e-06,4.23138e-06,13.6811,36.0372,8.78141,0.254586,20.5469,0.259995,11.0778,0.0107458,0.206436,1.55458,0.230879,-0.285421,0.00202255,0.00497722,-0.526193,0.0108333,0.0169712,0.00491514,0.00289301,-0.526193,0.0156006,2.81647,2.20472,0.000295016,0.0412962,0.000766964,0.00282853,0.000206436,0.000518194,0.0412962,3.05153,9.00296e-06,4.89971,0.217182
2016.2083,303.072,303.087,3.4863,0.373485,1.41754,0.00966762,0.00724583,0.00355065,0.00242178,0.00207529,6.28623e-06,2.05277e-06,3.52723e-05,4.58761e-08,8.39658e-05,6.31403e-05,1.02655e-06,6.27026e-07,4.80844e-06,4.02482e-06,13.6934,36.0473,8.78826,0.254996,20.546,0.261224,11.0851,0.0107958,0.207412,1.55292,0.23105,-0.285157,0.00218736,0.00498623,-0.526269,0.0108846,0.0169821,0.00493838,0.00288958,-0.526269,0.0156121,2.81651,2.20475,0.0002951,0.0412933,0.000770591,0.00283035,0.000207412,0.000517641,0.0412933,2.84932,8.339e-06,4.90512,0.218208
2016.2917,302.997,303.02,3.48755,0.371934,1.46014,0.00937557,0.00723445,0.00350937,0.00214111,0.00207612,5.90348e-06,2.02138e-06,3.88349e-05,5.53492e-08,8.18949e-05,6.0417e-05,1.1504e-06,7.13643e-07,4.72763e-06,3.85236e-06,13.6977,36.0511,8.79286,0.256148,20.5456,0.261309,11.091,0.0108113,0.207479,1.55173,0.231137,-0.284991,0.00227218,0.00501493,-0.526302,0.0108881,0.016991,0.00493999,0.00288713,-0.526302,0.0156184,2.81654,2.20477,0.000296332,0.0412921,0.00077084,0.00283184,0.000207479,0.000517245,0.0412921,2.71522,7.92485e-06,4.9048,0.218291
2016.3750,303.183,303.175,3.47892,0.35918,1.97542,0.00962508,0.0072501,0.00350702,0.00237498,0.00207352,6.28096e-06,1.99363e-06,4.52638e-05,4.22991e-08,8.1301e-05,6.2501e-05,1.38561e-06,4.96488e-07,4.69869e-06,3.98396e-06,13.6969,36.0502,8.7961,0.256674,20.5457,0.260726,11.096,0.0108059,0.207016,1.5509,0.231172,-0.28498,0.00221944,0.00502944,-0.526287,0.0108638,0.0169987,0.00492896,0.00288542,-0.526287,0.0156214,2.81658,2.20481,0.000297059,0.0412925,0.00076912,0.00283312,0.000207016,0.000516967,0.0412925,2.9207,8.27459e-06,4.90076,0.217822
2016.4583,303.667,303.645,3.49421,0.326818,2.64233,0.00984282,0.00726567,0.00332793,0.00257714,0.00207921,7.59507e-06,1.98813e-06,5.01789e-05,3.12518e-08,7.4202e-05,6.42951e-05,1.74047e-06,1.37258e-07,4.42792e-06,4.09984e-06,13.7074,36.0637,8.80256,0.257929,20.547,0.26176,11.103,0.0108481,0.207837,1.55132,0.231322,-0.285226,0.00167179,0.00506682,-0.526173,0.0109069,0.0170093,0.0049485,0.00288632,-0.526173,0.0156317,2.81663,2.20483,0.000299574,0.041296,0.000772169,0.00283488,0.000207837,0.000517106,0.041296,3.31422,9.5832e-06,4.90488,0.218685
2016.5417,305.128,305.075,3.501,0.293461,3.32483,0.00958399,0.00741123,0.00314567,0.00217275,0.00208197,7.92812e-06,2.00729e-06,3.44363e-05,3.25334e-08,6.71681e-05,6.17032e-05,1.40398e-06,4.41852e-08,4.16471e-06,3.93769e-06,13.7114,36.0756,8.80802,0.260759,20.5502,0.262219,11.1095,0.0108733,0.208201,1.55329,0.231429,-0.28518,0.0012568,0.00514367,-0.5259,0.010926,0.0170191,0.00495718,0.00289049,-0.5259,0.0156393,2.81668,2.20487,0.000304027,0.041304,0.000773523,0.00283652,0.000208202,0.000517764,0.041304,4.00292,9.93542e-06,4.90343,0.219075
2016.6250,305.254,305.235,3.50424,0.295185,3.10697,0.00967773,0.00743666,0.00319041,0.00224108,0.00208349,8.3979e-06,2.04492e-06,2.75639e-05,2.33883e-08,6.66152e-05,6.23232e-05,1.1238e-06,2.32035e-08,4.22501e-06,3.97875e-06,13.712,36.0866,8.81293,0.263679,20.5547,0.262437,11.1156,0.0108908,0.208375,1.55621,0.231514,-0.284782,0.00108223,0.00521981,-0.525495,0.0109351,0.0170284,0.00496131,0.00289661,-0.525495,0.0156456,2.81674,2.2049,0.00030822,0.0413155,0.000774167,0.00283807,0.000208375,0.000518738,0.0413155,4.09351,1.04428e-05,4.89908,0.219266
2016.7083,305.661,305.62,3.49868,0.298371,3.1984,0.00943429,0.00743733,0.00327988,0.00199696,0.00208196,7.8874e-06,2.08226e-06,2.77167e-05,1.56178e-08,6.8589e-05,6.01007e-05,1.10937e-06,1.57617e-08,4.36617e-06,3.83738e-06,13.7083,36.0915,8.81666,0.264956,20.5594,0.262061,11.121,0.0108898,0.208077,1.55885,0.231556,-0.284276,0.00108089,0.00525226,-0.525067,0.0109194,0.0170366,0.00495421,0.00290216,-0.525067,0.0156492,2.81679,2.20493,0.000310166,0.0413268,0.000773059,0.00283943,0.000208077,0.000519618,0.0413268,4.2159,9.96967e-06,4.89166,0.218966
