time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.31,303.315,3.58164,0.370594,1.72077,0.010284,0.00710979,0.00366173,0.00317417,1.12035e-05,7.19297e-05,0.0021027,7.52898e-06,2.10566e-06,3.05457e-05,2.20901e-08,8.46793e-05,6.73733e-05,9.05157e-07,3.12128e-07,4.96389e-06,4.29808e-06,13.4962,35.8369,8.73858,0.25873,20.5317,0.267655,11.0122,0.0105823,0.212518,1.55025,0.228742,-0.289338,0.00173409,0.0050866,-0.527785,0.0111525,0.0168713,0.00505995,0.00288411,-0.527785,0.0154546,2.81584,2.20429,0.000300811,0.0412687,0.00078956,0.00281188,0.000212518,0.000516749,0.0412687,3.30005,9.63464e-06,4.75764,0.2231
2015.1250,303.266,303.291,3.55511,0.368032,1.68455,0.00991987,0.00711809,0.00358797,0.00280178,1.03983e-05,6.98571e-05,0.00209401,6.90478e-06,2.10392e-06,3.35737e-05,2.56454e-08,8.3627e-05,6.44232e-05,1.01083e-06,3.77068e-07,4.86599e-06,4.1109e-06,13.5198,35.8576,8.74029,0.25758,20.5315,0.265869,11.0167,0.0105805,0.2111,1.54872,0.228936,-0.289058,0.00184712,0.00505702,-0.527779,0.0110781,0.0168783,0.00502618,0.00288092,-0.527779,0.0154678,2.81589,2.20432,0.000299032,0.0412673,0.000784291,0.00281305,0.0002111,0.00051624,0.0412673,3.13451,9.0087e-06,4.77953,0.22168
2015.2083,303.079,303.094,3.51437,0.371512,1.51115,0.00967635,0.00705692,0.00358887,0.00261943,9.46255e-06,6.89679e-05,0.00208039,6.33441e-06,2.07613e-06,3.52453e-05,4.48504e-08,8.40464e-05,6.2453e-05,1.03351e-06,7.092e-07,4.86033e-06,3.98444e-06,13.5342,35.8708,8.74003,0.257901,20.5313,0.263121,11.02,0.0105464,0.208918,1.54747,0.229038,-0.288716,0.00208713,0.00506313,-0.527782,0.0109636,0.0168835,0.00497424,0.00287831,-0.527782,0.0154752,2.81593,2.20436,0.000298979,0.0412661,0.000776185,0.00281392,0.000208918,0.000515824,0.0412661,2.9453,8.41054e-06,4.79412,0.219464
2015.2917,302.859,302.875,3.47598,0.374345,1.48492,0.00953427,0.00702024,0.00353392,0.00251403,9.07906e-06,6.83643e-05,0.00206754,6.07807e-06,2.05339e-06,3.54562e-05,3.66057e-08,8.35242e-05,6.12873e-05,1.03379e-06,5.78934e-07,4.80147e-06,3.90965e-06,13.5456,35.88,8.73984,0.257582,20.5307,0.260526,11.0231,0.010512,0.206858,1.54609,0.229128,-0.288532,0.00223003,0.00505413,-0.52782,0.0108555,0.0168886,0.00492519,0.00287542,-0.52782,0.0154818,2.81597,2.20439,0.000298207,0.0412642,0.000768532,0.00281476,0.000206858,0.000515363,0.0412642,2.83146,8.13146e-06,4.80577,0.21737
2015.3750,303.329,303.33,3.44029,0.350211,2.10075,0.00957082,0.00704288,0.00349427,0.00252794,9.84342e-06,6.92724e-05,0.00205557,6.54991e-06,2.03518e-06,4.99689e-05,3.6402e-08,8.09752e-05,6.1682e-05,1.58333e-06,3.25621e-07,4.68774e-06,3.93401e-06,13.5554,35.8893,8.73979,0.257666,20.5308,0.25811,11.0262,0.0104786,0.204939,1.54552,0.229212,-0.288645,0.00202152,0.00505881,-0.527811,0.0107548,0.0168935,0.0048795,0.00287422,-0.527811,0.0154879,2.81601,2.20442,0.000298574,0.041264,0.000761403,0.00281558,0.000204939,0.000515175,0.041264,3.05712,8.5851e-06,4.81557,0.215418
2015.4583,304.242,304.198,3.41161,0.330194,2.95447,0.0095664,0.00705968,0.00340119,0.00250672,1.08747e-05,7.00652e-05,0.002046,6.96656e-06,2.03036e-06,4.84747e-05,2.1282e-08,7.85927e-05,6.16132e-05,1.65672e-06,1.286e-07,4.57162e-06,3.92938e-06,13.5653,35.8987,8.74049,0.256818,20.5312,0.256164,11.0296,0.0104555,0.203394,1.54536,0.229312,-0.288819,0.00172251,0.00504054,-0.527768,0.0106737,0.0168989,0.00484272,0.00287388,-0.527768,0.015495,2.81606,2.20446,0.000297948,0.0412649,0.000755665,0.00281649,0.000203394,0.000515122,0.0412649,3.62499,8.99692e-06,4.82477,0.21385
2015.5417,304.744,304.714,3.38645,0.288508,3.21817,0.009556,0.00714036,0.0030299,0.00241564,1.43638e-05,7.06108e-05,0.00203764,7.92709e-06,2.05304e-06,3.51577e-05,4.10722e-08,6.57526e-05,6.14294e-05,1.46928e-06,4.80754e-08,4.03529e-06,3.92064e-06,13.573,35.9132,8.74157,0.25966,20.5332,0.254455,11.0333,0.0104366,0.202037,1.54737,0.229417,-0.288854,0.00132115,0.00511928,-0.527589,0.0106025,0.0169047,0.00481041,0.00287805,-0.527589,0.0155025,2.81611,2.20449,0.000302566,0.04127,0.000750622,0.00281744,0.000202037,0.000515791,0.04127,3.9234,9.98013e-06,4.83142,0.212474
2015.6250,305.552,305.516,3.35979,0.252302,3.31587,0.00943192,0.00721259,0.00265234,0.00221932,1.64388e-05,7.13851e-05,0.00202872,7.97304e-06,2.08974e-06,1.47357e-05,4.25973e-08,5.08148e-05,6.02489e-05,6.51438e-07,2.39089e-08,3.47238e-06,3.84638e-06,13.5749,35.9352,8.74222,0.268113,20.5389,0.252641,11.0365,0.0104109,0.200597,1.55331,0.22949,-0.288223,0.00115193,0.00534458,-0.5271,0.0105269,0.0169097,0.00477612,0.00289037,-0.5271,0.0155079,2.81616,2.20451,0.000315125,0.0412848,0.000745272,0.00281829,0.000200597,0.000517769,0.0412848,4.1178,1.00628e-05,4.8327,0.211008
2015.7083,305.367,305.349,3.34636,0.291114,3.11719,0.00976816,0.00723105,0.00318962,0.00253711,1.72606e-05,7.28229e-05,0.0020244,8.87888e-06,2.12328e-06,2.35643e-05,1.62696e-08,6.52282e-05,6.29629e-05,9.61029e-07,1.52674e-08,4.24566e-06,4.01854e-06,13.581,35.9535,8.74454,0.268849,20.5457,0.251727,11.0407,0.0104097,0.199871,1.55798,0.229618,-0.287623,0.000993367,0.00535688,-0.526491,0.0104888,0.0169162,0.00475883,0.00290007,-0.526491,0.0155169,2.81622,2.20454,0.00031564,0.0413017,0.000742574,0.00281937,0.000199871,0.000519327,0.0413017,4.19929,1.10022e-05,4.83649,0.210281
2015.7917,304.651,304.668,3.34594,0.322904,2.39785,0.00992382,0.00723288,0.00346344,0.00269094,1.63653e-05,7.26333e-05,0.00202461,9.10984e-06,2.14838e-06,2.59779e-05,7.29691e-09,7.46449e-05,6.41643e-05,9.39639e-07,9.27754e-09,4.66804e-06,4.09434e-06,13.5932,35.9708,8.7486,0.266555,20.5503,0.251697,11.046,0.0104335,0.199848,1.56068,0.229805,-0.287043,0.00100003,0.00529353,-0.526047,0.0104876,0.0169242,0.00475828,0.00290567,-0.526047,0.0155296,2.81627,2.20457,0.000312212,0.041312,0.000742488,0.00282071,0.000199848,0.000520228,0.041312,3.64684,1.12582e-05,4.8446,0.210281
