time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,307.158,307.257,1.98086,0.350033,1.81843,0.00549447,0.00279898,0.0042086,0.00269549,0,0,0.00158034,4.64959e-06,0,8.90322e-05,2.29122e-09,0.000121766,nan,5.75873e-06,1.22876e-10,5.15974e-06,nan,11.9913,44.1662,9.13212,0.247194,29.3496,0.155037,11.6702,0.00445524,0.123099,2.57816,0.0729705,3.01952,0.00645649,0.00422159,2.9306,0.00645987,0.0179245,0.00293094,0.00527353,2.9306,0.00702926,2.63947,2.02964,0.000274581,0.0589027,0.000457336,0.00298741,0.000123099,0.000859388,0.0589027,3.49893,4.64959e-06,2.85913,0.127555
1850.1250,306.836,306.911,2.20665,0.378642,1.47274,0.00571393,0.00303821,0.0042435,0.00267572,0,0,0.00166313,4.65638e-06,0,8.76262e-05,3.56463e-09,0.000125356,nan,5.59178e-06,2.86033e-10,5.079e-06,nan,12.0136,44.1327,9.1444,0.236859,29.3244,0.171546,11.6647,0.00460692,0.136207,2.55787,0.0734914,3.01733,0.00630542,0.00399597,2.92831,0.00714774,0.017915,0.00324303,0.00523191,2.92831,0.00705788,2.6395,2.02972,0.00026159,0.0588419,0.000506035,0.00298583,0.000136207,0.000852623,0.0588419,3.30423,4.65638e-06,2.86918,0.140814
1850.2083,306.763,306.812,2.45915,0.366535,1.78141,0.00585163,0.00322637,0.00422445,0.00262526,0,0,0.0017546,4.6644e-06,0,0.000104765,1.24143e-07,0.000124275,nan,5.22583e-06,1.39532e-08,4.91301e-06,nan,12.0404,44.1108,9.15946,0.232568,29.3001,0.189757,11.6606,0.00479005,0.150667,2.53773,0.0740971,3.01522,0.0059977,0.00390799,2.92603,0.00790656,0.0179075,0.00358732,0.00519064,2.92603,0.0070919,2.63953,2.02978,0.000256212,0.0587865,0.000559757,0.00298458,0.000150667,0.000845911,0.0587865,3.29536,4.6644e-06,2.88093,0.155457
1850.2917,306.684,306.725,2.69745,0.363539,1.87252,0.00593978,0.00339162,0.00413314,0.00254816,0,0,0.00183971,4.64115e-06,0,9.7378e-05,1.31727e-06,0.000117641,nan,4.32766e-06,2.16825e-07,4.69091e-06,nan,12.0652,44.0926,9.17338,0.231196,29.2777,0.206703,11.6567,0.00496567,0.164122,2.51856,0.0746504,3.01291,0.0053613,0.00388542,2.92386,0.00861262,0.0179002,0.00390767,0.00515138,2.92386,0.00712294,2.63957,2.02984,0.000254647,0.0587379,0.000609743,0.00298337,0.000164122,0.000839521,0.0587379,3.19192,4.64115e-06,2.89179,0.169088
1850.3750,306.992,307.024,2.91082,0.336049,2.60091,0.00595787,0.00349543,0.00397831,0.00246243,0,0,0.00191491,4.59559e-06,0,9.77552e-05,1.15151e-06,0.000108659,nan,3.89225e-06,2.02208e-07,4.42264e-06,nan,12.0861,44.0789,9.18507,0.232772,29.2585,0.221687,11.6524,0.00512297,0.176019,2.50156,0.0751129,3.01067,0.00454323,0.00392903,2.92197,0.00923695,0.0178926,0.00419094,0.00511656,2.92197,0.00714858,2.6396,2.02989,0.000256789,0.0586982,0.000653943,0.0029821,0.000176019,0.000833852,0.0586982,3.472,4.59559e-06,2.90105,0.181142
1850.4583,307.148,307.16,3.11708,0.323026,2.78508,0.00601987,0.00360155,0.00389207,0.00241833,0,0,0.00198675,4.6106e-06,0,7.76853e-05,4.46676e-07,0.000100211,nan,3.10798e-06,7.17955e-08,4.24485e-06,nan,12.1063,44.073,9.19636,0.236416,29.243,0.235999,11.6485,0.00527885,0.187384,2.48732,0.0755415,3.00883,0.00378355,0.00401827,2.9204,0.00983331,0.0178855,0.00446151,0.0050874,2.9204,0.00717231,2.63964,2.02994,0.00026151,0.0586679,0.000696164,0.00298092,0.000187384,0.000829106,0.0586679,3.69954,4.6106e-06,2.90992,0.192662
1850.5417,309.722,309.637,3.2147,0.212663,3.57693,0.00471663,0.00322832,0.00265681,0.00148832,0,0,0.00202011,4.20089e-06,0,9.02823e-06,3.41813e-07,6.04103e-05,nan,4.99583e-07,3.24999e-08,2.75857e-06,nan,12.1087,44.069,9.19685,0.247031,29.2332,0.242723,11.6404,0.00533513,0.192722,2.48008,0.075628,3.00838,0.00405613,0.0042618,2.91936,0.0101135,0.0178727,0.00458862,0.00507255,2.91936,0.00717513,2.63969,2.02998,0.000275446,0.0586513,0.000715997,0.00297878,0.000192722,0.000826693,0.0586513,4.18816,4.20089e-06,2.9118,0.198057
1850.6250,314.396,314.137,3.15745,0.144181,2.89715,0.00241905,0.00240047,0.00173283,1.85816e-05,0,0,0.00199933,2.03297e-06,0,1.02974e-06,3.12557e-07,3.19098e-05,nan,6.6112e-08,2.0251e-08,1.65028e-06,nan,12.0857,44.0783,9.18199,0.271656,29.2333,0.238782,11.6262,0.00524666,0.189593,2.48767,0.07527,3.00903,0.00461462,0.0048165,2.91924,0.00994927,0.0178514,0.00451413,0.00508792,2.91924,0.00715081,2.63973,2.03001,0.000308376,0.0586574,0.000704373,0.00297524,0.000189593,0.000829222,0.0586574,3.3349,2.03297e-06,2.90374,0.19484
1850.7083,314.521,314.386,2.96365,0.154442,2.31154,0.0020644,0.00206348,0.00191747,9.22548e-07,0,0,0.00193036,6.51052e-07,0,3.19431e-06,2.08249e-07,2.44388e-05,nan,1.89703e-07,1.18208e-08,1.75468e-06,nan,12.0396,44.0715,9.1529,0.292967,29.239,0.225369,11.6058,0.00502525,0.178943,2.49989,0.0745353,3.00952,0.00495098,0.00528966,2.91963,0.00939038,0.0178216,0.00426055,0.00511272,2.91963,0.00710341,2.63978,2.03005,0.000336126,0.0586772,0.000664806,0.00297026,0.000178943,0.000833297,0.0586772,2.99487,6.51052e-07,2.88674,0.183968
1850.7917,310.875,310.991,2.80831,0.227997,2.50701,0.00409596,0.00251351,0.00295265,0.00158244,0,0,0.00187432,2.3806e-06,0,1.21094e-05,1.31443e-07,3.72962e-05,nan,6.83924e-07,6.89068e-09,2.89591e-06,nan,11.9992,44.0553,9.12708,0.300681,29.2463,0.214518,11.5863,0.00483707,0.170328,2.50915,0.0738883,3.0098,0.00514449,0.00545139,2.92019,0.00893826,0.0177929,0.00405542,0.00513144,2.92019,0.00706112,2.63982,2.03009,0.000344951,0.0587002,0.000632797,0.00296548,0.000170328,0.000836383,0.0587002,3.71127,2.3806e-06,2.87207,0.175165
