time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,302.204,302.212,7.24294,0.370227,1.70822,0.0112708,0.00632439,0.00653741,0.0049464,0.00415056,4.91061e-06,0,3.11695e-05,6.50855e-09,0.000109396,nan,9.2424e-07,3.81809e-07,7.05084e-06,nan,25.5431,63.8933,19.2426,0.543181,34.0908,0.492468,24.3752,0.0222978,0.39102,3.71615,0.171812,3.59265,0.00243207,0.0104779,3.40024,0.0205195,0.0373516,0.00930999,0.0076894,3.40024,0.015801,2.76949,2.13662,0.000598744,0.0685943,0.00145271,0.00622527,0.00039102,0.00123872,0.0685943,3.42409,4.91061e-06,6.30049,0.413318
2015.1250,302.215,302.237,7.24849,0.36786,1.70891,0.0108663,0.00628575,0.0064698,0.00458054,0.00415272,4.90235e-06,0,3.4794e-05,9.63353e-09,0.000108053,nan,1.04916e-06,4.93275e-07,6.96031e-06,nan,25.5639,63.9148,19.2494,0.544855,34.0929,0.492779,24.3837,0.0223223,0.391267,3.71306,0.172115,3.59334,0.00256216,0.0105213,3.40046,0.0205325,0.0373645,0.00931588,0.00768307,3.40046,0.0158219,2.76956,2.13667,0.000600102,0.068598,0.00145363,0.00622742,0.000391267,0.00123769,0.068598,3.24237,4.90235e-06,6.3145,0.413589
2015.2083,302.056,302.069,7.20233,0.371378,1.48778,0.0106069,0.00622359,0.0064772,0.00438327,0.00413995,4.89265e-06,0,3.51147e-05,1.84257e-08,0.000108019,nan,1.02805e-06,9.51374e-07,6.94286e-06,nan,25.5735,63.9302,19.2503,0.550292,34.0955,0.490184,24.3881,0.0222511,0.389206,3.71088,0.172241,3.59419,0.0028975,0.0106539,3.40072,0.0204243,0.0373719,0.00926681,0.0076786,3.40072,0.0158316,2.76963,2.13672,0.000605295,0.0686034,0.00144597,0.00622865,0.000389206,0.00123696,0.0686034,3.05577,4.89265e-06,6.32322,0.411457
2015.2917,301.916,301.929,7.15125,0.374255,1.4757,0.0104203,0.00618156,0.00636275,0.00423871,0.0041257,4.8856e-06,0,3.58745e-05,1.76535e-08,0.000106162,nan,1.0454e-06,7.72648e-07,6.82945e-06,nan,25.5807,63.9408,19.2503,0.553883,34.0979,0.487304,24.3919,0.0221679,0.38692,3.70832,0.172336,3.59488,0.00317299,0.010743,3.40095,0.0203043,0.0373782,0.00921237,0.00767333,3.40095,0.0158392,2.7697,2.13677,0.000608588,0.0686083,0.00143748,0.0062297,0.00038692,0.00123611,0.0686083,2.93339,4.8856e-06,6.33039,0.409088
2015.3750,302.348,302.348,7.09402,0.350178,2.2122,0.0104755,0.00618029,0.00656931,0.00429517,0.00410961,4.88539e-06,0,5.90984e-05,2.73629e-08,0.000108672,nan,1.87117e-06,4.32473e-07,6.96212e-06,nan,25.5853,63.9476,19.2493,0.553995,34.1015,0.484071,24.3948,0.0220702,0.384352,3.70679,0.172396,3.59509,0.00299086,0.010745,3.40129,0.0201696,0.0373833,0.00915125,0.00767019,3.40129,0.0158445,2.76977,2.13682,0.000609156,0.0686164,0.00142794,0.00623055,0.000384352,0.0012356,0.0686164,3.16062,4.88539e-06,6.33604,0.406422
2015.4583,303.081,303.046,7.05374,0.330522,3.266,0.0106042,0.0061805,0.0064621,0.00442373,0.00409838,4.88961e-06,0,6.57771e-05,1.46838e-08,0.000106546,nan,2.23792e-06,1.6754e-07,6.85481e-06,nan,25.5922,63.9532,19.25,0.550503,34.105,0.48179,24.3986,0.0220006,0.382541,3.70549,0.172503,3.59504,0.00258464,0.0106609,3.40163,0.0200746,0.0373897,0.00910813,0.0076675,3.40163,0.0158527,2.76986,2.13689,0.000606068,0.068624,0.00142121,0.00623161,0.000382541,0.00123516,0.068624,3.75042,4.88961e-06,6.34225,0.404542
2015.5417,303.489,303.466,7.03062,0.28963,3.60628,0.010694,0.00622764,0.00573114,0.00446636,0.00409212,4.89304e-06,0,5.15134e-05,2.90297e-08,8.60014e-05,nan,2.11881e-06,6.1545e-08,5.9656e-06,nan,25.6017,63.9743,19.2526,0.552809,34.1109,0.480479,24.4037,0.0219609,0.3815,3.70886,0.172667,3.59489,0.00165959,0.0107041,3.40218,0.02002,0.0373978,0.00908334,0.0076745,3.40218,0.0158645,2.76995,2.13695,0.000610786,0.0686379,0.00141734,0.00623297,0.0003815,0.00123629,0.0686379,4.06668,4.89304e-06,6.34912,0.403461
2015.6250,304.085,304.057,7.01252,0.256491,3.71303,0.0107004,0.00625604,0.00495255,0.00444437,0.0040873,4.89187e-06,0,1.59927e-05,4.54707e-08,5.95548e-05,nan,7.36199e-07,3.11009e-08,4.95187e-06,nan,25.6108,64.0221,19.2556,0.567521,34.1226,0.479451,24.409,0.0219293,0.380684,3.72117,0.172836,3.59574,0.000963044,0.0110266,3.40322,0.0199771,0.0374061,0.00906391,0.00769997,3.40322,0.0158766,2.77004,2.13697,0.000630757,0.0686669,0.00141431,0.00623435,0.000380684,0.00124039,0.0686669,4.30593,4.89187e-06,6.3552,0.402614
2015.7083,303.962,303.949,7.0234,0.289746,3.47752,0.0111009,0.00635923,0.00590131,0.00474165,0.00409092,4.90007e-06,0,1.55103e-05,9.53849e-09,7.83482e-05,nan,6.48257e-07,1.92213e-08,6.10094e-06,nan,25.6251,64.0636,19.262,0.569801,34.1373,0.480069,24.4165,0.0219505,0.381175,3.73138,0.173093,3.59692,0.000478979,0.0110708,3.40456,0.0200029,0.0374175,0.00907559,0.0077211,3.40456,0.0158944,2.77013,2.137,0.000633624,0.0687027,0.00141613,0.00623625,0.000381175,0.00124379,0.0687027,4.38207,4.90007e-06,6.36313,0.403125
2015.7917,303.435,303.447,7.05369,0.320232,2.56308,0.0111175,0.00640215,0.00650284,0.00471533,0.00410021,4.90423e-06,0,1.36568e-05,2.1901e-09,9.41888e-05,nan,5.05201e-07,1.13916e-08,6.90106e-06,nan,25.6431,64.0958,19.2708,0.565876,34.1493,0.481787,24.4257,0.0220083,0.382539,3.73753,0.17341,3.59827,0.000455029,0.0109769,3.40569,0.0200745,0.0374313,0.00910807,0.00773384,3.40569,0.015916,2.77022,2.13704,0.000628856,0.0687295,0.0014212,0.00623854,0.000382539,0.00124584,0.0687295,3.78416,4.90423e-06,6.37235,0.404547
