time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,302.204,302.212,7.24466,0.370223,1.70823,0.0112717,0.00632526,0.00653775,0.00494644,0,0,0,0,nan,nan,nan,nan,nan,0.00415106,4.91066e-06,0,3.11282e-05,6.48372e-09,0.000109384,nan,9.23032e-07,3.81169e-07,7.0509e-06,nan,25.5435,63.8936,19.2428,0.543187,34.0908,0.492565,24.3753,0.022301,0.391096,3.71615,0.171818,3.59266,0.00242874,0.010478,3.40024,0.0205235,0.0373518,0.00931181,0.0076894,3.40024,0.0158014,2.76949,2.13662,0.000598754,0.0685943,0.00145299,0.00622531,0.000391096,0.00123872,0.0685943,3.42418,4.91066e-06,6.30065,0.413397
2015.1250,302.215,302.237,7.25015,0.367858,1.7089,0.0108667,0.00628643,0.00647015,0.00458025,0,0,0,0,nan,nan,nan,nan,nan,0.0041532,4.90235e-06,0,3.47623e-05,9.61574e-09,0.00010804,nan,1.04821e-06,4.93133e-07,6.96042e-06,nan,25.5643,63.9151,19.2497,0.544871,34.0929,0.492873,24.3838,0.0223254,0.391341,3.71306,0.172121,3.59335,0.00256002,0.0105217,3.40046,0.0205364,0.0373647,0.00931765,0.00768306,3.40046,0.0158223,2.76956,2.13667,0.000600123,0.068598,0.0014539,0.00622745,0.000391341,0.00123769,0.068598,3.24242,4.90235e-06,6.31465,0.413667
2015.2083,302.056,302.069,7.20389,0.371378,1.48776,0.0106071,0.00622416,0.00647758,0.00438293,0,0,0,0,nan,nan,nan,nan,nan,0.0041404,4.89264e-06,0,3.5098e-05,1.84112e-08,0.000108006,nan,1.02757e-06,9.51319e-07,6.94303e-06,nan,25.5739,63.9306,19.2505,0.550314,34.0956,0.490272,24.3883,0.0222542,0.389276,3.71088,0.172247,3.5942,0.00289626,0.0106544,3.40072,0.020428,0.0373721,0.00926847,0.0076786,3.40072,0.0158319,2.76963,2.13671,0.000605323,0.0686035,0.00144623,0.00622868,0.000389276,0.00123696,0.0686035,3.05581,4.89264e-06,6.32337,0.41153
2015.2917,301.916,301.929,7.15268,0.374255,1.47568,0.0104204,0.00618205,0.00636313,0.00423838,0,0,0,0,nan,nan,nan,nan,nan,0.00412612,4.88558e-06,0,3.58668e-05,1.76482e-08,0.000106149,nan,1.04518e-06,7.72605e-07,6.82968e-06,nan,25.581,63.9412,19.2505,0.55391,34.0979,0.487385,24.3921,0.0221708,0.386984,3.70832,0.172341,3.59488,0.00317249,0.0107436,3.40095,0.0203077,0.0373784,0.0092139,0.00767333,3.40095,0.0158395,2.7697,2.13677,0.000608621,0.0686084,0.00143771,0.00622974,0.000386984,0.00123611,0.0686084,2.93343,4.88558e-06,6.33052,0.409155
2015.3750,302.348,302.347,7.09532,0.350178,2.21221,0.0104756,0.00618072,0.00656972,0.00429486,0,0,0,0,nan,nan,nan,nan,nan,0.00410999,4.88538e-06,0,5.90958e-05,2.73603e-08,0.000108661,nan,1.87109e-06,4.32451e-07,6.9624e-06,nan,25.5856,63.948,19.2495,0.554024,34.1015,0.484144,24.3949,0.0220728,0.384411,3.70679,0.172401,3.5951,0.00299101,0.0107456,3.40129,0.0201727,0.0373835,0.00915264,0.00767019,3.40129,0.0158448,2.76977,2.13682,0.000609191,0.0686165,0.00142815,0.00623058,0.000384411,0.0012356,0.0686165,3.16066,4.88538e-06,6.33616,0.406484
2015.4583,303.081,303.046,7.05492,0.330522,3.26605,0.0106043,0.00618088,0.0064625,0.00442345,0,0,0,0,nan,nan,nan,nan,nan,0.00409872,4.88959e-06,0,6.57864e-05,1.4687e-08,0.000106537,nan,2.23825e-06,1.67531e-07,6.85511e-06,nan,25.5925,63.9536,19.2502,0.550533,34.105,0.481857,24.3988,0.0220031,0.382594,3.70549,0.172508,3.59505,0.00258522,0.0106615,3.40163,0.0200774,0.0373899,0.00910939,0.0076675,3.40163,0.015853,2.76986,2.13689,0.000606103,0.0686241,0.00142141,0.00623165,0.000382594,0.00123516,0.0686241,3.75046,4.88959e-06,6.34237,0.404597
2015.5417,303.489,303.466,7.03168,0.289629,3.60633,0.0106941,0.00622799,0.00573148,0.00446612,0,0,0,0,nan,nan,nan,nan,nan,0.00409243,4.89303e-06,0,5.15322e-05,2.90378e-08,8.59933e-05,nan,2.11962e-06,6.15418e-08,5.96585e-06,nan,25.602,63.9747,19.2528,0.552839,34.111,0.480539,24.4039,0.0219632,0.381548,3.70887,0.172672,3.5949,0.00166029,0.0107048,3.40219,0.0200225,0.037398,0.00908447,0.0076745,3.40219,0.0158648,2.76995,2.13695,0.000610823,0.068638,0.00141752,0.006233,0.000381548,0.00123629,0.068638,4.06672,4.89303e-06,6.34923,0.403511
2015.6250,304.085,304.057,7.01347,0.25649,3.71307,0.0107005,0.00625633,0.0049528,0.00444416,0,0,0,0,nan,nan,nan,nan,nan,0.00408758,4.89186e-06,0,1.6006e-05,4.54997e-08,5.95467e-05,nan,7.36827e-07,3.10996e-08,4.95203e-06,nan,25.6111,64.0224,19.2558,0.567553,34.1226,0.479505,24.4091,0.0219314,0.380727,3.72117,0.17284,3.59575,0.00096389,0.0110273,3.40322,0.0199794,0.0374063,0.00906493,0.00769998,3.40322,0.0158769,2.77004,2.13697,0.000630796,0.0686671,0.00141447,0.00623439,0.000380727,0.00124039,0.0686671,4.30597,4.89186e-06,6.35531,0.402658
2015.7083,303.962,303.949,7.02425,0.289744,3.47755,0.011101,0.0063595,0.00590161,0.00474146,0,0,0,0,nan,nan,nan,nan,nan,0.00409118,4.90006e-06,0,1.5532e-05,9.55726e-09,7.83406e-05,nan,6.4917e-07,1.92204e-08,6.1012e-06,nan,25.6254,64.0639,19.2622,0.569833,34.1374,0.480118,24.4166,0.0219525,0.381213,3.73139,0.173097,3.59693,0.000479779,0.0110716,3.40456,0.0200049,0.0374177,0.00907651,0.00772111,3.40456,0.0158946,2.77013,2.137,0.000633663,0.0687028,0.00141628,0.00623629,0.000381213,0.0012438,0.0687028,4.3821,4.90006e-06,6.36322,0.403166
2015.7917,303.435,303.447,7.05446,0.320231,2.56308,0.0111175,0.00640239,0.00650317,0.00471514,0,0,0,0,nan,nan,nan,nan,nan,0.00410043,4.90422e-06,0,1.3679e-05,2.19604e-09,9.41826e-05,nan,5.06034e-07,1.13911e-08,6.90139e-06,nan,25.6434,64.0962,19.2709,0.565906,34.1493,0.48183,24.4258,0.0220102,0.382573,3.73754,0.173413,3.59828,0.000455782,0.0109776,3.4057,0.0200763,0.0374315,0.00910889,0.00773385,3.4057,0.0159162,2.77022,2.13704,0.000628893,0.0687296,0.00142133,0.00623858,0.000382573,0.00124585,0.0687296,3.78419,4.90422e-06,6.37244,0.404583
