site,experiment,section,year,variable,value,units
Bonanza,Bytnerowicz_Acc,5.3,1850,TSOI,279.587,K
Bonanza,Bytnerowicz_Acc,5.3,1851,TSOI,274.341,K
Bonanza,Bytnerowicz_Acc,5.3,1852,TSOI,275.809,K
Bonanza,Bytnerowicz_Acc,5.3,1853,TSOI,277.626,K
Bonanza,Bytnerowicz_Acc,5.3,1854,TSOI,276.67,K
Bonanza,Bytnerowicz_Acc,5.3,1855,TSOI,275.014,K
Bonanza,Bytnerowicz_Acc,5.3,1856,TSOI,274.643,K
Bonanza,Bytnerowicz_Acc,5.3,1857,TSOI,276.408,K
Bonanza,Bytnerowicz_Acc,5.3,1858,TSOI,277.594,K
Bonanza,Bytnerowicz_Acc,5.3,1859,TSOI,274.028,K
Bonanza,Bytnerowicz_Acc,5.3,1860,TSOI,275.319,K
Bonanza,Bytnerowicz_Acc,5.3,1861,TSOI,274.513,K
Bonanza,Bytnerowicz_Acc,5.3,1862,TSOI,275.408,K
Bonanza,Bytnerowicz_Acc,5.3,1863,TSOI,272.434,K
Bonanza,Bytnerowicz_Acc,5.3,1864,TSOI,272.914,K
Bonanza,Bytnerowicz_Acc,5.3,1865,TSOI,274.243,K
Bonanza,Bytnerowicz_Acc,5.3,1866,TSOI,275.582,K
Bonanza,Bytnerowicz_Acc,5.3,1867,TSOI,274.188,K
Bonanza,Bytnerowicz_Acc,5.3,1868,TSOI,271.711,K
Bonanza,Bytnerowicz_Acc,5.3,1869,TSOI,272.428,K
Bonanza,Bytnerowicz_Acc,5.3,1870,TSOI,274.495,K
Bonanza,Bytnerowicz_Acc,5.3,1871,TSOI,274.924,K
Bonanza,Bytnerowicz_Acc,5.3,1872,TSOI,275.287,K
Bonanza,Bytnerowicz_Acc,5.3,1873,TSOI,275.345,K
Bonanza,Bytnerowicz_Acc,5.3,1874,TSOI,274.317,K
Bonanza,Bytnerowicz_Acc,5.3,1875,TSOI,275.289,K
Bonanza,Bytnerowicz_Acc,5.3,1876,TSOI,273.962,K
Bonanza,Bytnerowicz_Acc,5.3,1877,TSOI,274.511,K
Bonanza,Bytnerowicz_Acc,5.3,1878,TSOI,274.358,K
Bonanza,Bytnerowicz_Acc,5.3,1879,TSOI,275.441,K
Bonanza,Bytnerowicz_Acc,5.3,1880,TSOI,273.286,K
Bonanza,Bytnerowicz_Acc,5.3,1881,TSOI,274.012,K
Bonanza,Bytnerowicz_Acc,5.3,1882,TSOI,273.124,K
Bonanza,Bytnerowicz_Acc,5.3,1883,TSOI,275.247,K
Bonanza,Bytnerowicz_Acc,5.3,1884,TSOI,274.229,K
Bonanza,Bytnerowicz_Acc,5.3,1885,TSOI,272.642,K
Bonanza,Bytnerowicz_Acc,5.3,1886,TSOI,271.515,K
Bonanza,Bytnerowicz_Acc,5.3,1887,TSOI,273.031,K
Bonanza,Bytnerowicz_Acc,5.3,1888,TSOI,274.953,K
Bonanza,Bytnerowicz_Acc,5.3,1889,TSOI,274.937,K
Bonanza,Bytnerowicz_Acc,5.3,1890,TSOI,274.319,K
Bonanza,Bytnerowicz_Acc,5.3,1891,TSOI,274.341,K
Bonanza,Bytnerowicz_Acc,5.3,1892,TSOI,275,K
Bonanza,Bytnerowicz_Acc,5.3,1893,TSOI,274.789,K
Bonanza,Bytnerowicz_Acc,5.3,1894,TSOI,275.46,K
Bonanza,Bytnerowicz_Acc,5.3,1895,TSOI,275.233,K
Bonanza,Bytnerowicz_Acc,5.3,1896,TSOI,276.548,K
Bonanza,Bytnerowicz_Acc,5.3,1897,TSOI,277.814,K
Bonanza,Bytnerowicz_Acc,5.3,1898,TSOI,276.356,K
Bonanza,Bytnerowicz_Acc,5.3,1899,TSOI,277.504,K
Bonanza,Bytnerowicz_Acc,5.3,1900,TSOI,277.093,K
Bonanza,Bytnerowicz_Acc,5.3,1901,TSOI,275.961,K
Bonanza,Bytnerowicz_Acc,5.3,1902,TSOI,275.117,K
Bonanza,Bytnerowicz_Acc,5.3,1903,TSOI,276.705,K
Bonanza,Bytnerowicz_Acc,5.3,1904,TSOI,276.511,K
Bonanza,Bytnerowicz_Acc,5.3,1905,TSOI,274.161,K
Bonanza,Bytnerowicz_Acc,5.3,1906,TSOI,272.91,K
Bonanza,Bytnerowicz_Acc,5.3,1907,TSOI,276.426,K
Bonanza,Bytnerowicz_Acc,5.3,1908,TSOI,273.427,K
Bonanza,Bytnerowicz_Acc,5.3,1909,TSOI,275.988,K
Bonanza,Bytnerowicz_Acc,5.3,1910,TSOI,276.589,K
Bonanza,Bytnerowicz_Acc,5.3,1911,TSOI,277.955,K
Bonanza,Bytnerowicz_Acc,5.3,1912,TSOI,277.276,K
Bonanza,Bytnerowicz_Acc,5.3,1913,TSOI,276.162,K
Bonanza,Bytnerowicz_Acc,5.3,1914,TSOI,276.627,K
Bonanza,Bytnerowicz_Acc,5.3,1915,TSOI,274.96,K
Bonanza,Bytnerowicz_Acc,5.3,1916,TSOI,274.973,K
Bonanza,Bytnerowicz_Acc,5.3,1917,TSOI,276.477,K
Bonanza,Bytnerowicz_Acc,5.3,1918,TSOI,275.207,K
Bonanza,Bytnerowicz_Acc,5.3,1919,TSOI,275.209,K
Bonanza,Bytnerowicz_Acc,5.3,1920,TSOI,275.679,K
Bonanza,Bytnerowicz_Acc,5.3,1921,TSOI,273.764,K
Bonanza,Bytnerowicz_Acc,5.3,1922,TSOI,275.056,K
Bonanza,Bytnerowicz_Acc,5.3,1923,TSOI,274.989,K
Bonanza,Bytnerowicz_Acc,5.3,1924,TSOI,274.34,K
Bonanza,Bytnerowicz_Acc,5.3,1925,TSOI,274.084,K
Bonanza,Bytnerowicz_Acc,5.3,1926,TSOI,274.05,K
Bonanza,Bytnerowicz_Acc,5.3,1927,TSOI,270.723,K
Bonanza,Bytnerowicz_Acc,5.3,1928,TSOI,275.73,K
Bonanza,Bytnerowicz_Acc,5.3,1929,TSOI,273.954,K
Bonanza,Bytnerowicz_Acc,5.3,1930,TSOI,274.616,K
Bonanza,Bytnerowicz_Acc,5.3,1931,TSOI,274.404,K
Bonanza,Bytnerowicz_Acc,5.3,1932,TSOI,275.007,K
Bonanza,Bytnerowicz_Acc,5.3,1933,TSOI,276.182,K
Bonanza,Bytnerowicz_Acc,5.3,1934,TSOI,276.576,K
Bonanza,Bytnerowicz_Acc,5.3,1935,TSOI,273.386,K
Bonanza,Bytnerowicz_Acc,5.3,1936,TSOI,274.821,K
