time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.47016,0,0,0.000628339,0.000464516,-0.000628339,0,0,0,0,0,0,0,0,0,0.000523365,0,9.82882e-07,1.49626e-06,3.40372e-07,9.19501e-06,0,7.92371e-08,3.37139e-09,4.7209e-07,0,11.6021,45.9094,7.23018,0.496913,31.122,0,8.69539,0.00553028,0,2.68841,0.142867,3.26564,0.0013033,0.0105969,3.10534,0,0.0133407,0,0.00552898,3.10534,0.00917813,3.05066,1.67141,0.000603542,0.0625641,0,0.00222344,0,0.000896136,0.0625641,0.399102,9.82882e-07,4.3719,0.00553028
2015.1250,274.884,274.551,0,0.482437,0,0,0.00083463,0.00149877,-0.00083463,0,0,0,0,0,0,0,0,0,0.00052252,0,9.28904e-07,1.02165e-05,5.43583e-07,1.66051e-05,0,6.18507e-07,4.07368e-09,1.72694e-06,0,11.5643,45.8655,7.2185,0.475612,31.1267,0,8.68135,0.00521779,0,2.69882,0.142636,3.26559,0.00161243,0.0100408,3.10575,0,0.0133211,0,0.00555027,3.10575,0.00916331,3.05066,1.67144,0.000574899,0.0625765,0,0.00222019,0,0.000899608,0.0625765,0.529746,9.28904e-07,4.34582,0.00521779
2015.2083,283.009,282.038,0,0.203766,0,0,0.00111074,0.00217968,-0.00111074,0,0,0,0,0,0,0,0,0,0.000521648,0,8.97074e-07,2.11246e-05,2.47378e-06,3.56589e-05,0,1.75757e-06,1.59129e-08,2.71897e-06,0,11.5168,45.7766,7.20645,0.421662,31.1362,0,8.66685,0.00491307,0,2.70199,0.142398,3.26518,0.00198763,0.00860522,3.10663,0,0.0133009,0,0.00555659,3.10663,0.009148,3.05066,1.67151,0.000494796,0.0625985,0,0.00221681,0,0.000900664,0.0625985,1.12723,8.97074e-07,4.31036,0.00491307
2015.2917,291.193,289.718,1.6932,0.183893,1.38085,0.00531685,0.00273733,0.00234738,0.00257952,2.78034e-05,0.000112838,2.28729e-05,1.69826e-06,0.00281886,0.0202012,2.09267,0.497302,0.00805063,0.000521683,7.84407e-06,9.01568e-07,3.37522e-05,2.17078e-06,5.5737e-05,3.4317e-05,3.1932e-06,1.26821e-08,3.24425e-06,1.99549e-06,11.4943,45.7039,7.20486,0.375201,31.1347,0.0520527,8.75324,0.00691379,0.0520527,2.69968,0.142477,3.26443,0.0023126,0.0074489,3.10664,0.00208211,0.0134204,0.00123935,0.00555167,3.10664,0.00915097,3.05066,1.67158,0.000429592,0.0625883,0.000138807,0.00223674,5.20527e-05,0.000899894,0.0625883,2.35103,8.74564e-06,4.28949,0.0589664
2015.3750,292.92,291.894,3.60912,0.17497,2.61599,0.0100344,0.0041192,0.00211602,0.00591522,6.93649e-05,0.000162269,5.79194e-05,3.36992e-06,0.00483665,0.0151526,2.97109,0.529992,0.0158807,0.000525764,1.60957e-05,9.76584e-07,3.12642e-05,1.01083e-06,6.32315e-05,6.75332e-05,3.07862e-06,8.05227e-09,3.08982e-06,3.99844e-06,11.6168,45.7781,7.24984,0.342229,31.1243,0.1078,8.84681,0.00890865,0.1078,2.6948,0.143964,3.26386,0.00183233,0.00663228,3.10589,0.00431202,0.0135511,0.00256668,0.00554183,3.10589,0.00923715,3.05066,1.67157,0.000384555,0.062554,0.000287468,0.00225851,0.0001078,0.000898267,0.062554,3.37971,1.70723e-05,4.36693,0.116709
2015.4583,295.957,294.903,3.60901,0.208294,2.35928,0.00993848,0.00456777,0.00227642,0.00537071,7.77888e-05,0.000161703,6.58597e-05,2.75271e-06,0.0054787,0.0158669,3.65496,0.452197,0.0156743,0.000530953,1.64848e-05,1.07371e-06,3.27839e-05,3.82476e-07,7.66672e-05,6.65177e-05,2.91634e-06,5.40624e-09,3.35207e-06,3.9456e-06,11.7737,45.8877,7.30759,0.318469,31.108,0.107798,8.83238,0.00839605,0.107798,2.68756,0.145827,3.26344,0.00143835,0.00604446,3.10461,0.00431192,0.0135323,0.00256662,0.00552716,3.10461,0.00934654,3.05066,1.67154,0.000352842,0.0625055,0.000287461,0.00225538,0.000107798,0.000895854,0.0625055,3.58266,1.75585e-05,4.46608,0.116194
2015.5417,295.809,295.201,3.6022,0.196314,2.19237,0.00822564,0.00436714,0.00215088,0.0038585,5.59431e-05,0.000147908,4.72521e-05,2.10029e-06,0.00447398,0.0153558,3.52323,0.467739,0.0126787,0.00053546,1.33325e-05,1.14964e-06,3.61136e-05,4.82414e-07,7.8351e-05,5.39042e-05,3.20345e-06,8.31812e-09,3.1299e-06,3.17441e-06,11.8959,45.9594,7.35746,0.299019,31.0871,0.107615,8.81739,0.00789799,0.107615,2.67742,0.147452,3.26291,0.00151682,0.00556621,3.10287,0.0043046,0.0135126,0.00256226,0.00550646,3.10287,0.00944137,3.05066,1.67154,0.000327457,0.0624466,0.000286973,0.00225209,0.000107615,0.000892474,0.0624466,2.94106,1.44822e-05,4.53844,0.115513
2015.6250,290.503,290.659,3.59552,0.1867,1.54475,0.00667244,0.00355791,0.00170765,0.00311453,4.6448e-05,0.000132725,3.88762e-05,2.15533e-06,0.00417856,0.0149109,2.44235,0.413913,0.0101953,0.000538837,1.05109e-05,1.18709e-06,3.11094e-05,7.40385e-07,6.45763e-05,4.33137e-05,3.13703e-06,9.22786e-09,2.44424e-06,2.53885e-06,11.9832,46.0077,7.39434,0.285717,31.0683,0.107435,8.80267,0.00743675,0.107435,2.67047,0.148685,3.26232,0.00163377,0.00524237,3.10126,0.00429741,0.013493,0.00255798,0.00549225,3.10126,0.00951253,3.05066,1.67153,0.000310535,0.0623965,0.000286494,0.00224883,0.000107435,0.000890157,0.0623965,2.28894,1.1698e-05,4.58883,0.114872
2015.7083,285.134,285.79,2.91193,0.215053,0.673843,0.00388322,0.00259536,0.00255662,0.00128786,2.43523e-05,7.67478e-05,1.99578e-05,1.61059e-06,0.00362364,0.0114494,1.36342,0.361478,0.0054021,0.00745492,5.52815e-06,1.18124e-06,3.04363e-05,1.35625e-06,3.88171e-06,7.06881e-05,2.28944e-06,1.81338e-08,1.55843e-06,4.51371e-06,11.9975,46.0621,7.39929,0.338474,31.0594,0.0885377,8.78797,0.00700257,0.0885377,2.66663,0.148562,3.26261,0.00153301,0.00658037,3.10045,0.00354049,0.0134733,0.00210804,0.0054844,3.10045,0.00950705,3.05071,1.67154,0.000381352,0.0623751,0.000236012,0.00224554,8.85377e-05,0.000888877,0.0623751,1.29333,6.70939e-06,4.59823,0.0955402
2015.7917,280.564,281.45,0,0.199385,0,0,0.00115077,0.00305032,-0.00115077,0,0,0,0,0,0,0,0,0,0.000529387,0,1.12553e-06,2.60597e-06,6.92786e-07,3.67827e-06,0,1.51572e-07,1.62152e-08,2.15292e-06,0,11.7963,46.1372,7.3096,0.565899,31.1089,0,8.77329,0.00659362,0,2.66611,0.144162,3.26671,0.000319664,0.0122093,3.10454,0,0.0134534,0,0.00548334,3.10454,0.00926401,3.05095,1.67157,0.000687779,0.0625145,0,0.00224224,0,0.000888705,0.0625145,0.407089,1.12553e-06,4.48668,0.00659362
