time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.023,273.071,0,0.468999,0,0,0.000628645,0.000462529,-0.000628645,0,0,0,0,0,0,0,0,0,0.000523381,0,3.03593e-07,1.44391e-06,3.41317e-07,9.17276e-06,0,7.64847e-08,3.37357e-09,4.70188e-07,0,11.6034,45.9104,7.23039,0.496537,31.122,0,8.69569,0.00552954,0,2.68836,0.143115,3.26581,0.00123089,0.0105891,3.10534,0,0.0133411,0,0.00552888,3.10534,0.00917808,3.05066,1.67141,0.00060302,0.0625643,0,0.00222352,0,0.00089612,0.0625643,0.399092,3.03593e-07,4.37304,0.00552954
2015.1250,274.884,274.55,0,0.480252,0,0,0.000835038,0.0014983,-0.000835038,0,0,0,0,0,0,0,0,0,0.000522536,0,2.95848e-07,9.4275e-06,5.33982e-07,1.69559e-05,0,5.48544e-07,4.06159e-09,1.73093e-06,0,11.5657,45.8665,7.21871,0.475313,31.1267,0,8.68165,0.00521709,0,2.69877,0.142884,3.26571,0.00149486,0.0100348,3.10575,0,0.0133216,0,0.00555017,3.10575,0.00916325,3.05066,1.67144,0.000574492,0.0625766,0,0.00222027,0,0.000899591,0.0625766,0.529298,2.95848e-07,4.34696,0.00521709
2015.2083,283.009,282.037,0,0.203771,0,0,0.00111129,0.002178,-0.00111129,0,0,0,0,0,0,0,0,0,0.000521663,0,3.61186e-07,1.9357e-05,2.40511e-06,3.56946e-05,0,1.51095e-06,1.5861e-08,2.71745e-06,0,11.5181,45.7777,7.20666,0.421613,31.136,0,8.66715,0.00491241,0,2.70191,0.142645,3.26529,0.00186837,0.00860366,3.10662,0,0.0133013,0,0.00555643,3.10662,0.00914795,3.05066,1.67151,0.000494751,0.0625982,0,0.00221689,0,0.000900637,0.0625982,1.12722,3.61186e-07,4.31147,0.00491241
2015.2917,291.194,289.719,1.69096,0.183895,1.37947,0.00531119,0.0027365,0.00234727,0.00257469,2.77793e-05,0.000112771,2.32419e-05,1.25108e-06,0.00280684,0.0199829,2.88023,0.480124,0.00804128,0.000521697,8.3111e-06,4.90973e-07,3.21042e-05,2.09539e-06,5.57241e-05,3.42766e-05,2.93711e-06,1.26705e-08,3.24353e-06,1.99311e-06,11.4956,45.7049,7.20504,0.375148,31.1346,0.0519856,8.75339,0.00690982,0.0519856,2.6996,0.142723,3.26455,0.00220369,0.00744748,3.10663,0.00207942,0.0134207,0.00123775,0.00555151,3.10663,0.00915088,3.05066,1.67158,0.000429532,0.0625879,0.000138628,0.00223678,5.19856e-05,0.000899867,0.0625879,2.35008,8.80207e-06,4.29054,0.0588954
2015.3750,292.92,291.894,3.60931,0.174974,2.61602,0.0100346,0.00412091,0.00211574,0.00591371,7.05943e-05,0.000162269,5.98497e-05,2.39324e-06,0.00491734,0.0151525,4.22972,0.506764,0.0158798,0.000525774,1.67103e-05,7.37355e-07,3.01416e-05,9.56621e-07,6.32353e-05,6.75093e-05,2.91161e-06,8.0513e-09,3.08916e-06,3.99821e-06,11.6179,45.779,7.24998,0.342178,31.1242,0.107806,8.84708,0.00890758,0.107806,2.69472,0.144209,3.264,0.0017445,0.00663105,3.10588,0.00431222,0.0135515,0.0025668,0.00554167,3.10588,0.00923702,3.05066,1.67157,0.000384494,0.0625537,0.000287481,0.00225859,0.000107806,0.00089824,0.0625537,3.37974,1.74476e-05,4.36793,0.116713
2015.4583,295.956,294.902,3.60928,0.208295,2.35933,0.00993876,0.00457089,0.00227611,0.00536787,8.02638e-05,0.000161703,6.86536e-05,2.04429e-06,0.00565098,0.0158667,4.93998,0.431581,0.0156736,0.000530962,1.67151e-05,9.62858e-07,3.12944e-05,3.54499e-07,7.66748e-05,6.6475e-05,2.75498e-06,5.40677e-09,3.35142e-06,3.94543e-06,11.7747,45.8886,7.30773,0.318425,31.1079,0.107805,8.83266,0.00839514,0.107805,2.68748,0.14607,3.2636,0.00136419,0.00604347,3.10459,0.00431221,0.0135327,0.00256679,0.00552701,3.10459,0.0093464,3.05066,1.67154,0.000352789,0.0625052,0.000287481,0.00225546,0.000107805,0.000895828,0.0625052,3.58269,1.7678e-05,4.46702,0.1162
2015.5417,295.809,295.201,3.60248,0.196314,2.19242,0.00822587,0.0043691,0.00215063,0.00385677,5.7231e-05,0.000147908,4.88459e-05,1.57195e-06,0.00457452,0.0153555,4.74387,0.450346,0.0126782,0.000535468,1.35104e-05,1.10653e-06,3.49243e-05,4.52e-07,7.83608e-05,5.38811e-05,3.07005e-06,8.3198e-09,3.12937e-06,3.17428e-06,11.8969,45.9602,7.35758,0.298983,31.087,0.107622,8.81767,0.00789714,0.107622,2.67735,0.147694,3.26308,0.00145357,0.00556543,3.10286,0.00430489,0.013513,0.00256243,0.00550631,3.10286,0.00944123,3.05066,1.67153,0.000327414,0.0624463,0.000286993,0.00225217,0.000107622,0.000892449,0.0624463,2.94108,1.4617e-05,4.53932,0.115519
2015.6250,290.503,290.659,3.59579,0.1867,1.54478,0.00667263,0.0035589,0.00170749,0.00311373,4.69036e-05,0.000132724,3.98916e-05,1.45044e-06,0.00421424,0.0149106,3.7024,0.399637,0.0101949,0.000538844,1.0804e-05,1.16778e-06,3.01935e-05,7.03385e-07,6.45869e-05,4.33043e-05,3.01301e-06,9.22876e-09,2.44387e-06,2.53875e-06,11.9841,46.0084,7.39446,0.285686,31.0682,0.107443,8.80294,0.00743594,0.107443,2.6704,0.148927,3.26248,0.00157338,0.00524173,3.10125,0.0042977,0.0134934,0.00255816,0.00549211,3.10125,0.00951239,3.05066,1.67153,0.000310498,0.0623963,0.000286513,0.0022489,0.000107443,0.000890133,0.0623963,2.28896,1.19717e-05,4.58967,0.114878
2015.7083,285.134,285.79,2.91217,0.215051,0.673809,0.00388328,0.00259551,0.00253094,0.00128777,2.40616e-05,7.67371e-05,2.02188e-05,1.01765e-06,0.00358268,0.0114472,2.30541,0.349859,0.0054128,0.0074554,5.88994e-06,1.16303e-06,2.95311e-05,1.30236e-06,5.22379e-06,7.06943e-05,2.19423e-06,1.81344e-08,1.56262e-06,4.51385e-06,11.9985,46.0628,7.3994,0.338587,31.0592,0.0885437,8.78824,0.00700182,0.0885437,2.66656,0.148803,3.26279,0.00148099,0.00658334,3.10043,0.00354073,0.0134737,0.00210818,0.00548425,3.10043,0.0095069,3.05071,1.67154,0.000381534,0.0623746,0.000236028,0.00224562,8.85437e-05,0.000888853,0.0623746,1.29347,7.05297e-06,4.59907,0.0955455
2015.7917,280.564,281.45,0,0.199384,0,0,0.00115118,0.00302001,-0.00115118,0,0,0,0,0,0,0,0,0,0.000529393,0,1.09912e-06,2.39151e-06,6.67783e-07,4.19733e-06,0,1.37546e-07,1.62148e-08,2.12005e-06,0,11.7972,46.1394,7.3097,0.568746,31.1074,0,8.77357,0.0065929,0,2.66604,0.144402,3.26687,0.000303649,0.0122778,3.1044,0,0.0134538,0,0.0054832,3.1044,0.00926385,3.05095,1.67157,0.000691932,0.0625104,0,0.00224231,0,0.000888681,0.0625104,0.407081,1.09912e-06,4.48749,0.0065929
