time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.311,303.315,3.58044,0.370596,1.72066,0.0102826,0.00710679,0.00365946,0.00317583,2.96749e-05,7.19248e-05,2.41788e-05,1.66929e-06,0.00215503,0.00639174,3.75689,0.81413,0.0172693,0.00210214,1.35279e-05,1.9804e-06,3.59712e-05,4.96768e-08,8.42532e-05,6.70221e-05,1.07136e-06,3.12538e-07,4.96274e-06,4.29725e-06,13.4766,35.8243,8.7368,0.258957,20.5378,0.267574,11.01,0.0105802,0.212454,1.55083,0.222612,-0.294818,0.00192367,0.00509089,-0.52733,0.0111491,0.0168679,0.00505842,0.00288475,-0.52733,0.0154552,2.81589,2.20432,0.000301026,0.0412812,0.000789321,0.00281132,0.000212454,0.000516944,0.0412812,3.29993,1.55083e-05,4.73982,0.223034
2015.1250,303.266,303.291,3.55399,0.368033,1.68447,0.00991902,0.0071131,0.00358576,0.00280592,2.67599e-05,6.98537e-05,2.17328e-05,1.57297e-06,0.00202521,0.00631489,3.72084,0.859796,0.0164601,0.00209348,1.27532e-05,2.02419e-06,3.90071e-05,5.07666e-08,8.3203e-05,6.4117e-05,1.17447e-06,3.77168e-07,4.86499e-06,4.11048e-06,13.5003,35.8451,8.73851,0.257813,20.5377,0.265793,11.0145,0.0105785,0.21104,1.54931,0.222809,-0.294533,0.00203883,0.00506148,-0.527324,0.0110749,0.0168749,0.00502475,0.00288157,-0.527324,0.0154684,2.81594,2.20436,0.000299257,0.0412798,0.000784068,0.00281249,0.00021104,0.000516435,0.0412798,3.13443,1.47774e-05,4.76183,0.221618
2015.2083,303.079,303.095,3.51333,0.371512,1.5111,0.00967562,0.00704986,0.00358643,0.00262576,2.33101e-05,6.89647e-05,1.87868e-05,1.51174e-06,0.00178828,0.00626661,3.57822,0.93746,0.0159422,0.00207989,1.20801e-05,1.94599e-06,4.05072e-05,8.75762e-08,8.3615e-05,6.21952e-05,1.18639e-06,7.09286e-07,4.85901e-06,3.98417e-06,13.5149,35.8586,8.73826,0.258148,20.5375,0.263051,11.0178,0.0105444,0.208863,1.54806,0.222915,-0.294158,0.00230726,0.00506792,-0.527327,0.0109607,0.0168801,0.00497292,0.00287897,-0.527327,0.0154758,2.81597,2.20439,0.000299218,0.0412786,0.00077598,0.00281335,0.000208863,0.00051602,0.0412786,2.94524,1.40261e-05,4.77661,0.219407
2015.2917,302.86,302.875,3.47504,0.374345,1.48487,0.00953362,0.00701242,0.00353139,0.00252119,2.1739e-05,6.83616e-05,1.74494e-05,1.47952e-06,0.00167769,0.00624725,3.47039,0.972211,0.0156435,0.00206706,1.16853e-05,1.91174e-06,4.03565e-05,6.82918e-08,8.3086e-05,6.10526e-05,1.17554e-06,5.79006e-07,4.79997e-06,3.90946e-06,13.5266,35.868,8.73809,0.257844,20.5369,0.260463,11.0209,0.0105102,0.206807,1.54668,0.223011,-0.293962,0.00245711,0.00505929,-0.527366,0.0108528,0.0168852,0.00492399,0.00287607,-0.527366,0.0154824,2.81601,2.20442,0.000298463,0.0412766,0.000768345,0.0028142,0.000206807,0.00051556,0.0412766,2.8314,1.35971e-05,4.7885,0.217318
2015.3750,303.329,303.33,3.43944,0.350211,2.10065,0.00957022,0.0070368,0.00349288,0.00253341,2.41062e-05,6.92698e-05,1.95068e-05,1.48365e-06,0.0018479,0.00601484,3.58636,0.867718,0.0158099,0.00205513,1.20696e-05,1.89537e-06,5.83945e-05,6.4461e-08,8.05595e-05,6.14187e-05,1.85814e-06,3.25661e-07,4.6874e-06,3.93387e-06,13.5366,35.8776,8.73804,0.257929,20.537,0.258052,11.024,0.0104769,0.204893,1.54612,0.2231,-0.294121,0.00219655,0.00506396,-0.527357,0.0107524,0.0168901,0.00487841,0.00287488,-0.527357,0.0154885,2.81605,2.20445,0.000298831,0.0412765,0.000761233,0.00281502,0.000204893,0.000515373,0.0412765,3.05707,1.39649e-05,4.79853,0.21537
2015.4583,304.242,304.199,3.41084,0.330193,2.95432,0.00956581,0.00705689,0.00340003,0.00250893,2.83752e-05,7.00642e-05,2.32484e-05,1.44949e-06,0.00221242,0.00591563,3.85222,0.735088,0.0158704,0.00204559,1.23966e-05,1.90677e-06,5.35003e-05,3.98083e-08,7.81884e-05,6.12907e-05,1.83478e-06,1.28617e-07,4.57165e-06,3.92925e-06,13.5466,35.8871,8.73875,0.257072,20.5374,0.256112,11.0274,0.0104539,0.203353,1.54596,0.223205,-0.294346,0.00184365,0.00504546,-0.527315,0.0106715,0.0168956,0.00484173,0.00287454,-0.527315,0.0154957,2.8161,2.20449,0.000298197,0.0412773,0.00075551,0.00281593,0.000203353,0.000515319,0.0412773,3.62494,1.43034e-05,4.8079,0.213807
2015.5417,304.744,304.715,3.38575,0.288507,3.218,0.00955543,0.00715033,0.00302885,0.0024051,4.51109e-05,7.06092e-05,3.77597e-05,1.44685e-06,0.00361866,0.00633134,4.07166,0.468577,0.0158636,0.00203725,1.26922e-05,1.96133e-06,3.46563e-05,7.41455e-08,6.53568e-05,6.08644e-05,1.47125e-06,4.80817e-08,4.03568e-06,3.92052e-06,13.5543,35.9016,8.73984,0.259901,20.5394,0.254407,11.0311,0.0104352,0.201999,1.54796,0.223309,-0.294283,0.0015417,0.00512382,-0.527136,0.0106005,0.0169013,0.00480951,0.0028787,-0.527136,0.0155031,2.81616,2.20453,0.000302802,0.0412825,0.000750482,0.00281688,0.000201999,0.000515988,0.0412825,3.92335,1.46536e-05,4.81448,0.212435
2015.6250,305.552,305.517,3.35916,0.252299,3.31571,0.00943134,0.00723044,0.00265136,0.0022009,5.60793e-05,7.13819e-05,4.72887e-05,1.38455e-06,0.00471793,0.00732011,4.33243,0.369644,0.0155868,0.00202835,1.25188e-05,2.02605e-06,1.55059e-05,7.28192e-08,5.04242e-05,5.95209e-05,6.94971e-07,2.39134e-08,3.47307e-06,3.84626e-06,13.5558,35.9231,8.7405,0.268343,20.545,0.252598,11.0343,0.0104095,0.200563,1.5539,0.223376,-0.293509,0.00152349,0.00534872,-0.526648,0.0105251,0.0169064,0.00477531,0.00289102,-0.526648,0.0155086,2.81621,2.20455,0.000315351,0.0412972,0.000745145,0.00281773,0.000200563,0.000517965,0.0412972,4.11774,1.45449e-05,4.81534,0.210972
2015.7083,305.367,305.349,3.34579,0.291115,3.11704,0.00976763,0.00724797,0.00318843,0.00251965,5.63835e-05,7.28206e-05,4.74904e-05,1.47022e-06,0.00452449,0.00730597,4.33159,0.391365,0.0163123,0.00202405,1.32007e-05,2.07699e-06,2.81172e-05,3.48029e-08,6.48263e-05,6.22446e-05,1.16868e-06,1.52717e-08,4.24598e-06,4.01843e-06,13.5615,35.9409,8.74283,0.269072,20.5518,0.251687,11.0385,0.0104084,0.19984,1.55857,0.223495,-0.292886,0.00139685,0.005361,-0.52604,0.0104872,0.0169129,0.00475809,0.00290071,-0.52604,0.0155176,2.81626,2.20457,0.000315859,0.0413141,0.000742458,0.00281882,0.00019984,0.000519523,0.0413141,4.19924,1.52777e-05,4.81862,0.210248
2015.7917,304.651,304.668,3.34542,0.322906,2.39777,0.00992337,0.00724644,0.00346215,0.00267694,5.2336e-05,7.26314e-05,4.39337e-05,1.54456e-06,0.00406479,0.00696348,4.13455,0.429041,0.016594,0.00202428,1.34526e-05,2.11194e-06,3.32382e-05,1.69706e-08,7.42388e-05,6.35042e-05,1.24391e-06,9.28012e-09,4.66819e-06,4.09426e-06,13.5732,35.9577,8.7469,0.266772,20.5565,0.251662,11.0438,0.0104323,0.19982,1.56127,0.223673,-0.292342,0.00137799,0.00529757,-0.525597,0.0104861,0.0169209,0.00475761,0.00290631,-0.525597,0.0155303,2.81632,2.2046,0.000312425,0.0413244,0.000742383,0.00282015,0.00019982,0.000520423,0.0413244,3.6468,1.55645e-05,4.82626,0.210252
