time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.31,303.315,3.58121,0.370593,1.72075,0.0102836,0.00710766,0.00365964,0.00317597,2.91413e-05,7.19268e-05,2.39265e-05,1.42783e-06,0.00211543,0.00638559,4.4189,0.818944,0.0172708,0.0021024,1.37516e-05,2.10562e-06,3.62695e-05,5.02135e-08,8.4253e-05,6.70441e-05,1.08035e-06,3.12127e-07,4.96293e-06,4.29804e-06,13.4773,35.8251,8.73691,0.258967,20.5379,0.267626,11.0101,0.0105817,0.212495,1.55084,0.222713,-0.294693,0.00193944,0.00509115,-0.527321,0.0111513,0.016868,0.0050594,0.00288476,-0.527321,0.0154555,2.81589,2.20432,0.000301044,0.0412813,0.000789474,0.00281134,0.000212495,0.000516947,0.0412813,3.30004,1.58572e-05,4.74042,0.223076
2015.1250,303.266,303.291,3.55473,0.368032,1.68453,0.00991959,0.00711392,0.00358598,0.00280568,2.62637e-05,6.98549e-05,2.14973e-05,1.34917e-06,0.00198656,0.00631041,4.38318,0.864606,0.0164606,0.00209374,1.29917e-05,2.10388e-06,3.92947e-05,5.11796e-08,8.32028e-05,6.4132e-05,1.18314e-06,3.771e-07,4.86514e-06,4.11087e-06,13.5011,35.846,8.73862,0.257828,20.5378,0.265843,11.0146,0.01058,0.211079,1.54931,0.22291,-0.294408,0.00205451,0.00506184,-0.527315,0.011077,0.016875,0.0050257,0.00288158,-0.527315,0.0154687,2.81593,2.20436,0.000299278,0.04128,0.000784215,0.00281251,0.000211079,0.000516438,0.04128,3.13449,1.50956e-05,4.76243,0.221659
2015.2083,303.079,303.095,3.51403,0.371512,1.51114,0.00967611,0.0070506,0.00358666,0.00262551,2.28134e-05,6.89651e-05,1.85473e-05,1.29231e-06,0.00174958,0.00626446,4.25359,0.942872,0.0159402,0.00208013,1.23797e-05,2.0761e-06,4.08373e-05,8.8391e-08,8.36148e-05,6.22079e-05,1.19606e-06,7.09265e-07,4.85918e-06,3.98441e-06,13.5156,35.8594,8.73837,0.258165,20.5376,0.263098,11.0179,0.0105459,0.2089,1.54807,0.223016,-0.294028,0.0023269,0.00506836,-0.527318,0.0109626,0.0168802,0.00497381,0.00287898,-0.527318,0.0154761,2.81597,2.20439,0.000299243,0.0412788,0.000776118,0.00281337,0.0002089,0.000516023,0.0412788,2.94529,1.44558e-05,4.77722,0.219446
2015.2917,302.859,302.875,3.47568,0.374345,1.48491,0.00953406,0.00701309,0.00353161,0.00252097,2.12297e-05,6.83629e-05,1.72001e-05,1.25886e-06,0.00163783,0.0062489,4.17024,0.978039,0.0156438,0.00206729,1.20308e-05,2.05335e-06,4.07129e-05,6.90179e-08,8.30861e-05,6.10643e-05,1.18592e-06,5.78987e-07,4.80015e-06,3.90962e-06,13.5273,35.8689,8.73819,0.257864,20.537,0.260506,11.021,0.0105116,0.206842,1.54669,0.223112,-0.293828,0.00248001,0.00505979,-0.527356,0.0108546,0.0168853,0.00492481,0.00287609,-0.527356,0.0154827,2.81601,2.20442,0.00029849,0.0412768,0.000768473,0.00281422,0.000206842,0.000515563,0.0412768,2.83145,1.40842e-05,4.7891,0.217354
2015.3750,303.329,303.33,3.44003,0.350211,2.10072,0.00957063,0.00703744,0.00349315,0.00253319,2.36114e-05,6.92704e-05,1.92544e-05,1.2805e-06,0.00180976,0.00601463,4.19861,0.873918,0.0158091,0.00205534,1.2313e-05,2.03515e-06,5.89413e-05,6.55992e-08,8.05612e-05,6.14293e-05,1.87591e-06,3.25651e-07,4.68764e-06,3.93398e-06,13.5373,35.8784,8.73814,0.25795,20.537,0.258092,11.0241,0.0104782,0.204925,1.54613,0.223201,-0.293988,0.0022188,0.00506448,-0.527347,0.010754,0.0168902,0.00487917,0.0028749,-0.527347,0.0154887,2.81605,2.20445,0.000298858,0.0412767,0.000761351,0.00281504,0.000204925,0.000515376,0.0412767,3.05711,1.43482e-05,4.79913,0.215403
2015.4583,304.242,304.199,3.41139,0.330194,2.95443,0.00956623,0.00705755,0.0034003,0.00250868,2.79426e-05,7.00635e-05,2.301e-05,1.29215e-06,0.00217891,0.00590928,4.30576,0.74052,0.0158696,0.00204578,1.25262e-05,2.03033e-06,5.39422e-05,4.04843e-08,7.81911e-05,6.13e-05,1.85032e-06,1.28612e-07,4.57189e-06,3.92935e-06,13.5473,35.8879,8.73885,0.257092,20.5375,0.256149,11.0275,0.0104552,0.203382,1.54597,0.223306,-0.294217,0.00186103,0.00504597,-0.527304,0.0106731,0.0168957,0.00484243,0.00287456,-0.527304,0.0154959,2.8161,2.20449,0.000298223,0.0412776,0.000755619,0.00281595,0.000203382,0.000515323,0.0412776,3.62498,1.45566e-05,4.80848,0.213837
2015.5417,304.744,304.714,3.38625,0.288507,3.21812,0.00955584,0.00715091,0.00302909,0.00240493,4.46301e-05,7.06091e-05,3.7465e-05,1.30713e-06,0.00358004,0.00633064,4.46675,0.471741,0.0158659,0.00203743,1.2748e-05,2.05301e-06,3.48749e-05,7.50807e-08,6.536e-05,6.08743e-05,1.48132e-06,4.80799e-08,4.0359e-06,3.9206e-06,13.555,35.9024,8.73994,0.259921,20.5395,0.254441,11.0311,0.0104364,0.202026,1.54797,0.22341,-0.294157,0.00155527,0.00512434,-0.527125,0.0106019,0.0169014,0.00481015,0.00287872,-0.527125,0.0155033,2.81616,2.20453,0.000302829,0.0412827,0.000750582,0.0028169,0.000202026,0.000515991,0.0412827,3.92339,1.4801e-05,4.81505,0.212463
2015.6250,305.552,305.516,3.35962,0.252301,3.31583,0.00943175,0.00723095,0.00265157,0.0022008,5.55425e-05,7.13838e-05,4.69135e-05,1.2824e-06,0.00467311,0.00732529,4.62129,0.37245,0.0155842,0.00202852,1.25467e-05,2.08972e-06,1.55993e-05,7.36326e-08,5.04277e-05,5.95319e-05,6.99619e-07,2.39126e-08,3.47325e-06,3.84634e-06,13.5565,35.9239,8.74059,0.268364,20.5451,0.252629,11.0344,0.0104107,0.200588,1.55391,0.223476,-0.293383,0.00153677,0.00534926,-0.526636,0.0105264,0.0169065,0.0047759,0.00289104,-0.526636,0.0155088,2.81621,2.20454,0.000315378,0.0412975,0.000745237,0.00281775,0.000200588,0.000517968,0.0412975,4.11779,1.46364e-05,4.8159,0.210998
2015.7083,305.367,305.349,3.34621,0.291115,3.11715,0.00976802,0.00724849,0.00318866,0.00251953,5.58925e-05,7.28199e-05,4.71706e-05,1.34955e-06,0.00448545,0.00730394,4.66076,0.393786,0.0163118,0.0020242,1.32336e-05,2.12325e-06,2.82889e-05,3.52029e-08,6.483e-05,6.22546e-05,1.17638e-06,1.5271e-08,4.2462e-06,4.0185e-06,13.5621,35.9417,8.74292,0.269093,20.5519,0.251716,11.0386,0.0104095,0.199863,1.55858,0.223595,-0.292763,0.00140756,0.00536153,-0.526028,0.0104884,0.016913,0.00475863,0.00290073,-0.526028,0.0155178,2.81626,2.20457,0.000315885,0.0413143,0.000742543,0.00281884,0.000199863,0.000519526,0.0413143,4.19928,1.53569e-05,4.81918,0.210272
2015.7917,304.651,304.668,3.3458,0.322905,2.39783,0.0099237,0.00724693,0.00346239,0.00267677,5.1878e-05,7.26313e-05,4.36815e-05,1.37859e-06,0.00402921,0.00696125,4.58928,0.431016,0.0165918,0.00202442,1.35068e-05,2.14835e-06,3.34055e-05,1.71467e-08,7.42432e-05,6.35132e-05,1.25102e-06,9.27965e-09,4.66845e-06,4.09431e-06,13.5738,35.9584,8.74699,0.266792,20.5566,0.251688,11.0439,0.0104333,0.19984,1.56128,0.223773,-0.292221,0.0013867,0.00529807,-0.525585,0.0104872,0.016921,0.00475811,0.00290633,-0.525585,0.0155305,2.81632,2.2046,0.000312451,0.0413246,0.000742461,0.00282017,0.00019984,0.000520426,0.0413246,3.64683,1.56551e-05,4.82681,0.210274
