time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.311,303.315,3.5805,0.370596,1.72066,0.0102827,0.00710654,0.00365949,0.00317613,2.9549e-05,7.19244e-05,2.41266e-05,1.60416e-06,0.00214541,0.00639115,3.89819,0.814713,0.0172703,0.00210215,1.35918e-05,1.98041e-06,3.60065e-05,4.96557e-08,8.42532e-05,6.70241e-05,1.0724e-06,3.12539e-07,4.9628e-06,4.29723e-06,13.4765,35.8242,8.73676,0.258961,20.5379,0.267578,11.0099,0.0105801,0.212457,1.55083,0.22261,-0.294825,0.00192562,0.005091,-0.527336,0.0111493,0.0168678,0.00505849,0.00288475,-0.527336,0.0154552,2.81589,2.20433,0.000301031,0.0412813,0.000789333,0.00281131,0.000212457,0.000516943,0.0412813,3.29993,1.55722e-05,4.73972,0.223037
2015.1250,303.266,303.291,3.55401,0.368033,1.68447,0.00991904,0.00711287,0.00358578,0.00280617,2.6659e-05,6.98532e-05,2.16916e-05,1.51999e-06,0.00201639,0.00631412,3.86039,0.860062,0.0164612,0.00209348,1.28214e-05,2.0242e-06,3.90329e-05,5.07448e-08,8.32033e-05,6.41185e-05,1.17524e-06,3.7717e-07,4.86504e-06,4.11046e-06,13.5002,35.8451,8.73848,0.257817,20.5377,0.265795,11.0145,0.0105783,0.211041,1.5493,0.222807,-0.29454,0.00204033,0.00506158,-0.527331,0.011075,0.0168748,0.00502478,0.00288156,-0.527331,0.0154684,2.81594,2.20436,0.000299261,0.0412799,0.000784073,0.00281247,0.000211041,0.000516434,0.0412799,3.13443,1.48456e-05,4.76174,0.221619
2015.2083,303.079,303.095,3.51333,0.371512,1.5111,0.00967562,0.00704955,0.00358645,0.00262607,2.31266e-05,6.89644e-05,1.87055e-05,1.42247e-06,0.00177347,0.00626632,3.82563,0.938547,0.01594,0.00207989,1.22123e-05,1.94599e-06,4.05854e-05,8.76118e-08,8.36154e-05,6.21981e-05,1.18868e-06,7.0929e-07,4.85905e-06,3.98414e-06,13.5148,35.8585,8.73822,0.258151,20.5375,0.263051,11.0177,0.0105443,0.208863,1.54806,0.222913,-0.294162,0.00231172,0.005068,-0.527334,0.0109607,0.01688,0.00497292,0.00287896,-0.527334,0.0154758,2.81598,2.20439,0.000299222,0.0412787,0.00077598,0.00281334,0.000208863,0.000516019,0.0412787,2.94524,1.41583e-05,4.77654,0.219407
2015.2917,302.86,302.875,3.47502,0.374345,1.48487,0.0095336,0.00701207,0.00353139,0.00252153,2.15177e-05,6.83614e-05,1.73509e-05,1.37258e-06,0.00165971,0.00624722,3.78762,0.973318,0.0156434,0.00206705,1.18677e-05,1.91174e-06,4.04512e-05,6.83631e-08,8.30866e-05,6.10562e-05,1.1783e-06,5.79008e-07,4.8e-06,3.90943e-06,13.5265,35.868,8.73804,0.257847,20.537,0.260461,11.0209,0.01051,0.206806,1.54668,0.223009,-0.293964,0.00246298,0.00505936,-0.527372,0.0108528,0.0168851,0.00492396,0.00287607,-0.527372,0.0154824,2.81602,2.20442,0.000298466,0.0412767,0.00076834,0.00281418,0.000206806,0.000515559,0.0412767,2.8314,1.37794e-05,4.78844,0.217316
2015.3750,303.329,303.33,3.43939,0.350211,2.10065,0.00957019,0.00703653,0.00349288,0.00253366,2.39596e-05,6.92696e-05,1.94303e-05,1.42547e-06,0.00183636,0.00601489,3.72761,0.869524,0.0158093,0.00205511,1.21451e-05,1.89537e-06,5.85395e-05,6.46654e-08,8.05603e-05,6.14208e-05,1.86281e-06,3.25662e-07,4.68743e-06,3.93383e-06,13.5365,35.8775,8.73799,0.257931,20.537,0.258049,11.0239,0.0104767,0.204891,1.54611,0.223098,-0.294124,0.00220234,0.00506401,-0.527363,0.0107522,0.01689,0.00487835,0.00287488,-0.527363,0.0154885,2.81606,2.20446,0.000298833,0.0412766,0.000761224,0.00281501,0.000204891,0.000515372,0.0412766,3.05707,1.40405e-05,4.79848,0.215367
2015.4583,304.242,304.199,3.41078,0.330193,2.9543,0.00956576,0.00705679,0.00340002,0.00250897,2.84059e-05,7.00641e-05,2.32295e-05,1.5016e-06,0.00221537,0.00591615,3.6581,0.736528,0.0158699,0.00204556,1.2357e-05,1.90677e-06,5.35868e-05,3.98978e-08,7.81894e-05,6.12896e-05,1.83776e-06,1.28617e-07,4.57167e-06,3.92921e-06,13.5466,35.887,8.7387,0.257073,20.5374,0.256108,11.0274,0.0104537,0.203349,1.54595,0.223203,-0.294351,0.00184688,0.00504549,-0.527321,0.0106714,0.0168955,0.00484165,0.00287453,-0.527321,0.0154957,2.81611,2.2045,0.000298198,0.0412774,0.000755497,0.00281592,0.000203349,0.000515318,0.0412774,3.62494,1.42638e-05,4.80785,0.213803
2015.5417,304.744,304.715,3.38568,0.288507,3.21798,0.00955536,0.00715038,0.00302884,0.00240499,4.52987e-05,7.06086e-05,3.78038e-05,1.58311e-06,0.00363411,0.00633041,3.66218,0.468731,0.0158654,0.00203722,1.26341e-05,1.96133e-06,3.46608e-05,7.41843e-08,6.53578e-05,6.08603e-05,1.47145e-06,4.8082e-08,4.03569e-06,3.92048e-06,13.5542,35.9015,8.73979,0.259901,20.5394,0.254402,11.031,0.0104349,0.201995,1.54796,0.223307,-0.294291,0.00154191,0.00512384,-0.527143,0.0106003,0.0169012,0.00480941,0.0028787,-0.527143,0.0155031,2.81616,2.20453,0.000302803,0.0412826,0.000750466,0.00281687,0.000201995,0.000515986,0.0412826,3.92335,1.45954e-05,4.81443,0.21243
2015.6250,305.552,305.517,3.35907,0.252298,3.31569,0.00943125,0.00723068,0.00265134,0.00220058,5.64695e-05,7.13821e-05,4.7415e-05,1.62749e-06,0.00475218,0.00732095,3.6137,0.369406,0.0155866,0.00202832,1.24366e-05,2.02605e-06,1.54906e-05,7.27379e-08,5.04252e-05,5.95131e-05,6.94238e-07,2.39133e-08,3.47307e-06,3.84621e-06,13.5557,35.9231,8.74045,0.268343,20.5451,0.252592,11.0342,0.0104093,0.200558,1.55389,0.223373,-0.293519,0.00152191,0.00534873,-0.526654,0.0105249,0.0169063,0.00477519,0.00289101,-0.526654,0.0155086,2.81621,2.20455,0.00031535,0.0412973,0.000745126,0.00281772,0.000200558,0.000517964,0.0412973,4.11773,1.44626e-05,4.81529,0.210967
2015.7083,305.367,305.349,3.34569,0.291115,3.11702,0.00976753,0.00724823,0.0031884,0.0025193,5.68056e-05,7.28206e-05,4.76416e-05,1.71674e-06,0.00455987,0.00730635,3.63688,0.39082,0.0163129,0.00202401,1.31208e-05,2.07698e-06,2.8073e-05,3.47133e-08,6.48276e-05,6.22361e-05,1.16671e-06,1.52716e-08,4.24598e-06,4.01838e-06,13.5613,35.9408,8.74278,0.269072,20.5519,0.25168,11.0384,0.0104081,0.199834,1.55856,0.223493,-0.292898,0.0013942,0.00536099,-0.526047,0.0104869,0.0169128,0.00475796,0.0029007,-0.526047,0.0155176,2.81627,2.20457,0.000315857,0.0413142,0.000742437,0.0028188,0.000199834,0.000519522,0.0413142,4.19923,1.51978e-05,4.81856,0.210242
2015.7917,304.651,304.668,3.3453,0.322905,2.39775,0.00992328,0.00724656,0.00346212,0.00267672,5.26399e-05,7.26317e-05,4.40555e-05,1.70717e-06,0.00408906,0.00696442,3.68499,0.428382,0.0165936,0.00202424,1.34e-05,2.11194e-06,3.31781e-05,1.69133e-08,7.42402e-05,6.34979e-05,1.24137e-06,9.28004e-09,4.66818e-06,4.09421e-06,13.573,35.9576,8.74684,0.266771,20.5565,0.251654,11.0437,0.010432,0.199813,1.56126,0.22367,-0.292355,0.00137504,0.00529754,-0.525604,0.0104858,0.0169208,0.00475746,0.00290631,-0.525604,0.0155303,2.81632,2.2046,0.000312423,0.0413244,0.00074236,0.00282014,0.000199813,0.000520422,0.0413244,3.64679,1.55119e-05,4.8262,0.210245
