time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.676,260.857,0,0.194722,0,0,0.000641972,1.42859e-07,-0.000641972,0,0,0,0,0,0,0,0,0,0.000622011,0,5.12482e-07,0,1.44321e-17,1.24107e-08,1.76072e-06,0,1.54968e-21,2.75561e-10,1.76072e-07,4.89974,82.047,2.65465,0.38278,75.2001,0.269905,3.10019,0.00218016,0.269905,1.56436,0.0566735,-0.329975,0.625295,0.0073143,-1.02244,0.00674766,0.00475495,0.00642631,0.00318317,-1.02244,0.00483966,1.82181,1.09434,0.00048659,0.15064,0.000674766,0.000792492,0.000269905,0.000521661,0.15064,0.102438,5.12482e-07,2.24509,0.272085
2015.1250,262.819,262.912,0,0.194723,0,0,0.000712724,1.32575e-07,-0.000712724,0,0,0,0,0,0,0,0,0,0.000610704,0,4.82945e-07,0,9.41104e-18,1.14146e-08,1.71776e-06,0,1.01004e-21,2.54926e-10,1.71776e-07,4.87195,82.0517,2.64421,0.41029,75.2001,0.263319,3.09518,0.00205697,0.263319,1.56937,0.0563331,-0.329689,0.625332,0.0078936,-1.02244,0.00658301,0.00474807,0.0062695,0.00319345,-1.02244,0.00481545,1.82182,1.09434,0.00052555,0.15064,0.000658301,0.000791345,0.000263319,0.00052333,0.15064,0.282398,4.82945e-07,2.22774,0.265376
2015.2083,271.46,270.89,0.388984,0.482665,0.0922765,0.000556784,0.0010881,0.000891805,-0.000531311,1.95458e-09,6.45195e-07,1.68889e-09,6.61627e-12,1.34446e-06,0.000469878,0.00635644,11.625,0.00241219,0.000599302,1.25357e-12,4.69254e-07,5.2932e-05,7.00266e-18,-2.748e-05,2.11787e-06,4.22061e-06,7.51647e-22,4.46113e-07,1.99312e-07,4.83973,82.0477,2.6336,0.429082,75.2047,0.256682,3.09002,0.00193699,0.256682,1.57415,0.0559884,-0.329735,0.624846,0.00828161,-1.02206,0.00641707,0.00474093,0.00611146,0.00320324,-1.02206,0.0047909,1.82184,1.09434,0.000550064,0.150653,0.000641707,0.000790155,0.000256681,0.000524922,0.150653,0.696003,4.69255e-07,2.20613,0.258618
2015.2917,283.572,281.875,2.16011,0.22179,1.31061,0.00637307,0.00230456,0.00233531,0.00406851,9.66594e-08,1.9119e-05,8.37127e-08,8.68772e-10,1.888e-05,0.00472906,0.13895,164.857,0.0769876,0.00059267,2.84591e-10,4.89862e-07,1.54844e-05,5.52591e-18,1.70779e-05,2.36833e-05,1.87946e-06,5.95425e-22,2.43535e-06,1.7614e-06,4.84058,82.0201,2.62859,0.3753,75.2317,0.252773,3.08858,0.0019084,0.252773,1.57251,0.0559315,-0.331351,0.622216,0.00708256,-1.01978,0.00631936,0.00473891,0.00601841,0.00319982,-1.01978,0.00478714,1.82186,1.09437,0.0004686,0.150726,0.000631936,0.000789818,0.000252773,0.000524377,0.150726,1.72333,4.90146e-07,2.21199,0.254681
2015.3750,292.804,290.636,2.20034,0.110969,1.7387,0.00698866,0.00301204,0.0014537,0.00397661,1.29881e-07,2.44079e-05,1.10489e-07,2.88308e-09,2.27157e-05,0.00521027,0.323801,196.741,0.0983034,0.000596049,1.32419e-09,5.50338e-07,1.86471e-08,5.5754e-18,2.10086e-05,3.08987e-05,2.14454e-09,6.01036e-22,1.7348e-06,2.28548e-06,4.9097,82.0656,2.63559,0.349446,75.2364,0.254571,3.09534,0.00206459,0.254571,1.57008,0.056443,-0.331146,0.622037,0.00653363,-1.01935,0.00636431,0.00474827,0.00606122,0.00319477,-1.01935,0.00482461,1.82187,1.09437,0.000433424,0.150737,0.000636431,0.000791378,0.000254571,0.000523566,0.150737,2.0239,5.51663e-07,2.27411,0.256636
2015.4583,294.081,292.503,2.20399,0.126372,1.03183,0.00463224,0.00295856,0.00148983,0.00167368,8.18003e-08,1.69454e-05,6.89007e-08,2.25864e-09,1.94812e-05,0.00536267,0.299249,166.915,0.0677112,0.000596971,1.07937e-09,5.84735e-07,5.09674e-08,1.2287e-17,2.0462e-05,1.98802e-05,7.21556e-09,1.3247e-21,1.8172e-06,1.4851e-06,4.94737,82.0944,2.63966,0.339147,75.2386,0.254963,3.10012,0.00216654,0.254963,1.56926,0.0567592,-0.330866,0.621991,0.00632455,-1.01913,0.0063741,0.00475495,0.00607054,0.00319308,-1.01913,0.0048479,1.82189,1.09437,0.000419121,0.150742,0.00063741,0.000792491,0.000254963,0.000523294,0.150742,1.40727,5.85814e-07,2.30771,0.257129
2015.5417,291.159,290.438,2.19332,0.109326,0.655227,0.00248483,0.00253363,0.00118875,-4.8796e-05,3.11736e-08,8.53637e-06,2.61365e-08,9.00431e-10,1.48551e-05,0.00530672,0.210706,125.098,0.0320759,0.0005952,4.49785e-10,6.03222e-07,8.84626e-10,1.60844e-17,1.78123e-05,8.5448e-06,1.54713e-10,1.73457e-21,1.46305e-06,6.62151e-07,4.96119,82.0957,2.64053,0.326945,75.2402,0.253818,3.10274,0.00221387,0.253818,1.5674,0.0569057,-0.330583,0.622193,0.00608476,-1.01896,0.00634548,0.00475866,0.00604329,0.00318923,-1.01896,0.00485887,1.82191,1.09439,0.00040183,0.150744,0.000634548,0.00079311,0.000253818,0.000522672,0.150744,0.853833,6.03672e-07,2.32066,0.256032
2015.6250,286.961,286.758,2.14979,0.147694,0.466516,0.00209155,0.00245826,0.00145437,-0.000366707,2.47917e-08,7.57726e-06,2.09166e-08,4.94417e-10,1.4449e-05,0.00513746,0.137284,117.756,0.0284012,0.000587217,1.56449e-10,5.94504e-07,2.31803e-07,1.59536e-17,2.31118e-05,7.01733e-06,3.76416e-08,1.72084e-21,1.82561e-06,5.50296e-07,4.93348,82.0608,2.6338,0.319633,75.2414,0.249139,3.10007,0.002141,0.249139,1.5663,0.0567181,-0.330316,0.62265,0.00594139,-1.01881,0.00622851,0.00475504,0.00593188,0.00318696,-1.01881,0.00484556,1.82192,1.09443,0.000391064,0.150746,0.000622851,0.000792507,0.000249139,0.000522307,0.150746,0.767447,5.94661e-07,2.29968,0.25128
2015.7083,272.393,273.59,0.937969,0.126081,0.0474402,0.000330358,0.00125954,0.00059886,-0.000929181,3.16179e-10,1.69997e-07,2.68498e-10,3.80491e-12,1.06331e-06,0.000443347,0.00459978,8.53035,0.000439644,0.00057805,6.64795e-13,5.72245e-07,1.12052e-12,1.61438e-17,1.03799e-05,1.65882e-06,4.41339e-13,1.7413e-21,7.30895e-07,1.63886e-07,4.90285,82.0284,2.62552,0.317814,75.2416,0.24379,3.09627,0.00204637,0.24379,1.56621,0.056467,-0.330046,0.62316,0.00590927,-1.01877,0.00609479,0.00474981,0.00580453,0.00318674,-1.01877,0.00482765,1.82194,1.09446,0.000389017,0.150745,0.000609479,0.000791636,0.00024379,0.000522275,0.150745,0.250834,5.72246e-07,2.27733,0.245837
2015.7917,264.235,265.475,0,0.0467657,0,0,0.000776996,5.21095e-05,-0.000776996,0,0,0,0,0,0,0,0,0,0.000567468,0,5.36966e-07,0,1.66988e-17,1.60644e-06,1.55026e-06,0,1.80022e-21,5.77625e-08,1.55026e-07,4.87108,82.0203,2.6154,0.337322,75.2415,0.237642,3.0911,0.0019269,0.237642,1.57046,0.0561403,-0.329776,0.623347,0.00631694,-1.01878,0.00594109,0.00474266,0.00565815,0.00319545,-1.01878,0.00480428,1.82195,1.09447,0.000417539,0.150745,0.000594109,0.000790443,0.000237642,0.000523691,0.150745,0.131589,5.36966e-07,2.25569,0.239569
