time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,260.677,260.858,0,0.194625,0,0,0.000641906,1.43063e-07,-0.000641906,0,0,0,0,0,0,0,0,0,0.000622295,0,5.12389e-07,0,1.43602e-17,1.24272e-08,1.76181e-06,0,1.54155e-21,2.75954e-10,1.76181e-07,4.8986,82.0471,2.65488,0.383046,75.2009,0.270072,3.10027,0.00217401,0.270072,1.56453,0.0566662,-0.329747,0.625466,0.00731988,-1.02238,0.00675182,0.00475512,0.00643028,0.0031835,-1.02238,0.00483919,1.82181,1.09434,0.000486935,0.150642,0.000675182,0.000792521,0.000270072,0.000521715,0.150642,0.102438,5.12389e-07,2.24372,0.272246
2015.1250,262.82,262.913,0,0.194625,0,0,0.000712604,1.32768e-07,-0.000712604,0,0,0,0,0,0,0,0,0,0.000610981,0,4.8286e-07,0,9.36224e-18,1.14319e-08,1.71882e-06,0,1.00454e-21,2.553e-10,1.71882e-07,4.87082,82.0518,2.64444,0.410569,75.2009,0.263482,3.09526,0.00205117,0.263482,1.56953,0.0563256,-0.329461,0.625503,0.00789948,-1.02238,0.00658707,0.00474824,0.00627337,0.00319378,-1.02238,0.00481496,1.82182,1.09433,0.000525915,0.150642,0.000658707,0.000791373,0.000263482,0.000523384,0.150642,0.282402,4.8286e-07,2.22638,0.265533
2015.2083,271.461,270.891,0.389266,0.482753,0.0923449,0.000557158,0.00108781,0.00089177,-0.000530653,1.96213e-09,6.45231e-07,1.6869e-09,1.65548e-11,1.34864e-06,0.000468885,0.00996759,11.637,0.00241955,0.000599572,4.63594e-12,4.69176e-07,5.29404e-05,6.96443e-18,-2.74636e-05,2.11889e-06,4.22062e-06,7.47342e-22,4.46435e-07,1.99415e-07,4.8386,82.0478,2.63383,0.429386,75.2055,0.25684,3.0901,0.00193153,0.25684,1.57431,0.0559809,-0.329506,0.625018,0.00828801,-1.022,0.00642103,0.00474109,0.00611524,0.00320357,-1.022,0.00479041,1.82184,1.09434,0.000550467,0.150654,0.000642103,0.000790182,0.00025684,0.000524977,0.150654,0.696076,4.69181e-07,2.20478,0.258772
2015.2917,283.571,281.875,2.16138,0.221739,1.31103,0.00637506,0.00230317,0.00233567,0.00407189,9.72428e-08,1.91199e-05,8.3509e-08,1.69356e-09,1.89819e-05,0.00472657,0.212289,165.146,0.0769599,0.000592905,7.64079e-10,4.89797e-07,1.54655e-05,5.49584e-18,1.70523e-05,2.36762e-05,1.8775e-06,5.92024e-22,2.4355e-06,1.76096e-06,4.8395,82.0202,2.62878,0.375596,75.2324,0.252911,3.08865,0.00190286,0.252911,1.57268,0.0559238,-0.331121,0.622388,0.00708861,-1.01972,0.00632281,0.00473905,0.00602169,0.00320015,-1.01972,0.00478664,1.82186,1.09436,0.000468986,0.150728,0.000632281,0.000789842,0.000252911,0.000524431,0.150728,1.72347,4.90561e-07,2.21072,0.254814
2015.3750,292.805,290.637,2.2011,0.110956,1.73799,0.00698576,0.00300939,0.0014539,0.00397637,1.3089e-07,2.43937e-05,1.09867e-07,4.62854e-09,2.28872e-05,0.00521218,0.456837,197.359,0.0982186,0.000596187,2.95074e-09,5.50264e-07,1.8646e-08,5.54595e-18,2.09893e-05,3.08605e-05,2.14127e-09,5.977e-22,1.73484e-06,2.28279e-06,4.90864,82.0657,2.63568,0.349731,75.2371,0.254653,3.09535,0.0020581,0.254653,1.57024,0.0564344,-0.330917,0.622209,0.00653935,-1.01929,0.00636636,0.00474833,0.00606317,0.00319511,-1.01929,0.00482405,1.82187,1.09437,0.000433792,0.150739,0.000636636,0.000791388,0.000254653,0.000523621,0.150739,2.02316,5.53215e-07,2.27296,0.256711
2015.4583,294.081,292.504,2.20433,0.126367,1.03137,0.00463021,0.00295645,0.00149028,0.00167376,8.25091e-08,1.69338e-05,6.84326e-08,3.52458e-09,1.96623e-05,0.00535857,0.436987,167.819,0.0676366,0.00059703,2.44263e-09,5.84634e-07,5.09485e-08,1.22269e-17,2.04508e-05,1.9857e-05,7.20132e-09,1.31787e-21,1.81767e-06,1.48347e-06,4.94629,82.0945,2.63967,0.339416,75.2394,0.255,3.10009,0.00215938,0.255,1.56943,0.0567496,-0.330636,0.622163,0.00632993,-1.01907,0.00637502,0.00475494,0.00607142,0.00319341,-1.01907,0.00484726,1.82189,1.09437,0.000419467,0.150744,0.000637502,0.00079249,0.000255,0.000523348,0.150744,1.40681,5.87076e-07,2.30663,0.257159
2015.5417,291.16,290.438,2.19337,0.109322,0.65483,0.00248326,0.00253218,0.00118908,-4.89198e-05,3.14266e-08,8.52715e-06,2.59466e-08,1.37991e-09,1.5e-05,0.0053002,0.309279,125.728,0.0320195,0.000595205,9.67158e-10,6.0311e-07,8.83439e-10,1.60068e-17,1.78053e-05,8.5323e-06,1.54251e-10,1.72574e-21,1.46342e-06,6.61266e-07,4.96011,82.0958,2.64048,0.327195,75.241,0.253823,3.10267,0.00220644,0.253823,1.56756,0.0568955,-0.330353,0.622365,0.00608973,-1.01889,0.00634562,0.0047586,0.00604341,0.00318955,-1.01889,0.00485819,1.8219,1.09439,0.000402149,0.150746,0.000634562,0.000793101,0.000253823,0.000522726,0.150746,0.85344,6.04077e-07,2.31963,0.25603
2015.6250,286.961,286.758,2.14975,0.147693,0.466407,0.00209105,0.00245706,0.00145478,-0.000366013,2.50375e-08,7.57342e-06,2.08126e-08,8.64976e-10,1.46007e-05,0.00513428,0.227371,118.2,0.0283742,0.000587204,4.43031e-10,5.94391e-07,2.31974e-07,1.58765e-17,2.31061e-05,7.0112e-06,3.76098e-08,1.71206e-21,1.82615e-06,5.49866e-07,4.93241,82.0609,2.63373,0.319866,75.2422,0.249134,3.09999,0.00213377,0.249134,1.56647,0.0567077,-0.330086,0.622823,0.00594602,-1.01875,0.00622839,0.00475497,0.00593177,0.00318729,-1.01875,0.00484486,1.82192,1.09442,0.00039136,0.150747,0.000622839,0.000792495,0.000249134,0.000522362,0.150747,0.767346,5.94834e-07,2.29868,0.251268
2015.7083,272.393,273.59,0.937929,0.126075,0.0474304,0.000330297,0.00125906,0.000599109,-0.000928761,3.18569e-10,1.69878e-07,2.67327e-10,7.59017e-12,1.0728e-06,0.000443668,0.00919592,8.54367,0.000449394,0.000578029,2.47706e-12,5.72138e-07,1.12148e-12,1.60655e-17,1.03796e-05,1.65859e-06,4.4171e-13,1.73239e-21,7.3121e-07,1.63868e-07,4.9018,82.0285,2.62545,0.318032,75.2423,0.243781,3.09618,0.00203945,0.243781,1.56637,0.0564565,-0.329816,0.623332,0.0059136,-1.01871,0.00609455,0.00474973,0.0058043,0.00318706,-1.01871,0.00482695,1.82194,1.09446,0.000389293,0.150746,0.000609455,0.000791622,0.000243781,0.000522329,0.150746,0.250805,5.7214e-07,2.27635,0.24582
2015.7917,264.235,265.475,0,0.0467642,0,0,0.000776716,5.21938e-05,-0.000776716,0,0,0,0,0,0,0,0,0,0.000567447,0,5.36866e-07,0,1.66176e-17,1.60701e-06,1.5502e-06,0,1.79099e-21,5.78438e-08,1.5502e-07,4.87004,82.0205,2.61532,0.337531,75.2423,0.237633,3.09102,0.00192039,0.237633,1.57062,0.0561299,-0.329546,0.62352,0.00632108,-1.01871,0.00594085,0.00474258,0.00565792,0.00319577,-1.01871,0.00480358,1.82195,1.09447,0.000417804,0.150746,0.000594085,0.000790429,0.000237633,0.000523745,0.150746,0.131585,5.36866e-07,2.25472,0.239553
