time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,278.31,278.146,0,0.262641,0,0,0.000667248,0.00126947,-0.000667248,0,0,0,0,0,0,0,0,0,0.00035498,0,3.32726e-07,1.80383e-05,4.04769e-06,3.19826e-05,0,1.25208e-06,2.35747e-08,1.73082e-06,0,7.80365,41.0391,4.89738,0.305438,30.8178,0,5.9237,0.00292895,0,2.11215,0.114978,3.20412,0.00202446,0.00611044,3.07668,0,0.00909386,0,0.00432194,3.07668,0.00716536,3.00713,1.6342,0.00034861,0.0618737,0,0.00151564,0,0.000704052,0.0618737,0.853002,3.32726e-07,2.90627,0.00292895
1850.1250,281.651,281.477,0,0.220375,0,0,0.000700359,0.00125448,-0.000700359,0,0,0,0,0,0,0,0,0,0.000354407,0,4.62334e-07,2.17213e-05,5.14175e-06,3.86487e-05,0,1.80854e-06,2.66216e-08,1.83144e-06,0,7.77152,40.982,4.88946,0.283445,30.8138,0,5.91413,0.00276345,0,2.1133,0.114792,3.2034,0.00236508,0.00556259,3.07636,0,0.00908024,0,0.00432421,3.07636,0.00715379,3.00713,1.63425,0.000318674,0.0618617,0,0.00151337,0,0.000704433,0.0618617,1.1482,4.62334e-07,2.88205,0.00276345
1850.2083,290.436,289.108,1.06832,0.176679,0.684881,0.00247481,0.00167166,0.00139369,0.000803146,1.71865e-05,8.30957e-05,1.48787e-05,1.79036e-07,0.00332777,0.0309324,0.0232509,0.407571,0.00410946,0.000354172,1.23839e-08,5.80523e-07,2.7143e-05,4.90072e-06,4.98455e-05,1.75993e-05,3.33421e-06,1.93868e-08,2.13443e-06,9.71421e-07,7.74538,40.9293,4.88519,0.265337,30.8056,0.0336671,5.95385,0.00372889,0.0336671,2.11301,0.114724,3.20258,0.00273698,0.00511182,3.07568,0.00134668,0.00913491,0.000801597,0.00432356,3.07568,0.00714849,3.00713,1.6343,0.000294346,0.0618388,8.97789e-05,0.00152248,3.36671e-05,0.000704336,0.0618388,1.93175,5.92907e-07,2.86019,0.037396
1850.2917,294.486,293.043,2.56996,0.146104,2.27259,0.00577994,0.00287168,0.00137089,0.00290827,5.18831e-05,0.000141883,4.47232e-05,8.7377e-07,0.00612915,0.0280315,0.051688,0.54334,0.0102394,0.000356632,8.32754e-08,7.95716e-07,1.76102e-05,2.12029e-06,5.47836e-05,4.37691e-05,2.4762e-06,9.55355e-09,2.14245e-06,2.49868e-06,7.79693,40.9513,4.91034,0.250416,30.7931,0.0790692,6.01087,0.00499719,0.0790692,2.11081,0.115602,3.20164,0.0023521,0.0047426,3.07462,0.00316277,0.00921418,0.0018826,0.00431923,3.07462,0.00719697,3.00713,1.63431,0.000274713,0.0618051,0.000210851,0.0015357,7.90692e-05,0.000703604,0.0618051,2.85546,8.78991e-07,2.8866,0.0840664
1850.3750,297.974,296.726,2.57903,0.200878,2.10379,0.00644971,0.00332811,0.00162013,0.0031216,7.0666e-05,0.000149584,6.03241e-05,1.89249e-06,0.00774909,0.0262531,0.0701153,0.464613,0.0115298,0.000360043,2.29869e-07,1.00921e-06,3.77013e-05,9.06494e-07,6.92165e-05,4.90764e-05,3.70399e-06,5.51427e-09,2.51692e-06,2.8263e-06,7.87576,40.9992,4.94585,0.238359,30.7779,0.0793282,6.00141,0.00471793,0.0793282,2.10717,0.11684,3.2008,0.00189481,0.00444431,3.0733,0.00317313,0.00920148,0.00188877,0.00431195,3.0733,0.00726704,3.00713,1.63429,0.000259043,0.0617654,0.000211542,0.00153358,7.93282e-05,0.000702389,0.0617654,3.47269,1.23908e-06,2.92991,0.0840461
1850.4583,303.42,301.444,2.57437,0.129467,2.736,0.00486164,0.00339808,0.00162279,0.00146356,5.08676e-05,0.000125482,4.31921e-05,1.63043e-06,0.00690075,0.0322878,0.075669,0.399628,0.00813443,0.000362926,2.38583e-07,1.17572e-06,1.90407e-05,7.70954e-07,7.31281e-05,3.45827e-05,2.34539e-06,5.25205e-09,2.48615e-06,1.97033e-06,7.93184,41.0165,4.97561,0.226861,30.7577,0.0791957,5.99139,0.00444249,0.0791957,2.1001,0.117913,3.19978,0.00190245,0.00416206,3.07151,0.00316783,0.0091879,0.00188561,0.00429764,3.07151,0.00732767,3.00713,1.6343,0.000244338,0.0617146,0.000211189,0.00153132,7.91957e-05,0.000700034,0.0617146,3.35195,1.4143e-06,2.95623,0.0836382
1850.5417,301.507,300.555,2.56965,0.178422,2.21883,0.00460036,0.00325316,0.00162668,0.0013472,4.07034e-05,0.000126677,3.47124e-05,1.11854e-06,0.00604433,0.0354787,0.0763779,0.477424,0.0075662,0.00036511,1.6199e-07,1.2982e-06,3.76771e-05,7.99223e-07,7.61296e-05,3.22818e-05,4.03503e-06,4.16296e-09,2.45579e-06,1.82096e-06,7.96518,41.0153,4.99772,0.218085,30.7382,0.0790613,5.98122,0.00417896,0.0790613,2.09387,0.118753,3.19893,0.00220963,0.00394829,3.06973,0.00316245,0.00917401,0.00188241,0.004285,3.06973,0.00737429,3.00713,1.63431,0.000233302,0.061667,0.00021083,0.001529,7.90613e-05,0.000697955,0.061667,3.43138,1.46019e-06,2.96746,0.0832403
1850.6250,297.585,297.39,2.56501,0.178911,1.72769,0.00407396,0.00293236,0.00148703,0.0011416,3.15668e-05,0.000120105,2.70435e-05,7.18287e-07,0.00500067,0.0278425,0.0612078,0.493026,0.00659657,0.000366907,9.12723e-08,1.36702e-06,3.63592e-05,6.04405e-07,7.22257e-05,2.82085e-05,4.08162e-06,3.23758e-09,2.22822e-06,1.57617e-06,7.99031,41.0045,5.01563,0.210525,30.717,0.0789293,5.97123,0.00393491,0.0789293,2.0867,0.119466,3.19762,0.00234583,0.00376585,3.06778,0.00315717,0.00916028,0.00187927,0.00427041,3.06778,0.00741305,3.00713,1.63433,0.000223941,0.0616171,0.000210478,0.00152671,7.89293e-05,0.000695567,0.0616171,2.58278,1.45829e-06,2.97468,0.0828642
1850.7083,289.416,290.273,2.10051,0.151782,1.05588,0.00276146,0.00197975,0.00199105,0.000781711,2.06218e-05,7.45265e-05,1.78168e-05,2.92872e-07,0.00433629,0.0157428,0.032641,0.41377,0.00409545,0.00544775,2.50735e-08,1.3579e-06,3.45812e-05,8.90115e-07,6.95263e-06,5.27823e-05,3.36124e-06,3.55033e-09,1.17721e-06,3.32205e-06,7.98561,41.0253,5.01592,0.250041,30.7063,0.0650459,5.96126,0.00370518,0.0650459,2.08339,0.119348,3.19747,0.00237945,0.00476953,3.06671,0.00260115,0.00914647,0.00154871,0.00426368,3.06671,0.00740572,3.00717,1.63434,0.000276948,0.0615953,0.000173386,0.00152441,6.50459e-05,0.000694463,0.0615953,1.49672,1.38298e-06,2.96969,0.068751
1850.7917,284.529,285.482,0,0.183967,0,0,0.00080107,0.00254795,-0.00080107,0,0,0,0,0,0,0,0,0,0.00035978,0,1.28536e-06,9.26812e-06,4.25173e-07,1.19369e-05,0,6.54126e-07,3.32589e-09,1.98329e-06,0,7.83667,41.0676,4.94989,0.401318,30.747,0,5.95131,0.0034888,0,2.08263,0.116108,3.19979,0.000875625,0.00852914,3.07001,0,0.0091326,0,0.00426214,3.07001,0.00722653,3.00734,1.63438,0.000480605,0.0617126,0,0.0015221,0,0.000694209,0.0617126,0.483053,1.28536e-06,2.88678,0.0034888
