time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.47018,0,0,0.000614484,0.000479669,-0.000614484,0,0,0,0,0,0,0,0,0,0.000523675,0,9.83278e-07,1.66206e-06,1.95393e-07,8.61429e-06,0,8.2996e-08,3.35758e-09,4.69256e-07,0,11.5598,45.8827,7.23424,0.515367,31.1178,0,8.69993,0.00553326,0,2.68977,0.135255,3.25771,0.0009502,0.0109929,3.10498,0,0.0133476,0,0.0055318,3.10498,0.00918363,3.0507,1.67143,0.00062875,0.0625533,0,0.0022246,0,0.000896591,0.0625533,0.399102,9.83278e-07,4.32555,0.00553326
2015.1250,274.884,274.551,0,0.482284,0,0,0.000816175,0.00156662,-0.000816175,0,0,0,0,0,0,0,0,0,0.00052283,0,9.29278e-07,8.98502e-06,3.50348e-07,1.37427e-05,0,5.0836e-07,4.03346e-09,1.75624e-06,0,11.5225,45.8383,7.22255,0.492138,31.1234,0,8.68587,0.0052206,0,2.70019,0.135037,3.25768,0.0012342,0.0103958,3.10546,0,0.0133281,0,0.0055531,3.10546,0.0091688,3.0507,1.67146,0.0005975,0.062568,0,0.00222135,0,0.000900064,0.062568,0.530475,9.29278e-07,4.29999,0.0052206
2015.2083,283.009,282.037,0,0.203786,0,0,0.00108612,0.0022617,-0.00108612,0,0,0,0,0,0,0,0,0,0.000521957,0,8.97448e-07,1.86474e-05,1.7004e-06,3.2705e-05,0,1.39722e-06,1.57978e-08,2.74711e-06,0,11.4758,45.7475,7.21049,0.433313,31.1351,0,8.67137,0.00491571,0,2.70334,0.134811,3.25734,0.00158543,0.00885942,3.10653,0,0.0133078,0,0.00555938,3.10653,0.00915348,3.0507,1.67153,0.000510377,0.0625961,0,0.00221797,0,0.000901114,0.0625961,1.1273,8.97448e-07,4.26526,0.00491571
2015.2917,291.19,289.716,1.69545,0.1839,1.38155,0.00531985,0.00271548,0.00240502,0.00260438,4.21026e-05,0.000112791,3.63408e-05,6.45554e-07,0.00417523,0.0199473,0.034833,0.409147,0.0080366,0.000521985,5.37391e-08,9.01907e-07,3.04203e-05,1.53979e-06,5.3443e-05,3.40207e-05,2.66219e-06,1.26587e-08,3.27134e-06,1.99209e-06,11.4541,45.6734,7.20882,0.382782,31.1354,0.052113,8.75762,0.00691337,0.052113,2.70103,0.1349,3.25663,0.00187044,0.00761158,3.10669,0.00208452,0.0134272,0.00124078,0.00555446,3.10669,0.00915639,3.0507,1.6716,0.00043949,0.0625907,0.000138968,0.00223786,5.2113e-05,0.000900343,0.0625907,2.35142,9.55646e-07,4.24533,0.0590263
2015.3750,292.912,291.887,3.61914,0.174972,2.61837,0.0100448,0.00414798,0.00214562,0.00589681,0.000137623,0.000162282,0.000117422,3.89064e-06,0.00954606,0.0151261,0.0494883,0.341694,0.0158601,0.000526032,3.44987e-07,9.76958e-07,2.29534e-05,5.40722e-07,6.17635e-05,6.63458e-05,2.13575e-06,8.04782e-09,3.11103e-06,3.99333e-06,11.5768,45.7465,7.25346,0.347371,31.1261,0.10807,8.85133,0.00891138,0.10807,2.69615,0.136378,3.25586,0.00115378,0.00674061,3.10604,0.00432279,0.013558,0.00257309,0.00554462,3.10604,0.00924243,3.0507,1.6716,0.000391116,0.062559,0.000288186,0.00225967,0.00010807,0.000898716,0.062559,3.38129,1.32194e-06,4.32338,0.116981
2015.4583,295.949,294.896,3.61912,0.208297,2.36138,0.00994873,0.00463811,0.00229522,0.00531062,0.00019232,0.000161707,0.000160306,9.85647e-06,0.0135256,0.0158555,0.0608866,0.237575,0.015654,0.000531189,1.00874e-06,1.07413e-06,1.8001e-05,1.18378e-07,7.55159e-05,6.46002e-05,1.53907e-06,5.40351e-09,3.37248e-06,3.94058e-06,11.7323,45.8539,7.31089,0.322234,31.1105,0.108069,8.83689,0.00839871,0.108069,2.68891,0.138202,3.25536,0.000684833,0.00612269,3.10482,0.00432277,0.0135392,0.00257308,0.00552995,3.10482,0.00935165,3.0507,1.67157,0.000357559,0.0625117,0.000288185,0.00225654,0.000108069,0.000896303,0.0625117,3.58403,2.08286e-06,4.42144,0.116468
2015.5417,295.803,295.196,3.61229,0.196321,2.19425,0.008234,0.00438854,0.00216211,0.00384545,0.000120323,0.000147911,0.000100502,5.89228e-06,0.00958086,0.0153458,0.0586971,0.284759,0.0126619,0.000535672,6.39215e-07,1.15008e-06,2.29143e-05,1.48897e-07,7.74854e-05,5.27983e-05,1.9276e-06,8.31212e-09,3.14723e-06,3.17028e-06,11.8535,45.924,7.36051,0.301897,31.0898,0.107886,8.82189,0.0079005,0.107886,2.67877,0.139793,3.25487,0.000818799,0.00562542,3.10312,0.00431544,0.0135195,0.00256871,0.00550924,3.10312,0.00944633,3.0507,1.67156,0.000331017,0.0624534,0.000287696,0.00225325,0.000107886,0.000892923,0.0624534,2.94216,1.78929e-06,4.49303,0.115786
2015.6250,290.499,290.655,3.60558,0.186703,1.54603,0.00667935,0.00356915,0.00171387,0.0031102,9.11499e-05,0.000132726,7.72985e-05,3.12451e-06,0.00817132,0.0149029,0.0406846,0.268646,0.0101821,0.000539033,2.69517e-07,1.18754e-06,2.1707e-05,2.94085e-07,6.39265e-05,4.25371e-05,2.04967e-06,9.22381e-09,2.45731e-06,2.53561e-06,11.9407,45.9719,7.39725,0.288091,31.0712,0.107706,8.80716,0.0074391,0.107706,2.67182,0.141012,3.25429,0.000959205,0.00529078,3.10153,0.00430823,0.0134999,0.00256442,0.00549504,3.10153,0.00951738,3.0507,1.67156,0.000313449,0.0624035,0.000287215,0.00224998,0.000107706,0.000890606,0.0624035,2.28981,1.45706e-06,4.54346,0.115145
2015.7083,285.134,285.79,2.92154,0.215053,0.674294,0.0038883,0.00258653,0.002372,0.00130177,4.24204e-05,7.66858e-05,3.61965e-05,9.27739e-07,0.00582536,0.0114328,0.0225169,0.251608,0.00538117,0.00747252,5.62452e-08,1.18169e-06,1.9881e-05,6.20044e-07,1.34024e-05,7.05604e-05,1.45604e-06,1.81313e-08,1.64499e-06,4.51981e-06,11.9552,46.0267,7.40206,0.341623,31.0619,0.0887606,8.79246,0.00700479,0.0887606,2.66798,0.140882,3.25467,0.00096364,0.00664693,3.10069,0.00354941,0.0134802,0.00211335,0.00548718,3.10069,0.00951167,3.05075,1.67157,0.000385438,0.0623807,0.000236606,0.00224669,8.87606e-05,0.000889325,0.0623807,1.29414,1.23793e-06,4.55311,0.0957654
2015.7917,280.565,281.45,0,0.199393,0,0,0.0011281,0.00301268,-0.0011281,0,0,0,0,0,0,0,0,0,0.00052954,0,1.12596e-06,1.538e-06,3.09104e-07,2.34742e-07,0,7.7535e-08,1.62154e-08,1.99059e-06,0,11.7541,46.1097,7.31212,0.583546,31.1046,0,8.77777,0.00659571,0,2.66746,0.136482,3.25891,0.000154236,0.0126024,3.10419,0,0.0134603,0,0.00548611,3.10419,0.00926799,3.05099,1.6716,0.000711576,0.062502,0,0.00224338,0,0.000889153,0.062502,0.406917,1.12596e-06,4.442,0.00659571
