time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.023,273.071,0,0.469024,0,0,0.000614921,0.000477232,-0.000614921,0,0,0,0,0,0,0,0,0,0.000523656,0,3.03586e-07,1.60022e-06,1.95535e-07,8.6035e-06,0,8.00029e-08,3.36131e-09,4.67393e-07,0,11.561,45.8833,7.23398,0.514744,31.1179,0,8.69961,0.00553271,0,2.68971,0.135446,3.25782,0.000877075,0.0109793,3.10499,0,0.0133471,0,0.00553166,3.10499,0.0091834,3.0507,1.67143,0.000627908,0.0625536,0,0.00222452,0,0.000896569,0.0625536,0.399093,3.03586e-07,4.32698,0.00553271
2015.1250,274.883,274.549,0,0.480174,0,0,0.000816757,0.00153716,-0.000816757,0,0,0,0,0,0,0,0,0,0.00052281,0,2.95843e-07,8.22083e-06,3.42591e-07,1.49068e-05,0,4.53672e-07,4.02935e-09,1.74145e-06,0,11.5237,45.8392,7.22229,0.492064,31.1233,0,8.68556,0.00522009,0,2.70013,0.135227,3.25775,0.00112364,0.0103953,3.10545,0,0.0133276,0,0.00555297,3.10545,0.00916857,3.0507,1.67146,0.000597504,0.0625677,0,0.00222127,0,0.000900043,0.0625677,0.529296,2.95843e-07,4.30141,0.00522009
2015.2083,283.009,282.037,0,0.20378,0,0,0.0010869,0.00226311,-0.0010869,0,0,0,0,0,0,0,0,0,0.000521938,0,3.61185e-07,1.7235e-05,1.64044e-06,3.26945e-05,0,1.23408e-06,1.57573e-08,2.74488e-06,0,11.4769,45.7491,7.21023,0.434688,31.1343,0,8.67105,0.00491523,0,2.70327,0.135001,3.25739,0.00148765,0.008889,3.10645,0,0.0133073,0,0.00555924,3.10645,0.00915326,3.0507,1.67153,0.000512497,0.062594,0,0.00221789,0,0.000901091,0.062594,1.12724,3.61185e-07,4.26665,0.00491523
2015.2917,291.19,289.716,1.69532,0.183902,1.38149,0.00531961,0.00271908,0.00241493,0.00260053,4.44545e-05,0.000112791,3.79963e-05,1.11682e-06,0.00439542,0.0199476,0.0479967,0.391607,0.00803788,0.000521966,1.27256e-07,4.91027e-07,2.87386e-05,1.46555e-06,5.30181e-05,3.39899e-05,2.41851e-06,1.26469e-08,3.27363e-06,1.99241e-06,11.4552,45.6746,7.20856,0.383519,31.1349,0.0521092,8.7573,0.00691291,0.0521092,2.70096,0.13509,3.25668,0.0017602,0.00762725,3.10665,0.00208437,0.0134267,0.0012407,0.00555432,3.10665,0.00915617,3.0507,1.6716,0.000440634,0.0625895,0.000138958,0.00223778,5.21092e-05,0.00090032,0.0625895,2.35137,6.18282e-07,4.24666,0.0590221
2015.3750,292.912,291.887,3.61885,0.174973,2.61829,0.0100445,0.00416233,0.0021494,0.00588215,0.000150693,0.000162282,0.00012639,6.78293e-06,0.0104506,0.0151267,0.0704734,0.31498,0.0158628,0.000526016,8.29291e-07,7.37581e-07,2.11774e-05,4.84218e-07,6.15887e-05,6.61521e-05,1.94301e-06,8.04538e-09,3.1124e-06,3.99401e-06,11.5777,45.7473,7.25323,0.347705,31.1258,0.108062,8.85101,0.00891095,0.108062,2.69608,0.136565,3.25592,0.00105238,0.0067477,3.10601,0.00432248,0.0135575,0.0025729,0.00554448,3.10601,0.00924222,3.0507,1.6716,0.000391648,0.0625584,0.000288165,0.00225959,0.000108062,0.000898693,0.0625584,3.38123,1.56687e-06,4.32443,0.116973
2015.4583,295.949,294.896,3.61883,0.208297,2.36132,0.00994845,0.00465485,0.00229692,0.0052936,0.000208293,0.000161707,0.000169732,1.51728e-05,0.0146354,0.0158557,0.0823172,0.220579,0.0156567,0.000531176,2.07469e-06,9.63175e-07,1.66377e-05,1.01727e-07,7.54252e-05,6.43603e-05,1.40645e-06,5.40313e-09,3.37357e-06,3.94126e-06,11.7326,45.8541,7.31068,0.322398,31.1103,0.108062,8.83658,0.00839831,0.108062,2.68884,0.13838,3.25546,0.000625317,0.00612621,3.1048,0.00432246,0.0135387,0.00257289,0.00552981,3.1048,0.00935147,3.0507,1.67157,0.000357833,0.0625113,0.000288164,0.00225646,0.000108062,0.00089628,0.0625113,3.58398,3.03787e-06,4.4219,0.11646
2015.5417,295.803,295.196,3.612,0.196321,2.19419,0.00823376,0.00439451,0.00216274,0.00383925,0.000125965,0.000147911,0.000103243,8.44069e-06,0.0100284,0.015346,0.0790529,0.273963,0.0126641,0.00053566,1.21444e-06,1.10689e-06,2.20236e-05,1.37552e-07,7.74445e-05,5.27196e-05,1.83962e-06,8.3132e-09,3.14795e-06,3.17083e-06,11.8535,45.9238,7.36033,0.301987,31.0897,0.107878,8.82158,0.00790013,0.107878,2.6787,0.139967,3.25499,0.000781879,0.00562735,3.1031,0.00431513,0.013519,0.00256853,0.0055091,3.1031,0.00944616,3.0507,1.67156,0.000331175,0.0624531,0.000287675,0.00225317,0.000107878,0.000892901,0.0624531,2.94212,2.32134e-06,4.49314,0.115778
2015.6250,290.499,290.655,3.60529,0.186703,1.54599,0.00667915,0.00357323,0.00171413,0.00310592,9.51272e-05,0.000132726,7.91971e-05,4.95724e-06,0.00852981,0.0149031,0.0616895,0.259634,0.0101838,0.000539022,6.30235e-07,1.16818e-06,2.09687e-05,2.79408e-07,6.39094e-05,4.24826e-05,1.9645e-06,9.22467e-09,2.45773e-06,2.53604e-06,11.9405,45.9715,7.39708,0.288151,31.0711,0.107698,8.80685,0.00743875,0.107698,2.67175,0.141183,3.25441,0.000922995,0.00529208,3.10152,0.00430792,0.0134994,0.00256424,0.0054949,3.10152,0.00951723,3.0507,1.67156,0.000313559,0.0624032,0.000287195,0.0022499,0.000107698,0.000890584,0.0624032,2.28978,1.79841e-06,4.5434,0.115137
2015.7083,285.134,285.79,2.9213,0.215052,0.674273,0.00388818,0.00258839,0.0023467,0.00129979,4.43168e-05,7.66786e-05,3.70309e-05,1.63225e-06,0.00605317,0.0114317,0.0377514,0.243214,0.00539479,0.00747201,1.62951e-07,1.16343e-06,1.917e-05,5.91416e-07,1.47047e-05,7.05359e-05,1.38731e-06,1.81322e-08,1.65143e-06,4.51983e-06,11.9548,46.0263,7.4019,0.341864,31.0617,0.0887542,8.79214,0.00700446,0.0887542,2.66791,0.141052,3.25478,0.000925189,0.00665208,3.10067,0.00354916,0.0134797,0.0021132,0.00548704,3.10067,0.00951154,3.05075,1.67157,0.000385812,0.0623801,0.000236589,0.00224661,8.87542e-05,0.000889303,0.0623801,1.29412,1.32638e-06,4.55295,0.0957587
2015.7917,280.565,281.45,0,0.199393,0,0,0.001128,0.00297692,-0.001128,0,0,0,0,0,0,0,0,0,0.000529532,0,1.09949e-06,1.35174e-06,2.9614e-07,9.40605e-07,0,6.79149e-08,1.62154e-08,1.95635e-06,0,11.7538,46.1106,7.31197,0.586451,31.103,0,8.77746,0.0065954,0,2.66739,0.136652,3.259,0.000145139,0.0126684,3.10405,0,0.0134598,0,0.00548597,3.10405,0.00926788,3.05099,1.6716,0.0007158,0.0624979,0,0.0022433,0,0.00088913,0.0624979,0.406919,1.09949e-06,4.44182,0.0065954
2015.8750,274.447,275.354,0,0.220704,0,0,0.000776368,0.0020619,-0.000776368,0,0,0,0,0,0,0,0,0,0.000528648,0,1.03077e-06,5.8828e-06,2.69119e-07,1.74556e-05,0,3.40509e-07,1.32242e-08,2.04915e-06,0,11.707,46.0069,7.29976,0.502724,31.1268,0,8.7628,0.00621034,0,2.67031,0.136423,3.25898,0.000463468,0.0105406,3.10607,0,0.0134398,0,0.00549194,3.10607,0.00925241,3.05099,1.67166,0.000601445,0.0625627,0,0.00223997,0,0.000890103,0.0625627,0.375582,1.03077e-06,4.40725,0.00621034
