time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.0417,306.726,306.74,2.36928,0.355271,1.93856,0.00606098,0.00435931,0.00270348,0.00170167,3.52058e-05,6.22688e-05,2.91611e-05,1.33496e-06,0.00509711,0.010839,0.070156,0.466613,0.010376,0.00128261,2.11157e-07,2.26869e-06,3.09287e-05,6.94445e-09,6.91999e-05,3.80959e-05,1.0246e-06,7.63388e-09,4.00249e-06,2.42223e-06,6.32923,25.9046,4.21575,0.170913,18.4322,0.183315,5.24217,0.00266784,0.145552,0.972189,0.14382,-0.589131,0.00125675,0.00321156,-0.738998,0.00763828,0.00804709,0.00346553,0.00157945,-0.738998,0.00984477,2.73978,2.14255,0.000202571,0.0370035,0.000540765,0.00134118,0.000145552,0.000324063,0.0370035,3.49793,2.47985e-06,2.11348,0.14822
1850.1250,306.577,306.583,2.28399,0.377095,1.48919,0.00583281,0.00427559,0.00268288,0.00155722,2.45918e-05,6.06583e-05,2.03953e-05,8.76677e-07,0.00361971,0.0104333,0.0678647,0.623765,0.0100202,0.00125139,1.38211e-07,2.19184e-06,3.21799e-05,4.90994e-08,7.34498e-05,3.68347e-05,1.01004e-06,8.63156e-08,3.99794e-06,2.3289e-06,6.33646,25.8963,4.20718,0.16394,18.428,0.177161,5.23902,0.00268269,0.140666,0.967842,0.143746,-0.589337,0.00161956,0.00303197,-0.739304,0.00738187,0.00804215,0.0033492,0.00157061,-0.739304,0.00984003,2.73981,2.14262,0.000192715,0.0369898,0.000522612,0.00134036,0.000140666,0.000322614,0.0369898,3.25486,2.33005e-06,2.12929,0.143349
1850.2083,306.663,306.653,2.20305,0.367535,1.71531,0.00557962,0.00419264,0.00259514,0.00138698,1.94818e-05,6.12203e-05,1.61381e-05,6.84686e-07,0.00310601,0.0112667,0.0691896,0.744854,0.00950962,0.00122161,1.08005e-07,2.12086e-06,4.43812e-05,2.82635e-07,7.38368e-05,3.47519e-05,1.39103e-06,5.59837e-07,3.83834e-06,2.18821e-06,6.34179,25.887,4.1988,0.159268,18.4225,0.171294,5.23576,0.00269692,0.136008,0.963421,0.143669,-0.589739,0.00187015,0.00291274,-0.739753,0.00713741,0.00803703,0.00323828,0.0015616,-0.739753,0.00983471,2.73984,2.14267,0.000186035,0.0369743,0.000505305,0.00133951,0.000136008,0.000321141,0.0369743,3.21295,2.22887e-06,2.14299,0.138705
1850.2917,306.724,306.712,2.12391,0.364786,1.73543,0.00536314,0.00413013,0.00251971,0.00123302,1.76989e-05,6.02977e-05,1.46535e-05,6.20499e-07,0.00295489,0.0115749,0.0691623,0.777069,0.00909827,0.00119232,9.83222e-08,2.07552e-06,4.7518e-05,2.45754e-07,7.40876e-05,3.31388e-05,1.48565e-06,5.2612e-07,3.725e-06,2.08357e-06,6.34179,25.8725,4.19027,0.155266,18.4163,0.165531,5.23216,0.00270275,0.131432,0.959165,0.143555,-0.590416,0.00196027,0.00281237,-0.740297,0.00689726,0.00803147,0.00312932,0.00155291,-0.740297,0.00982679,2.73986,2.14272,0.000180591,0.0369582,0.000488303,0.00133858,0.000131432,0.000319722,0.0369582,3.0869,2.17384e-06,2.15152,0.134134
1850.3750,307.197,307.179,2.04608,0.336698,2.31557,0.00511816,0.00407221,0.00234721,0.00104595,1.91058e-05,5.99631e-05,1.58581e-05,6.37185e-07,0.00342875,0.0123093,0.0701032,0.676903,0.00860518,0.00116337,1.01755e-07,2.0492e-06,5.01934e-05,2.33199e-07,6.96758e-05,3.11274e-05,1.74364e-06,2.10059e-07,3.46108e-06,1.95726e-06,6.33627,25.8546,4.18155,0.152774,18.41,0.159837,5.22823,0.00270031,0.12691,0.955505,0.143404,-0.591259,0.00190406,0.0027518,-0.740864,0.00666001,0.00802542,0.00302168,0.00154546,-0.740864,0.00981654,2.73988,2.14277,0.000177346,0.036943,0.000471507,0.00133757,0.00012691,0.000318502,0.036943,3.33554,2.15095e-06,2.15472,0.129611
1850.4583,307.536,307.498,1.9751,0.322934,2.32775,0.00485659,0.00399993,0.00224986,0.000856666,2.17177e-05,5.61488e-05,1.80901e-05,6.80294e-07,0.00395517,0.0118926,0.0662956,0.522849,0.00805996,0.00113682,1.08541e-07,2.04733e-06,4.10845e-05,1.77712e-07,6.69096e-05,2.92546e-05,1.5551e-06,7.23067e-08,3.31677e-06,1.84604e-06,6.3294,25.8381,4.17332,0.151454,18.4045,0.154621,5.2243,0.00269816,0.122769,0.952753,0.143259,-0.592002,0.00185992,0.00272105,-0.741382,0.00644267,0.0080194,0.00292307,0.00153989,-0.741382,0.00980668,2.73991,2.14282,0.00017575,0.0369303,0.00045612,0.00133657,0.000122769,0.000317584,0.0369303,3.4881,2.15587e-06,2.15609,0.125467
1850.5417,310.828,310.665,1.87735,0.204093,2.65145,0.00332697,0.00378498,0.00159351,-0.000458012,1.19885e-05,3.50757e-05,1.00234e-05,3.13984e-07,0.00274865,0.00995407,0.0413518,0.346464,0.00439742,0.00110004,4.907e-08,2.07588e-06,3.51854e-06,1.98326e-07,4.53063e-05,1.80567e-05,1.94779e-07,3.37056e-08,2.35198e-06,1.15218e-06,6.30168,25.8087,4.16145,0.154032,18.4007,0.1474,5.21826,0.00264956,0.117036,0.952306,0.1429,-0.592051,0.00246439,0.00279873,-0.741753,0.00614182,0.00801043,0.00278657,0.00153903,-0.741753,0.00978359,2.73995,2.14288,0.000181069,0.0369225,0.000434821,0.00133507,0.000117036,0.000317435,0.0369225,3.62956,2.12495e-06,2.14023,0.119685
1850.6250,315.855,315.523,1.75641,0.135003,2.29571,0.00189258,0.00360027,0.00117969,-0.00170769,4.36036e-06,1.80563e-05,3.63846e-06,1.10069e-07,0.00121171,0.00600065,0.0217887,0.233927,0.00199655,0.00105419,1.70762e-08,2.06924e-06,4.61505e-07,2.01997e-07,3.16944e-05,1.08126e-05,3.05633e-08,2.09496e-08,1.71167e-06,7.04768e-07,6.25208,25.7733,4.14621,0.163977,18.4008,0.13841,5.21014,0.00255554,0.109898,0.956506,0.142339,-0.591604,0.00320089,0.00309349,-0.741784,0.00576721,0.00799856,0.00261661,0.00154764,-0.741784,0.009748,2.73998,2.14292,0.000199891,0.0369248,0.0004083,0.00133309,0.000109898,0.000318836,0.0369248,2.82374,2.08631e-06,2.10587,0.112453
1850.7083,315.569,315.386,1.62319,0.145582,1.95402,0.00179326,0.003319,0.00118518,-0.00152574,2.34857e-06,1.48194e-05,1.94687e-06,6.12667e-08,0.000848612,0.00639647,0.0203154,0.266713,0.00139375,0.00100326,9.69803e-09,2.02827e-06,1.72511e-06,1.59305e-07,2.84578e-05,8.67297e-06,1.02579e-07,1.32634e-08,1.82534e-06,5.68429e-07,6.18943,25.7273,4.12881,0.172291,18.4033,0.128432,5.20049,0.00243272,0.101975,0.96227,0.141652,-0.591268,0.00379536,0.00332185,-0.741597,0.00535147,0.00798453,0.00242798,0.00155944,-0.741597,0.00970462,2.74001,2.14297,0.000214908,0.0369334,0.000378867,0.00133075,0.000101975,0.000320757,0.0369334,2.71902,2.03796e-06,2.06062,0.104408
1850.7917,311.542,311.646,1.50246,0.223065,2.03894,0.00321995,0.00324027,0.00173301,-2.03172e-05,4.11169e-06,3.06635e-05,3.39591e-06,1.17126e-07,0.00144232,0.0135254,0.0423984,0.662158,0.00297115,0.000956705,1.86367e-08,2.00051e-06,1.06876e-05,1.11902e-07,3.94539e-05,1.26415e-05,5.98416e-07,8.15817e-09,2.7304e-06,7.9759e-07,6.1305,25.6779,4.11232,0.173013,18.4071,0.119322,5.19089,0.00231806,0.0947419,0.967314,0.141008,-0.591209,0.00418127,0.0033219,-0.74129,0.00497189,0.00797053,0.00225576,0.00156975,-0.74129,0.00966366,2.74004,2.14302,0.00021512,0.0369445,0.000351994,0.00132842,9.47419e-05,0.000322438,0.0369445,3.4753,2.01915e-06,2.01818,0.09706
