time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.312,303.317,3.57568,0.370596,1.72039,0.0102791,0.0070976,0.00365671,0.00318151,5.20496e-05,7.19252e-05,4.31368e-05,2.03911e-06,0.00378681,0.00639222,0.0736496,0.587957,0.0172692,0.00210007,3.27396e-07,1.98027e-06,2.4518e-05,2.56552e-08,8.3755e-05,6.65873e-05,7.28766e-07,3.12676e-07,4.96244e-06,4.29564e-06,13.4468,35.7883,8.73131,0.258647,20.5332,0.267254,11.0033,0.0105674,0.212199,1.54965,0.214372,-0.304208,0.00130352,0.00508319,-0.527849,0.0111358,0.0168577,0.00505237,0.00288255,-0.527849,0.0154563,2.81596,2.2044,0.000300673,0.0412716,0.000788377,0.00280961,0.000212199,0.000516548,0.0412716,3.29968,2.30767e-06,4.71547,0.222767
2015.1250,303.268,303.293,3.549,0.368033,1.68414,0.00991544,0.00710086,0.00358296,0.00281457,4.60179e-05,6.98576e-05,3.81608e-05,1.76179e-06,0.00349036,0.00631349,0.0730547,0.629234,0.0164596,0.00209133,2.83003e-07,2.02405e-06,2.71487e-05,2.6737e-08,8.27089e-05,6.37402e-05,8.17636e-07,3.77285e-07,4.86457e-06,4.10892e-06,13.4708,35.8094,8.73299,0.257484,20.533,0.265457,11.0078,0.0105655,0.210773,1.54811,0.214575,-0.303938,0.0014031,0.0050533,-0.527848,0.0110609,0.0168646,0.0050184,0.00287936,-0.527848,0.0154696,2.816,2.20443,0.000298881,0.0412701,0.000783077,0.00281077,0.000210773,0.000516038,0.0412701,3.1342,2.30706e-06,4.73782,0.221338
2015.2083,303.081,303.096,3.50825,0.371512,1.51086,0.00967197,0.00703419,0.00358366,0.00263778,3.83181e-05,6.8966e-05,3.17959e-05,1.41727e-06,0.00294337,0.0062673,0.0708953,0.710405,0.0159418,0.0020777,2.26367e-07,1.94585e-06,2.89417e-05,4.63053e-08,8.31258e-05,6.18967e-05,8.4803e-07,7.09468e-07,4.85862e-06,3.98264e-06,13.4858,35.8232,8.73272,0.257791,20.5327,0.262708,11.011,0.0105315,0.20859,1.54686,0.21469,-0.3036,0.00163041,0.00505908,-0.527856,0.0109464,0.0168698,0.00496642,0.00287674,-0.527856,0.0154771,2.81604,2.20447,0.000298813,0.0412688,0.000774966,0.00281164,0.00020859,0.000515621,0.0412688,2.94501,2.17222e-06,4.75305,0.219121
2015.2917,302.861,302.876,3.46992,0.374345,1.48459,0.00953004,0.00699558,0.00352869,0.00253447,3.47735e-05,6.83632e-05,2.88546e-05,1.27161e-06,0.00268502,0.0062438,0.0695065,0.752892,0.0156425,0.00206485,2.02632e-07,1.9116e-06,2.94542e-05,3.6183e-08,8.25991e-05,6.07918e-05,8.58389e-07,5.79157e-07,4.79962e-06,3.90802e-06,13.498,35.833,8.73253,0.257465,20.5321,0.260116,11.0141,0.0104974,0.206532,1.54548,0.214797,-0.303408,0.00177122,0.00504991,-0.527899,0.0108384,0.0168748,0.00491743,0.00287384,-0.527899,0.0154837,2.81608,2.2045,0.000298034,0.0412668,0.000767322,0.00281247,0.000206532,0.000515159,0.0412668,2.83117,2.11423e-06,4.76545,0.21703
2015.3750,303.331,303.332,3.43436,0.35021,2.10011,0.00956662,0.00702261,0.00348898,0.00254401,3.93274e-05,6.92692e-05,3.26252e-05,1.47183e-06,0.0030169,0.00601431,0.0699791,0.669807,0.0158083,0.00205293,2.35959e-07,1.89524e-06,4.3023e-05,3.22389e-08,8.005e-05,6.11181e-05,1.36082e-06,3.25747e-07,4.68593e-06,3.93246e-06,13.5084,35.843,8.73248,0.257545,20.5321,0.257707,11.0172,0.0104644,0.20462,1.54491,0.214896,-0.303498,0.00157441,0.00505444,-0.527896,0.010738,0.0168798,0.0048719,0.00287264,-0.527896,0.0154899,2.81612,2.20453,0.000298396,0.0412665,0.000760217,0.0028133,0.00020462,0.000514969,0.0412665,3.05685,2.13119e-06,4.77596,0.215084
2015.4583,304.244,304.201,3.40582,0.330191,2.95331,0.00956194,0.00704766,0.0033961,0.00251428,4.84229e-05,7.00621e-05,4.01228e-05,1.89932e-06,0.00378303,0.00591006,0.0717639,0.552841,0.0158689,0.00204341,3.0708e-07,1.90663e-06,3.93135e-05,2.22349e-08,7.76724e-05,6.08999e-05,1.33878e-06,1.28656e-07,4.56992e-06,3.92773e-06,13.5189,35.8528,8.73319,0.256696,20.5325,0.255771,11.0207,0.0104418,0.203082,1.54475,0.21501,-0.303638,0.00130231,0.00503611,-0.527858,0.0106573,0.0168852,0.00483529,0.00287229,-0.527858,0.0154971,2.81617,2.20457,0.000297769,0.0412672,0.000754504,0.00281421,0.000203082,0.000514915,0.0412672,3.62467,2.21371e-06,4.78568,0.213524
2015.5417,304.746,304.717,3.38071,0.288497,3.2168,0.00955124,0.00715884,0.00302517,0.00239239,8.36701e-05,7.06144e-05,6.91399e-05,3.5153e-06,0.00673405,0.00633804,0.074446,0.332257,0.0158643,0.00203506,5.71593e-07,1.96118e-06,2.45708e-05,4.38759e-08,6.48417e-05,6.01328e-05,1.02313e-06,4.80981e-08,4.03427e-06,3.91887e-06,13.5266,35.8673,8.73428,0.25953,20.5345,0.254064,11.0243,0.0104232,0.201727,1.54675,0.215116,-0.303564,0.00101353,0.00511446,-0.527684,0.0105862,0.0168909,0.00480302,0.00287644,-0.527684,0.0155046,2.81622,2.2046,0.000302377,0.0412723,0.00074947,0.00281516,0.000201727,0.000515583,0.0412723,3.92303,2.53278e-06,4.79231,0.21215
2015.6250,305.555,305.519,3.35399,0.252273,3.31441,0.00942655,0.00726091,0.00264789,0.00216564,0.000118313,7.13918e-05,9.73454e-05,5.3796e-06,0.00998309,0.00733331,0.0770198,0.229653,0.0155862,0.00202611,8.77654e-07,2.0259e-06,9.70416e-06,3.60291e-08,4.99123e-05,5.83516e-05,4.23998e-07,2.39188e-08,3.47212e-06,3.84434e-06,13.5275,35.8882,8.73491,0.267966,20.54,0.252246,11.0275,0.0103975,0.200283,1.55268,0.215173,-0.302929,0.000870809,0.00533896,-0.5272,0.0105105,0.016896,0.00476865,0.00288875,-0.5272,0.0155101,2.81628,2.20462,0.000314915,0.0412869,0.000744106,0.002816,0.000200283,0.000517559,0.0412869,4.11723,2.90355e-06,4.7926,0.210681
2015.7083,305.37,305.351,3.3405,0.291109,3.11574,0.00976264,0.00728,0.0031845,0.00248264,0.000121224,7.28252e-05,9.91569e-05,6.21197e-06,0.0097586,0.00731615,0.0776782,0.2391,0.0163081,0.00202176,1.01539e-06,2.07681e-06,1.69748e-05,1.36695e-08,6.4306e-05,6.1026e-05,6.90851e-07,1.52749e-08,4.24433e-06,4.01641e-06,13.5321,35.9049,8.73722,0.268695,20.5468,0.251327,11.0317,0.0103963,0.199553,1.55734,0.215274,-0.302329,0.000743793,0.00535142,-0.526597,0.0104721,0.0169025,0.00475127,0.00289843,-0.526597,0.0155192,2.81633,2.20464,0.000315419,0.0413037,0.000741394,0.00281708,0.000199553,0.000519115,0.0413037,4.19879,3.09221e-06,4.79486,0.20995
2015.7917,304.653,304.67,3.34004,0.322905,2.39696,0.00991872,0.00727034,0.00345784,0.00264838,0.000109721,7.26365e-05,8.97267e-05,5.67933e-06,0.00855943,0.00696299,0.0764884,0.27097,0.0165902,0.00202197,9.28033e-07,2.11176e-06,1.9667e-05,6.36093e-09,7.37134e-05,6.24244e-05,7.10145e-07,9.28277e-09,4.66598e-06,4.0924e-06,13.5428,35.9206,8.74126,0.266398,20.5514,0.251295,11.037,0.0104203,0.199529,1.56004,0.215434,-0.301784,0.00074825,0.00528816,-0.526158,0.0104708,0.0169105,0.00475068,0.00290403,-0.526158,0.0155319,2.81638,2.20468,0.000311988,0.0413138,0.000741302,0.00281841,0.000199529,0.000520014,0.0413138,3.64646,3.03979e-06,4.80155,0.209949
