time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,303.313,303.317,3.57523,0.370596,1.72037,0.0102788,0.00709671,0.00365655,0.00318206,5.21578e-05,7.1926e-05,4.32902e-05,1.95904e-06,0.00379444,0.0063953,0.0649624,0.586352,0.0172676,0.00209987,2.77202e-07,1.98026e-06,2.4458e-05,2.5467e-08,8.37453e-05,6.65824e-05,7.26962e-07,3.12683e-07,4.96241e-06,4.29546e-06,13.4457,35.7872,8.73083,0.258639,20.5333,0.267224,11.0027,0.0105661,0.212176,1.54959,0.214182,-0.304396,0.00130018,0.00508287,-0.527843,0.0111345,0.0168568,0.0050518,0.00288244,-0.527843,0.0154564,2.81596,2.2044,0.000300661,0.0412717,0.000788288,0.00280946,0.000212176,0.000516531,0.0412717,3.29965,2.25746e-06,4.71489,0.222742
2015.1250,303.268,303.293,3.54852,0.368033,1.6841,0.00991509,0.00709999,0.00358279,0.0028151,4.61124e-05,6.98571e-05,3.8288e-05,1.69891e-06,0.0034971,0.00631421,0.0643323,0.627647,0.0164585,0.00209112,2.39197e-07,2.02404e-06,2.70913e-05,2.65524e-08,8.26993e-05,6.37358e-05,8.15907e-07,3.77293e-07,4.86452e-06,4.10875e-06,13.4698,35.8084,8.73251,0.257474,20.533,0.265425,11.0072,0.0105642,0.210747,1.54806,0.214386,-0.304125,0.00139993,0.00505294,-0.527843,0.0110596,0.0168637,0.00501779,0.00287925,-0.527843,0.0154697,2.816,2.20444,0.000298867,0.0412702,0.000782982,0.00281062,0.000210747,0.00051602,0.0412702,3.13417,2.26324e-06,4.73728,0.221311
2015.2083,303.081,303.097,3.50774,0.371512,1.51083,0.00967161,0.00703333,0.00358348,0.00263828,3.83961e-05,6.89663e-05,3.18779e-05,1.39245e-06,0.00294919,0.0062681,0.0637533,0.708916,0.0159407,0.00207748,1.99494e-07,1.94584e-06,2.88968e-05,4.60058e-08,8.31172e-05,6.18926e-05,8.46717e-07,7.0948e-07,4.85854e-06,3.98246e-06,13.4848,35.8221,8.73223,0.257779,20.5328,0.262674,11.0104,0.0105302,0.208563,1.54681,0.214501,-0.303787,0.00162762,0.00505869,-0.527851,0.0109449,0.0168689,0.00496578,0.00287663,-0.527851,0.0154771,2.81604,2.20447,0.000298796,0.0412689,0.000774866,0.00281149,0.000208563,0.000515603,0.0412689,2.94498,2.14533e-06,4.75253,0.219093
2015.2917,302.861,302.877,3.46939,0.374345,1.48457,0.00952968,0.00699473,0.0035285,0.00253494,3.4841e-05,6.83641e-05,2.89184e-05,1.25814e-06,0.00269003,0.00624692,0.0631202,0.751538,0.0156422,0.00206464,1.81444e-07,1.91158e-06,2.94183e-05,3.59679e-08,8.25906e-05,6.0788e-05,8.57345e-07,5.79167e-07,4.79952e-06,3.90786e-06,13.497,35.832,8.73204,0.257451,20.5322,0.260081,11.0135,0.0104961,0.206504,1.54542,0.214608,-0.303595,0.00176879,0.00504949,-0.527894,0.0108369,0.0168739,0.00491677,0.00287372,-0.527894,0.0154838,2.81608,2.2045,0.000298015,0.0412669,0.000767218,0.00281232,0.000206504,0.00051514,0.0412669,2.83115,2.09303e-06,4.76495,0.217
2015.3750,303.331,303.332,3.43383,0.35021,2.10005,0.00956624,0.0070218,0.00348875,0.00254445,3.93895e-05,6.92692e-05,3.27013e-05,1.43723e-06,0.00302159,0.00601429,0.0621194,0.668619,0.0158081,0.00205271,2.04307e-07,1.89522e-06,4.29759e-05,3.20962e-08,8.00409e-05,6.11144e-05,1.35929e-06,3.25753e-07,4.6858e-06,3.9323e-06,13.5075,35.842,8.73199,0.25753,20.5322,0.257672,11.0166,0.0104631,0.204591,1.54485,0.214708,-0.303685,0.00157239,0.00505399,-0.527891,0.0107365,0.0168789,0.00487122,0.00287252,-0.527891,0.0154899,2.81612,2.20453,0.000298376,0.0412666,0.000760111,0.00281315,0.000204591,0.000514951,0.0412666,3.05682,2.09953e-06,4.77549,0.215054
2015.4583,304.244,304.201,3.40529,0.33019,2.9532,0.00956152,0.00704685,0.00339586,0.00251467,4.84732e-05,7.00622e-05,4.025e-05,1.78968e-06,0.00378686,0.00591101,0.0609598,0.551749,0.0158684,0.00204318,2.45627e-07,1.90662e-06,3.92609e-05,2.21634e-08,7.76625e-05,6.08963e-05,1.33693e-06,1.28658e-07,4.56977e-06,3.92755e-06,13.5179,35.8518,8.7327,0.25668,20.5325,0.255735,11.0201,0.0104406,0.203053,1.54469,0.214822,-0.303824,0.00130028,0.00503564,-0.527854,0.0106558,0.0168843,0.0048346,0.00287217,-0.527854,0.0154972,2.81617,2.20457,0.000297748,0.0412673,0.000754397,0.00281405,0.000203053,0.000514897,0.0412673,3.62464,2.15225e-06,4.78522,0.213494
2015.5417,304.747,304.717,3.38017,0.288496,3.21667,0.00955079,0.00715814,0.00302495,0.00239265,8.38265e-05,7.06162e-05,6.9601e-05,3.11943e-06,0.00674636,0.0063421,0.0610269,0.33116,0.0158651,0.00203483,4.15636e-07,1.96117e-06,2.45026e-05,4.37076e-08,6.48306e-05,6.01271e-05,1.02015e-06,4.80993e-08,4.03413e-06,3.91869e-06,13.5257,35.8664,8.73378,0.259513,20.5345,0.254028,11.0237,0.010422,0.201698,1.54669,0.214929,-0.303751,0.00101005,0.00511393,-0.527681,0.0105847,0.01689,0.00480234,0.00287633,-0.527681,0.0155047,2.81622,2.20461,0.000302354,0.0412724,0.000749362,0.002815,0.000201698,0.000515564,0.0412724,3.923,2.3768e-06,4.79187,0.21212
2015.6250,305.555,305.52,3.35344,0.25227,3.31427,0.00942605,0.0072609,0.00264768,0.00216515,0.000119189,7.13914e-05,9.87614e-05,4.5864e-06,0.0100549,0.0073291,0.0602167,0.227715,0.0155823,0.00202588,5.87293e-07,2.02588e-06,9.60761e-06,3.56411e-08,4.99e-05,5.83323e-05,4.19784e-07,2.39195e-08,3.47199e-06,3.84413e-06,13.5266,35.8872,8.73441,0.267948,20.5401,0.252209,11.0269,0.0103963,0.200254,1.55262,0.214986,-0.303122,0.000862745,0.00533834,-0.527197,0.0105089,0.0168951,0.00476794,0.00288863,-0.527197,0.0155102,2.81628,2.20462,0.00031489,0.041287,0.000743996,0.00281585,0.000200254,0.00051754,0.041287,4.11717,2.61317e-06,4.79217,0.21065
2015.7083,305.37,305.352,3.33993,0.291108,3.11559,0.00976211,0.00728046,0.00318426,0.00248165,0.000122611,7.28254e-05,0.00010108,5.34084e-06,0.0098689,0.00731531,0.0606032,0.235973,0.016308,0.00202153,6.84617e-07,2.0768e-06,1.67674e-05,1.33602e-08,6.42934e-05,6.09971e-05,6.82157e-07,1.52757e-08,4.24417e-06,4.01619e-06,13.5311,35.9039,8.73671,0.268675,20.5468,0.251288,11.0311,0.0103951,0.199523,1.55729,0.215086,-0.302527,0.000731904,0.00535076,-0.526594,0.0104705,0.0169015,0.00475054,0.00289831,-0.526594,0.0155193,2.81633,2.20465,0.000315393,0.0413037,0.00074128,0.00281693,0.000199523,0.000519096,0.0413037,4.19873,2.76141e-06,4.79442,0.209918
2015.7917,304.653,304.67,3.33945,0.322906,2.39687,0.00991822,0.00727075,0.00345757,0.00264746,0.000111094,7.26371e-05,9.14797e-05,4.99497e-06,0.0086663,0.00696323,0.0614059,0.267187,0.016592,0.00202173,6.54165e-07,2.11174e-06,1.93473e-05,6.18361e-09,7.37008e-05,6.2396e-05,6.984e-07,9.28332e-09,4.66577e-06,4.09218e-06,13.5418,35.9196,8.74076,0.266378,20.5514,0.251256,11.0364,0.010419,0.199497,1.55998,0.215246,-0.301984,0.000735262,0.00528748,-0.526156,0.0104692,0.0169095,0.00474993,0.00290391,-0.526156,0.015532,2.81639,2.20468,0.000311962,0.0413139,0.000741185,0.00281826,0.000199497,0.000519995,0.0413139,3.64643,2.76591e-06,4.80109,0.209916
